ref_id,model_tag,retail_price,supplier,item_cat
1530,22621,10.27,wausau paper,stationery & office machinery
1531,10707rnn,799.0,hon,furniture
1532,85319,369.99,da-lite,electronics - general
1533,10339,13.88,,stationery & office machinery
1534,gb01959,17.13,arkon,mp3 accessories
1535,,56.99,mercury luggage,handbags
1536,ide3510u2,28.88,startech,electronics - general
1537,p-fd8gbhp220-ef,14.84,pny,usb drives
1538,kdl-40ex500,718.0,sony,electronics : flat panel tv
1539,lsd16gbsbna100,32.98,lexar,usb drives
1540,ps.vam03 .033,498.0,acer,desktop computers
1541,,89.0,kodak,digital cameras
1542,bi8,25.88,audiosource,furniture
1543,be750g,95.88,apc,electronics - general
1544,30911,29.88,dymo,printers
1545,ds3,24.54,royal,stationery & office machinery
1546,9.81000018 e8,16.84,logitech,electronics - general
1547,93785,39.84,fellowes,computers
1548,xtr690 se,178.88,whistler,automotive - general
1549,spp-xlrj,79.9,comprehensive,tv accessories
1550,,244.88,trendnet,garden - general
1551,nbc121,19.0,norazza,camera and camcorder accessories
1552,ea103,18.88,ematic,mp3 accessories
1553,electric120v,189.0,elite screens,electronics - general
1554,1741670,6.82,dymo,stationery & office machinery
1555,125109,1972.5,draper,electronics - general
1556,everki usa ekf808s17,26.88,everki,electronics - general
1557,everki usa ekf802,9.88,everki,electronics - general
1558,acpro650,29.88,ape case,photography - general
1559,1739312,4.87,paper mate,stationery & office machinery
1560,07227,17.82,pc treasures,mice
1561,mcpf11-blk,18.86,bic,stationery & office machinery
1562,ts-w259s4,113.0,pioneer,car stereos
1563,f1a75-m pro,112.0,asus,electronics - general
1564,ipad-227,33.25,incipio,electronics - general
1565,pc-2wa,20.88,energizer,mp3 accessories
1566,vgp-ac19v51,99.0,sony,electronics - general
1567,,159.95,omnimount,furniture
1568,,13.99,at-a-glance,stationery & office machinery
1569,th207,7.15,dixie,house wares
1570,105817rnn,479.0,hon,furniture
1571,87184,167.99,da-lite,electronics - general
1572,e201w-bk,179.0,nec,monitors
1573,mu3mms2ra,7.88,startech,electronics - general
1574,z990 max,264.54,kodak,digital cameras
1575,1skb-dh3315w,159.99,skb cases,electronics - general
1576,hdv1,149.99,aiptek,camcorders
1577,ipd2flbk,44.88,scosche,mp3 accessories
1578,m30p10-7n,7.82,v7,mice
1579,ss-cr3000,99.99,sony,stereos/audio
1580,lpcsa,75.0,luxor,electronics - general
1581,sat3510bu2v,28.88,startech,electronics - general
1582,3dforce6200twin-lp,71.92,jaton,electronics - general
1583,tx2511,34.88,brother,stationery & office machinery
1584,mdrxb40ex,39.88,sony,mp3 accessories
1585,129070,691.5,draper,electronics - general
1586,119178,2443.45,draper,electronics - general
1587,co175,24.94,,stationery & office machinery
1588,7913-25-cs,8.88,scotch,stationery & office machinery
1589,satadocku2e,29.84,startech,electronics - general
1590,vgpkbv4/b,19.99,sony,electronics - general
1591,1754490,59.97,dymo,stationery & office machinery
1592,87303,10.88,zax,tv accessories
1593,hp g7-1154nr,525.54,hp,laptop computers
1594,yxmrf,39.0,dell,electronics - general
1595,40n0c,39.0,dell,electronics - general
1596,tr-sbcipd2-rw,24.99,simplism,mp3 accessories
1597,51653-76-08,0.0,generic,electronics - general
1598,14801,7.24,avery,stationery & office machinery
1599,43460,3.88,national products ltd.,stationery & office machinery
1600,14680,24.94,zebra,stationery & office machinery
1601,73892,11.94,generic,stationery & office machinery
1602,52104,51.94,buddy products,stationery & office machinery
1603,,32.94,pentel,stationery & office machinery
1604,40962,77.99,da-lite,electronics - general
1605,27559,1630.99,da-lite,electronics - general
1606,su1500rtxl2ua,599.0,tripp lite,electronics - general
1607,190238,16.18,maxell,mp3 accessories
1608,wdbabc3200anc,51.12,western digital,hard drives
1609,sb1290,39.99,creative labs,electronics - general
1610,qsbncomp10,15.72,q-see,garden - general
1611,7pd-00001,36.97,microsoft,electronics - general
1612,,246.59,3m,stationery & office machinery
1613,,119.0,avid technology,software
1614,k38085us,43.88,kensington,electronics - general
1615,ih-ip2006,0.0,ihome,mp3 accessories
1616,pe197711,18.82,edge,memory
1617,dvm-60se / 4,11.54,maxell,mp3 accessories
1618,900e,239.94,,stationery & office machinery
1619,iu2ps,14.88,scosche,automotive - general
1620,14021,44.82,coolmax,electronics - general
1621,64259,30.94,,stationery & office machinery
1622,dvd-224blk,34.88,coby,dvd players
1623,40316,29.88,cables to go,tv accessories
1624,q3675a,194.84,hp,printers
1625,m25664h70,76.88,kingston,memory
1626,q1421a,94.88,hp,stationery & office machinery
1627,tbm015us,56.63,targus,electronics - general
1628,sha1,42.64,sirius,satellite radio
1629,115164,1363.5,draper,electronics - general
1630,gp2a1en,28.01,joby,camera and camcorder accessories
1631,epson t068120-d2,39.84,epson,printers
1632,152256,17.59,case logic,mp3 accessories
1633,gkm561rkit,83.7,iogear,electronics - general
1634,153351,19.99,case logic,electronics - general
1635,0904b001aa,294.0,canon,printers
1636,mpag11-blk,14.88,bic,stationery & office machinery
1637,1670,44.88,x-acto,stationery & office machinery
1638,,56.94,oxford,stationery & office machinery
1639,hkb700p,159.0,hon,electronics - general
1640,el334tb,15.99,sharp,stationery & office machinery
1641,na23061,27.88,griffin,mp3 accessories
1642,50726,0.0,general electric,electronics - general
