unique_id,model_id,price_value,supplier,product_type
2040,725-303,33.99,skooba design,electronics - general
2041,115041,1551.95,draper,electronics - general
2042,222045,1584.0,draper,electronics - general
2043,swv3481s/17,27.0,philips,tv accessories
2044,ibtkb20blk,63.88,jwin,electronics - general
2045,dell inspiron 560,498.0,dell,desktop computers
2046,1612,59.97,x-acto,stationery & office machinery
2047,cmv4gx3m1a1333c9,49.82,corsair,memory
2048,40223,118.99,da-lite,electronics - general
2049,65065612,578.54,adobe,software
2050,cl-hdmi-pg-6 .6 ft,11.4,cp tech,electronics - general
2051,gkm561rw4,62.95,iogear,electronics - general
2052,fva3162,29.99,tribeca,electronics - general
2053,mv-2v1g4 / us,22.88,samsung,memory
2054,ht-d5300,298.0,samsung,home theater
2055,nh22nbp,12.97,energizer,electronics - general
2056,hp 51645a # 140,34.97,hp,printers
2057,a3l980v14-blk-s,7.88,belkin,networking
2058,,29.0,sony,camera and camcorder accessories
2059,kx-tg6445t,108.84,panasonic,phones
2060,03148,41.97,kimberly-clark professional,personal care
2061,114717,79.99,brenthaven,electronics - general
2062,lc51c,13.49,brother,printers
2063,mp2300blk,13.82,gear head,mice
2064,93714,111.96,maccase,electronics - general
2065,jk-us0412-s1,69.84,siig,electronics - general
2066,100327,5382.7,draper,electronics - general
2067,119175,2282.45,draper,electronics - general
2068,127149,30515.5,draper,electronics - general
2069,10c,19.97,kodak,printers
2070,153344,23.99,case logic,electronics - general
2071,ljdff8gbasbna,16.57,lexar media,usb drives
2072,ts-a1684r,113.0,pioneer,car stereos
2073,tr-odbipad-wt/en,39.99,simplism,mp3 accessories
2074,,252.0,basyx,furniture
2075,chargerluxred,11.0,ifrogz,mp3 accessories
2076,25473,5.15,ampad,stationery & office machinery
2077,3fmsp01u2aq-16g-r,24.84,wintec,usb drives
2078,43610,17.27,dymo,stationery & office machinery
2079,am00778-ceu,29.88,acme,electronics - general
2080,va354824my,109.0,alera,furniture
2081,90544,441.95,da-lite,electronics - general
2082,73179,167.99,da-lite,electronics - general
2083,flt-6600-39,9.82,cables unlimited,electronics - general
2084,hp bk357aa,33.88,hp,electronics - general
2085,07627,19.99,pc treasures,electronics - general
2086,dsc-w560 / l,149.0,sony,digital cameras
2087,12886bp,64.99,endust,electronics - general
2088,tg-6660tr,29.98,targus,photography - general
2089,gs716t-200nas,238.0,netgear,networking
2090,900252,86.92,visiontek,electronics - general
2091,fptm,21.88,scosche,mp3 accessories
2092,,773.82,night owl,electronics - general
2093,t125420,11.88,epson,printers
2094,fva4584,29.99,tribeca,electronics - general
2095,tw12,12.99,middle atlantic,tv accessories
2096,ipi02453,47.88,inland,computers
2097,hp cd994fn,26.5,hp,printers
2098,hg-m77,18.36,cobra,electronics - general
2099,mou-600i,20.84,grandtec,mice
2100,26654,25.84,imation,usb drives
2101,m150xwv1,187.84,elite screens,electronics - general
2102,k72274us,22.88,kensington,electronics - general
2103,gub211w6,22.92,iogear,computers
2104,119183,2375.95,draper,electronics - general
2105,cvem79pur,8.54,coby,electronics - general
2106,xpmp3h1,149.0,audiovox,satellite radio
2107,a201-12cp,60.88,atrend,car stereos
2108,1005nx-b,0.0,generic,stationery & office machinery
2109,awv02us,8.88,targus,electronics - general
2110,9w16gy,52.97,rubbermaid commercial,storage
2111,89431n,25.82,motorola,electronics - general
2112,82976,697.99,da-lite,electronics - general
2113,83207,797.99,da-lite,electronics - general
2114,85703,847.99,da-lite,electronics - general
2115,85303,372.99,da-lite,electronics - general
2116,147731,19.99,case logic,electronics - general
2117,27329,5.88,cables to go,electronics - general
2118,tricool 92mm dbb,8.25,antec,electronics - general
2119,gs108e100nas,78.88,netgear,networking
2120,hp cq1-2025,479.0,compaq,desktop computers
2121,centurion534bk,56.25,coolermaster,electronics - general
2122,,707.59,3m,stationery & office machinery
2123,panasonic dmc-ts3s,333.54,panasonic,digital cameras
2124,st3500413as,44.99,seagate,hard drives
2125,it4scbk,32.88,scosche,mp3 accessories
2126,p-sdhc4g4-ef,8.98,pny,usb drives
2127,clearvu10,1199.0,svat electronics,garden - general
2128,,349.97,crown,home care
2129,146437,47.99,targus,computers
2130,em504camb,39.88,ematic,mp3
2131,13419,15.99,sumdex,mp3 accessories
2132,tu2-etg,34.66,trendnet,networking
2133,c7971a,39.88,hp,mp3 accessories
2134,pe20823302,69.82,edge,memory
2135,s041226,244.88,epson,stationery & office machinery
2136,lw1002,119.0,lorex,garden - general
2137,250020,2453.45,draper,electronics - general
2138,6026e,253.51,da-lite,electronics - general
2139,ha0435-m005,25.88,agf,electronics - general
2140,610214626400,0.0,generic,prepaid wireless phones
2141,na02046,19.88,griffin,mp3 accessories
2142,vx401,499.99,clarion,gps
2143,c6m-14-bub,3.98,link depot,networking
2144,82967,725.99,da-lite,electronics - general
2145,85687,1303.99,da-lite,electronics - general
2146,r9-nbc-8pbk-gp,24.82,coolermaster,electronics - general
2147,a3l791-03-blu-s,4.35,belkin,electronics - general
2148,led26vf50,239.0,viore,electronics : flat panel tv
2149,m552pink,94.54,kodak,digital cameras
2150,dp88,17.0,dp video,car stereos
2151,pscucbb9000,14.99,polaroid,mp3 accessories
2152,dap-2590,318.0,d-link,networking
