product_identifier,b_name,marked_price,cat,product_title
0,koss,12.65,headphone accessories,koss eq50 3-band stereo equalizer
1,kodak,10.28,inkjet printer ink,kodak black ink cartridge 10b 1163641
2,kingston,33.75,computers accessories,kingston 128mx64 pc2700 compaq evo d320 ktc-d320 1g
3,kinamax,6.99,mice,kinamax ms-ues2 mini high precision usb 3-button 3d optical scroll wheel mouse with retractable cable black
4,kensington,24.0,mice,kensington k72349us wireless mouse for netbooks
5,kensington,23.92,cases sleeves,kensington blackbelt protection band for ipad 2 k39324us
6,just5,64.11,unlocked phones,just5 j509 easy to use unlocked cell phone with big buttons amplified sound personal emergency response system black
7,imation,10.29,cd-r discs,imation corp 50pk cdr 700mb 80min 52x-spindle 17301
8,imation,6.99,dvd-r discs,16x dvd-r media
9,igo,29.99,cleaning repair,igo arctic laptop cooling pad ac05065-0001
10,hp,25.04,laptop netbook computer accessories,hp touchpad custom fit case
11,hp,142.99,laser printers,hp laserjet pro p1606dn printer ce749a bgj
12,hp,,laser printer toner,hp 85a laserjet black toner print cartridge - retail packaging ce285a
13,hp,267.24,printers,hp - envelope feeder - 75 sheets
14,hawking technology,270.99,wireless access points,hawking hi-gain outdoor wireless-300n dual radio smart repeater
15,griffin technology,14.26,chargers adapters,griffin technology powerjolt se 2 amp power charger for ipad iphone and ipod black
16,goldtouch,37.92,access-control keypads,goldtouch usb numeric keypad hub - keypad - usb - 22 keys - white
17,garmin,399.86,handheld gps,garmin oregon 450t handheld gps navigator
18,fujitsu,418.99,scanners,fujitsu scansnap s1500m instant pdf sheet-fed scanner for the macintosh
19,accessory genie,14.99,touch screen tablet accessories,slim folding multi-position tablet stand for galaxy tab motorola xoom asus eee pad transformer and many other tablets includes micro usb cable
20,energizer,14.43,d,energizer max alkaline batteries
21,emerge tech,4.99,mp3 player accessories,emerge tech retractable usb cable for ipod white
22,xo vision,19.99,mp3 player accessories,ematic 10 in 1 premium accessory kit for ipod touch 3rd gen newest model
