item_identifier,model_num,retail_price,product_title,supplier
8828,a92,9.31,eveready gold alkaline batteries aaa in family pack 16-count,eveready
8829,ke29e,16.02,koss ke29e isolating earbud ebony,koss
8830,kmf135,6.91,kodak 35mm single use camera w flash packaging may vary,kodak
8831,8617763,5.29,kodak fun saver 35 camera with flash one time use camera,kodak
8832,v11h391020,354.33,epson vs200 multimedia 3lcd projector v11h391020,epson
8833,p461,117.18,kodak 4x6 personal photo slide and negative scanner p461,kodak
8834,p460,89.64,kodak 4x6 personal photo and negative scanner p460,kodak
8835,touch m577,139.95,kodak easyshare touch m577 14 mp digital camera with 5x optical zoom and 3-inch lcd touchscreen in purple 8gb accessory kit,kodak
8836,t020201-d1,38.31,epson stylus color 880 880i color ink cartridge double pack,epson
8837,sport c123,79.95,kodak easyshare sport c123 12mp waterproof digital camera in grey 4gb accessory kit,kodak
8838,easyshare m575 forest green,,kodak easyshare m575 14 mp digital camera with 5x wide angle optical zoom and 3.0-inch lcd forest green,kodak
8839,easyshare m530 carbon,109.0,kodak easyshare m530 12mp digital camera with 3x wide angle optical zoom and 2.7 inch lcd carbon,kodak
8840,1400894,,kodak easyshare touch m577 14 mp digital camera with 5x optical zoom and 3-inch lcd touchscreen - redorange new model,kodak
8841,8909186,89.99,kodak easyshare m532 14 mp digital camera with 4x optical zoom and 2.7-inch lcd - blue new model,kodak
8842,8009581,99.0,kodak easyshare c190 digital camera blue,kodak
8843,easyshare c142 blue,64.95,kodak easyshare c142 10 mp digital camera with 3xoptical zoom and 2.5-inch lcd blue,kodak
8844,50300,19.5,kodak 50300 4.7 gb dvd-r 100 pack spindle,kodak
8845,1758895,,kodak esp 3250 all-in-one printer for us,kodak
8846,kw-06,9.99,kingwin 2.4 ghz wireless optical mouse kw-06,kingwin
8847,kw-04,5.49,kingwin kw-04 mini-3d optical mouse - black silver,kingwin
8848,kw-02,2.49,kingwin kw-02 3d optical mouse - black silver,kingwin
8849,kvr667d2/2gr,23.99,kingston valueram 2gb 667mhz pc2-5300 ddr2 desktop memory kvr667d2 2gr,kingston
8850,kvr533d2k2/2gr,25.99,kingston valueram 2gb kit 2x1gb modules 533mhz pc2-4200 ddr2 desktop memory kvr533d2k2 2gr,kingston
8851,dti/2gb,10.99,kingston data traveler 2 gb usb drive dti 2gb,kingston
8852,ktd8300/512,19.95,kingston technology 512mb ddr 400 mhz pc 3200 184-pin sdram dimm single memory not a kit ktd8300 512,kingston
8853,ktd-dm8400b / 2g,27.51,kingston technology 2 gb dimm memory 2 667 mhz pc2 5300 240-pin ddr2 sdram single not a kit ktd-dm8400b 2g,kingston
8854,kta-mb667k2 / 4gr,54.24,kingston apple 4gb kit 2x2gb modules 667mhz ddr2 sodimm imac and macbook memory kta-mb667k2 4gr,kingston
8855,kth-lj2015 / 256,9.6,kingston 256mb ddr2 sdram memory module 256mb 1 x 256mb ddr2 sdram 144pin kth-lj2015 256,kingston
8856,ktd-ws667 / 8g,230.74,kingston 8 gb ddr2 sdram memory module 8 gb 2 x 4 gb 667mhz ddr2 sdram ktd-ws667 8g,kingston
8857,ktd-insp6000b / 2g,27.72,kingston 2 gb ddr2 sdram memory module 2 gb 1 x 2 gb 667mhz ddr2 sdram 200pin ktd-insp6000b 2g,kingston
8858,kth-xw4200an / 1g,14.99,kingston memory - 1 gb - dimm 240-pin - ddr ii kth-xw4200an 1g,kingston
8859,dtmfg2/4gbz,8.99,kingston digital datatraver mini fun g2 4 gb flash drive dtmfg2 4gbz,kingston
8860,2016bp-2,3.15,energizer watch electronic batteries 3 volts 2016 2 batteries,energizer
8861,outlet-529,13.16,energizer 529 6-volt battery,energizer
8862,dtvp/4gb,35.74,kingston datatraveler vault privacy edition 4 gb usb 2.0 flash drive dtvp 4gb blue,kingston
8863,dtvp/16gb,119.78,kingston datatraveler vault privacy edition 16 gb usb 2.0 flash drive dtvp 16gb blue,kingston
8864,dt101c/4gb,9.39,kingston datatraveler 101 - 4 gb usb 2.0 flash drive dt101c 4gb cyan,kingston
8865,dt100/8gb,24.94,kingston datatraveler 100 - 8 gb usb 2.0 flash drive dt100 8gb,kingston
8866,kvr800d2n5k2/2g,28.74,kingston h. corporation non-ecc cl5 dimm kit of 2 2 dual channel kit 800 mhz pc2 6400 240-pin ddr2 sdram kvr800d2n5k2 2g,kingston
8867,cf/16gb-s 2,41.65,kingston elite pro 16 gb 133x compactflash memory card cf 16gb-s2,kingston
8868,sd6/4gb,9.99,kingston 4 gb sdhc class 6 flash memory card sd6 4gb,kingston
8869,kta-mb667 / 1gr,15.74,kingston apple 1gb 667mhz ddr2 sodimm imac and macbook memory kta-mb667 1gr,kingston
