sku_id,group,item_title,product_code,current_price
13242,amplifier installation,xantech 283d10p designer blink emitter 10 pk,,99.3
13243,keyboards,wintec filemate imagine series k2010 usb standard keyboard - jet black 3fmnk2010ubk-r,3fmnk2010ubk-r,15.99
13244,keyboards,wintec filemate imagine series k2010 usb standard keyboard - light green 3fmnk2010ugn-r,3fmnk2010ugn-r,15.99
13245,mice,wintec filemate imagine series m2810 usb standard mouse - white with light blue 3fmnm2810ubl-r,3fmnm2810ubl-r,11.99
13246,radar detectors,whistler xtr-695 radar laser detector with real voice alerts and external audio jack,xtr-695,109.06
13247,radar detectors,whistler xtr-140 laser radar detector with exclusive twin alert periscopes,xtr-140,49.99
13248,security surveillance,westinghouse 2 channel home office intercom plug in and talk,wi-2c,33.99
13249,external hard drives,western digital my book live 2 tb personal cloud storage drive,wdbacg0020hch-nesn,146.15
13250,external hard drives,western digital my passport for mac 500 gb usb 2.0 portable external hard drive charcoal,wdbaab5000ach-nesn,69.0
13251,external hard drives,western digital my passport essential se 750 gb usb 3.0 2.0 ultra portable external hard drive silver,wdbacx7500asl-nesn,79.0
13252,external hard drives,western digital my passport essential se 1 tb usb 3.0 2.0 ultra portable external hard drive silver,wdbacx0010bsl-nesn,89.99
13253,external hard drives,western digital my passport essential 500 gb usb 3.0 2.0 portable external hard drive pacific blue,wdbacy5000abl-nesn,75.98
13254,,western digital my passport essential se 1 tb usb 2.0 portable external hard drive midnight black,wdbabm0010bbk-nesn,119.0
13255,external hard drives,western digital my book essential 3 tb usb 3.0 2.0 desktop external hard drive,wdbacw0030hbk-nesn,129.99
13256,external hard drives,western digital my book for mac 2 tb usb 2.0 desktop external hard drive,wdbaag0020hch-nesn,104.0
13257,computers accessories,western digital 320 gb av-25 sata 3 gb s 5400 32 mb cache bulk oem av hard drive - wd3200budt,wd3200budt,48.02
13258,graphics tablets,wacom intuos4 medium pen tablet,ptk640,
13259,accessories supplies,passport 10g headset,201602,44.87
13260,bullet cameras,vonnic c102g 1 3-inch sony ccd 480 tv lines 48 ir led night vision 120-feet 6mm fixed varifocal bullet camera black,c102g,44.99
13261,desktops,new acer vl4610g-ui5240w intel core i5-2400s pro windows7 professional 320g sata hard drive,,796.69
13262,video glasses,vizio xpg202 theater 3d eyewear pack of 2,xpg202,39.88
13263,cleaning kits,vizio xcp200 high performance screen cleaning kit,xcp200,9.99
13264,webcams,vivitar v49452 1.3 mp web cam with privacy shutter,v49452,21.85
13265,flashes,vivitar df383 digital ttl shoe mount power zoom swivel bounce auto-focus flash for nikon ttl guide number 45m 147,df383,120.09
13266,flashes,vivitar df-283 digital ttl bounce zoom swivel flash sony,,83.24
13267,filters,vivitar 1 2 4 10 close-up macro filter set with pouch 58mm,viv-cl-58,10.42
13268,printer accessories,visioneer strobe xp 220 600 dpi portable scanner with one touch pdf and vrs image enhancement sxp2205d-wu,sxp2205d-wu,107.99
13269,video glasses,viewsonic pgd-150 active stereographic 3d shutter glasses for viewsonic dlp link 120 hz 3d ready projectors black,pgd-150,
13270,digital camera accessories,vg-b50am compatible battery grip for sony dslr-a500 a550 alpha 500 550 digital cameras,jt-battery grip for sony a550 @@ 1,30.51
13271,usb flash drives,verbatim store n go 4 gb usb 2.0 flash drive 95236 red,95236,7.99
13272,blank media,verbatim premium 4 gb sdhc flash memory card class 6 96171,96171,10.43
13273,adapter rings,new-acco 39702 - accohide poly ring binder with 23-pt . cover 1 2 capacity dark royal blue - acc39702,,14.1
13274,laminating supplies,new-200106002 heavy duty ribbon blue red case pack 2 - 510432,,53.0
13275,mice,verbatim optical mini travel mouse 97253 purple,97253,11.09
13276,external hard drives,verbatim 1 tb firewire 400 usb 1.1 or 2.0 desktop external hard drive 96639 black,96639,100.24
13277,corded telephones,nettalk duo2 voip telephone service,,
13278,dvd r discs,verbatim dvd-r 4.7 gb 8x datalifeplus white thermal printable hub printable 50pk spindle,94853,19.0
13279,usb flash drives,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green,97556,10.98
13280,computers accessories,netgear wg511na wireless g pc card,wg511na,11.75
13281,usb flash drives,verbatim clip-it 4 gb usb 2.0 flash drive 97551 orange,97551,10.98
13282,dvd-r discs,verbatim 97017 4.7 gb up to 16x datalifeplus shiny silver recordable disc dvd-r 100-disc spindle tape wrap,97017,29.89
13283,mice,verbatim 96992 easy riser wireless notebook laser mouse with nano receiver - silver and black,96992,22.83
13284,bd-re discs,verbatim 96921 25 gb 2x blu-ray single layer branded rewritable disc bd-re 10-disc spindle,96921,36.12
13285,mice,verbatim 96902 nano wireless notebook optical mouse - blue,96902,19.36
13286,mice,verbatim 96897 nano wireless notebook optical mouse - red,96897,19.36
13287,dvd r discs,verbatim 96689 8.5 gb 8x lightscribe double-layer recordable disc dvd r dl 10-disc spindle,96689,17.32
13288,media storage organization,verbatim 96317 store n go usb flash drive 16 gb computer media usb storage media drives,,29.93
13289,cd-r discs,verbatim 96164 700 mb 52x lightscribe gold recordable discs cd-r 50-disc spindle,96164,18.87
13290,cd-r discs,verbatim 95460 700 mb 52x lightscribe color recordable discs cd-r 25-disc spindle,95460,14.14
13291,dvd-r discs,verbatim 95186 4.7 gb 8x datalifeplus silver inkjet printable recordable disc dvd-r 50-disc spindle,95186,18.98
13292,dvd r discs,verbatim 95033 4.7 gb up to16x branded recordable disc dvd r 25-disc spindle,95033,9.76
13293,cd-r discs,verbatim dvd r 4.7 gb 16x lightscribe 30pk spindle,95091,18.99
13294,accessories,nebraska cornhuskers scarlet silicone iphone cover,,
13295,camera photo,veho vcc-a003-phm professional handlebar for muvi camcorders,vcc-a003-phm,
13296,laminating supplies,velcro 90070 - sticky-back hook and loop dot fasteners on strips 5 8 dia . white 15 sets pack,,
13297,camcorders,veho muvi atom - camcorder - 2.0 mpix - supported memory microsd microsdhc - flash card - black,vcc-004-atom-blk,69.27
13298,computers accessories,vantec 4 1 sata ii 300 and pata pci-e combo host card with raid,ugt-is100r,26.64
13299,computers accessories,vantec 2 1 sata 6g and pata pci-e combo host card with raid black,ugt-is602r,40.33
13300,vehicle mounts,navgear 14027 universal gps vent mount,14027,3.07
13301,connectors adapters,scanner scanexpress s324 photo,,
13302,computers accessories,vantec nexstar se 2.5-inch sata hard drive rack mrk-515st black,mrk-515st,10.74
13303,cases bags,vanguard vgp-13 mid-size photo video hard case,vgp-13,62.13
13304,cases bags,vanguard peking 21 weather resistant camera bag,peking 21,20.54
13305,complete tripod units,vanguard mk-2 tripod,mk-2,28.54
13306,computer accessories,valueram - memory - 2 gb - fb-dimm 240-pin - ddr2 - 667 mhz pc2-5300 - cl5 - 1.8 v - fully buffered - ecc,,
13307,ethernet cables,v7 cat5e snagless molded network patch cable rj45 male to male red 3-feet v7n3c5e-03f-reds,v7n3c5e-03f-reds,2.97
13308,ethernet cables,v7 cat5e snagless molded network patch cable rj45 male to male blue 1-foot v7n3c5e-01f-blus,v7n3c5e-01f-blus,1.19
13309,blank media,v7 8gb sd card class 6 high capacity sdhc 8 gb,vasdh8gcl6r-1n,14.84
13310,cases bags,m-rock cascade square slr camera bag black navy grey,659bl,48.0
13311,chargers adapters,universal home charger for netbooks,netvolt home,30.25
13312,chargers cables,universal usb home charger compatible with all gps brands,9uuc .052.05,16.22
13313,,universal 43722 - dry erase board melamine 24 x 18 white black gray aluminum plastic frame,,
13314,,universal 10200 - small binder clips steel wire 3 8 capacity 3 4 wide black silver dozen,,19.65
13315,printer ink toner,uniden d1688-2 dect 6.0 corded cordless digital answering machine 2-cordless handsets dect telephones telephones accessories,,91.99
13316,gmrs-frs two-way radios,uniden gmr 1636-2c 2-way radios black two radios,gmr1636-2c,29.23
13317,headphones,ultimate ears 100 noise-isolating earphones - jade guitar green blue,985-000223,19.99
13318,mouse pads,ufc mixed martial arts lyoto machida mouse pad,86210010,9.06
13319,mouse pads,ufc mixed martial arts chuck liddell mouse pad,86126010,9.24
13320,mouse pads,ufc mixed martial arts tito ortiz mouse pad,86143010,9.24
13321,cases,mivizu iphone 4 black endulge skin case black,,4.99
13322,index card filing,avery two-side printable clean edge business cards for inkjet printers white matte pack of 120 28877,28877,9.44
13323,covers skins,truepower thinskin personalization films for iphone 4 light silver metallic,ts180c-220,19.95
13324,two-way radios accessories,trisquare exrs tsx100 900mhz fhss digital two-way radio charcoal metallic black,tsx100,24.88
13325,surge protectors,tripp lite tlp606 6-outlet surge protector 720 joules,tlp606,9.95
13326,surge protectors,tripp lite spikecube 1 outlet direct plug in surge protector 540 joules,spikecube,7.86
13327,connectors adapters,tripp lite p568-006 hdmi gold digital video cable hdmi m m - 6ft,p568-006,8.85
13328,hdmi cables,tripp lite flat hdmi to hdmi video cable 3 feet,p568-003-fl,9.9
13329,two-way radios accessories,mini usb auto power adapter,cchusb,20.48
13330,webcams,trendnet proview wireless pan tilt zoom internet surveillance camera tv-ip600w white,tv-ip600w,171.99
13331,webcams,trendnet proview wireless internet surveillance camera tv-ip501w white,tv-ip501w,67.41
13332,webcams,trendnet securview wireless pan tilt zoom internet surveillance camera tv-ip410w white,tv-ip410w,158.07
13333,usb network adapters,trendnet 200 mbps powerline av adapter kit tpl-303e2k white,tpl-303e2k,66.99
13334,kvm switches,trendnet 8-port ps 2 rack mount kvm switch tk-801r black,tk-801r,73.99
13335,network adapters,trendnet 54mbps wireless g pci adapter tew-423pi,tew423pi,19.99
13336,routers,trendnet 4-port broadband router tw100-s4w1ca blue,tw100-s4w1ca,26.99
13337,print servers,trendnet 3-port print server te100-p21 blue,te100-p21,55.0
13338,routers,trendnet 300mbps wireless-n travel router kit tew-654tr black,tew-654tr,49.99
13339,kvm switches,trendnet 2-port dvi usb kvm switch with audio kit tk-204uk,tk-204uk,76.99
13340,usb flash drives,transcend jetflash v10 - 16 gb usb 2.0 flash drive ts16gjfv10 green,ts16gjfv10,25.95
13341,usb flash drives,transcend 16 gb jetflash 700 super speed usb 3.0 flash drive ts16gjf700,ts16gjf700,29.76
13342,usb flash drives,transcend 64 gb jetflash 530 retractable usb 2.0 flash drive ts64gjf530 white,ts64gjf530,99.84
13343,memory card adapters,transcend usb 3.0 express card adapter for laptop ts-pnu3,ts-pnu3,21.35
13344,computers accessories,transcend 750 gb 2.5-inch usb 3.0 military-grade shock resistance portable external hard drive for mac and pc ts750gsj25m3,ts750gsj25m3,99.99
13345,trackballs,2.0 trackball usb dual scrolling wheels by ergoguys,wut-13,18.87
13346,usb network adapters,tp-link tl-wn951n 300mbps wireless n pci adapter,tl-wn951n,30.67
13347,switches,tp-link tl-sl1226 24 2g unmanaged gigabit-uplink switch 10 100m rj45 ports 2 10 100 1000 m rj45 ports supports mac address self-learning and auto mdi mdix standard 19inch rack-mountable steel case .,tl-sl1226,90.0
13348,networking products,tp-link tl-ant2405c 2.4 ghz 5dbi indoor desktop omni-directional antenna,tl-ant2405c,4.49
13349,networking products,tpl ac tl-ps110u single usb2 .0,tl-ps110u,38.61
13350,disc players recorders,toshiba dr430ku dvd recorder - black,dr430,107.0
13351,external hard drives,toshiba canvio plus 1 tb usb 3.0 portable external hard drive e05a100pbu3xs black,e05a100pbu3xs,95.99
13352,motherboards,media dp67de desktop motherboard - intel - socket h2 lga-1155 - 10 x bulk pack,blkdp67deb3,1131.35
13353,external hard drives,toshiba canvio 500 gb usb 3.0 portable hard drive e05a050cau3xs black silver,e05a050cau3xs,64.61
13354,covers skins,thinskin personalization films for iphone 4 bronze,,19.95
13355,laptop netbook computer accessories,mcbrine pink ribbon line satchel shape laptop case-brown,,86.99
13356,headphones,thermaltake lha0011-b luxa2 on ear headphone white,lha0011-b,25.64
13357,headphones,thermaltake tt esports isurus gaming earphones headset with voice capability premium bass in-line microphone royal ht-isu005ebre red,ht-isu005ebre,31.0
13358,computers accessories,thecus n5500 5-bay dual-dom network attached storage,n5500,699.99
13359,computers accessories,thecus n3200xxx 3-bay network attached storage,n3200xxx,424.09
13360,networking products,thecus n2200xxx 2-bay network attached storage,n2200xxx,435.95
13361,financial business,texas instruments ti36x solar scientific calculator,ti36x,19.99
13362,scientific,texas instruments ti-30x iis 2-line scientific calculator,ti30xiis,13.24
13363,connectors adapters,terk vs-4 s-video video audio switch selector,vs4,26.46
13364,radio antennas,terk fm-50 indoor outdoor dual-drive amplified fm antenna terk fm50,fm50,66.92
13365,hdtv antennas,terk hdtva indoor amplified high-definition antenna for off-air hdtv reception,hdtva,32.48
13366,usb network adapters,tenergy t9688 super universal lcd battery charger with usb port,01127,34.0
13367,cases sleeves,targus zierra leather portfolio for apple ipad 16gb 32gb 64gb wifi and wifi 3g thz023us black,thz023us,29.32
13368,mice,targus wireless optical stow-n-go notebook mouse amw25us,amw25us,11.27
13369,mice,targus wireless optical stow-n-go laptop mouse silver amw46us,amw46us,12.99
13370,mice,targus wireless comfort laser mouse amw51us black with gray,amw51us,19.17
13371,cases sleeves,targus truss leather case and stand for motorola xoom wifi 3g - thz06902us black gray,thz06902us,34.99
13372,cases bags,targus tgc-np520 neoprene camera case pink,tgc-np520,10.13
13373,projection screens,hc matte white advantage deluxe electrol - wide format size wide 94 diagonal,,
13374,computers accessories,side-access traditional roll,,57.47
13375,styli,targus stylus for apple ipad 16gb 32gb 64gb wifi 3g ipad 2 iphone ipod motorola xoom samsung galaxy blackberry playbook amm0106us white,amm0106us,10.99
13376,computer accessories,targus red tgc-sc610 medium camera case,,13.0
13377,cases sleeves,targus impax sleeve for apple ipad 16gb 32gb 64gb wifi 3g ipad 2 tss20501us red with gray accents,tss20501us,29.99
13378,cases sleeves,targus deluxe case and stylus bundle for apple ipad bus0248 black and teal,bus0248,46.14
13379,carts stands,targus corporate standard keyboard-black pakb010u,pakb010u,
13380,accessories supplies,targus compact laptop desk awe56us black with gray,awe56us,23.99
13381,cooling pads,targus lap chill mat awe55us black with gray,awe55us,32.99
13382,hiking gps units,magellan explorist 710 waterproof hiking gps,explorist 710,487.88
13383,laptop netbook computer accessories,targus groove bts backpack case designed for 15.6 inch laptops tsb15201us brown with teal accents,tsb15201us,27.99
13384,usb cables,targus acc96us high-speed file transfer cable gray,acc96us,14.44
13385,data cartridges,tandenberg 20 40gb slr7 tape cart 1-pack,432294,60.24
13386,television stands entertainment centers,luxor 27 endura large top plasma tv table with locking cabinet,,316.8
13387,mp3 players,sylvania 4gb video mp3 player with 2.8-inch color touch screen expandable memory slot built-in speakerphone,smpk8854,29.99
13388,computers accessories,lsu tigers iphone 4 case silicone cover,,17.99
13389,mp3 player accessories,switcheasy thumbtacks microphone for ipod nano 4g touch 2g and ipad red,sw-tt-r,12.95
13390,computers accessories,switch by design studio horizontal pink 17-inch,318-1017,39.0
13391,accessory kits,lowepro slingshot 302 aw digital slr camera backpack case black tripod accessory kit for canon rebel t3 t3i t1i t2i eos 60d 5d 7d nikon d3000 d3100 d5000 d5100 d7000 d300s olympus evolt e-5 e-30 e-620 sony alpha a560 a580 a33 a35 a55,lp36174-peu,119.95
13392,storage presentation materials,swingline 74357 - 40-sheet light touch two - to seven-hole punch 9 32 diameter hole black gray,,
13393,computers accessories,st. louis cardinals pink iphone 4 hard case,,23.99
13394,batteries,superb choice new li-lion laptop replacement battery for apple macbook pro 15 . replacement for a1175 ma348 ma348 a ma348g a ma348j a,,29.99
13395,flashes,sunpak pz42xc camera flash,pz42xc,152.88
13396,computers accessories,sun shade for samsung galaxy tab,,19.95
13397,filters,sunpak cf-7026 uv 37mm ultra-violet filter,cf-7026 uv,4.94
13398,filters,sunpak 67mm circular polarized filter,cf-7061-cp,14.99
13399,camcorder accessories,sunpak 620-060 tripod,620-060,23.55
13400,complete tripod units,sunpak 4300 pro-b tripod with ballhead,620-430b,49.95
13401,cases bags,sumdex ntc-109bk urban professional camera camcorder case,ntc-109bk,31.95
13402,laptop netbook computer accessories,sumdex msb flight messenger for 10-inch laptop - black hpd-561bk,hpd-561bk,64.23
13403,mice,logitech v220 cordless notebook mouse - red,910-000679,13.74
13404,connectors adapters,sumas 16-ch standalone network dvr surveillance kit w smartphone remote access usb vga - just add hard drive cams,,257.25
13405,connectors adapters,7 sumas sm788bt touchscreen in-dash panel car dvd vcd mp3 player w bluetooth,,307.25
13406,audio video accessories,storejet 25d2 320 gb external hard drive - white,ts320gsj25d2-w,58.48
13407,diffusers,stofen om-ew omni bounce for canon 430ex white,371710,12.99
13408,cases sleeves,stm skinny case for ipad2 dp-2189-01,dp-2189-01,26.84
13409,accessories supplies,steelseries siberia v2 full-size usb gaming headset with virtual surround 7.1 sound black,51103,113.99
13410,headsets microphones,steelseries 7h gaming headset black,61050,129.99
13411,gaming mice,steel series xai high performance laser gaming mouse - black 62135,62135,81.58
13412,projection screens,da-lite portable deluxe screen add-on a brace,,189.99
