item_id,item_code,list_price,cat,b_name
17656,,29.0,shredders,deflect-o
17657,,24.0,storage presentation materials,columbian
17658,,64.49,blank media,chenille kraft
17659,,33.77,blank media,chartpak
17660,,107.0,storage presentation materials,caremail
17661,,257.99,laser printer toner,oki
17662,,25.0,projection screens,cardinal
17663,,16.4,projection screens,cardinal
17664,,27.0,projection screens,cardinal
17665,,97.19,storage presentation materials,boise
17666,,369.0,laminating supplies,basyx
17667,,33.0,other office equipment,avery
17668,,52.0,label makers,advantus
17669,m131,9.37,labeling tapes,brother
17670,,,storage presentation materials,bond street
17671,,,connectors adapters,boise
17672,,23.02,printers,bic
17673,,32.14,computers accessories,bic
17674,,16.82,audio video accessories,avery dennison
17675,,174.0,headphones,audio-technica
17676,,,printer accessories,ampad
17677,,,laminating supplies,ampad
17678,,6.98,cables interconnects,allsop
17679,,155.96,computer accessories,back door
17680,,,hard drive bags,acco
17681,,22.41,,vtech
17682,,,,3m
17683,,20.01,storage presentation materials,bic
17684,,,,3m
17685,,21.28,binding machine supplies,dixon
17686,,,computers accessories,smith micro inc
17687,,132.99,projection screens,da-lite
17688,,,headphones,day-timer
17689,,,storage presentation materials,vtech
17690,,,antitheft,crown
17691,,,antitheft,crown
17692,,11.38,,lagass
17693,,64.79,computers accessories,corel
17694,,48.0,computers accessories,corel
17695,,,,comprehensive
17696,,860.44,projection screens,elite
17697,,459.0,projection screens,elite
17698,,39.77,battery chargers,casio
17699,,,computer accessories,cardinal
17700,,,microphones accessories,cardinal
17701,,,printer accessories,cardinal
17702,,,printers,canon
17703,,63.0,radios,quartet
17704,,371.0,radios,quartet
17705,,1497.6,storage presentation materials,kaizen
17706,,,headphones,maxell
17707,,19.0,storage presentation materials,prismacolor
17708,,34.0,storage presentation materials,post-it
17709,,36.69,storage presentation materials,post-it
17710,,19.0,storage presentation materials,post-it
17711,,18.35,storage presentation materials,post-it
17712,,24.0,label makers,post-it
17713,945,,corded telephones,at t
17714,,23.0,label makers,post-it
17715,,68.0,other office equipment,post-it
17716,,,cash registers,pm company
17717,,28.0,laminating supplies,pendaflex
17718,,,laminating supplies,pendaflex
17719,,59.0,laminating supplies,pendaflex
17720,,44.0,laminating supplies,pendaflex
17721,,,storage presentation materials,pendaflex
17722,,39.0,laminating supplies,pendaflex
17723,,,laminating supplies,pendaflex
17724,,,laminating supplies,pendaflex
17725,,21.4,laminating supplies,pendaflex
17726,,,laminating supplies,pendaflex
17727,,,laminating supplies,pendaflex
17728,,19.0,shredders,paper mate
17729,,,label makers,panter company
17730,,36.32,storage presentation materials,pacon
17731,,33.0,storage presentation materials,officemate
17732,,38.02,storage presentation materials,officemate
17733,,70.0,computers accessories,lifeworks
17734,,895.88,networking products,thecus
17735,,31.0,storage presentation materials,mohawk
17736,,9.99,computers accessories,tribeca
17737,,32.8,storage presentation materials,mohawk
17738,,522.0,laminating supplies,mayline
17739,,27.93,shredders,marks-a-lot
17740,,26.0,complete tripod units,dual
17741,,295.0,computer accessories,lexmark
17742,32200174101,31.99,webcams,agama
17743,,239.0,monitors,kensington
17744,,31.28,blank media,kantek
17745,,109.0,computer accessories,innovera
17746,,34.35,storage presentation materials,innovera
17747,,50.91,bd-r discs,innovera
17748,lx.tzg03 .010,399.99,laptops,acer
17749,hn274h bmiiid,667.99,monitors,acer
17750,,26.0,complete tripod units,iluv
17751,,,fishfinders,humminbird
17752,,318.0,label makers,hp
17753,,519.0,laminating supplies,hon
17754,,380.0,laminating supplies,hon
17755,,334.0,laminating supplies,hon
17756,as5750-6636,449.99,laptops,acer
17757,,107.0,laminating supplies,hon
17758,,1194.0,laminating supplies,hon
17759,,1255.0,laminating supplies,hon
17760,,636.0,laminating supplies,hon
17761,,89.23,storage presentation materials,hammermill
17762,,37.0,laminating supplies,globe weis
17763,,,covers,gbc
17764,,,covers,gbc
17765,,21.0,storage presentation materials,five star
17766,,21.0,storage presentation materials,five star
17767,,28.0,projection screens,find it
17768,,20.0,radios,expo
17769,,,radios,expo
17770,,23.0,shredders,expo
17771,,27.6,shredders,expo
17772,,803.49,digital voice recorders,acroprint
17773,,83.0,storage presentation materials,epson
17774,,49.99,laptop netbook computer accessories,griffin technology
17775,af c5,26.95,lens accessories,after market
17776,,82.0,headphones,audio-technica
17777,,188.0,cables interconnects,dymo
17778,,88.7,usb cables,innovera
17779,,39.0,radios,quartet
17780,,23.0,laminating supplies,dome
17781,,69.55,computers accessories,rolodex
17782,,14.0,accessories,rca
17783,,,laminating supplies,deflect-o
17784,,112.0,laminating supplies,crown
17785,,123.0,laminating supplies,crown
17786,,72.0,laminating supplies,crown
17787,,113.0,laminating supplies,crown
17788,,,laminating supplies,crown
17789,,67.87,networking products,oxford
17790,,16.71,surge protectors,c-line
17791,106r01047,71.0,printer ink toner,xerox
17792,,41.0,portfolios,c-line
17793,,87.0,copiers,cardinal
17794,,,adapter rings,cardinal
17795,,28.0,adapter rings,cardinal
17796,,29.0,other office equipment,brother
17797,,86.76,storage presentation materials,boise
17798,,15.92,storage presentation materials,black n ' red
17799,,,tripods,sunpak
17800,,25.88,shredders,bic
