record_id,prod_title,base_price
654,canon powershot sd890 is digital camera 2566b001,198.0
655,canon ef-s 55-250mm f/4 -5.6 is telephoto zoom lens 2044b002,232.98
656,samsung dvd hm theater sys 5 disc nic ht-z410 / xaa,235.14
657,"samsung ln52a550 52 ' widescreen 1080p lcd hdtv 30,000:1 dynamic contrast ratio 5ms response time piano black",1579.0
658,samsung ln46a550 46 ' lcd tv,1143.99
659,omnimount stellar g303 series 3 shelf component stand black g303 dark,299.95
660,samsung pn58a550 58 ' plasma tv,2294.9
661,canon eos rebel xsi digital slr camera with ef-s 18-55mm f/3 .5 -5.6 is lens silver 2757b003,649.88
662,canon eos rebel xsi digital slr camera with ef-s 18-55mm f/3 .5 -5.6 is lens black 2756b003,649.88
663,samsung 4 series ln37a450 37 ' lcd tv,796.82
664,toshiba sd-p71s portable dvd player,119.36
665,toshiba sd-p91s portable dvd player,164.72
666,samsung ln40a650 40 ' lcd tv,1279.98
667,samsung 5 series ln37a550 37 ' lcd tv,944.0
668,samsung pn50a550 50 ' plasma tv,1499.98
669,sony 8gb memory stick pro duo card msmt8g,49.85
670,sony 1gb memory stick pro duo card msmt1g,13.41
671,sony 4gb memory stick pro duo card msmt4g,26.92
672,sony 2gb memory stick pro duo card msmt2g,15.99
673,yamaha rx-v663 home theater receiver rxv663bl,499.0
674,"handycam hdr-ux10 dvd camcorder ( 15x opt , 180x dig , 2.7 ' lcd ) hdrux10",768.24
675,samsung 4 series ln32a450 32 ' lcd tv,578.0
676,speck products seethru case for apple macbook air mba-pnk-see,
677,speck products seethru case for apple macbook air mba-clr-see,
678,logitech v450 nano cordless laser mouse for notebooks 910-000619,
679,tomtom one 130 carry bag 9uea .017.00,14.74
680,samsung 4 series ln26a450 26 ' lcd tv,549.0
681,coby electronics tf-tv1022 10.2 ' lcd tv tftv1022,119.99
682,logitech v470 cordless laser mouse for notebooks 910-000692,
683,"panasonic viera th-50pz800u 50 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio",1711.19
684,yamaha rx-v863 home theater receiver rxv863bl,649.99
685,tomtom one 130 s portable gps system w / preloaded maps 1ee0 .052.02,
686,samsung 4 series ln22a451 22 ' lcd tv,399.0
687,sharp lc26dv24u 26 ' tv/dvd combo,508.72
688,sanus visionmount lt25-b1 tilting wall mount,
689,wal-mt furn comp shlf vf2012-b1,
690,samsung 6 series hl56a650 56 ' projection tv,1079.96
691,samsung 6 series hl61a650 61 ' projection tv,1076.94
692,samsung htz410t home theater system htz410t,279.0
693,samsung ln19a450 19 ' lcd tv,348.0
694,samsung 6 series ln19a650 19 ' lcd tv,369.0
695,samsung 4 series ln22a450 22 ' lcd tv,397.77
696,samsung ln22a650 22 ' lcd tv,458.0
697,samsung ln32a550 32 ' lcd tv,849.0
698,"samsung pn42a450 42 ' widescreen 720p plasma hdtv 100,000:1 dynamic contrast ratio piano black pn42a450p",899.99
699,samsung ht-tz515 home theater system htz515/xaa,
700,techcraft abs60 tv stand,
701,sport neckband earbuds mdr as50g,32.71
702,bass lover earbuds slver mdred12lp/slv,10.99
703,ex series earbuds black mdr ex32lp/blk,15.65
704,bass lover earbuds red mdred12lp/red,10.99
705,ex series earbuds wht mdr ex55/whi,25.76
706,ex series earbuds pnk mdr ex55/pnk,23.58
707,ex series earbuds wht mdr ex32lp/whi,16.99
708,ex series earbuds black mdr ex55/blk,22.2
709,sony dvp-fx820 portable dvd player dvpfx820,158.72
710,sony pslx300usb usb record turntable,119.72
711,yamaha rx-v363 home theater receiver rxv363bl,199.0
712,apple wireless mighty mouse mb111ll/a,69.0
713,denon pro 5 cd carousel changer nic dcm290p,
714,samsung 7 series ln46a750 46 ' lcd tv ln46a750r1fxza,1537.77
715,griffin tunebuds stereo earset 9410-tunbmblb,19.53
716,panasonic sc-pt660 home theater system,
717,panasonic sc-pt760 home theater system,319.97
718,griffin smarttalk headphone adapter with control and mic for iphone 3016-smrtlkb,
719,samsung 6 series ln32a650 32 ' lcd tv,916.13
720,tomtom xl 330 portable gps system w / preloaded maps 1eg0 .052.00,
721,sony str-dg520 a/v receiver strdg520,164.51
722,sony str-dg720 a/v receiver strdg720,224.79
723,sony dvp-ns700h / b dvd player,
724,panasonic kx-tg6313s cordless phone,
725,samsung dvd-1080p8 dvd player,72.11
726,sharp air purifier 194 cfm max kc-c100u,
727,nikon coolpix p80 digital camera 26114,271.72
728,"samsung ln40a750 40 ' 1080p lcd hdtv 50,000:1 dynamic contrast ratio 4ms response time 120hz",1341.12
729,omnimount moda collection echo 50 tv stand echo 50,
730,onkyo txsr506 a/v receiver,227.72
731,"samsung ln52a750 52 ' 1080p lcd hdtv 50,000:1 dynamic contrast ratio 120hz 6ms response time",2148.99
732,sony cyber-shot dsc-h50 digital camera black dsch50b,329.0
733,samsung sc-d382 digital camcorder,128.96
734,samsung htx810t home theater system htx810t,580.14
735,kensington mini battery pack and charger for iphone and ipod k33442us,
736,canon eos rebel xsi digital slr camera silver 2757b001,
737,samsung dvd-v9800 dvd/vcr combo player w / 1080p up-conversion,85.06
738,boston acoustics horizon solo am/fm radio hsolomndt,90.0
739,alpine cda-9887 car audio player cda9887,295.0
740,pioneer dehp400ub car audio player,134.32
741,pioneer deh-p3000ib car audio player,92.72
742,yamaha yht-390bl home theater system yht-390bl,319.96
743,z-line designs zl23-44mu portland flat panel tv stand with integrated mount,254.37
744,"samsung hl-67a750 67 ' widescreen 1080p dlp hdtv 10,000:1 contrast ratio hl67a750",1729.98
745,nintendo ds lite ( metallic rose ) usgszpb,
746,"samsung pn50a650 50 ' 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio anti burn-in technology",1699.98
747,pioneer pdp-5020fd 50 ' plasma tv,2199.98
748,pioneer direct control cable cd-iu230v,41.44
749,pioneer cd-sb10 sirius interface cable cd-sb10,
750,pioneer deh-2000mp car audio player,84.0
751,pioneer gex-p10hd hd radio add-on tuner for select in-dash pioneer receivers,
752,pioneer pdp-6020fd 60 ' plasma tv,
753,sony dvp-nc800h / b dvd player,
754,alpine mrp-f300 car amplifier,
755,pioneer dehp500ub car audio player,153.64
756,corded telephone keypad single line operation lcd display caller id ; cal kx-ts620w,
757,corded telephone keypad single-line operation 2-way lcd display black kx-ts620b,
758,panasonic sc-bt100 home theater system sc-bt100p-k,
759,panasonic sc-pt960 home theater system,349.99
760,sony bravia dav-hdx275 home theater system,
761,sony bravia dav-hdx279wc home theater system,318.01
762,sony dvp-fx820 / l portable dvd player dvpfx820/l,131.54
763,sony dvp-fx820 / r portable dvd player dvpfx820/r,159.94
764,sony dvp-ns700h / s dvd player dvpns700hs,111.68
765,lg 22 cu.ft . total capacity,
766,lg 22.6 cu.ft . total capacity,
767,lg 25.0 cu.ft . total capacity,
768,lg 25.0 cu.ft . total capacity,
769,lg 25.0 cu.ft . total capacity,
770,lg 25.0 cu.ft . total capacity,
771,lg 25 cu . ft. ice & water dispensing,
772,lg 24.7 cu . ft. stainless steel french door bottom mount refrigerator,
773,lg 25 cf refrigerator 3 door white tall,
774,lg 25 cu.ft . total capacity 4 door refrigerator,
775,lg ldf6920bb fully integrated dishwasher,
776,"lg ldf6920st fully integrated dishwasher with 5 wash cycles , 3 spray arms , senseclean system , delay start , food disposer and self-clean filter : stainless steel",
777,lg dishwasher,
778,lg semi-integrated electronic panel with digital status display,
779,lg semi-integrated electronic panel with digital status display dishwasher,
780,lg 1.6 cu.ft . over the range microwave,
781,lg 1.6 cu.ft . over the range,
782,lg 5.6 cu.ft . freestanding electric range,
783,lg 5.6 cu.ft . freestanding electric range,
784,lg 5.6 cu.ft . freestanding electric range,
785,lg 5.6 cu.ft . freestanding electric range,
786,lg 5.6 cu.ft . freestanding electric range,
787,lg 5.0 cu.ft . freestanding gas range,
788,lg 5.0 cu.ft . freestanding gas range,
789,lg 5.0 cu.ft . freestanding gas range,
790,canon psc-85 soft camera case 2595b002,8.77
791,sony cyber-shot dsc-w150 digital camera gold dscw150n,129.99
792,sony cyber-shot dsc-w150 digital camera red dscw150r,139.94
793,sony cyber-shot dsc-w170 digital camera red dscw170r,169.0
794,sling ii laptop case 21 inch 4.5 inch 14.5 inch 2221,
795,sling i laptop case 18 inch 4.5 inch 13 inch 2211,59.95
796,denon dht-fs3 2-piece home theater audio system,
797,denon dht-fs5 surround sound speaker system,
798,1.6 cu.ft . over the range microwave,
799,lg 2.0 cu.ft . over the range microwave oven,
800,lg 2.0 cu.ft . over the range microwave oven,
801,lg 2.0 cu.ft . over the range microwave oven,
802,logitech quickcam vision pro webcam 960-000254,
803,pure digital flip mino digital camcorder f360b,
804,pure digital flip mino digital camcorder f360w,
805,"samsung hl72a650 72 ' widescreen 1080p dlp hdtv 2,500:1 contrast ratio",2188.7
806,boston acoustics horizon duo-i am/fm stereo radio hduoimdnt,135.52
807,samsung yp-s2zw 1gb flash mp3 player yp-s2zw / xaa,29.67
808,samsung yp-s2zw 1gb flash mp3 player yp-s2zg / xaa,29.67
809,onkyo cs-325 stereo cd receiver mini audio system,238.72
810,canon selphy cp760 dye sublimation printer 2565b001,90.1
811,maytag mmv4205baq over-the-range microwave,
812,maytag 2.0 cu . ft. over-the-range microwave oven,
813,linksys wrt610n simultaneous dual-n band wireless router,
814,speck products seethru case for apple 13 ' macbook mb13-blk-see-v2,
815,speck products seethru case for apple 15 ' macbook pro mb15-clr-see-v2,
816,speck products seethru case for apple 15 ' macbook pro mb15-pnk-see-v2,
817,speck products seethru case for apple 13 ' macbook mb13-clr-see-v2,
818,speck products seethru case for apple 13 ' macbook mb13-red-see-v2,
819,speck products seethru case for apple 13 ' macbook mb13-blu-see-v2,
820,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,
821,speck products seethru case for apple 13 ' macbook mb13-grn-see-v2,
822,speck products seethru case for apple 15 ' macbook pro mb15-blu-see-v2,34.74
823,speck products seethru case for apple 13 ' macbook mb13-org-see-v2,
824,speck products seethru case for apple 13 ' macbook mb13-aqu-see-v2,
825,speck products seethru case for apple 15 ' macbook pro mb15-grn-see-v2,
826,speck products seethru case for apple 15 ' macbook pro mb15-org-see-v2,
827,speck products seethru case for apple 15 ' macbook pro mb15-pur-see-v2,31.97
828,bracketron low-pro windshield mount swm-400-bl,
829,ge 24746 futura ( tm ) indoor hdtv antenna,29.72
830,blueant wireless z9i bluetooth headset black us-091010,59.99
831,sony ht-ddwg700 home theater system htddwg700,206.96
832,sony rdr-vx560 dvd/vcr combo,176.08
833,transcend 4gb microsdhc card ( class 6 ) ts4gusdhc6,6.85
834,sony bravia m series kdl-26m4000 26 ' lcd tv kdl26m4000,538.72
835,samsung bdp-1500 blu-ray dvd player bdp1500,218.2
836,lg 37lg50 37 ' widescreen 1080p lcd hdtv 15000:1 dynamic contrast ratio 5ms response time,
837,onkyo txsr606 a/v receiver,399.95
