sku_id,product_description,pricing,product_nm
216,"kenwood kca-ip300v ipod video direct cable kcaip300v ipod video direct cable for dnx7100 , ddx7019 and kvt719dvd indash monitors",49.99,kenwood kca-ip300v ipod video direct cable kcaip300v
217,sony scph-98046 playstation 3 blu-ray dvd remote control 711719804604 full access to the playstation 3 systems disc features can be used without having to point directly at the system,24.99,sony scph-98046 playstation 3 blu-ray dvd remote control 711719804604
218,tripp-lite pv375 powerverter 375-watt ultra-compact inverter pv375 12v dc input 120v ac output 2 outlets 375 watts continuous output 600 watts peak output convenient cigarette lighter plug,49.0,tripp-lite pv375 powerverter 375-watt ultra-compact inverter pv375
219,sirius fmda25 wired fm modulation relay fmda25 2 ft fm antenna cable 19 ft 4 in mini-jack cable,20.0,sirius fmda25 wired fm modulation relay fmda25
220,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss granitegrey interior idry intelligent saharadry system silentdesign sound insulation package 12 easy clean electronic touchpads digital display 5-level precision direct wash system with aquasurge and variable washing pressure smart soil sensor stainless steel finish,,frigidaire professional 24 ' pld4555rfc built-in stainless steel dishwasher pld4555ss
221,lg dlg0452w white xl capacity gas dryer dlg0452wh 7.3 cu . ft. capacity 9 drying programs 5 temperature levels precise temperature control with a variable heat source drying rack upfront electronic control with dial-a-cycle large chrome rimmed door with clear glass porcelain top white finish,,lg dlg0452w white xl capacity gas dryer dlg0452wh
222,lg wm0642hw white rear control washer wm0642hwh 4.0 cu . ft. capacity 7 washing programs 6 temperature levels rollerjets and forced water circulation upfront electronic control panel with dial-a-cycle lodecibel quiet operation senseclean system white finish,,lg wm0642hw 4.0 cu ft white rear control washer wm0642hwh
223,electrolux oxygen 3 canister hepa h12 filter el012a retains 99.5 % of dust and other irritants 1 filter per package,19.99,electrolux oxygen 3 canister hepa h12 filter el012a
224,fellowes confetti cut shredder w11c shreds up to 11 sheets per pass safely shreds staples and credit cards 9 ' paper entry accepts any standard or legal size document safety interlock switch automatically powers off when shredder head is lifted,79.0,fellowes confetti cut shredder w11c
225,"sony lcs-csj black soft carrying case lcscsj compatible with s , w , t , and n series digital cameras durable nylon construction convenient front pocket black finish",,sony lcs-csj black soft carrying case lcscsj
226,"sony lcs-csq/b black soft carrying case lcscsqb compatible with t , w and n series cameras durable nylon construction perfect for travel black finish",,sony lcs-csq/b black soft carrying case lcscsqb
