product_id,manufact,sale_price,title_desc
0,broderbund,,clickart 950 000 premier image pack ( dvd-rom )
1,computer associates,,ca international arcserve lap/desktop oem 30pk
2,victory multimedia,,noah 's ark activity center ( jewel case ages 3-8 )
3,sage software,599.99,peachtree by sage premium accounting for nonprofits 2007
4,carry-a-tune technologies,99.99,singing coach unlimited
5,dantz,,emc retrospect 7.5 disk to disk windows
6,adobe,499.99,adobe after effects professional 6.5 upgrade from standard to professional
7,nuance academic,399.54,acad upgrade dragon naturallyspeaking pro solution 9.0 ( a289a-fd7-9 .0 )
8,kutoka,19.99,mia 's math adventure : just in time
9,disney,14.99,disney 's 1st & 2nd grade bundle ( pixar 1st grade secret keys and aladdin reading quest )
10,arc-media-inc .,,paper art : gift wrapping
11,hummingbird communications,309.56,nfs maestro solo 2006 1u
12,microsoft,1849.0,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client
13,webroot software,29.95,spy sweeper spanish
14,lotus development,95.0,domino designer/developer v5 .0
15,csdc,69.95,omnioutliner professional 3.0
16,compaq computer,,compaq comp . secure path v3.0c-netware wrkgrp 50 lic 231327-b22 )
17,sonic-systems-inc .,,upg sgms 1000 incremental node
18,topics entertainment,19.99,the human body
19,school-zone-interactive,,school zone pencil-pal software big phonics ( cd-rom & book )
20,ibm - ( aap-misc-parts ),,millie 's math house ages 3-7 ( win/mac )
21,topics entertainment,19.99,world book encyclopedia 2006
22,global-software-publishing,9.99,musicalis guitar workshop
23,broderbund,69.99,the printshop 20 professional publisher
24,stomp inc,69.99,data protection suite
25,topics entertainment,19.99,kids power fun for girls
26,adobe,299.0,adobe premiere pro cs3 upgrade
27,me-too-software,69.99,i copy dvds 2 professional edition
28,gen-x,49.95,gen-x media made easy vol . 3
29,encore,109.95,family tree maker 11.2 collector 's edition
30,adobe,299.0,adobe fireworks cs3 [ mac ]
31,topics entertainment,19.99,dinosaurs
32,topics entertainment,19.99,instant home design 3.0 [ lb ]
33,x-oom,,x-oom internet movies 2
34,valusoft,29.99,form workshop 1200
35,encore,99.99,the print shop pro publisher 22 deluxe [ dvd ]
36,stomp inc,39.95,stomp inc recover lost data 2005
37,dorling-kindersley-multimedia - ( dk ),29.95,my first bible stories
38,aladdin,59.99,the big mix ( mac )
39,x-oom,,x-oom movie clone 3 gold
40,encore,49.99,the print shop 22 deluxe
41,imsi,39.99,imsi turbocad designer v. 11
42,tri synergy,29.99,lavasoft ad-aware plus edition
43,imsi design,,clip art and more 250 000 ( jewel case )
44,topics entertainment,,instant immersion language lab deluxe edition
45,topics entertainment,49.99,elementary school success deluxe 2006
46,topics entertainment,29.99,national geographic presents : redshift planetarium
47,topics entertainment,49.99,math success deluxe 2006
48,topics entertainment,29.99,national geographic presents : forces of nature
49,topics entertainment,49.95,reference success deluxe 2006
50,scholastic,9.99,clifford the big red dog thinking adventures
51,valusoft,14.99,mastercook deluxe low carb
52,topics entertainment,9.99,instant home design ( jewel case )
53,boomerang,,boomerang webshop platinum
54,smith-micro-software,29.99,allume boost xp for windows
55,knowledge adventure,9.99,jumpstart learning games phonics ( pc & mac )
56,topics entertainment,19.99,kids power fun for little ones
57,topics entertainment,19.99,museums of the world
58,thq,19.99,matchbox cross-town heroes
59,global-software-publishing,29.99,studyworks ! teaching pro : middle school math & science ( win/mac )
60,ibm,,trudy 's time and place house ages 3-6
61,smith-micro-software,29.99,personal image manager
62,stomp inc,,stomp inc drive washer
63,x-oom,,movies on psp
64,topics entertainment,19.99,kids power fun for kids
65,sierra on-line,,custom landdesigner 3d design 7.0
66,humongous entertainment,29.95,freddi fish 2 : the haunted schoolhouse
67,netgear,89.99,netgear vpn01l vpn client software
68,microsoft,,mom standard ops mgmt lic 2005 english mlp 5 oml
69,eastwest,199.95,eastwest bsendorfer 290 grand piano virtual instrument
70,diskeeper corporation,200.0,diskeepeer 2007 admin upgrade sngl lic pack
71,datawatch,699.0,monarch v9 .0 1u .
72,encore software,9.99,midway arcade treasures ( jewel case )
73,topics entertainment,4.99,snap ! 10 000 drink recipies ( jewel case )
74,apple,499.0,mac os x server v10 .4.7 10-client
75,epson,29.99,epson storyteller photo book creator 8 x 10 ( 20 pages )
76,adobe,299.99,adobe acrobat capture 3.0 22101258 )
77,macsoft,19.99,age of mythology ( mac )
78,emedia,59.99,emedia intermediate guitar method os x
79,computer associates,69.95,ca internet security suite 2007 3 user
80,topics entertainment,9.99,kaplan sat/act/psat express
81,dataviz,29.99,passwords plus 1.0
82,emedia,19.95,emedia essential bass guitar
83,got game,19.99,scratches : directors cut
84,csdc,39.95,x3 : reunion virtual programming ltd.
85,write brothers,269.99,write brothers dramatica pro win/mac
86,emedia,59.99,emedia bass method win/mac
87,microsoft licenses,3601.4,microsoft licenses project svr sa govt ( h2200301 )
88,total training,299.99,total training for adobe creative suite 3 : design premium bundle
89,sony-creative-software,19.95,everquest : titanium
90,dantz,,emc retrospect 7.5 professional for windows upgrade
91,iris,199.99,iriscard pro business card scanner
92,absolute software,119.99,computrace lojack for laptops 4 year subscription
93,microsoft,159.98,microsoft office frontpage 2003 academic version windows )
94,red-orb-entertainment,,warlords 3 ( jewel case )
95,autodesk psg,47.95,autocad 2007 courseware customizing the interface
96,sonicwall,,sonicwall internet upgrade ( 50-node )
97,eagle games,20.99,tournament poker 2005
98,encore software,19.99,cold zero : no mercy
99,sos-aggregation-company,39.99,listen for ipod magnetic time
100,nuance communications inc. .,,textbridge pro 11 5u license xp
101,macsoft,19.99,atari arcade classics ( mac )
102,avanquest software,39.95,myinvoices & estimates deluxe
103,viva media,19.99,my sim aquarium
104,destineer,24.99,scrabble
105,topics entertainment,,instant immersion spanish ( audio book )
106,cisco-systems-enterprise,,cisco security server agent for windows and solaris license 100 agents win solaris csa-b100-srvr-k9 )
107,adobe,242.62,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 )
108,digital praise,19.99,buzby breakin ' all the rules hermie and friends
109,topics entertainment,29.99,instant immersion french 2.0
110,hewlett packard,,hp digital sending secure license 50 users std
111,topics entertainment,39.99,instant play electric guitar deluxe
112,fogware publishing,9.99,foreign policy & reform ( win/mac ) ( jewel case )
113,microsoft licenses,3371.85,microsoft licenses win svr 2003 ext conn lic ( r3900292 )
114,intuit inc.,1399.95,quickbooks pos : pro multistore 6.0
115,avanquest,29.95,encyclopedia britannica deluxe 2008 win/mac
116,dvo enterprises,19.99,cook 'n vegetarian
117,activision,19.99,hidden expedition : titanic
118,business objects,495.0,crystal reports xi professional edition
119,nova development,,sierra hallmark card studio special edition windows )
120,atari,19.99,crusader kings
121,microsoft licenses,42166.22,microsoft licenses exch . srvr extrn conn sa eng ( 39400416 )
122,watchguard-technologies-inc,14995.0,watchguard serverlock manager ( 100 servers )
123,novastor corporation,,master server-upg
124,encore,19.99,tlc dr. seuss reading learning system 2008
125,compaq computer,,compaq comp . rapid deployment pk-flexible lic kit 302127-b21 )
126,oxford-university-press,19.95,oxford spanish dictionary
127,pantone inc.,1623.06,pantone reference library
128,hewlett packard,,procurve vpn client software unlimited client licenses
129,tri synergy,19.99,oxford spanish dictionary
130,microsoft licenses,101515.55,microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 )
131,microspot ltd.,99.95,microspot interiors
132,dantz,,upgrade emc retrospect 7.5 multi server windows only
133,adaptec,,snap enterprise data replicator advanced license for 10000 series
134,global marketing,394.6,employee appraiser 5.0 deluxe mailer
135,microsoft software,9980.0,microsoft crm professional cal 3.0 product upgrade license pack user cal
136,adobe,3609.98,upgrade robohelp server 6 win ue 1u
137,netmanage,,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 )
138,sonicwall,,sonicwall gms standard edition 10 node license
139,adobe,1599.0,adobe creative suite cs3 design premium upsell [ mac ]
140,dantz,59.99,retrospect 6.0 desktop mac upgrade
141,hummingbird communications,650.0,exceed 2007 with 1yr mnt 1u
142,computer associates,,ca brightstor arcserve backup r11 .1 for netware tape library option service pack
143,adobe systems,,adobe acrobat distiller svr v6-cd linux u/u 42050142 )
144,veritas,695.0,backup exec netware open file v9 .2 e/g full package product
145,microsoft,249.99,microsoft virtual pc for mac 7.0 with windows 2000
146,microsoft,299.0,microsoft mappoint 2006 standard edition
147,red hat software,,red hat entprse linux as 3 amd rhf0211us )
148,computer associates,,ca arcserve bkup r11 .1 / nw stor area netw ( san ) opt prod only
149,cabletron systems,1928.07,enterasys vpn & firewall code upgrade xsr-18xx-vpn-fw )
150,primavera systems,499.0,suretrak project manager 3.0
151,fujitsu imaging,,vrs4 .0 plus scsi workgroup scanning 5 & 6
152,nuance-communications-inc .,49.99,pdf create ! 4.0 retail
153,hummingbird communications,,upgrade 3d for exceed 2007 1u
154,cisco systems enterprise,2814.33,cisco 3745 ser ios ent cd374-esk9 = )
155,microsoft,,softgrid cal for ts 4.1 english mlp 20 user cal
156,aec software,304.99,details 3.0
157,adobe systems inc,,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 )
158,nova development,49.99,photo objects 150 000 for macintosh
159,hewlett packard,,insight pwr mgr no media 1ltu
160,informatics,,fontware pro +
161,strategy first,29.99,gods : lands of infinity special edition
162,global-marketing-partners,89.99,icopydvds2 ultra by digital wunders
163,nova development,12.99,hallmark blank greeting cards half-fold matte premium 20 count
164,valusoft,9.99,sea scene : living underwater worlds ( jewel case )
165,hewlett packard,,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 )
166,equilibrium,599.99,equilibrium debabelizer pro 6.0 1 user
167,prosoft engineering,74.99,prosoft tunetech for ipod ( mac )
168,autodesk,,autodesk discreet combustion 4 windows )
169,phantom efx,19.99,reel deal casino quest
170,fluke networks,5750.6,espro + interpretair s/w
171,microsoft licenses,349.83,microsoft licenses word mac 10.0 eng govt ( d4800369 )
172,computer associates,,ca arcserve bkup r11 .5 win agent mac os x upgrade prod only
173,netmanage,,netmanage rumba web to host as400 ed v4 .2 910620-000 )
174,ca oem,,1pk internet sec ste 2007 oem
