item_key,prod_company,cost,item_description
272,adobe,349.0,adobe audition 2.0
273,intuit,39.95,quickbooks credit card processing kit 3.0
274,topics entertainment,29.99,instant immersion italian 2.0
275,arcmedia,9.99,easy drums ( jewel case )
276,topics entertainment,49.99,instant immersion 33 languages
277,learning company,49.95,super solvers spellbound ! ! school edition for mac
278,topics entertainment,19.95,snap ! 1 001 letters ( jewel case )
279,broderbund,29.99,the printshop 20
280,eidos interactive,39.95,startopia
281,selectmedia entertainment,19.95,easy home massage dvd
282,topics entertainment,49.99,elementary success deluxe 2006 ( dw dvd )
283,atari,9.99,tonka town ( jewel case )
284,sibelius-software-ltd .,329.0,sibelius 5 educational edition
285,fogware publishing,19.99,weekly reader preparing for kindergarten
286,mysoftware company,19.95,my maillist & addressbook
287,sibelius-software-ltd .,599.0,sibelius 5 professional edition
288,infogrames,,tonka search & rescue 2
289,sony-pictures-digital-entertainment,249.95,professional training for vegas 7 and dvd architect 4 sw
290,eurotalk interactive,29.95,talk now ! learn dutch
291,selectsoft publishing,19.95,wacky bird hunter
292,namco video games,19.99,namco museum 50th anniversary collection
293,learning company,149.95,treasure galaxy 5-user lab pack for mac
294,dk,9.99,dk rainbow fish most beautiful fish
295,encore software,19.95,madeline rainy day activities
296,edmark,29.95,mighty math number heroes
297,selectsoft publishing,24.95,superstart ! science arcade
298,topics entertainment,29.95,state standards grade 6
299,casual arcade,19.95,wacky farm
300,vivendi games,19.99,police quest compilation
301,encore software,39.99,broderbund printmaster platinum 16.0
302,atari,9.99,encyclopedia britannica profiles : dinosaurs ( jewel case )
303,activision,29.95,real arcade : adventure inlay
304,knowledge adventure,,fisher-price rescue heroes : lava landslide
305,hasbro interactive,29.95,tonka raceway xp compatible ( jewel case )
306,selectsoft publishing,19.95,quickstart photo montage studio
307,atari,19.99,season ticket football 2003
308,intego,329.95,virusbarrier x4 10.4 for mac-10 users
309,encore,69.95,family tree maker version 16 deluxe
310,imsi design,29.99,instant architect design suite
311,axis-communication-inc .,,axis network camera 213 ptz digital video camera 0220-004 )
312,symantec,39.99,norton antivirus 2007
313,humongous sports,,backyard soccer ( mls edition )
314,allume systems,19.95,zipmagic personal edition
315,learning company,399.95,super solvers mission t.h.i.n.k 25 user site license
316,global-marketing-partners,79.99,f-secure internet security 2007 3 pcs
317,disney interactive,9.99,disney 2nd grade active leveling advantage w buzz ( jewel case ) ages 6-8
318,valusoft,19.99,ultimate puzzle games
319,fogware publishing,9.99,poetry fiction and drama ( win/mac ) ( jewel case )
320,intuit,79.95,quicken 2007 premier
321,csdc,149.0,route 66 mobile 7 usa/cdn for windows mobile 5
322,adobe,849.0,adobe premiere pro 2.0
323,fogware publishing,9.99,geometry ( win/mac ) ( jewel case )
324,the-learning-company,29.99,reader rabbit preschool
325,m-and-r-technologies,9.99,cross stitch design studio ( jewel case )
