identifier,prod_company,cost,item_name
544,microsoft,199.0,microsoft windows xp home edition full version with sp2
545,microsoft,49.95,microsoft flight simulator x deluxe dvd
546,adobe,149.99,adobe photoshop elements 5.0 premiere elements 3.0 bundle
547,microsoft,109.95,microsoft outlook 2007
548,intuit,199.95,quickbooks pro 2007 small business financial software
549,adobe,1514.99,adobe acrobat capture 100 000 page pack
550,microsoft,329.95,windows vista business spanish full version [ dvd ]
551,symantec,447.74,symc backup exec sbs aws 11d win sbs agent for windows systems
552,corel,39.99,corel snapfire plus [ ignite photo fun ]
553,adobe,199.0,adobe indesign cs3 upgrade from pagemaker
554,topics entertainment,39.99,instant immersion german deluxe 2.0
555,encore software,9.99,scooby doo glowing bug man ( jewel case )
556,topics entertainment,49.99,instant immersion italian deluxe 2.0
557,adobe,1699.0,adobe creative suite cs3 production premium
558,topics entertainment,29.99,instant immersion spanish 2.0
559,adobe,399.0,adobe dreamweaver cs3 [ mac ]
560,symantec,769.49,symc backup exec aofo 11d win advanced open file option
561,intuit,29.95,quicken 2007 basic
562,adobe,199.0,adobe dreamweaver cs3 upgrade [ mac ]
563,adobe,2171.7,macromedia director 10 mx 2004
564,h & r block,19.99,h & r block taxcut 2006 premium federal
565,adobe,1599.0,adobe creative suite cs3 web premium [ mac ]
566,apple,99.0,apple garageband jam pack : symphony orchestra
567,h & r block,79.99,h & r block taxcut 2006 home & business + state
568,adobe,908.69,dv rack 2 win retail ue1u
569,microsoft,11318.25,exchange svr ent 2007 x64 eng dvd 25 clt
570,individual software,19.99,professor teaches windows xp
571,microsoft,129.95,microsoft visio standard 2007 version upgrade
572,adobe,199.0,adobe dreamweaver cs3 upgrade
573,corel,179.0,coreldraw graphics suite x3 upgrade
574,microsoft,349.0,microsoft mappoint 2006 with gps
575,disney interactive,9.99,millionaire sports edition ( jewel case )
576,the learning company,24.99,cluefinders 3rd grade adventures : mystery of mathra
577,intuit,89.95,quicken 2007 home & business
578,microsoft,229.95,microsoft office excel 2007
579,h & r block,59.99,h & r block taxcut 2006 premium federal + state + efile
580,intuit,1499.95,quickbooks premier edition 2007 5 user multi-pack
581,encore,9.99,hoyle board games
582,apple,99.0,apple garageband jam pack : remix tools
583,roxio,49.95,roxio popcorn 2 ( mac )
584,microsoft,299.95,microsoft windows vista business full version [ dvd ]
585,corel,69.99,intervideo windvd 8 platinum
586,intuit,399.95,quickbooks premier professional services edition 2007
587,microsoft,109.95,microsoft word 2007 version upgrade
588,adobe,1199.0,adobe creative suite cs3 design standard [ mac ]
589,intuit,59.95,quicken 2007 deluxe
590,apple,99.0,apple garageband jam pack : world music
591,apple,99.0,apple iwork '06 family pack ( mac dvd ) [ older version ]
592,adobe,299.0,adobe after effects cs3 upgrade
593,adobe,199.0,adobe indesign cs3 upgrade [ mac ]
594,corel,399.99,corel wordperfect office x3 professional edition
595,adobe,1657.06,flash remoting 1 alp ret eng cd 1u
596,vivendi universal,19.99,swat 4 : special weapons and tactics
597,adobe,1799.0,adobe creative suite cs3 design premium [ mac ]
598,adobe,138.45,adobe pagemaker v7 .0.2 cd mac-upg 17530402 )
599,topics entertainment,49.99,instant immersion french deluxe 2.0
600,apple,179.95,apple . mac 4.0 online service family pack
601,knowledge adventure,19.99,jumpstart kindergarten
602,adobe,399.0,adobe creative suite cs3 design standard upgrade [ mac ]
603,apple,299.0,apple aperture 1.5
604,microsoft,449.95,microsoft office small business 2007 full version
605,microsoft,229.99,microsoft word 2004 ( mac )
606,microsoft,499.99,microsoft office 2004 professional ( mac )
607,encore software,49.99,broderbund print shop 21 deluxe
608,adobe,499.0,adobe creative suite cs3 web premium upgrade [ mac ]
609,intuit,69.95,quicken 2007 for mac
610,broderbund,39.99,mavis beacon teaches typing deluxe 16
611,intuit,399.95,quickbooks premier manufacturer and wholesale edition 2007
612,corel,699.0,corel ventura 10 dvd
613,scholastic,19.99,math missions : the amazing arcade adventure grades 3-5
614,microsoft,99.0,microsoft works suite 2006
615,adobe,399.0,adobe creative suite cs3 design standard upgrade
616,microsoft,99.95,microsoft windows vista home basic upgrade [ dvd ]
617,symantec,69.95,norton antivirus mac 10.0 ( mac )
618,panicware,29.99,pop-up stopper professional
619,nova development,,ideasoft photo clip art 10 000
620,adobe,799.0,adobe premiere pro cs3
621,entertainment partners,699.0,entertainment partners budgeting ( mac )
622,emedia,59.99,emedia intermediate guitar method win/mac
623,mumbo jumbo,19.99,super collapse 3
624,netopia,199.99,timbuktu remote control softwre 2 licenses for windows & mac
625,apple,499.0,apple final cut studio 2 upgrade from final cut studio ( mac )
626,steinberg,374.99,steinberg halion symphonic orchestra virtual instrument ( academic version )
627,the learning company,9.99,reader rabbit kindergarten version 1.1
628,delorme,49.95,delorme topo usa mapping software 6.0 west region
629,chronos,29.99,soho labels & envelopes chronos l.c.
630,roxio,47.33,stopzilla 4.0
631,h & r block,39.99,h & r block taxcut 2006 premium federal + state with usb 256m flashdrive
632,microsoft,299.99,microsoft windows xp professional full version with sp2
633,masque,,sportsman 's double play
634,phase one,499.0,phase one capture one pro win/mac
635,encore,29.95,family tree maker version 16 essentials
636,encore software,39.99,mavis beacon teaches typing deluxe v17
637,united developers,,mah jong quest
638,apple,699.0,apple final cut studio 2 upgrade from final cut pro ( mac )
639,solidworks corporation,39.99,cosmic blobs : lab rat edition ( win & mac )
640,alsoft,,alsoft diskwarrior : mac univeral binary
641,aspyr media,34.99,sims 2 nightlife expansion pack
642,adobe,699.0,adobe flash pro cs3 [ mac ]
643,git corp,49.99,40 years of the avengers
644,microspot ltd.,99.95,microspot macdraft pe ( mac )
645,microsoft,219.99,microsoft virtual pc for mac 7.0 with windows xp home
646,topics entertainment,,instant immersion german audio
647,iris,499.95,readiris pro 11 corporate edition ( mac )
648,intego inc,,internet security barrier x4 antispam edition
649,mcafee,99.99,mcafee total protection 2007 3 users
650,symantec,349.0,symantec gateway security 300 series 10 10224341 )
651,abacus software,29.95,vuvideo anywhere for your ipod
652,findex,59.95,quickverse mac bible study 2007 white box
653,encore,29.99,3d home architect home design deluxe version 9
654,adobe,273.0,acrobat professional 8 ( windows )
655,fogware publishing,29.99,art ( dvd ) ( pc & mac )
656,dreamcatcher interactive,29.99,wanted : a wild western adventure
657,emedia music,,emedia guitar basics
658,ingram micro,69.99,webexpress
659,csdc,9.99,more brain games
660,abacus,39.95,usa/world extreme landscapes bundle
661,adobe,399.0,adobe cs3 design standard macosx dvd
662,microsoft,669.0,microsoft windows terminal server 2003 client additional license for users - 5 user
663,mediafour corporation,49.95,macdrive 7
664,topics entertainment,4.99,snap ! hair styler studio
665,sony-media-software,24.95,photo go
666,viva media,19.99,riding academy : jump & ride
667,freeverse software,29.99,toysight gold for isight : includes 15 games ( mac )
668,feral interactive,19.99,ford racing 2 ( mac )
669,encore software,19.99,printmaster gold v 17.0
670,jungle software,299.0,gorilla 4 standard
671,sega-of-america-inc .,19.99,sonic mega collection plus
672,topics entertainment,19.99,scholastic brain play : pre-kindergarten 1st grade
673,re : launch,109.95,bryce 6
674,school zone,12.99,school zone flash action addition/subtraction ( windows/macintosh )
675,nova development,79.99,art explosion 600 000 images
676,adobe,299.0,lightroom 1 mlp retail ue 1u
677,microsoft,70.0,mcsa/mcse self-paced training kit ( exams 70-292 & 70-296 ) upgrading your certi
678,topics entertainment,29.99,instant immersion german v2 .0 ( pc & mac )
679,navarre ( software ),59.95,x-plane deluxe including 7 double layer dvds ( mac )
680,susteen,79.99,datapilot cell phone data transfer suite universal
681,warner-new-media,29.99,hospital tycoon for pc
682,simply-put-software-llc,,mozy 3.0
683,encore,39.99,math advantage 2008
684,csdc,,route 66 route canada ( french )
685,aspyr media,34.99,the sims 2 : open for business expansion pack
686,aspyr media,29.99,lego star wars ( dvd ) ( mac )
687,grisoft,39.95,grisoft avg anti-virus & anti-spyware 2 year subscription
688,phase one,,phase one capture one le
689,encore software,,family tree maker version 16 collectors edition
690,aspyr media,34.99,sims 2 university expansion pack
691,global-software-publishing,9.99,dk amazing animals 1.1
692,yamaha,31.95,sunset boulevard
693,global-software-publishing,9.99,kakuro puzzle addict unlimited edition
694,eovia,,eovia carrara 5 pro
695,global software,,global software smart steps 1st grade windows macintosh )
696,on-hand-software,9.99,wild photo effects ( jewel case )
697,global software,,amazing animals with zoofari games ( win/mac )
698,smith-micro-software-inc .,49.99,morpheus photo animation suite
699,abacus,,scrapbook for windows
700,aspyr media,49.99,sims complete
701,topware interactive,19.99,airline tycoon deluxe
702,nova development,69.99,intellimover transfer your pc deluxe
703,global-software-publishing,9.99,dk exotic animals africa
704,csdc,,ilisten with headset microphone 1.7
705,punch ! software,99.95,professional home design suite platinum
706,blizzard entertainment,39.99,world of warcraft expansion : burning crusade
