record_id,source,retail_price,name
816,microsoft,10949.0,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd )
817,csdc,39.95,macjournal v4 ( mac )
818,canopus,99.0,canopus 77010158100 let 's edit
819,encore software,19.95,mavis beacon 17 standard
820,riverdeep,,riverdeep adventure workshop 4th-6th grade 8th edition
821,encore,19.99,adventure workshop preschool-1st grade 8th edition
822,e-b-c-marketing,19.99,sharks 2.0 ( pc & mac )
823,microsoft,109.99,microsoft word 2004 upgrade ( mac )
824,sony-pictures-home-entertainment,599.99,vegas 6 for pc
825,sony-pictures-digital-entertainment,599.95,sony vegas 6
826,motu,795.0,motu digital performer 5 digital audio software ( mac only )
827,m-audio,299.99,m-audio pro tools m-powered 7.3 m-audio compatible world-class production software
828,pinnacle,29.99,pinnacle mobile media converter
829,avid technology,888.75,avid liquid vs 7 software
830,corel,155.22,acad corel painter x pc/mac
831,global-software-publishing,9.99,rainbow fish and the whale ( win/mac )
832,global software,,global software smart steps 2nd grade windows macintosh )
833,punch ! software,99.0,punch ! viacad 2d/3d
834,sony media,722.0,vegas 7 + dvd/soundforge8bundl
835,handmark inc. .,,handmark oxford american desk dictionary and thesaurus
836,global-software-publishing,9.99,i love the usa
837,adobe,349.0,adobe photoshop cs3 extended upgrade [ mac ]
838,absolute software,99.95,computrace lojack for laptops 3 year license ( mac )
839,adobe,999.0,adobe photoshop cs3 extended
840,sony-pictures-digital-entertainment,49.35,digital video and audio production book for vegas 7 + dvd
841,pinnacle,251.55,studio movieboard plus pci hardware
842,fellowes,,10 outlet metal split surge
843,kensington,89.99,kensington contour pro 17 notebook carrying case ( 62340 )
844,now software,,now up-to-date & contact v5 .0 ( mac )
845,iplaymusic,49.99,iplaymusic beginner guitar lessons for the mac and ipod
846,sony-media-software,59.95,discrete drums : vol .1
847,d-link systems inc. .,,vpn client software 5 users
848,bling software,,safekeeper plus
849,hewlett packard,,hp c7130b color laserjet 5550 500-sheet input tray
850,kensington technology group,,kensington contour pro xbrace notebook carrying case ( 62236 )
851,punch ! software,99.0,punch ! professional home design platinum v10
852,sony-pictures-digital-entertainment,249.95,cinescore professional soundtrack edition
853,onone software,59.95,onone essentials for adobe photoshop elements
854,individual software,39.99,bookkeeper 2008
855,micromat,69.0,micromat podlock ( mac )
856,corel,,videostudio 11 plus
857,cakewalk,209.0,cakewalk sonar home studio 6 xl
858,microsoft,79.95,microsoft onenote 2007 upgrade
859,onone software,,onone software intellihance pro 4.1
860,apple computer,99.0,apple ilife '06 family pack ( mac dvd ) [ older version ]
861,riverdeep-learning-company,39.99,creating keepsakes scrapbook designer version 2 platinum
862,cakewalk,259.0,cakewalk project5 version 2
863,steinberg,,cubase se3 educational edition
864,school zone,14.95,vocabulary puzzles grade 1
865,cakewalk,139.0,cakewalk sonar home studio 6
866,avanquest,49.95,system care professional
867,punch ! software,29.0,punch ! ultimate deck and landscape
868,imagination-international-corp,,live bingo
869,business objects,479.78,upgrade crystal reports 11 pro french
870,century software,219.63,tiny term emulator v4 .3 x
871,apple,99.0,apple garageband jam pack : rhythm section
872,imagination international,17.99,bingo dvd tv game
873,intuit,1749.95,quickbooks point-of-sale pro with hardware bundle 6.0
874,sage software,1199.99,peachtree by sage premium accounting for manufacturing 2007 multi user ( up to 5 users )
