uid,retail_price,maker_company,prod_title
1088,,extensis,suitcase fusion 1u box
1089,129.99,e-mu,e-mu em8685 beat garden x emulator x2/proteus x2 soundset
1090,49.99,aspyr media,the sims 2 ( mac )
1091,199.99,apple,soundtrack 1.2
1092,49.99,aspyr media,call of duty 2 dvd-rom ( mac )
1093,99.99,apple computer,final cut express 2.0 upgrade
1094,71.31,detto-technologies-inc,detto move2mac usb
1095,38.89,allume,allume aquazone seven seas deluxe
1096,299.0,apple,apple remote desktop 2.2 10 client ( old version )
1097,39.95,webroot software,spy sweeper with antivirus/child safe
1098,49.99,aspyr media,rollercoaster tycoon 3 ( mac )
1099,39.99,webroot software,webroot spysweeper antispyware 3 user
1100,199.99,aladdin systems,poser 7 win 2000 xp mac os 10.4 & up
1101,499.99,steinberg,steinberg cubase studio 4
1102,19.99,destineer publishing,john deere : busy days in deerfield valley
1103,299.95,onone software,genuine fractals print pro 5 1u
1104,,fogware publishing,history ( dvd ) ( pc & mac )
1105,59.99,punch ! software,punch ! master landscape & home design
1106,299.0,zend-technologies-inc .,zend studio 5.1 ( win/mac )
1107,699.0,enfocus software,pitstop pro 7.0
1108,24.99,freeverse software,3d bridge deluxe ( mac )
1109,29.99,macsoft,halo ( mac )
1110,99.95,encore software,the print shop 22 pro publisher deluxe sb cs by the print shop
1111,1299.0,apple,apple final cut studio 2 ( mac )
1112,19.99,macsoft,railroad tycoon 3 ( mac )
1113,99.0,apple-computer - ( direct ),logic express 7.2 upgrade from logic express 6
1114,29.95,webroot software,webroot spy sweeper antispyware 5.x
1115,69.95,punch ! software,punch ! master landscape professional & home design v 10.0
1116,19.99,smith-micro-software,aquazone bass edition
1117,9.99,encore,dk rainbow fish most beautiful fish in the ocean
1118,1999.0,adobe,adobe creative suite cs3 master collection upsell
1119,299.0,apple,apple remote desktop 3 10 managed systems
1120,19.99,brighter-minds-media-inc .,caillou ready for school ( pc & mac )
1121,9.95,brighter-minds-media-inc .,totally spies : zombie jamboree ( win/mac )
1122,,apple,apple xsan ( mac )
1123,39.99,belight software,business card composer ( mac )
1124,69.99,makemusic !,emedia print music 2006 win/mac
1125,299.0,adobe,adobe solution expert support
1126,19.99,brighter-minds-media-inc .,totally spies : total swamp romp ( pc & mac )
1127,129.0,steinberg,steinberg sequel ( pc or mac ) music creation & performance software
1128,69.99,miraizon,miraizon cinematize 2 ( mac )
1129,99.0,bias,bias deck le 3.5 macintosh cd
1130,599.0,adobe,adobe cs3 design premium macosx dvd
1131,,power production,power production storyboard quick
1132,49.99,aspyr media,civilization iv dvd-rom ( mac )
1133,499.0,apple computer,apple shake 4.1 visual effects ( mac )
1134,49.99,marvel,comic book library
1135,,h & r block,taxcut home & bus + state + sage includes act 8.0 & peachtree 2007
1136,49.99,mediafour corporation,mediafour macdrive 6 for windows
1137,399.99,steinberg-media-technologies,wavelab studio 6
1138,39.99,laughing bird,net ad creator
1139,799.0,cakewalk,cakewalk sonar 6 producer ed
1140,2699.0,iomega,iomega nas 400e expansion chassis 1tb 1u
1141,79.0,apple,appleworks 6.2.9
1142,1083.95,adobe,adobe captivate 2.0
1143,79.0,crystalgraphics,crystal 3d impact ! pro 1.25 ( jewel case )
1144,39.99,iplaymusic,play music together mac
1145,399.99,microsoft,microsoft office 2004 standard ( mac )
1146,39.99,global-marketing-partners,swift publisher for mac
1147,39.99,destineer,zoo tycoon 2 ( mac )
1148,599.99,sibelius-software-ltd .,sibelius 4 professional edition
1149,24.99,freeverse software,burning monkey mahjongg ( mac )
1150,49.99,git corp,40 years of the x-men
1151,29.95,encore,pc tools spyware doctor 2007
1152,49.99,graphics-simulations-corporation,x-plane v8 ( mac )
1153,129.0,global-marketing-partners,drive genius by prosoft engineering inc
1154,600.0,emedia,finale 2006 ( pc & mac )
1155,39.95,navarre,istopmotion
1156,99.95,onone software,pro digital frame bundle 1u
1157,29.99,smith-micro-software,internet cleanup 4.0 mac os 10.4 or higher
1158,24.99,freeverse software,burning monkey solitaire 2005 edition
1159,99.99,neso usa,nero 7 ultra edition enhanced pc & home entrmnt soln
1160,129.0,apple computer,apple mac os x tiger 10.4.6 ( mac dvd )
1161,49.99,aladdin systems,faxstf pro mac os 10.3.9 or above
1162,395.0,motu,motu digital performer 5 digital audio software competitive upgrade ( mac only )
1163,49.99,aladdin systems,spring cleaning 9.0 for mac os 10.4 & above
1164,99.99,sibelius-software-ltd .,g7 kontakt edition
1165,34.99,chronos l.c.,chronos stickybrain 3.0 ( mac )
1166,369.0,cakewalk,cakewalk sonar 6 studio
1167,,micromat,micromat techtool protege with firewire device
1168,159.99,sibelius-software-ltd .,sibelius compass
1169,49.99,nova development,print explosion deluxe 3.0 ( mac )
1170,999.99,steinberg,steinberg cubase 4 digital audio software
1171,79.99,aladdin systems,stuffit deluxe 11
1172,35.57,symantec,symc ghost solution suite 2.0 media
1173,49.99,git corp,amazing spider-man complete comic book collection win/mac
1174,199.0,adobe,adobe indesign cs3 upgrade from pagemaker [ mac ]
1175,199.0,apple computer,apple mac os x tiger 10.4.6 family pack ( mac )
1176,29.95,valuesoft,valuesoft tune transfer for ipod software for windows xp
1177,149.99,microsoft,microsoft office student and teacher edition 2004 macintosh
1178,99.0,pg-music-inc .,band in a box 2007
1179,349.99,microspot ltd,microspot x-rip ( mac )
1180,129.0,bias,bias peak le 5
1181,39.99,laughing bird,the logo creator ( mac )
1182,,onone software,onone software pxl smartscale windows and macintosh )
1183,34.99,aspyr media,sims 2 pets expansion pack
1184,199.99,global marketing,iview mediapro 2.5
1185,29.99,encore,3d home architect landscape design deluxe version 9
1186,999.0,adobe,adobe creative suite cs3 web standard [ mac ]
1187,,encore software,clickart 1.2 million 2006 dvd
1188,,onone software,photoframe pro 3.0 1u
1189,29.99,nova development,pc tutor learn windows vista & office 2007
1190,89.99,punch ! software,punch ! professional home design
1191,24.99,aspyr media,sims 2 glamour life stuff pack
1192,59.99,mcafee,mcafee virusscan plus 3 user
1193,159.95,onone software,mask pro 4.0 1u
1194,99.95,roxio,roxio toast 8 titanium
1195,149.95,punch ! software,home design architect series 3000 v10 .0
1196,49.99,individual,individual small business advantage deluxe 2006
1197,350.0,emedia,finale 2007 academic ( win/mac )
1198,799.95,intuit,quickbooks point-of-sale basic 6.0
1199,199.0,adobe-education-box,dreamweaver cs3 9 mac ed 1u
1200,19.99,aspyr media,true crime streets of la ( mac )
1201,9.99,fogware publishing,learn english ( win/mac ) ( jewel case )
1202,19.99,brighter-minds-media-inc .,caillou magical adventures
1203,59.95,core learning,corefx three level
1204,29.99,fogware publishing,space ( dvd ) ( pc & mac )
1205,99.0,micromat,micromat diskstudio mac )
1206,49.99,intego,contentbarrier x4 10.4 single user ( mac )
1207,49.99,aladdin systems,stuffit deluxe 11
1208,19.99,valusoft,tune tools for ipod ( win/mac )
1209,14.99,school zone,flash action phonics made easy
1210,29.99,topics entertainment,kaplan sat/act/psat gold 2007 win/mac
1211,,enteractive inc. .,enteractive fps creator windows )
1212,49.99,topics entertainment,math success deluxe 2008
1213,139.43,microsoft,money home & business 2007 win32 eng na mini box us only cd
1214,9.99,school zone,multiplication and division grades 3-4
1215,99.95,microsoft,microsoft digital image suite 2006 plus pinnacle studio 10.0
1216,29.99,macware,macbackup
1217,9.99,aspyr media,stubbs the zombie in rebel without a pulse ( dvd ) ( mac )
1218,29.99,abacus,civil air patrol : search & rescue
1219,49.95,feral interactive,the movies ( mac )
1220,19.99,got game,atlantis quest
1221,69.99,corel,ulead videostudio 10
1222,49.99,ncsoft,guild wars nightfall
1223,149.95,mariner software,montage ( mac )
1224,24.95,navarre ( software ),giggles computer funtime for baby shapes ( win/mac )
1225,499.95,sony-pictures-digital-entertainment,sony acid pro 6 professional music workstation
1226,,sos-aggregation-company,calculation skills v1 add & sub basic core learning
1227,19.99,sony-media-software,sony super duper music looper
1228,29.99,viva media,learn to play chess with fritz and chesster ( mac )
1229,,software cinema,adobe photoshop cs2 advanced techniques by julieanne kost
1230,349.95,findex,quickverse mac bible study 2007 gold box
1231,1445.9,adobe,adobe framemaker 7.2 ( windows )
1232,399.96,sony media,sound forge 9.0
1233,19.95,topics entertainment,audio success suite edition : sales success
1234,299.99,apple,logic express 6
1235,69.0,adobe-education-box,photoshop elements 4 edu mac 1u
1236,149.99,cakewalk,pc cakewalk guitar tracks pro 3
1237,39.99,dvo enterprises,dvo cook 'n deluxe 6.0 ultimate recipe organizer
1238,69.59,sony media,sound forge audio studio 9
1239,19.99,groove media,close quarters conflict
1240,305.18,sony-pictures-digital-entertainment,upgrade acid pro 6 boxed
1241,79.99,nolo press,quicken legal business pro 2007
1242,499.99,sage software,peachtree by sage premium accounting 2007
1243,39.99,aspyr media,prey
1244,169.99,sage software,peachtree by sage pro accounting 2007
1245,9.99,global-software-publishing-north-america-inc,gsp greatest moments of our time
1246,269.99,sage software,peachtree by sage complete accounting 2007
1247,,topics entertainment,audio success series : winning strategies
1248,49.95,sony media,american idol extreme music creator
1249,29.95,navarre ( software ),window washer
1250,59.99,emedia,emedia piano and keyboard method volume 1
1251,449.99,adobe,adobe acrobat standard 8.0
1252,,software cinema,adobe photoshop cs2 fundamental techniques by julieanne kost
1253,19.99,phantom efx,reel deal casino shuffle master edition
1254,19.99,global-software-publishing,john deere : welcome to merriweather farm
1255,399.95,sony,sony acid pro 5
1256,19.99,2k games,galaxy of games 5000
1257,39.99,individual software,total 3d home & landscape design suite version 9
1258,129.99,punch ! software,punch ! home design architectura series 18
1259,99.99,encore,print shop 22 pro publisher deluxe
1260,39.95,navarre ( software ),hijack2
1261,29.99,corel,intervideo dvd copy 5 express
1262,199.0,adobe,adobe flash pro cs3 upgrade [ mac ]
1263,29.99,macware,photoedit 2 ( mac )
1264,69.99,punch ! software,punch ! professional home design suite
1265,29.99,dreamcatcher interactive,3 great games for guys
1266,69.99,sony-pictures-digital-entertainment,sony sound forge audio studio 8
1267,29.99,fogware publishing,places ( pc & mac )
1268,78.95,sony media,acid music studio 7
1269,39.99,punch ! software,punch 5 in 1 home design
1270,29.99,magix entertainment,xtreme photostory on cd and dvd 6
1271,49.99,aladdin systems,anime studio 5 win 98/me 2000/xp mac os 10.4 & up
1272,129.99,punch ! software,punch ! home design architectural series 18
1273,199.0,adobe,adobe soundbooth cs3
1274,29.99,freeverse software,wingnuts 2 ( mac )
1275,49.99,punch ! software,punch ! super home suite
1276,39.99,individual software,quickverse bible premier suite
1277,179.0,palo-alto-software,palo alto marketing plan pro 9.0
1278,50.88,global-marketing-partners,easy video editor 2.0 by honest technology
1279,199.0,palo-alto-software,palo alto business plan pro premier 2007
1280,19.99,abacus,national parks : enhanced scenery add-on for microsoft flight simulator 2002 & 2000
1281,99.95,palo-alto-software,palo alto business plan pro 2007
1282,999.0,adobe,adobe after effects cs3
1283,99.99,namo,namo webeditor 2006
1284,99.99,punch ! software,punch ! master landscape & home design
1285,29.99,feral interactive,black & white platinum pack ( mac )
1286,29.99,webroot software,webroot desktop firewall
1287,39.99,punch ! software,punch ! 5 in 1 home design
1288,29.99,nc soft,city of heroes good vs. evil edition
1289,29.99,nova development,business card factory deluxe 3.0
1290,199.99,punch ! software,punch ! home design architectural series 4000 v10
1291,34.95,yamaha,big tiny little a tiny little christmas
1292,,microsoft,small business server 2003 20u cal addpak user
1293,49.99,individual software,systemsuite 8 professional
1294,19.99,knowledge adventure,jumpstart 4th-6th grade v 2.0 b43
1295,29.95,avanquest software,pcdefense
1296,19.99,imaginova,starry night astronomy screensaver win/mac
1297,69.95,findex.com inc,quickverse sermon builder 4.0
1298,29.95,abacus,ultra sudoku/ultra kakuro
1299,19.95,topics entertainment,snap ! spelling ( jewel case )
1300,,sony-pictures-digital-entertainment,acad vegas movie studio + dvd 8 platinum
1301,39.95,global-marketing-partners,bitdefender antivirus 10.0 [ 2 year subscription for 2 pcs ]
1302,19.99,encore,scrabble with bonus clue
1303,9.99,encore,scrabble complete ( jewel case )
1304,149.95,re : launch,piano wizard premier software & stickers & midi cable
1305,799.0,microsoft software,microsoft visual studio professional w/msdn professional 2005 renewal
1306,59.99,emedia,emedia guitarpro 5 win/mac
1307,19.99,avanquest,spycatcher 2007for pc
1308,34.95,intuit,intuit quicken home inventory manager windows
1309,31.95,yamaha,academy award winners
1310,39.95,computer associates,ca antivirus 2007
1311,39.99,zone labs,zonealarm pro firewall
1312,19.95,victory multimedia,sales skills 2.0 ages 10 +
1313,19.95,core learning,brain builder
1314,29.99,aspyr media,return to castle wolfenstein ( mac )
1315,,masque publishing,solitaire antics deluxe
1316,19.95,abacus,aircraft collector 's second edition
1317,,findex,findex quickverse bible study 2007 bible-suite
1318,9.99,riverdeep,treasure mountain ! ( jewel case ) ages 5-9 for win/mac
1319,50.86,global-marketing-partners,video patrol 5.0 by honest technology
1320,4.99,topics entertainment,snap ! kakuro
1321,9.99,topics entertainment,instant immersion american sign language win/mac
1322,1599.0,adobe,adobe creative suite cs3 design premium upsell
1323,19.99,topics entertainment,simple slide show
1324,39.99,encore software,printmaster platinum v 17.0
1325,59.95,delorme,street atlas usa 2007 plus dvd
1326,19.99,knowledge adventure,jumpstart world 2nd grade
1327,39.99,strategy first,great invasions
1328,39.95,sos-aggregation-company,web graphics creator
1329,49.99,topics entertainment,instant immersion translator deluxe 2.0
1330,59.95,onone software,onone essentials for adobe photoshop elements version 2 full
1331,19.99,fogware publishing,funny faces deluxe
1332,29.94,emedia,emedia blues guitar legends
1333,34.95,destineer,age of empires iii : the warchiefs expansion pack ( mac )
1334,999.0,adobe,adobe creative suite cs3 web standard
1335,,midisoft corporation,guitar tool worship edition
1336,49.95,delorme,delorme topo usa mapping software 6.0 east region
1337,99.95,nero inc.,nero 8 ultra edition
1338,29.99,fogware publishing,weekly reader mastering high school 2008
1339,99.99,true-north-technology-inc .,northstar for pc/mac
1340,375.0,makemusic !,make music allegro 2007 labpack 5 user
1341,,topics entertainment,instant immersion hawaiian audio
1342,79.99,language-engineering-co-llc,power translator 11 premium
1343,79.99,csdc,liquid ledger personal finance
1344,19.95,masque publishing,sportsman 's double play
1345,19.99,knowledge adventure,jumpstart advanced preschool v2 .0
1346,39.95,csdc,visual thesaurus the thinkmap inc.
1347,19.99,topics education,phonics success essentials : grades 7-9
1348,19.99,dvo enterprises,cook 'n cd recipe cards
1349,799.0,adobe,adobe creative suite cs3 web standard upsell [ mac ]
1350,39.99,abacus,train sim modeler design studio
1351,9.99,alfred publishing,learn to play keyboard ( jewel case )
1352,39.99,topware interactive,ufo afterlight
1353,29.99,topics entertainment,instant immersion italian deluxe v2 .0 ( large box )
1354,49.99,aspyr media,enemy territory : quake wars
1355,19.99,fogware publishing,weekly reader mastering elementary/middle school math learning
1356,19.99,dreamcatcher interactive,sentinel : descendants in time
1357,19.99,magix entertainment,photostory on cd & dvd 5
1358,3314.09,adobe,flash remoting 1 alp ret eng cd 2u
1359,9.99,school zone,shapes
1360,99.99,nuance-communications-inc .,dragon naturally speaking standard v9
1361,29.99,aladdin systems,mediarecover
1362,29.99,nova development,photo explosion 3.0
