rec_id,purchase_price,supplier,prod_name
0,38.99,intuit,learning quickbooks 2007
1,8.49,,superstart ! fun with reading & writing !
2,637.99,intuit,qb pos 6.0 basic software
3,12.95,,math missions : the amazing arcade adventure ( grades 3-5 )
4,805.99,adobe software,production prem cs3 mac upgrad
5,103.99,corel corporation,video studio 11 plus
6,585.99,canopus/grass valley,edius pro 4
7,1054.99,intuit,qb pos 6.0 pro multi store sw
8,25.99,intuit,qb credit card kit 3.0
9,92.99,sony creative software,vegas movie studiodvd +8 plat
10,1474.99,intuit,qb pos 6.0 pro solution hw/sw
11,29.95,,ares rising
12,14.99,,evergirl : pc cd-rom video game
13,2068.26,,cd384-aisk9 = cisco ios advanced ip services complete package cd
14,154.6,,633808063023 wasp bar code fontware complete package 10 users cd win english
15,95.12,,0202-034 axis camera station license 1 additional user
16,137.09,,eu063av aba microsoft windows xp professional license and media 1 user cto english -
17,195.53,,bb0gyna ibm informix dynamic server enterprise edition v. 9.4 media cd linux
18,499.17,,eqzfn07-201 zetafax business edition license 5 users win
19,2021.99,,633808390266 wasp mobileasset professional edition combo pack with spt 1800 v. 5 comp
20,3715.48,,wg017449 watchguard firebox x5500e utm software suite subscription license 1 year +
21,149.43,,11k2990 international printing for mysap.com complete package 1 client cd englis
22,663.22,,5325302018 snap enterprise data replicator license 1 server linux unix win
23,18.88,,38039440dm adobe flash cs3 professional v. 9 media tlp tlp nonprofit dvd win
24,16.09,,11105106 symantec bindview policy manager v. 1.0 media cd win english
25,1054.23,,25510587 adobe after effects cs3 professional complete package 1 user dvd win c
26,751.44,,wg017127 watchguard gateway antivirus for e-mail maintenance 1 year 1 device wi
27,1562.06,,did0480p-m311 plasmon additional maintenance 24x7 plasmon diamond technical support consul
28,179.03,,633808035020 wasp nest ccd suite business edition complete package 1 user cd win
29,29.93,,711-00072 microsoft entertainment pocketpak 2004 productivity pack complete package 1
30,3992.98,,01-ssc-6993 sonicwall client/server anti-virus suite subscription license 3 years 50
31,61.94,,buvsag-00000 ulead videostudio 10 complete package 1 user win english
32,34.38,,s71-00009 perfect dark zero complete package 1 user microsoft xbox 360 dvd engli
33,93.33,,c6q-00002 microsoft digital image suite plus complete package 1 pc cd-rom ( mini box )
34,72.74,,ma166z/a ilife '06 complete package 1 user dvd mac
35,7022.74,,s45es-12225sg = cisco ios enterprise services v. 12.2 ( 25 ) sg complete package
36,1834.4,,t74-00004 microsoft windows small business server 2003 license 20 additional user cals
37,742.21,,122103 quarkxpress v. 7 complete package 1 user cd win mac
38,2426.1,,dsv3-swa dsview v. 3 license 5 users 1 hub win
39,1589.95,,366125-002 hp care pack software technical support vmware virtualcenter 1 node 2 process
40,17.21,,378517z lenovo thinkvantage imageultra builder ( non-lenovo systems ) v. 3.0 licen
41,3640.84,,fpm32c070-a08n monarch standard edition v. 7.0 complete package 8 users cd win
42,3223.26,,910519-004 rumba as/400 edition v. 7.4 upgrade license 1 processor tier p10 c
43,14.51,,10568 hoyle puzzle & board games 2005 complete package 1 user pc cd win
44,371.5,,dm0016009 contivity stateful firewall license 1 switch english
45,377.61,,22030094 adobe encore dvd v. 2.0 complete package 1 user dvd win universa
46,1320.64,,5325302020 snap enterprise data replicator advanced license 1 server linux unix win
47,94.08,,b11-01215 microsoft works suite 2006 license and media 1 user cd win english u
48,459.3,,bb117ac hp storageworks data protector express backup server product upgrade package -
49,538.5,,w-1rp-f-wx-00 crystal reports xi professional edition complete package 1 user win fren
50,195.77,,633808105020 wasp bar code labeler complete package 3 users cd win english
51,2565.08,,01-ssc-7316 sonicwall cfs premium gov/ed edition for sonicwall pro 4100 subscription licen
52,16.09,,11105093 symantec web security for microsoft isa server 2004 v. 5.0 media cd -
53,6594.2,,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server
54,215.57,,rl294aa red hat enterprise linux ws v. 3 update 8 license 1 user
55,75.48,,808-1v500-mk-us directory and resource administrator v. 5.0 media win english unit
56,2181.91,,22799 vsi-fax upgrade license 8 additional ports linux unix win
57,197.65,,e17887d symantec backup exec for netware servers remote agent for windows or netware ser
58,85.85,,b7305pa supportpack for hp openview manager for microsoft exchange server 2.0 premium -
59,125.97,,40y9223 computrace lojack for laptops subscription package 4 years 1 notebook -
60,12567.39,,04l1671 ibm websphere mq link for r/3 v. 1.2 complete package 1 server cd -
61,1001.38,,cd28-esk9 = cisco ios enterprise services complete package cd
62,18.88,,23500195dm adobe incopy cs3 v. 5.0 media tlp tlp nonprofit dvd win univers
63,43.85,,01-ssc-5310 sonicwall global vpn client license 1 user win
64,841.55,,f309a-g03-11 .0 scansoft paperport professional v. 11 complete package 5 users win -
65,147.73,,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c
66,2279.02,,wg7569 watchguard livesecurity service gold watchguard serverlock for solaris technic
67,2270.06,,j8779a hp procurve manager plus v. 2.0 upgrade license unlimited devices wi
68,18.88,,15510669dm adobe after effects cs3 professional v. 8 media tlp tlp nonprofit d
69,86.94,,mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi
70,843.15,,29270077 adobe creative suite 3 web standard product upgrade package 1 user upgrade
71,1056.98,,29270055 adobe creative suite 3 web standard complete package 1 user cd win uni
72,3.29,,evyu7517 emc insignia visualsrm smb edition v. 1.7 media cd win
73,666.65,,cabprenaen150 ca business protection suite for microsoft small business server premium edition
74,20.97,,38040048dm vlog it ! v. 2.5 media tlp tlp nonprofit download win worldwide
75,20.97,,19600061dm adobe creative suite 3 production premium media tlp download mac world
76,24.8,,72212 world of warcraft complete package 1 user pc cd win mac
77,93.25,,dja-00892 microsoft system center essentials 2007 license 1 server win english
78,363.63,,fpxmlc020-a01 vortexml v. 2 complete package 1 user cd win
79,37.24,,eete7717 emc insignia eroom smb edition v. 7.3 media and documentation set cd -
80,377.06,,5325301873 snap appliance snap care snap enterprise data replicator technical support c
81,26759.24,,910584-001 rumba as/400 edition v. 7.2 upgrade package 1 processor tier p60 c
82,3323.92,,10517940 symantec client security with groupware protection business pack v. 3.1 -
83,14568.97,,01-ssc-7524 sonicwall email anti-virus mcafee and sonicwall time zero subscription license
84,5189.82,,22798 vsi-fax license 8 additional ports linux unix win
85,4275.71,,22790 vsi-fax license unlimited clients linux unix win
86,16.98,,10527687 symantec on-demand protection v. 2.6 media elite forecast elite commi
87,41.74,,msd-w30-de-r manga studio debut v. 3.0 complete package 1 user cd win
88,160.88,,9002 refviz v. 2 complete package 1 user mac
89,69.38,,298881 quickbooks customer manager v. 2.5 complete package 1 user cd win
90,409.56,,633808344078 wasp mobileinventory combo pack w / spt1550 license 1 additional mobile dev
91,18.88,,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma
92,379.23,,babnur1111s01 brightstor arcserve backup for netware w/sp1 v. 11.1 version upgrade pac
93,1306.68,,01-ssc-7520 sonicwall email anti-virus mcafee and sonicwall time zero subscription license
94,67.47,,210100533 pinnacle studio plus titanium edition v. 10.5 complete package 1 user
95,1235.07,,wg4110 watchguard vpn manager upgrade package 10 nodes cd win english
96,29578.09,,910623-000 rumba web-to-host for as/400 v. 4.2 license 1 processor tier p60 s
97,10693.51,,01-ssc-6959 sonicwall enforced client anti-virus and anti-spyware subscription license 2
98,4269.47,,389449-b21 pgi server compiler suite license 2 users linux
99,1687.48,,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra
100,23.53,,269-10040 microsoft office professional edition 2003 service pack v. 2 media vol
101,1234.09,,01-ssc-6791 sonicwall email protection subscription subscription license 2 years + dyn
102,377.06,,5325301871 snap appliance snap care snap enterprise data replicator technical support c
103,6998.48,,fpmdps070-a02a monarch data pump v. 7.0 license 2 additional processors win
104,42.79,,9am-00014 microsoft flight simulator x deluxe edition complete package 1 user pc d
105,92.8,,wg017196 watchguard webblocker subscription license 1 year 1 device win
106,2383.02,,4817n24 vmware virtualcenter management server v. 2 limited subscription 5 yea
107,36.28,,24100 punch ! 5 in 1 home design complete package 1 user cd win
