ag_product_id,origin,unit_price,product_description
2580,,8.44,encore software 33027 hoyle texas holdem ( win 98 me 2000 xp )
2581,,7.69,encore software 10149 chicken hunter license to grill ( win 98 me 2000 xp )
2582,,7.69,encore software 10760 chicken hunter wanted win 98 me 2000 xp
2583,,7.47,encore software 10027 hoyle board games ( win 98 me 2000 xp )
2584,,17.97,encore software 10032 the print shop 21 essentials by broderbund
2585,,18.97,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp
2586,,18.97,encore software 11180 monopoly here & now win 98 me 2000 xp
2587,,26.36,3d home architect landscape v. 8by encore software
2588,,8.44,encore software 33024 hoyle solitaire ( win 98 me 2000 xp )
2589,,25.97,encore software 10444 elementary school advantage 2007 sb cs by encore
2590,,210.97,global marketing partners mcid global marketing magicard id professional software educational software complete product
2591,,189.95,the sky 6 professional edition astronomy software
2592,hp,369.99,hp t1936aa uao digital sending software 4.0 ( 10 device license )
2593,apple software,219.0,apple software t9164ll/a logic express 6
2594,,799.97,computer associates babwbr1151s33 brightstor arcserve backup client for vss software snap-shot v. 11.5 for windows with service pack 1 add-on backup & recovery 1 server ( s ) complete product standard multilingual pc
2595,,19.95,turtle-beach used wave 2-0 20 software for windows software & plug ins
2596,,98.95,spectrasonics sample dvd : ethno techno sage xpander sounds for software
2597,,152.96,east west propack for garageband av production software
2598,,247.95,final-draft final draft 7.0 with syd fields workshop bundle screen writing software
2599,,495.0,digidesign music production toolkit music production software
2600,,108.95,microsoft word 2004 upgrade for mac os x apple & mac software
2601,,99.95,qp card qp colorkit 1 color management software
2602,,299.95,corel ulead dvd workshop 2 authoring software
2603,,122.95,adobe audition 2.0 software pro audio digital editing environment for windows upgrade version .
2604,,44.97,madison media software asams7000 sony creative software acid music studio v. 7.0 music editing/composing pc
2605,sony-pictures-digital-entertainment,370.97,madison media software ssda3000 sony sound effects series vol 1 through 10
2606,,969.0,adobe photoshop cs3 extended software full version for macintosh
2607,,969.0,adobe photoshop cs3 extended software full version for windows
2608,,399.95,phase one capture-one pro dslr raw image editing software for macintosh & windows .
2609,e-b-c-marketing,18.97,encore software 10282 sharks 2.0 ( win 95 98 me 2000 xp/mac 10.1 or higher )
2610,,21.1,filemover software utility
2611,,39.96,pcmover software utility
2612,,420.55,sony creative software vegas43 ; dvd v. 7.0 complete product
2613,,149.99,olympus pro studio capture software
2614,,55.29,sony creative software sound forge audio studio v. 8.0 complete product
2615,,46.47,sony creative software sound forge audio studio v. 8.0 complete product
2616,,1449.0,avid xpress pro video editing software for mac and windows professional editing software
2617,,49.99,star wars empire at war ( mac intel )
2618,,798.95,smart-sound sonicfire pro 4 mega bundle windows xp audio software for video
2619,,19.99,stationery design studio ( win 98 me 2000 xp )
2620,sony-pictures-digital-entertainment,99.0,sony vegas 6 video editing software professional editing software
2621,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade
2622,,39.99,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp )
2623,csdc,59.99,csdc ntx-2003-01r notetaker for os x v1 .5 aquaminds software
2624,,49.95,pc-cillin internet security 2007 3-user ( win me 2000 xp )
2625,,39.99,behringer ucg102 guitar link guitar-to-usb guitartousb interface usb interfaces & software
2626,,29.95,classics the : the piano ( audio book )
2627,onone software,158.99,onone software pxe-11433 pxl smartscale elect 1-user english mac/win
2628,,19.95,aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher )
2629,,59.99,component software : beyond object-oriented programming by clemens szyperski
2630,,99.95,viacad 2d/3d ( win 2000 xp vista )
2631,,99.0,statistical methods in software engineering : reliability and risk 9780387988238
2632,,149.0,daylite v3 .0 marketcircle ( mac 10.4 or later )
2633,,148.5,agile software development quality assurance
2634,,179.0,coreldraw graphics suite x3 upgrade ( win 98 me nt 2000 xp vista )
2635,,38.95,software reliability and testing by hoang pham 9780818668524
2636,,19.95,reel deal casino championship edition ( win 98 me nt 2000 xp )
2637,,76.6,software engineering and computer games by rudy vb rucker 9780201767919
2638,,19.95,printmaster gold v 17.0 ( win 98 me 2000 xp )
2639,,44.54,bringing design to software : expanding software development to include design
2640,,19.99,restricted area ( win 98 me 2000 xp )
2641,,24.99,testing in software development 9780521337861
2642,,9.99,merriam-webster english dictionary ( win 2000 xp/mac 10.3.8 or later )
2643,,89.95,software engineering measurement and analysis by steven strauss 9780849319303
2644,,39.99,cute ftp ( win 95 98 me nt 2000 xp )
2645,,73.5,systematic software testing by rick d. craig 9781580535083
2646,,24.03,software requirements by karl eugene wiegers 9780735618794
2647,,89.95,modeling software with finite state machines : a practical approach
2648,,79.95,software requirements specification design and implementation 9780849319921
2649,,649.0,adobe photoshop cs3 ( mac os x v. 10.4.8 )
2650,,8.53,cms products dt-sftw bounceback data transfer software license & media migration 1 user ( s ) license & media standard pc
2651,,47.74,software test automation : effective use of test execution tools
2652,,44.99,software requirements using the unified process : a practical approach
2653,,92.0,software engineering with reusable components by j. sametinger 9783540626954
2654,,10015.97,microsoft 121-00324 visual studio team suite 2005 with msdn premium subscriptions complete product software development standard 1 user ( s ) complete product english pc - free shipping
2655,sage software,225.99,sage software acts2005rt act ! 7.0 2005
2656,,59.99,intervideo windvd 8 platinum ( pc )
2657,,59.95,b + w portrait & family digital filter set plug-in software filters for photoshop for macintosh & windows
2658,,64.95,managing the change : software configuration & change management by michael haug
2659,,111.6,system software : an introduction to systems programming by leland l. beck
2660,onone software,158.99,onone software ice-10770 intellihance pro 4.1 mac/win ( buy now and get free cs3 compatibility upgrades )
2661,,24.26,lessons learned in software testing by cem kaner 9780471081128
