sku_id,prod_name,detail_desc,sale_price
432,canon green photo ink cartridge cli8g,canon green photo ink cartridge cli8g fine technology for exceptional sharpness & detail compatible with canon pixma pro9000,16.0
433,canon red photo ink cartridge cli8r,canon red photo ink cartridge cli8r fine technology for exceptional sharpness & detail compatible with canon pixma pro9000,16.0
434,canon black photo ink cartridge cli8b,canon black photo ink cartridge cli8b fine technology for exceptional sharpness & detail compatible with canon pixma printers,16.0
435,netgear prosafe 5 port 10/100 desktop switch fs105,netgear prosafe 5 port 10/100 desktop switch fs105 5 auto speed-sensing 10/100 utp ports embedded memory,40.0
436,pioneer premier in-dash cd/wma/mp3 / aac receiver dehp400ub,pioneer premier in-dash cd/wma/mp3 / aac receiver dehp400ub 50w x 4 built-in speaker power 3 rca hi-volt preouts two-way crossover supertuner iiid aux-in connection rotary commander volume control,183.0
437,pioneer deh-2000mp cd/mp3/wma in-dash receiver deh2000mp,pioneer deh-2000mp cd/mp3/wma in-dash receiver deh2000mp 50w x 4 built-in speaker power led display built-in front auxiliary input detachable face security remote control rotary volume control,98.0
438,pioneer premier in-dash cd/wma/mp3 / aac receiver dehp500ub,pioneer premier in-dash cd/wma/mp3 / aac receiver dehp500ub 50w x 4 built-in speaker power 3 rca hi-volt preouts two-way crossover supertuner iiid aux-in connection rotary commander volume control,208.0
439,sony 40gb high definition hard disk drive handycam camcorder hdrsr10,sony 40gb high definition hard disk drive handycam camcorder hdrsr10 1920 x 1080 recording face detection 2.3 megapixel clearvid cmos sensor bionz image processor exmor imaging sensor 15x optical/180x digital zoom 2.7 ' wide ( 16:9 ) hybrid touch panel clear photo lcd plus display dolby digital 5.1 ch recording dynamic range optimizer super nightshot infrared system x.v. color technology,
440,sony 60gb high definition hard disk drive handycam camcorder hdrsr11,sony 60gb high definition hard disk drive handycam camcorder hdrsr11 1920x1080 recording face detection 5 megapixel clearvid cmos sensor bionz image processor exmor imaging sensor 12x optical/150x digital zoom 3.2 ' wide ( 16:9 ) hybrid touch panel clear photo lcd plus display dolby digital 5.1 ch recording dynamic range optimizer super nightshot infrared system x.v. color technology,
441,cuisinart stainless steel 4-quart programmable slow cooker psc400,cuisinart stainless steel 4-quart programmable slow cooker psc400 24-hour programmable cook time digital countdown timer three cooking modes touchpad control panel with lcd timed display dishwasher-safe removable ceramic cooking pot nonslip rubber feet stainless steel finish,
