ag_id,product_description,price_tag
272,adobe audition 2.0,349.0
273,quickbooks credit card processing kit 3.0,39.95
274,instant immersion italian 2.0,29.99
275,easy drums ( jewel case ),9.99
276,instant immersion 33 languages,49.99
277,super solvers spellbound ! ! school edition for mac,49.95
278,snap ! 1 001 letters ( jewel case ),19.95
279,the printshop 20,29.99
280,startopia,39.95
281,easy home massage dvd,19.95
282,elementary success deluxe 2006 ( dw dvd ),49.99
283,tonka town ( jewel case ),9.99
284,sibelius 5 educational edition,329.0
285,weekly reader preparing for kindergarten,19.99
286,my maillist & addressbook,19.95
287,sibelius 5 professional edition,599.0
288,tonka search & rescue 2,
289,professional training for vegas 7 and dvd architect 4 sw,249.95
290,talk now ! learn dutch,29.95
291,wacky bird hunter,19.95
292,namco museum 50th anniversary collection,19.99
293,treasure galaxy 5-user lab pack for mac,149.95
294,dk rainbow fish most beautiful fish,9.99
295,madeline rainy day activities,19.95
296,mighty math number heroes,29.95
297,superstart ! science arcade,24.95
298,state standards grade 6,29.95
299,wacky farm,19.95
300,police quest compilation,19.99
301,broderbund printmaster platinum 16.0,39.99
302,encyclopedia britannica profiles : dinosaurs ( jewel case ),9.99
303,real arcade : adventure inlay,29.95
304,fisher-price rescue heroes : lava landslide,
305,tonka raceway xp compatible ( jewel case ),29.95
306,quickstart photo montage studio,19.95
307,season ticket football 2003,19.99
308,virusbarrier x4 10.4 for mac-10 users,329.95
309,family tree maker version 16 deluxe,69.95
310,instant architect design suite,29.99
311,axis network camera 213 ptz digital video camera 0220-004 ),
312,norton antivirus 2007,39.99
313,backyard soccer ( mls edition ),
314,zipmagic personal edition,19.95
315,super solvers mission t.h.i.n.k 25 user site license,399.95
316,f-secure internet security 2007 3 pcs,79.99
317,disney 2nd grade active leveling advantage w buzz ( jewel case ) ages 6-8,9.99
318,ultimate puzzle games,19.99
319,poetry fiction and drama ( win/mac ) ( jewel case ),9.99
320,quicken 2007 premier,79.95
321,route 66 mobile 7 usa/cdn for windows mobile 5,149.0
322,adobe premiere pro 2.0,849.0
323,geometry ( win/mac ) ( jewel case ),9.99
324,reader rabbit preschool,29.99
325,cross stitch design studio ( jewel case ),9.99
326,math missions : the race to spectacle city arcade ( grades k-2 ),29.95
327,world of wild cats,19.95
328,state standards grade 8,29.95
329,cluefinders 3rd grade adventures : mystery of mathra,
330,ghostsurf platinum 2006 [ lb ],39.99
331,instant home cooking ( jewel case ),9.99
332,spy sweeper [ lb ],29.99
333,adobe after effects 7.0 professional ( mac ),999.0
334,transfer my dvd,29.95
335,tlc zoombinis 3rd grade lrng sys 2007 sb cs by riverdeep 10548 ),
336,csi : crime scene investigation,19.99
337,jaws,19.99
338,sega smash pack 2,19.95
339,post mortem,29.99
340,zoboomafoo animal logic cd/workbook combo,14.99
341,mother goose interactive storybook,19.95
342,let 's learn about time & date,19.95
343,living trust builder,19.95
344,ubi soft star wars activity center windows ),29.99
345,portfolio media kit be syst recovery 7.0 win small business ed,50.0
346,mcafee internet security suite 2007 3 users,89.99
347,jumpstart advanced 1st grade v2 .0,19.99
348,microsoft office & windows training,29.99
349,middle school success deluxe 2008,49.99
350,adobe creative suite cs3 design standard upsell [ mac ],899.0
351,is3 stopzilla 4.0 [ stop spyware pop-ups id theft ],29.95
352,pc vegas dvd,899.99
353,sony vegas 6 + dvd [ old version ],899.95
354,the universe ( win/mac ) ( jewel case ),9.99
355,zonealarm internet security suite,49.99
356,ringtone media studio 2,19.95
357,print workshop 2007,19.99
358,perfect attorney premium,39.99
359,adventure workshop 1st-3rd grade 8th edition,19.99
360,fun for kids : preschool kindergarten featuring disney,29.99
361,adobe creative suite cs3 web standard upsell,799.0
362,national geographic photo gallery ( jewel case ),9.99
363,sony psp media manager,24.99
364,adobe premiere elements 3.0 [ lb ],99.99
365,english literature basics ( win/mac ) ( jewel case ),9.99
366,riverdeep arthur 's kindergarten,
367,big oil : build an oil empire,19.99
368,jumpstart advanced 3rd grade v2 .0,19.99
369,tlc arthur 's kindergarten learning system 2008,19.99
370,cosmi talking math & more for kids ( windows ),
371,microsoft powerpoint 2004 upgrade ( mac ),109.99
372,readiris pro 11 corporate edition,399.99
373,magellan mapsend lakes ( usa south ),114.66
374,mcafee virusscan plus 2007,39.99
375,reel deal casino championship edition,19.99
376,printmaster gold v 17.0,19.95
377,pc cillin internet sec 2007 lics large box 3u,49.95
378,aquarium 3-in-one collection ( win/mac ),19.99
379,cute ftp,39.99
380,kaspersky anti-virus 6.0,59.95
381,restricted area,19.99
382,adobe production studio premium,1699.0
383,merriam-webster 's dictionary ( win/mac ) ( jewel case ),9.99
384,lego island 2 : the brickster 's revenge ( xp compatible version ),
385,tank battle,19.95
386,quickstudy u.s. government,19.95
387,home budget for dummies,
388,zonealarm wireless security,29.99
389,instant immersion japanese 2.0,19.99
