item_key,builder,price_amount
544,microsoft,199.0
545,microsoft,49.95
546,adobe,149.99
547,microsoft,109.95
548,intuit,199.95
549,adobe,1514.99
550,microsoft,329.95
551,symantec,447.74
552,corel,39.99
553,adobe,199.0
554,topics entertainment,39.99
555,encore software,9.99
556,topics entertainment,49.99
557,adobe,1699.0
558,topics entertainment,29.99
559,adobe,399.0
560,symantec,769.49
561,intuit,29.95
562,adobe,199.0
563,adobe,2171.7
564,h & r block,19.99
565,adobe,1599.0
566,apple,99.0
567,h & r block,79.99
568,adobe,908.69
569,microsoft,11318.25
570,individual software,19.99
571,microsoft,129.95
572,adobe,199.0
573,corel,179.0
574,microsoft,349.0
575,disney interactive,9.99
576,the learning company,24.99
577,intuit,89.95
578,microsoft,229.95
579,h & r block,59.99
580,intuit,1499.95
581,encore,9.99
582,apple,99.0
583,roxio,49.95
584,microsoft,299.95
585,corel,69.99
586,intuit,399.95
587,microsoft,109.95
588,adobe,1199.0
589,intuit,59.95
590,apple,99.0
591,apple,99.0
592,adobe,299.0
593,adobe,199.0
594,corel,399.99
595,adobe,1657.06
596,vivendi universal,19.99
597,adobe,1799.0
598,adobe,138.45
599,topics entertainment,49.99
600,apple,179.95
601,knowledge adventure,19.99
602,adobe,399.0
603,apple,299.0
604,microsoft,449.95
605,microsoft,229.99
606,microsoft,499.99
607,encore software,49.99
608,adobe,499.0
609,intuit,69.95
610,broderbund,39.99
611,intuit,399.95
612,corel,699.0
613,scholastic,19.99
614,microsoft,99.0
615,adobe,399.0
616,microsoft,99.95
617,symantec,69.95
618,panicware,29.99
619,nova development,
620,adobe,799.0
621,entertainment partners,699.0
622,emedia,59.99
623,mumbo jumbo,19.99
624,netopia,199.99
625,apple,499.0
626,steinberg,374.99
627,the learning company,9.99
628,delorme,49.95
629,chronos,29.99
630,roxio,47.33
631,h & r block,39.99
632,microsoft,299.99
633,masque,
634,phase one,499.0
635,encore,29.95
636,encore software,39.99
637,united developers,
638,apple,699.0
639,solidworks corporation,39.99
640,alsoft,
641,aspyr media,34.99
642,adobe,699.0
643,git corp,49.99
644,microspot ltd.,99.95
645,microsoft,219.99
646,topics entertainment,
647,iris,499.95
648,intego inc,
649,mcafee,99.99
