uid,unit_price,maker_company
0,38.99,intuit
1,8.49,
2,637.99,intuit
3,12.95,
4,805.99,adobe software
5,103.99,corel corporation
6,585.99,canopus/grass valley
7,1054.99,intuit
8,25.99,intuit
9,92.99,sony creative software
10,1474.99,intuit
11,29.95,
12,14.99,
13,2068.26,
14,154.6,
15,95.12,
16,137.09,
17,195.53,
18,499.17,
19,2021.99,
20,3715.48,
21,149.43,
22,663.22,
23,18.88,
24,16.09,
25,1054.23,
26,751.44,
27,1562.06,
28,179.03,
29,29.93,
30,3992.98,
31,61.94,
32,34.38,
33,93.33,
34,72.74,
35,7022.74,
36,1834.4,
37,742.21,
38,2426.1,
39,1589.95,
40,17.21,
41,3640.84,
42,3223.26,
43,14.51,
44,371.5,
45,377.61,
46,1320.64,
47,94.08,
48,459.3,
49,538.5,
50,195.77,
51,2565.08,
52,16.09,
53,6594.2,
54,215.57,
55,75.48,
56,2181.91,
57,197.65,
58,85.85,
59,125.97,
60,12567.39,
61,1001.38,
62,18.88,
63,43.85,
64,841.55,
65,147.73,
66,2279.02,
67,2270.06,
68,18.88,
69,86.94,
70,843.15,
71,1056.98,
72,3.29,
73,666.65,
74,20.97,
75,20.97,
76,24.8,
77,93.25,
78,363.63,
79,37.24,
80,377.06,
81,26759.24,
82,3323.92,
83,14568.97,
84,5189.82,
85,4275.71,
86,16.98,
87,41.74,
88,160.88,
89,69.38,
90,409.56,
91,18.88,
92,379.23,
93,1306.68,
94,67.47,
95,1235.07,
96,29578.09,
97,10693.51,
98,4269.47,
99,1687.48,
100,23.53,
101,1234.09,
102,377.06,
103,6998.48,
104,42.79,
105,92.8,
106,2383.02,
107,36.28,
108,479.12,
109,1834.26,
110,235.17,
111,186.73,
112,1573.45,
113,857.38,
114,4160.59,
115,840.0,
116,21.41,
117,39.1,activision
118,294.58,channel sources distribution co
119,325.51,ipswitch
120,749.01,
121,213.09,
122,69.16,
123,19.11,
124,4792.85,
125,137.09,
126,166.15,
127,460.7,
128,108.95,
129,20069.43,
130,143.01,
131,17721.99,
132,1335.25,
133,803.32,
134,520.31,
135,787.56,
136,176.38,
137,757.74,
138,1542.62,
139,5781.25,
140,260.63,
141,63.99,microsoft
142,149.0,
143,399.99,
144,19.99,
145,79.99,
146,18.5,
147,37.99,
148,14.86,
149,44.99,
150,43.32,
151,205.99,
152,24.58,
153,99.99,
154,40.3,
155,22.13,
156,15.08,
157,43.29,
158,169.99,
159,17.24,
160,22.13,
161,8.8,
162,4.82,global-software-publishing-north-america-inc
163,33.89,
164,14.86,
165,359.99,
166,179.99,
167,17.55,
168,145.99,
169,16.31,
170,24.91,digital-leisure-inc .
171,13.38,
172,205.99,
173,23.72,
174,18.5,
175,25.49,
176,206.99,
177,23.59,
178,179.99,
179,31.06,
180,44.95,
181,8.44,
182,1434.99,
183,69.17,
184,29.4,
185,17.1,
186,22.13,
187,6.14,
188,14.86,
189,39.99,
190,825.99,
191,37.19,
192,205.99,
193,37.82,
194,92.51,
195,97.99,
196,12.05,
197,22.13,
198,24.99,
199,1180.37,
200,12.68,
201,10.86,imagination-international-corp
202,349.99,
203,43.32,
204,61.8,
205,25.77,
206,16.42,
207,9.45,
208,145.73,
209,19.66,sony-media-software
210,22.13,
211,3.44,
212,21.23,
213,22.13,
214,64.99,
215,29.4,
216,339.99,
217,6.14,
218,17.55,
219,17.1,
220,24.0,
221,14.86,
222,79.99,
223,17.55,sega-of-america-inc .
224,269.99,
225,7.6,
226,299.99,
227,3.1,
228,99.99,
229,17.55,
230,57.52,
231,21.99,
232,25.77,
233,36.67,
234,16.64,
235,38.43,
236,14.86,
237,395.99,
238,7.17,
239,399.99,
240,25.49,
241,39.61,
242,385.99,
243,33.89,
244,35.98,
245,22.13,
246,34.99,
247,18.5,
248,29.99,
249,32.29,
250,76.99,
251,85.07,
252,35.99,
253,22.13,
254,819.99,
255,94.94,
256,8.8,
257,306.99,
258,72.86,
259,299.99,
260,17.55,
261,56.99,
262,14.86,
263,935.99,
264,1309.31,
265,99.99,
266,67.94,
267,26.33,warner-new-media
268,92.2,
269,25.77,
270,25.77,
271,39.99,
272,43.3,simply-put-software-llc
273,299.99,
274,26.14,
275,29.99,
276,43.36,
277,36.99,
278,22.13,
279,25.75,
280,415.99,
281,17.55,
282,29.4,
283,14.86,
284,281.99,
285,22.13,
286,199.99,
287,14.86,
288,49.21,
289,415.99,
290,7.81,
291,26.14,
292,545.51,
293,14.86,
294,499.99,
295,22.13,
296,207.99,
297,22.99,
298,164.99,
299,14.86,
300,8.01,riverdeep-learning-company
301,22.13,
302,14.86,
303,25.77,
304,499.99,
305,71.75,
306,92.51,
307,12.05,
308,14.86,
309,329.99,
310,31.57,
311,430.58,
312,145.7,
313,25.49,
314,157.36,
315,18.5,
316,95.99,
317,26.14,
318,37.18,
319,45.99,
320,14.86,
321,25.77,
322,33.99,
323,89.99,
324,1659.99,
325,22.99,
326,415.99,
327,699.99,
328,71.99,
329,714.99,
330,85.99,
331,725.99,
332,205.99,
333,35.99,
334,47.99,
335,39.99,
336,62.99,
337,109.99,
338,939.99,
339,24.99,
340,45.99,
341,42.99,
342,85.99,
343,2335.0,
344,49.99,
345,89.99,
346,45.99,
347,179.99,
348,289.99,
349,125.99,
350,19.99,
351,23.99,
352,724.99,
353,44.95,
354,1437.99,
355,1025.99,
356,47.99,
357,95.99,
358,199.99,adobe-education-box
359,29.0,
360,52.99,
361,264.99,
362,159.99,adobe-education-box
363,169.99,
364,555.99,
365,1149.0,
366,169.99,curious-labs-inc .
367,145.99,
368,413.99,
369,1639.99,
370,53.99,
371,189.99,
372,308.99,
373,189.99,
374,45.99,
375,95.99,
376,82.99,
377,145.99,
378,1399.0,
379,55.99,
380,23.99,
381,49.99,
382,9.99,
383,499.99,
384,9.99,avanquest-publishing-usa-inc .
385,6.99,
386,4.99,sony-creative-software
387,7.99,
388,9.99,
389,19.99,
390,11.23,
391,43.99,
392,25.77,
393,28.3,
394,279.99,
395,25.77,
396,29.99,me-too-software
397,31.53,
398,53.99,
399,25.77,
400,38.99,
401,17.1,
402,19.99,
403,85.07,
404,16.37,
405,39.99,
406,18.5,
407,149.99,
408,22.13,
409,14.86,
410,65.17,
411,15.95,
412,47.99,
413,26.14,
414,41.99,smith-micro-software-inc .
415,26.14,
416,26.14,
417,18.5,
418,7.17,on-hand-software
419,23.69,
420,15.27,
421,445.3,
422,24.91,sony-media-software
423,6.56,
424,109.99,
425,23.59,
426,822.99,
427,35.98,
428,309.99,
429,14.86,
430,413.99,
431,29.4,
432,29.99,
433,42.69,
434,45.99,
435,17.55,
436,37.82,graphics-simulations-corporation
437,14.86,
438,99.99,
439,57.54,nuance-communications-inc .
440,23.99,
441,6.56,topics-entertainment-software - ( consignment )
442,119.99,
443,23.76,
444,295.99,
445,18.5,
446,7.17,on-hand-software
447,83.27,
448,239.99,
449,18.5,
450,9.99,brighter-minds-media-inc .
451,26.14,
452,1234.99,
453,51.21,
454,14.86,
455,14.86,
456,85.07,
457,95.99,
458,26.14,
459,0.5,
460,16.62,
461,89.99,
462,33.5,
463,18.5,
464,18.77,
465,619.99,
466,26.14,
467,44.99,
468,19.23,
469,285.99,
470,26.14,
471,21.99,
472,22.13,
473,36.67,
474,14.86,
475,145.99,
476,22.13,
477,25.21,global-marketing-partners
478,14.86,
479,22.13,
480,87.61,
481,18.5,
482,17.55,
483,22.13,
484,14.86,
485,206.99,
486,26.14,
487,43.94,
488,11.23,
489,22.13,
490,455.99,
491,37.19,
492,19.99,brighter-minds-media-inc .
493,29.84,
494,28.3,
495,1299.99,
496,83.92,
497,27.37,
498,17.81,
499,215.42,
500,26.14,
501,36.67,
502,27.62,
503,15.91,sos-aggregation-company
504,15.82,
505,16.37,
506,929.99,
507,36.67,
508,69.99,adobe-education-box
509,34.99,
510,65.99,
511,25.77,
512,14.86,
513,12.05,
514,25.77,
515,145.99,
516,31.06,
517,47.99,
518,8.14,global-software-publishing-north-america-inc
519,25.77,
520,18.5,
521,1865.99,
522,18.5,
523,67.94,
524,22.13,
525,14.86,
526,22.13,
527,21.99,global-software-publishing
528,29.4,
529,33.04,
530,14.89,
531,517.99,
532,17.24,
533,405.99,
534,49.21,
535,25.49,
536,43.36,
537,54.99,
538,42.74,
539,14.86,
540,21.99,
541,37.2,
542,8.8,
543,11.23,
544,22.99,
545,33.21,
546,7.79,
547,44.58,
548,31.06,
549,9.45,
550,29.99,
551,88.83,palo-alto-software
552,11.23,
553,35.99,
554,393.68,
555,26.14,
556,47.99,
557,18.5,
558,1243.99,
559,17.27,
560,48.27,
561,125.99,
562,25.49,
563,155.99,
564,13.32,
565,42.27,
566,1035.99,
567,23.44,
568,99.99,
569,25.77,
570,28.99,
571,28.3,
572,17.55,
573,82.99,
574,56.38,
575,269.0,
576,16.9,
577,39.99,
578,22.13,
579,19.07,
580,195.99,adobe-education-box
581,29.4,
582,285.99,
583,21.26,
584,19.99,brighter-minds-media-inc .
585,6.84,
586,21.99,
587,22.13,
588,25.77,
589,18.5,
590,51.09,
591,33.52,
592,18.5,
593,47.04,
594,25.77,
595,29.84,
596,7.22,
597,18.5,
598,17.55,
599,18.5,
600,17.55,
601,26.14,
602,11.23,
603,16.93,
604,33.52,
605,26.14,
606,369.09,
607,22.13,
608,28.3,
609,9.45,
610,92.51,nuance-communications-inc .
611,22.13,
612,14.86,
613,74.08,
614,17.55,
615,1928.09,
616,47.04,
617,16.93,
618,22.13,
619,14.86,
620,25.77,
621,31.06,
622,22.13,
623,36.67,
624,17.55,
625,43.36,
626,18.5,
627,31.06,
628,43.36,
629,26.14,
630,25.77,
631,14.86,
632,24.81,
633,22.13,
634,6.14,
635,18.5,
636,14.86,
637,29.4,
638,16.93,
639,59.33,
640,31.26,sos-aggregation-company
641,25.77,
642,18.5,
643,34.07,
644,17.55,
