pk,mfg,cost
645,,71.01
646,language-engineering-co-llc,64.25
647,,12.05
648,,272.94
649,true-north-technology-inc .,46.5
650,,24.91
651,,88.83
652,,15.91
653,,16.92
654,,19.07
655,,18.5
656,,8.46
657,,43.94
658,,964.22
659,,17.55
660,,25.77
661,,29.99
662,,23.59
663,,32.28
664,,30.17
665,,3.1
666,,16.01
667,,25.77
668,,14.86
669,,14.86
670,,14.86
671,,7.83
672,,15.9
673,,14.86
674,,29.9
675,,18.5
676,,9.9
677,,53.37
678,,16.93
679,,24.89
680,,14.86
681,,14.86
682,,14.86
683,global-marketing-partners,25.2
684,,14.86
685,,3.44
686,,22.13
687,,10.57
688,,51.21
689,,43.33
690,,29.4
691,,17.1
692,,16.27
693,,36.67
694,,22.13
695,,22.13
696,,14.86
697,,4.93
698,,17.55
699,,14.86
700,,46.42
701,,23.59
702,,26.11
703,,16.93
704,,25.77
705,,51.92
706,,22.13
707,,299.99
708,,14.86
709,,7.17
710,,14.86
711,,18.5
712,,113.86
713,,29.78
714,,18.5
715,,14.86
716,,17.5
717,global-marketing-partners,31.96
718,,29.4
719,,1434.55
720,,108.95
721,,25.54
722,,502.76
723,,108.95
724,,85.89
725,,863.87
726,,23.57
727,,4617.11
728,,842.73
729,ibm software lotus shrinkwrap,76.42
730,,57.98
731,,268.2
732,,87.79
733,,17.97
734,,39.95
735,,322.08
736,,36.6
737,sony-pictures-digital-entertainment,81.97
738,,2549.59
739,,466.12
740,,110.07
741,,33.92
742,,20.78
743,,7.69
744,,47.6
745,,18.97
746,,26.59
747,,7.69
748,,137.13
749,,218.41
750,,85.95
751,,26.59
752,,22.59
753,,18.97
754,,8.44
755,,7.69
756,,29.95
757,,18.97
758,,26.97
759,,34.97
760,,34.97
761,,18.97
762,,7.69
763,,34.97
764,,18.97
765,,7.69
766,,7.69
767,webroot software,31.99
768,,18.97
769,,18.97
770,,19.97
771,,18.97
772,,26.97
773,,34.97
774,,26.97
775,,34.97
776,,25.53
777,,2072.97
778,,29.97
779,apple software,199.0
780,,33.97
781,individual software,24.99
782,punch software,45.99
783,punch software,35.99
784,individual software,24.99
785,freeverse software,28.99
786,,18.97
787,,540.97
788,,1075.97
789,,42.95
790,,329.99
791,,29.99
792,,69.99
793,,69.99
794,,19.99
795,,19.99
796,,18.97
797,,8650.31
798,,723.95
799,,123.04
800,,723.95
801,,189.99
802,,269.99
803,,159.99
804,hewlett-packard - ( consumables ),342.97
805,,199.95
806,apple software,809.0
807,apple software,149.0
808,,89.95
809,,34.97
810,apple software,648.99
811,,515.62
812,,24.95
813,,7.36
814,,14.56
815,,16.01
816,,18.5
817,,24.31
818,,22.13
819,,8.46
820,,18.5
821,,17.55
822,,17.55
823,,22.13
824,,14.86
825,,16.62
826,,18.5
827,,29.4
828,,142.29
829,,19.99
830,,18.77
831,,29.99
832,,17.55
833,,27.99
834,,39.37
835,,9.45
836,,17.55
837,,16.93
838,,31.53
839,,42.99
840,,100.97
841,,22.13
842,,16.93
843,,34.75
844,,22.13
845,,17.55
846,,14.86
847,,36.67
848,,22.13
849,,27.99
850,,24.58
851,,204.67
852,,19.99
853,,18.5
854,,36.67
855,,14.86
856,,202.97
857,,492.01
858,,488.97
859,,22.13
860,,22.13
861,,24.58
862,,472.46
863,,14.86
864,,14.86
865,,22.13
866,,36.67
867,,14.86
868,sony-online-entertainment,49.5
869,synet-electronics-inc .,26.14
870,,22.13
871,,9.45
872,,23.59
873,,14.86
874,global-marketing-partners,236.34
875,,6.84
876,,18.48
877,,22.13
878,,24.81
879,,20.0
880,sega-of-america-inc .,18.77
881,,18.5
882,,25.77
883,,14.86
884,,22.13
885,,25.77
886,,18.5
887,,6.84
888,,25.77
889,,26.11
890,,29.99
891,,249.99
892,,34.99
893,,619.99
894,,34.99
895,,99.99
896,,335.99
897,,82.99
898,,21.99
899,,42.99
900,,69.99
901,,37.99
902,,329.99
