amazon_google_id,book_title,price_value
1935,cd269-b = cisco ios ip/ipx/appletalk complete package cd,291.21
1936,kutoka interactive 61208 mia 's math adventure : just in time !,24.99
1937,bt00hna ibm rational robot v. 6.0.0 media cd win english,108.95
1938,emc auth mgr mnt base 9x5 21m per/u 2005-2500u aut0002500bs21,20.0
1939,babnbr1110s06 brightstor arcserve backup san option for netware v. 11.1 complete packa,1038.22
1940,pafgpcmv01000p0rtpen pcmover complete package 1 user cd win,39.14
1941,hummingbird ltd mampi665000m1100p,175.96
1942,11105108 sygate enterprise protection v. 5.1 media cd win english,16.09
1943,standard anti-virus 100 users w / 1 yr service agreement,374.99
1944,4817l05 vmware drs v. 2 limited subscription 1 year 2 sockets win,193.15
1945,norton systemworks 2007 premier 5-user symantec 10930722,159.75
1946,633808441159 wasp mobileinventory network edition v. 3 product upgrade package 5 us,522.73
1947,vp-wf04-00s1 kofax virtualrescan plus upgrade kit v. 4.0 complete package 1 user,879.93
1948,edelbrock 91140 thermocouple compression fitting for qwikdata,28.39
1949,nova development ghw humorous greeting card factory,29.99
1950,1-57408-058-x suretrak project manager v. 3.0 complete package 1 user cd win,436.71
1951,exmpi555300m1200u exceed 3d 2007 upgrade package 1 user cd win,137.35
1952,symantec 10517904 client security v. 3.1 business pack complete product internet security 50 user ( s ) complete product standard pc - free shipping,1895.97
1953,paper art volume 2 : gift wrapping,6.95
1954,633808390006 wasp mobileasset desktop edition complete package 1 user 1 device win pa,398.92
1955,punch software 85100 master landscape professional & home design v 10.0,61.8
1956,01-ssc-6046 sonicwall csm update service subscription license 3 years 25 users,811.53
1957,garmin bluechart micro sd xpc023r new zealand,123.18
1958,m009a-l00-4 .0 scansoft pdf create ! v. 4.0 complete package 1 user cd win engli,43.21
1959,ipswitch md-7330-2006 std av 1000u rnwl,1267.29
1960,01-ssc-7172 sonicwall cfs standard edition for totalsecure 10/25 series subscription licen,300.54
1961,microsoft windows services for netware v. 5.0 complete package,138.17
1962,babwur1151s31 brightstor arcserve backup for windows agent for mac os xw/sp1 v. 11.5 -,194.34
1963,p17130 adaptive server enterprise v. 11.9 license 1 concurrent user win e,288.57
1964,oscar hernandez 320505 salsa piano,18.5
1965,cadtprnaen150 ca desktop protection suite v. 1.5 complete package 5 users win en,298.13
1966,webroot software inc 31250 spy sweeper spanish,24.81
1967,910620-000 rumba web-to-host for as/400 v. 4.2 license 1 processor tier p30 s,13275.05
