product_id,product_features,current_price,product_desc_name
648,contour design showcase premium protection case for 80 gb ipod classic shcls80b02 for 80 gb ipod classic dual layer hybrid protection shock absorbing rubber combined with crystal clear plastic removable belt clip open and shut case with dual secure sliding latch,,contour design showcase premium protection case for 80 gb ipod classic shcls80b02
649,"samsung 46 ' series 7 lcd black flat panel hdtv ln46a750 touch of color design full 1080p high definition resolution 16:9 widescreen aspect ratio 50,000:1 dynamic contrast ratio 4ms response time srs trusurround xt audio built-in digital tuner ( atsc/clear qam ) picture-in-picture 4 hdmi connections ( 3 rear/1 side ) black with red accent finish",,samsung 46 ' series 7 lcd black flat panel hdtv ln46a750
650,"samsung 40 ' series 7 lcd black flat panel hdtv ln40a750 touch of color design full 1080p high definition resolution 16:9 widescreen aspect ratio 50,000:1 dynamic contrast ratio 4ms response time srs trusurround xt audio built-in digital tuner ( atsc/clear qam ) picture-in-picture 4 hdmi connections ( 3 rear/1 side ) black with red accent finish",,samsung 40 ' series 7 lcd black flat panel hdtv ln40a750
651,mitsubishi 735 series 60 ' 1080p dlp rear projection black hdtv wd60735 1920 x 1080 full hd resolution xvcolor tru1080p processing plush1080p 4d video noise reduction 6-color processor 3d ready front usb input 3 rear hdmi 1.3 inputs black finish,,mitsubishi 735 series 60 ' 1080p dlp rear projection black hdtv wd60735
652,mitsubishi 735 series 65 ' 1080p dlp rear projection black hdtv wd65735 1920 x 1080 full hd resolution xvcolor tru1080p processing plush1080p 4d video noise reduction 6-color processor 3d ready front usb input 3 rear hdmi 1.3 inputs black finish,,mitsubishi 735 series 65 ' 1080p dlp rear projection black hdtv wd65735
653,mitsubishi 736 series 65 ' 1080p dlp rear projection black hdtv wd65736 1920 x 1080 full hd resolution xvcolor tru1080p processing plush1080p 4d video noise reduction 6-color processor deepfield imager 3d ready netcommand ir front usb and hdmi input 3 rear hdmi 1.3 inputs black finish,,mitsubishi 736 series 65 ' 1080p dlp rear projection black hdtv wd65736
654,"panasonic viera 50 ' plasma flat panel black hdtv th50pz800u 1920 x 1080 full hd resolution one-sheet glass design anti-reflective screen 4096 shades of gradation 1,000,000:1 dynamic contrast ratio 24p film mode thx certified viera link deep color x.v.color digital comb filter 3d color management motion pattern noise reduction black finish",,panasonic viera 50 ' plasma flat panel black hdtv th50pz800u
655,lacie 500gb d2 quadra external hard drive 301825u quadruple interface for full pc and mac compatibility interface bandwidth up to 3gbits/s ( esata ) advanced aluminum heat sink design cooling system for quiet operation 7200 rotational speed ( rpm ) 16mb cache compatible with time machine,159.0,lacie 500gb d2 quadra external hard drive 301825u
656,onkyo black cd receiver system cs325 14 watts per channel wide range amplifier technology plays audio cds and mp3s mp3 settings 4-mode timer ipod compatible with ri dock super bass function battery free memory backup black finish,,onkyo black cd receiver system cs325
657,panasonic dect 6.0 black expandable digital cordless phone kxtg9361b drop and splash resistant multi-handset capability ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black finish,48.0,panasonic dect 6.0 black expandable digital cordless phone kxtg9361b
658,sony 1gb memory stick pro duo mark 2 media card msmt1g 160 mbps transfer speed 940mb actual capacity,19.0,sony 1gb memory stick pro duo mark 2 media card msmt1g
659,sony 2gb memory stick pro duo mark 2 media card msmt2g 160 mbps transfer speed 1.85 gb actual capacity,29.99,sony 2gb memory stick pro duo mark 2 media card msmt2g
660,sony 4gb memory stick pro duo mark 2 media card msmt4g 160 mbps transfer speed ideal for avchd recording 3.66 gb actual capacity,,sony 4gb memory stick pro duo mark 2 media card msmt4g
661,sony 8gb memory stick pro duo mark 2 media card msmt8g 160 mbps transfer speed ideal for avchd recording 7.35 gb actual capacity,,sony 8gb memory stick pro duo mark 2 media card msmt8g
662,"sony 16gb memory stick pro duo mark 2 media card msmt16g 160 mbps transfer speed captures approximately 5 hours of hd recording holds up to approximately 4,500 8 megapixel images 14.9 gb actual capacity",,sony 16gb memory stick pro duo mark 2 media card msmt16g
663,"canon bci-6 multipack ink tanks 4705a018 includes 1 black , 1 magneta , 1 light magenta , 1 cyan , 1 light cyan , and 1 yellow cartridge bci-6 color inkjet cartridge for canon i9900 & pixma ip8500 series printers",,canon bci-6 multipack ink tanks 4705a018
664,panasonic dect 6.0 black expandable digital cordless phone system kxtg9372b drop and splash resistant 2 handsets up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black finish,,panasonic dect 6.0 black expandable digital cordless phone system kxtg9372b
665,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t 2 handsets up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t
666,"samsung 52 ' series 7 black flat panel lcd hdtv ln52a750 1920 x 1080 full hd resolution 50,000:1 dynamic contrast ratio 4ms response time srs trusurround xt touch of color design auto motion plus 120hz ultra clear panel pre-loaded content black finish",,samsung 52 ' series 7 black flat panel lcd hdtv ln52a750
667,"canon pg-40 black ink cartridge twin pack pg40tbk compatible with canon fax-jx200 , pixma ip1600 , pixma ip1700 , pixma ip6000d , pixma mp150 , pixma mp160 , pixma mp170 , pixma mp180 , pixma mp450 , pixma mp460 black ink",,canon pg-40 black ink cartridge twin pack pg40tbk
668,pioneer black premier single cd receiver dehp700bt built-in bluetooth solution usb direct control for ipod advanced sound retriever 3 rca hi-volt preouts two-way crossover built-in mosfet 50 w x 4 amplifier supertuner iiid amplifier off mode display off mode,308.0,pioneer black premier single cd receiver dehp700bt
669,sony dslr-a350 digital camera and 18-70mm zoom lens dslra350k 14.2 megapixel tiltable 2.7 clear photo lcd plus screen smart teleconverter 2x zoom bionz image processor super steadyshot in-camera image stabilization anti-dust technology eye-start autofocus system auto pop-up flash black finish,,sony dslr-a350 digital camera and 18-70mm zoom lens dslra350k
670,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,,speck seethru clear hard shell case for macbook air mbaclrsee
671,speck seethru pink hard shell case for macbook air mbapnksee thin and sleek protective case access to all ports 2-piece snap on pink finish,,speck seethru pink hard shell case for macbook air mbapnksee
672,"sony picture station digital photo printer dppfp95 hdmi output lab-quality prints in 45 seconds one-button auto touch-up compatible with memory stick , sd , compact flash , and xd card white finish",,sony picture station digital photo printer dppfp95
673,lg stainless steel freestanding electric range lre30453ss 5.6 cu . ft. capacity touch controls evenjet convection system wideview window 5 cooktop elements with warming zone auto recipe conversion self-cleaning gocook smart oven light storage drawer stainless steel finish,,lg stainless steel freestanding electric range lre30453ss
674,sony 19 ' bravia m-series silver lcd flat panel hdtv kdl19m4000s 720p resolution ( 1440x900 ) up to 1080/60p input capable via hdmi mpeg noise reduction 3d comb filter atsc/ntsc tuner with qam vesa hole spacing compatible cinemotion reverse 3:2 pulldown technology silver finish,,sony 19 ' bravia m-series silver lcd flat panel hdtv kdl19m4000s
675,"sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000 1366 x 768p resolution advanced contrast enhancer circuit ( ace ) bravia engine fully digital video processor atsc/ntsc tuner with qam 9,000:1 dynamic contrast ratio 3d comb filter black finish",,sony 26 ' bravia m-series black lcd flat panel hdtv kdl26m4000
676,lg ldc22720st 22 cu . ft. stainless steel bottom freezer refrigerator ldc22720ss 4 split tempered glass shelves upfront digital temperature controls 2 clear humidity controlled crispers multi-air flow cooling iceplus accelerated freezing function lodecibel quiet operation bioshield anti-bacterial door seal freezer drawer stainless steel finish,,lg ldc22720st 22 cu . ft. smooth white bottom freezer refrigerator ldc22720ss
677,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100
678,tomtom one 130s car gps navigation system 1ee005202 3.5 ' lcd anti-glare touch screen pre-installed maps internal lithium-ion battery car speed linked volume automatic day/night mode quickgpsfix text-to-speech included,246.95,tomtom one 130s car gps navigation system 1ee005202
679,tomtom one xl 330 car gps navigation system 1eg005200 4.3 ' lcd anti-glare touch screen pre-installed maps internal lithium-ion battery car speed linked volume automatic day/night mode quickgpsfix,246.95,tomtom one xl 330 car gps navigation system 1eg005200
680,"sony 32 ' bravia l-series black lcd flat panel hdtv kdl32l4000 1366 x 768 resolution up to 1080/60p input capable via hdmi atsc/ntsc tuner with qam 2,000:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d digital comb filter vesa hole spacing compatible black finish",,sony 32 ' bravia l-series black lcd flat panel hdtv kdl32l4000
681,tomtom one xl 330s car gps navigation system 1eg005201 4.3 ' lcd anti-glare touch screen pre-installed maps internal lithium-ion battery car speed linked volume automatic day/night mode quickgpsfix text-to-speech included,296.95,tomtom one xl 330s car gps navigation system 1eg005201
682,"sony 46 ' bravia w-series black lcd flat panel hdtv kdl46w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology silver with black finish",,sony 46 ' bravia w-series black lcd flat panel hdtv kdl46w4100
683,"sony 52 ' bravia v-series 1080p lcd flat panel hdtv kdl52v4100 1920 x 1080 full hd resolution digital media extender ( dmex ) advanced contrast enhancer ( ace ) 24p true cinema 25,000:1 dynamic contrast ratio mpeg noise reduction 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",,sony 52 ' bravia v-series black lcd flat panel hdtv kdl52v4100
684,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",,sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100
685,sony black 9 megapixel cyber-shot digital camera dsch50b 9 megapixels 3.0 ' tilt-up clear photo lcd plus display carl zeiss 15x optical zoom lens 15 mb internal memory versatile long distance flash smart zoom in-camera red-eye correction smile shutter technology face detection in-camera retouching super steadyshot optical image stabilization double anti-blur solution hdtv compatibility nightshot infrared system black finish,,sony black 9 megapixel cyber-shot digital camera dsch50b
686,onkyo 7.1-channel home theater black receiver txsr606b 90 watts per channel power amplifier hdmi 1080i upscaling powered by faroudja dcdi edge truehd and dts-hd decoding hdmi v1 .3 a repeater optimum gain volume audyssey dynamic eq analog to hdmi upconversion music optimizer av sync black finish,,onkyo 7.1-channel home theater black receiver txsr606b
687,sony black 13.6 megapixel cyber-shot digital camera dscw300 13.6 megapixel carl zeiss 3x optical zoom lens 2.7 ' clear photo lcd display in-camera retouching 15 mb internal memory in-camera red-eye correction super steadyshot optical image stabilization double anti-blur solution black finish,,sony black 13.6 megapixel cyber-shot digital camera dscw300
688,sony black camcorder tripod vct80av 3 stage leg extension extends from 24.88 ' to 65.88 ' in height guide frame feature available vertical position for a/v remote connector supplied carrying case black finish,180.0,sony black camcorder tripod vct80av
689,lg black freestanding electric range lre30757bk 5.6 cu . ft. capacity dual convection self-cleaning touch controls ceramic cooktop wideview window warming drawer interior oven light black finish,,lg black freestanding electric range lre30757bk
690,lg stainless steel freestanding electric range lre30757ss 5.6 cu . ft. capacity dual convection self-cleaning touch controls ceramic cooktop wideview window warming drawer interior oven light stainless steel finish,,lg stainless steel freestanding electric range lre30757ss
