beer_serial,drink_style,vol_alc,brewer_name,beer_title
0,American Amber / Red Ale,7.50 %,TrÃ ¶ egs Brewing Company,TrÃ ¶ egs Nugget Nectar
1,American Amber / Red Ale,5.20 %,New Belgium Brewing,Fat Tire Amber Ale
2,American Amber / Red Ale,4.40 %,Stone Brewing Co. .,Levitation Ale
3,American Amber / Red Ale,8.10 %,Green Flash Brewing Co. .,Green Flash Hop Head Red Ale
4,American Amber / Red Ale,6.00 %,TrÃ ¶ egs Brewing Company,TrÃ ¶ egs Hopback Amber Ale
5,American Amber / Red Ale,6.20 %,Sierra Nevada Brewing Co. .,Flipside Red IPA
6,American Amber / Red Ale,6.75 %,Lagunitas Brewing Company,Censored
7,American Amber / Red Ale,6.80 %,Bear Republic Brewing Co. .,Red Rocket Ale
8,American Amber / Red Ale,8.00 %,Great Lakes Brewing Co. .,Great Lakes Nosferatu
9,American Amber / Red Ale,7.80 %,Lagunitas Brewing Company,Lagunitas Imperial Red Ale
10,American Amber / Red Ale,7.20 %,Maine Beer Company,Zoe
11,American Amber / Red Ale,5.30 %,Rogue Ales,Santa 's Private Reserve Ale
12,American Amber / Red Ale,8.65 %,Lagunitas Brewing Company,Lagunitas Lucky 13 Mondo Large Red Ale
13,American Amber / Red Ale,5.40 %,North Coast Brewing Co. .,Ruedrich 's Red Seal Ale
14,American Amber / Red Ale,5.80 %,Anderson Valley Brewing Company,Boont Amber Ale
15,American Amber / Red Ale,5.30 %,Rogue Ales,American Amber Ale
16,American Amber / Red Ale,5.80 %,Highland Brewing,Highland Gaelic Ale
17,American Amber / Red Ale,7.40 %,Cigar City Brewing,Tocobaga Red Ale
18,American Amber / Red Ale,5.50 %,Ballast Point Brewing Company,Calico Copper Amber Ale
19,American Amber / Red Ale,4.40 %,Breckenridge Brewery,Avalanche Ale
20,American Amber / Red Ale,7.00 %,Ithaca Beer Company,CascaZilla
21,American Amber / Red Ale,5.50 %,Full Sail Brewery & Tasting Room & Pub,Full Sail Amber
22,American Amber / Red Ale,5.10 %,Rogue Ales,St. Rogue Red
23,American Amber / Red Ale,6.10 %,Mendocino Brewing Company,Red Tail Ale
24,American Amber / Red Ale,6.10 %,Speakeasy Ales & Lagers,Prohibition Ale
25,American Amber / Red Ale,7.00 %,Sixpoint Brewery,Global Warmer
26,American Amber / Red Ale,6.80 %,Modern Times Beer,Blazing World
27,American Amber / Red Ale,7.00 %,Maine Beer Company,Red Wheelbarrow
28,American Amber / Red Ale,6.00 %,Anchor Brewing Company,Anchor BigLeaf Maple Autumn Red
29,American Amber / Red Ale,10.00 %,Ballast Point Brewing Company,Tongue Buckler - Imperial Red Ale
30,American Amber / Red Ale,6.00 %,New Belgium Brewing,Red Hoptober
31,American Amber / Red Ale,6.20 %,Rogue Ales,Captain Sig 's Northwestern Ale
32,American Amber / Red Ale,5.00 %,BrewDog,Five AM
33,American Amber / Red Ale,8.50 %,AleSmith Brewing Company,YuleSmith ( Winter )
34,American Amber / Red Ale,9.00 %,Port Brewing,Shark Attack Double Red Ale
35,American Amber / Red Ale,5.00 %,Switchback Brewing Company,Switchback Ale
36,American Amber / Red Ale,6.50 %,Odell Brewing Company,Runoff Red IPA
37,American Amber / Red Ale,5.40 %,Humboldt Brewing Co. .,Red Nectar
38,American Amber / Red Ale,6.80 %,Ale Asylum,Ambergeddon
39,American Amber / Red Ale,10.30 %,Terrapin Beer Company,Terrapin Oaked Big Hoppy Monster
40,American Amber / Red Ale,5.40 %,Weyerbacher Brewing Co. .,AutumnFest
41,American Amber / Red Ale,6.66 %,AleSmith Brewing Company,AleSmith My Bloody Valentine
42,American Amber / Red Ale,7.50 %,BridgePort Brewing Co. / Brewpub,Kingpin Double Red Ale
43,American Amber / Red Ale,6.90 %,The Bruery,Loakal Red
44,American Amber / Red Ale,8.00 %,Sierra Nevada Brewing Co. .,Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale )
45,American Amber / Red Ale,5.80 %,Redhook Ale Brewery,Redhook Copperhook
46,American Amber / Red Ale,5.50 %,The Duck-Rabbit Craft Brewery,Duck-Rabbit Amber Ale
47,American Amber / Red Ale,5.70 %,Boston Beer Company ( Samuel Adams ),Samuel Adams Mighty Oak Ale
48,American Amber / Red Ale,6.90 %,Ninkasi Brewing Company,Believer
49,American Amber / Red Ale,5.70 %,Coronado Brewing Company,Mermaid 's Red Ale
50,American Amber / Red Ale,6.50 %,Mad River Brewing Company,Jamaica Red Ale
51,American Amber / Red Ale,6.10 %,Revolution Brewing Company,Fistmas
52,American Amber / Red Ale,5.50 %,Saint Arnold Brewing Company,Saint Arnold Amber Ale
53,American Amber / Red Ale,8.50 %,Grand Teton Brewing Co. .,Pursuit Of Hoppiness
54,American Amber / Red Ale,7.30 %,Local Option,Mourning Wood
55,American Amber / Red Ale,5.90 %,Coors Brewing Company,Blue Moon Valencia Amber Ale
56,American Amber / Red Ale,5.70 %,New Glarus Brewing Company,Snowshoe Red Ale
57,American Amber / Red Ale,6.50 %,Pipeworks Brewing Company,Blood Of The Unicorn
58,American Amber / Red Ale,6.66 %,AleSmith Brewing Company,AleSmith Evil Dead Red
59,American Amber / Red Ale,5.25 %,New Holland Brewing Company,New Holland Sundog Amber Ale
60,American Amber / Red Ale,5.30 %,Deschutes Brewery,Cinder Cone Red
61,American Amber / Red Ale,5.50 %,Dark Horse Brewing Company,Dark Horse Amber Ale
62,American Amber / Red Ale,5.70 %,Red Brick Brewing Company,Laughing Skull Amber Ale
63,American Amber / Red Ale,5.00 %,Widmer Brothers Brewing Company,Drop Top Amber
64,American Amber / Red Ale,5.90 %,Thirsty Dog Brewing Company,Hoppus Maximus
65,American Amber / Red Ale,8.00 %,Finch 's Beer Co. .,Fascist Pig Ale
66,American Amber / Red Ale,8.50 %,Sierra Nevada Brewing Co. .,Blood Shot - Beer Camp # 95
67,American Amber / Red Ale,7.00 %,Evil Twin Brewing,Evil Twin Hop Flood
68,American Amber / Red Ale,4.80 %,Florida Beer Company,Key West Sunset Ale
69,American Amber / Red Ale,5.50 %,Lost Coast Brewery and Cafe,Alleycat Amber
70,American Amber / Red Ale,5.20 %,Mac and Jack 's Brewery,African Amber
71,American Amber / Red Ale,5.00 %,Odell Brewing Company,Odell Levity Amber Ale
72,American Amber / Red Ale,6.50 %,Brewery Vivant,Big Red Coq
73,American Amber / Red Ale,7.00 %,Blue Point Brewing Company,Blue Point Winter Ale
74,American Amber / Red Ale,7.00 %,Flying Fish Brewing Company,Red Fish
75,American Amber / Red Ale,5.30 %,The Fort Collins Brewery,Red Banshee
76,American Amber / Red Ale,5.20 %,Deschutes Brewery,Green Lakes Organic Ale
77,American Amber / Red Ale,5.40 %,Coors Brewing Company,Blue Moon Rising Moon Spring Ale
78,American Amber / Red Ale,6.80 %,Heretic Brewing Company,Evil Twin
79,American Amber / Red Ale,4.90 %,Natty Greene 's Pub & Brewing Co. .,Buckshot Amber Ale
80,American Amber / Red Ale,5.50 %,O'Fallon Brewery,Hemp Hop Rye
81,American Amber / Red Ale,9.50 %,Two Brothers Brewing Company,Revelry
82,American Amber / Red Ale,5.15 %,Ska Brewing Co. .,Pinstripe Red Ale
83,American Amber / Red Ale,5.20 %,Coastal Extreme Brewing Co. .,Newport Storm Hurricane Amber Ale
84,American Amber / Red Ale,5.90 %,Redhook Ale Brewery,Redhook Late Harvest Autumn Ale
85,American Amber / Red Ale,9.00 %,Rogue Ales,XS Imperial Red
86,American Amber / Red Ale,5.60 %,Elysian Brewing Company,The Men 's Room Ale
87,American Amber / Red Ale,5.00 %,Belfast Bay Brewing Co. .,Lobster Ale
88,American Amber / Red Ale,5.30 %,Mayflower Brewing Company,Mayflower Spring Hop
89,American Amber / Red Ale,6.00 %,New Belgium Brewing,Giddy Up !
90,American Amber / Red Ale,6.20 %,Stoudts Brewing Co. .,Revel Red
91,American Amber / Red Ale,5.00 %,Cottrell Brewing Co. .,Old Yankee Ale
92,American Amber / Red Ale,7.00 %,Ninkasi Brewing Company,Dawn Of The Red I.R.A. Ale
93,American Amber / Red Ale,7.90 %,Long Trail Brewing Co. .,Centennial Red ( Brewmaster Series )
94,American Amber / Red Ale,4.80 %,Central Waters Brewing Co. .,Ouisconsing Red Ale
95,American Amber / Red Ale,5.40 %,Caldera Brewing Company,Ashland Amber
96,American Amber / Red Ale,4.50 %,Jackie O 's Pub & Brewery,Firefly Amber Ale
97,American Amber / Red Ale,6.00 %,4 Hands Brewing Co. .,Reprise Centennial Red
98,American Amber / Red Ale,5.50 %,Flying Fish Brewing Company,ESB Amber Ale
99,American Amber / Red Ale,8.50 %,Alaskan Brewing Co. .,Alaskan Imperial Red Ale ( Pilot Series )
100,American Amber / Red Ale,5.10 %,Portland Brewing Company,MacTarnahan 's Amber Ale
101,American Amber / Red Ale,5.50 %,Palmetto Brewing Company,Palmetto Amber
102,American Amber / Red Ale,6.50 %,Steel Toe Brewing,Rainmaker
103,American Amber / Red Ale,6.50 %,Half Acre Beer Company,Ginger Twin
104,American Amber / Red Ale,6.50 %,Marble Brewery,Marble Red Ale
105,American Amber / Red Ale,5.20 %,The Fort Collins Brewery,Retro Red
106,American Amber / Red Ale,7.20 %,Napa Smith Brewery,Lost Dog
107,American Amber / Red Ale,5.60 %,Coors Brewing Company,Blue Moon Spiced Amber Ale
108,American Amber / Red Ale,6.60 %,Three Heads Brewing,Loopy Oatmeal Red Ale
109,American Amber / Red Ale,8.80 %,Revolution Brewing Company,Red Skull
110,American Amber / Red Ale,7.00 %,Peak Organic Brewing Company,Peak Organic Espresso Amber Ale
111,American Amber / Red Ale,4.95 %,Pizza Port Solana Beach,Chronic Ale
112,American Amber / Red Ale,-,Central Waters Brewing Co. .,Shine On Ale
113,American Amber / Red Ale,5.00 %,Alexander Keith 's,Alexander Keith 's Red Amber Ale
114,American Amber / Red Ale,4.50 %,River Horse Brewing Co. .,River Horse Special Ale
115,American Amber / Red Ale,5.25 %,Crazy Mountain Brewing Company,Crazy Mountain Amber Ale
116,American Amber / Red Ale,5.50 %,Inlet Brewing Co. .,Monk In The Trunk
117,American Amber / Red Ale,4.80 %,World Brews,Tap Room No. 21 Amber Ale
118,American Amber / Red Ale,5.70 %,Kirkland Signature / Costco Wholesale Corporation,Kirkland Signature Amber Ale
119,American Amber / Red Ale,6.00 %,Parallel 49 Brewing Company,Gypsy Tears Ruby Ale
120,American Amber / Red Ale,4.80 %,Rock Art Brewery,American Red Ale
121,American Amber / Red Ale,9.40 %,Fat Head 's Brewery & Saloon,Bonehead Imperial Red
122,American Amber / Red Ale,4.80 %,Independence Brewing Co. .,Austin Amber Ale
123,American Amber / Red Ale,6.00 %,Port Brewing,Shark Bite Red Ale
124,American Amber / Red Ale,5.20 %,Spanish Peaks Brewing Co. .,Black Dog Ale
125,American Amber / Red Ale,9.00 %,Cambridge Brewing Company,Red God
126,American Amber / Red Ale,5.50 %,Steinhaus Brewing Co. .,Jumping Cow Amber Ale
127,American Amber / Red Ale,6.10 %,Coop Ale Works,Native Amber
128,American Amber / Red Ale,5.80 %,Rush River Brewing Company,The Unforgiven Amber Ale
129,American Amber / Red Ale,5.20 %,Blitz-Weinhard Brewing Co. .,Henry Weinhard 's Redwood Flats Amber Ale
130,American Amber / Red Ale,5.20 %,Adirondack Pub & Brewery,Bear Naked Ale
131,American Amber / Red Ale,-,New Holland Brewing Company,New Holland Red Tulip Ale
132,American Amber / Red Ale,12.00 %,Clown Shoes,Rexx
133,American Amber / Red Ale,5.00 %,North Peak Brewing Company,North Peak Siren Amber
134,American Amber / Red Ale,5.30 %,Grand Teton Brewing Co. .,Amber Ale
135,American Amber / Red Ale,5.00 %,Flying Bison Brewing Company,Rusty Chain
136,American Amber / Red Ale,8.20 %,Mountain Town Brewing Co. .,Train Wreck Ale
137,American Amber / Red Ale,5.20 %,Wachusett Brewing Company,Wachusett Octoberfest Ale
138,American Amber / Red Ale,8.60 %,Mad River Brewing Company,Double Dread Imperial Red Ale
139,American Amber / Red Ale,5.40 %,Lost Nation Brewing,Rustic Ale
140,American Amber / Red Ale,8.50 %,Fulton Beer,The Libertine
141,American Amber / Red Ale,8.30 %,Short 's Brewing Company,Aorta Ale ( Double Red Ale )
142,American Amber / Red Ale,4.75 %,Finnegans Inc. .,Finnegans Irish Amber
143,American Amber / Red Ale,5.00 %,Philadelphia Brewing Company,Rowhouse Red
144,American Amber / Red Ale,9.50 %,Peak Organic Brewing Company,Peak Organic King Crimson
145,American Amber / Red Ale,4.80 %,Milwaukee Ale House,Louie 's Demise
146,American Amber / Red Ale,5.50 %,West Sixth Brewing Company,West Sixth Amber
147,American Amber / Red Ale,6.00 %,MadTree Brewing,Happy Amber
148,American Amber / Red Ale,6.80 %,Thomas Creek Brewery,Thomas Creek Appalachian Amber Ale
149,American Amber / Red Ale,5.50 %,Cape Cod Beer,Cape Cod Red
150,American Amber / Red Ale,5.60 %,Bissell Brothers Brewing Co. .,Bucolia
151,American Amber / Red Ale,4.40 %,Sebago Brewing Company,Runabout Red Ale
152,American Amber / Red Ale,9.00 %,Pipeworks Brewing Company,Sam Vs. Unicorn
