beer_key,alcohol_by_volume,brewery_name,style_type,beer_desc
869,5.30 %,Microbrasserie La Chouape,American Amber / Red Ale,AmbrÃ © e AmÃ ¨ re
870,5.00 %,Chelsea Brewing Company,American Amber / Red Ale,Chelsea Sunset Red
871,7.20 %,Fernie Brewing Co. .,American Amber / Red Ale,Rockpile
872,4.14 %,Argus Brewery,American Amber / Red Ale,Country House Red Ale
873,6.30 %,Lithia Brewing Company,American Amber / Red Ale,Regner Red Ale
874,6.80 %,Exit 6 Brewery,American Amber / Red Ale,Ryane 's Red
875,5.75 %,Wicked Weed Brewing,American Amber / Red Ale,Old Fashioned
876,8.00 %,Drake 's Brewing Co. .,American Amber / Red Ale,Exxpedition Imperial Red Ale
877,-,Carver Brewing Co. .,American Amber / Red Ale,Old Oak Amber Ale
878,-,Sprague Farm & Brew Works,American Amber / Red Ale,Rust Belt
879,5.50 %,Maui Brewing Co. .,American Amber / Red Ale,Barefoot Brew
880,6.20 %,Spinnakers Gastro Brewpub & Guesthouse,American Amber / Red Ale,North West Ale
881,6.30 %,Buxton Brewery,American Amber / Red Ale,High Tor
882,5.00 %,Ice Axe Grill / Mt. Hood Brewing Co. .,American Amber / Red Ale,Cloudcap Amber Ale
883,4.70 %,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,BJ 's Oasis
884,5.50 %,Kulshan Brewing Company,American Amber / Red Ale,Red Cap
885,-,Market Street Brewing Co. and Restaurant,American Amber / Red Ale,Market Street Wrought Iron Red
886,6.90 %,Black Bottle Brewery,American Amber / Red Ale,Ginger
887,6.90 %,903 Brewers,American Amber / Red Ale,Roo 's Red Ale
888,5.50 %,Nano Brew Cleveland,American Amber / Red Ale,Namber Ale
889,6.80 %,Eight Degrees Brewing,American Amber / Red Ale,Amber Ella
890,5.50 %,Indian Wells Brewing Company,American Amber / Red Ale,Ballistic Brewing Co. - Gorgon Red Ale
891,4.80 %,Thunder Canyon Brewery,American Amber / Red Ale,Thunder Canyon Deep Canyon Amber Ale
892,5.00 %,Alligator Brewing Company,American Amber / Red Ale,Habanero Smoked Ale
893,5.40 %,McKenzie Brewing Company,American Amber / Red Ale,Raging Rhino Red
894,5.00 %,Latitude 42 Brewing Company,American Amber / Red Ale,Schoolhouse Honey Amber Ale
895,5.20 %,Barrel Harbor Brewing,American Amber / Red Ale,Barrel Harbor Red Ale
896,4.20 %,Lonerider Brewing Company,American Amber / Red Ale,Eve Amber Ale
897,5.90 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Raccoon Red Ale
898,4.50 %,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,American Amber / Red Ale,Julesnadder
899,6.30 %,Kauai Island Brewery & Grill,American Amber / Red Ale,Cane Fire Red
900,5.50 %,Brutopia Brewery,American Amber / Red Ale,Brutopian Valhalla
901,8.00 %,Yalobusha Brewing Company,American Amber / Red Ale,Heavy Hitter
902,6.30 %,The Actual Brewing Co. .,American Amber / Red Ale,Elektron
903,6.70 %,Seaside Brewing Company,American Amber / Red Ale,North Coast Red Ale
904,6.70 %,Buoy Beer Company,American Amber / Red Ale,Buoy NW Red Ale
905,8.00 %,Silver Peak Restaurant & Brewery,American Amber / Red Ale,Red Roadster
906,-,C.B. & Potts,American Amber / Red Ale,Big Horn Buttface Amber Ale
907,7.20 %,Vindication Brewing Co. .,American Amber / Red Ale,American Bold Ale
908,5.00 %,F&M Brewery,American Amber / Red Ale,Stone Hammer Maple Red Ale
909,-,Empire Brewing Company,American Amber / Red Ale,Otto Amber
910,8.50 %,Fulton Beer,American Amber / Red Ale,High West Barrel Aged Libertine
911,5.90 %,SoCal Beer Company,American Amber / Red Ale,Red Carpet Ale
912,6.00 %,Standing Stone Brewing Company,American Amber / Red Ale,Standing Stone Amber Ale
913,6.00 %,Northwest Brewing Company,American Amber / Red Ale,Joker Amber
914,5.40 %,Cask & Larder,American Amber / Red Ale,Red Drum
915,6.70 %,Lost Rhino Brewing Company,American Amber / Red Ale,Native Son
916,6.50 %,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale,Red Giant Ale
917,5.10 %,Happy Valley Brewing Company,American Amber / Red Ale,Knuckleball
918,7.40 %,Feral Brewing Co. .,American Amber / Red Ale,Fantapants
919,4.80 %,Sharp 's Brewery,American Amber / Red Ale,Wolf Rock
920,4.00 %,Bricktown Brewery,American Amber / Red Ale,Remington Red
921,6.30 %,South County Brewing Co. .,American Amber / Red Ale,AmericAle
922,5.30 %,Johansson 's Dining House,American Amber / Red Ale,Whistle Stop Amber
923,5.10 %,Hops Grillhouse & Brewery,American Amber / Red Ale,Thoroughbred Red
924,5.82 %,Wichita Brewing Co. & Pizzeria West,American Amber / Red Ale,5:02 Amber
925,4.80 %,Wolf Hills Brewing Company,American Amber / Red Ale,Creeper Trail Amber Ale
926,-,Hood Canal Brewing,American Amber / Red Ale,Agate Pass Amber
927,-,Skookum Brewery,American Amber / Red Ale,Amber 's Hot Friend
928,5.60 %,Frankenmuth Brewery,American Amber / Red Ale,Old Detroit Amber Ale
929,5.20 %,Endeavour Beverages,American Amber / Red Ale,2010 Reserve Amber Ale
930,5.40 %,Hollister Brewing Co. .,American Amber / Red Ale,Table 42 Red
931,4.70 %,Sand Creek Brewing Company,American Amber / Red Ale,4 Brothers Sibling Rivalry
932,-,Minneapolis Town Hall Brewery,American Amber / Red Ale,Rise Of The Phoenix
933,6.50 %,Crow Peak Brewing,American Amber / Red Ale,Red Water
934,5.10 %,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Penn 's Curse Amber
935,7.30 %,Minneapolis Town Hall Brewery,American Amber / Red Ale,Anniversary Ale 2014
936,6.66 %,Acoustic Ales Brewing Experiment,American Amber / Red Ale,Mosh Pit
937,6.20 %,Stony Creek Brewery,American Amber / Red Ale,Crum
938,5.50 %,_ lvisholt BrugghÃºs,American Amber / Red Ale,MÃ ³ ri
939,5.20 %,New Belgium Brewing,American Amber / Red Ale,Fat Tire
940,7.10 %,Birra Del Borgo,American Amber / Red Ale,BdbBi ( G ) Bodyibu
941,5.00 %,Moskovskaya Pivovarennaya Kompaniya,American Amber / Red Ale,Ale Mohnaty Shmel
942,5.50 %,Minneapolis Town Hall Brewery,American Amber / Red Ale,Columbus Red
943,5.50 %,CODA Brewing Co. .,American Amber / Red Ale,Dogcatcher
944,8.00 %,Sick N Twisted Brewing Co. .,American Amber / Red Ale,Naughty Redhead Imperial Red Ale
945,6.00 %,Belching Beaver Brewery,American Amber / Red Ale,Blushing Beaver
946,8.90 %,Indiana City Brewing Company,American Amber / Red Ale,Crimson Bombshell
947,-,Firestone Walker Brewing Co. .,American Amber / Red Ale,Yard House Amber Ale
948,6.00 %,GoodLife Brewing Company & Bier Hall,American Amber / Red Ale,Redside India Red Ale
949,8.50 %,Wicked Weed Brewing,American Amber / Red Ale,Comet
