beer_ref,producer_name,beer_nm,beer_style,alc_vol
1738,Sonoran Brewing Company,Desert Amber,American Amber / Red Ale,5.20 %
1739,Gonzo 's Biggdogg Brewing,Unloosened Ale,American Amber / Red Ale,7.00 %
1740,Breakside Brewery,Breakside Hoppy Amber,American Amber / Red Ale,7.00 %
1741,Millersburg Brewing Company,Bags Best Red Ale,American Amber / Red Ale,6.50 %
1742,Triptych Brewing,Imperial Red XPA,American Amber / Red Ale,8.50 %
1743,Flying Bison Brewing Company,Red 's Heaven 15th Anniversary Imperial Red Ale,American Amber / Red Ale,8.30 %
1744,Bomber Brewing,Marzen Amber Lager,American Amber / Red Ale,5.50 %
1745,Amager Bryghus,Red Nitro,American Amber / Red Ale,8.50 %
1746,Wicked Weed Brewing,Eldo Amber,American Amber / Red Ale,7.00 %
1747,Ebenezer 's Brewpub / Lively Brewing Co. .,Knife 's Edge Red ( Katahdin Red ),American Amber / Red Ale,-
1748,The Rock Wood Fire Pizza & Brewery,Rock Steady Red,American Amber / Red Ale,5.00 %
1749,Port Aransas Brewing Company,Bull Red Ale,American Amber / Red Ale,-
1750,Drygate Brewery,Reflex,American Amber / Red Ale,4.20 %
1751,La Diable,Diable,American Amber / Red Ale,4.00 %
1752,Ten Sleep Brewing Company,Outlaw Amber,American Amber / Red Ale,6.00 %
1753,Northport Brewing,Morazon Amber,American Amber / Red Ale,6.20 %
1754,Minneapolis Town Hall Brewery,Blackberry Crimson Oat,American Amber / Red Ale,6.00 %
1755,Due South Brewing Co. .,Batch 200 _ `` Olympus Mons Imperial Red Ale,American Amber / Red Ale,9.20 %
1756,Escape Craft Brewery,Road Rage Imperial Red,American Amber / Red Ale,10.00 %
1757,Burn 'Em Brewing,Red Zeppelin,American Amber / Red Ale,6.20 %
1758,Rivertowne Pourhouse,Rivertowne Red Head Red,American Amber / Red Ale,5.30 %
1759,Rivertowne Pourhouse,Leap Beer,American Amber / Red Ale,6.70 %
1760,Guild Hall Brewing Company,Shakedown,American Amber / Red Ale,4.80 %
1761,Nuevo Mundo CervecerÃa,AMAZ ',American Amber / Red Ale,6.10 %
1762,Ulele,Rusty 's Red,American Amber / Red Ale,5.50 %
