beer_key,beer_class,beer_alc_content,brew_product,brewery_factory
2607,American Amber / Red Ale,8.50 %,Sunset Imperial Amber,The Hop Garden
2608,American Amber / Red Ale,-,12 Oaks Amber,Humperdinks Texas LLC
2609,American Amber / Red Ale,5.50 %,Magnum P.A.,Rivertowne Pourhouse
2610,American Amber / Red Ale,5.30 %,S'Morris Day And The Time,Pinthouse Pizza Craft Brewpub
2611,American Amber / Red Ale,3.50 %,60 Schillings Cask,Brasserie Artisanale Albion
2612,American Amber / Red Ale,5.70 %,Aketoberfest Harvest Ale,Puyallup River Brewing
2613,American Amber / Red Ale,6.00 %,Rawhide Red,The Stumbling Steer
2614,American Amber / Red Ale,7.20 %,Killer Red Fresh Hop India Red Ale,Double Mountain Brewery & Taproom
2615,American Amber / Red Ale,7.00 %,Sunday Barbecue Amber,Cheyenne Brewing Company
2616,American Amber / Red Ale,5.10 %,Valley Red,12 String Brewing Company
2617,American Amber / Red Ale,-,Switch Track,Berthoud Brewing Co. .
2618,American Amber / Red Ale,-,Bierbitzch Amber,Academy of Fine Beers
2619,American Amber / Red Ale,5.70 %,It 's Spelt Centennial,Bosque Brewing Co. .
2620,American Amber / Red Ale,5.20 %,Simcoe Steam,Wiper & True Brewery
2621,American Amber / Red Ale,6.70 %,Angler 's Amber,Pelican Pub & Brewery
2622,American Amber / Red Ale,8.00 %,Sweet Amber,Cheyenne Brewing Company
2623,American Amber / Red Ale,4.80 %,Summer Ale,The Wellhead Restaurant & Brewpub
2624,American Amber / Red Ale,5.50 %,Shinjiko Sekiyo Amber Ale,Shimane Beer K.K.
2625,American Amber / Red Ale,5.00 %,Sunday Fun Day Red Ale,South Fork Brewing Company
2626,American Amber / Red Ale,5.00 %,True Grit Amber Ale,Mad Giant Beer
2627,American Amber / Red Ale,5.00 %,Double Tap,Firehouse Brewing Co. .
2628,American Amber / Red Ale,5.00 %,Salmon Run Red Ale,Slate Creek Brewing Co. .
2629,American Amber / Red Ale,5.00 %,Gala Hoppy Red,Muxa Brewing Company
2630,American Amber / Red Ale,10.00 %,WBAB,Wonder Bar ( Wyoming State Brewing Company )
2631,American Amber / Red Ale,5.75 %,White Oaked Sunset Red,Olde Peninsula Brewpub & Restaurant
2632,American Amber / Red Ale,5.40 %,Fuken Red Ale,Petoskey Brewing Company
2633,American Amber / Red Ale,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company
2634,American Amber / Red Ale,-,Dry Hopped Red Ale,Liberty Steakhouse Brewery
2635,American Amber / Red Ale,6.40 %,Snowbird,Two Henry 's Brewing Company
2636,American Amber / Red Ale,4.20 %,1790 Tap Room Ale,Long Trail Brewing Co. .
2637,American Amber / Red Ale,-,Secret Beer,Earth Bread + Brewery
2638,American Amber / Red Ale,10.00 %,Blitz 'n Holiday Ale,Wonder Bar ( Wyoming State Brewing Company )
2639,American Amber / Red Ale,5.00 %,Beer Buddy Red Ale,Hansharo Brewery / Restaurant Kurayanarusawa
2640,American Amber / Red Ale,4.80 %,Heritage Red Ale,Peoria Artisan Brewery
2641,American Amber / Red Ale,5.60 %,Hickory Red Bacon Ale,Hideout Brewing Company
2642,American Amber / Red Ale,5.20 %,Ethel Red Ale,Primal Brewing
2643,American Amber / Red Ale,5.50 %,Grahamber,Infusion Brewing Co. .
2644,American Amber / Red Ale,5.20 %,_ œAlmost Heaven _ Amber Ale,Mountain State Brewing Company
2645,American Amber / Red Ale,6.20 %,I _ ™ m Well Red,Butcher & the Brewer
2646,American Amber / Red Ale,5.50 %,British Red,John S. Rhodell Brewery
2647,American Amber / Red Ale,6.20 %,Red Between The Lines,Dale Bros. . Brewery
2648,American Amber / Red Ale,5.80 %,Recumbent,Chainline Brewing Company
2649,American Amber / Red Ale,4.70 %,Foraging For Herbs,The Celt Experience
2650,American Amber / Red Ale,6.00 %,Chocolate Amber,Santiam Brewing Company
2651,American Amber / Red Ale,5.80 %,LouLou Amber Ale,Lolo Peak Brewing Company
2652,American Amber / Red Ale,9.00 %,Angry Irish Ale,Rooney 's Irish Pub
2653,American Amber / Red Ale,-,Belgian Kronik,Lagunitas Brewing Company
2654,American Amber / Red Ale,6.10 %,Bastola,Birra Flea
2655,American Amber / Red Ale,-,Electroshock Therhopy,Wisconsin Brewing Co. .
2656,American Amber / Red Ale,5.14 %,Reddish American Red Ale,CervecerÃa Robeerto
2657,American Amber / Red Ale,-,Tarantula Trek Red Ale,Blue Heron Brewing Company
2658,American Amber / Red Ale,-,Woodford Reserve BBL Aged G'knight,Oskar Blues Grill & Brew
2659,American Amber / Red Ale,5.50 %,Red Bonnet Amber,Wabasha Brewing Co. .
2660,American Amber / Red Ale,5.20 %,No Paddle Amber,Muddy Creek Brewery
2661,American Amber / Red Ale,4.80 %,Red Rye,Draught House Pub & Brewery
2662,American Amber / Red Ale,6.80 %,5th Anniversary Ale,Round Guys Brewing Company
2663,American Amber / Red Ale,-,Summer 66,Two Rows Restaurant & Brewery
2664,American Amber / Red Ale,5.50 %,Umbeer,Willimantic Brewing Co. .
2665,American Amber / Red Ale,-,Amber - Oak Chips & Vanilla Beans,Alligator Brewing Company
2666,American Amber / Red Ale,-,Tiffani Amber Thiessen,Denver Beer Co. .
2667,American Amber / Red Ale,4.90 %,Rennisance City Red,Singin ' River Brewing Co. .
2668,American Amber / Red Ale,-,AmbrÃ © e AmÃ © ricaine,La Barberie
2669,American Amber / Red Ale,5.00 %,Smokestack Amber Ale,Crown Brewing
2670,American Amber / Red Ale,6.50 %,Oaky Doke,Company Brewing
2671,-,0.00 %,100 __ Naked Dove Brewing Company,American Amber / Red Ale
2672,American Amber / Red Ale,5.70 %,49 ` er Red,Gold Hill Brewery
2673,American Amber / Red Ale,-,Miner 's Red,Placerville Brewing Co. .
2674,American Amber / Red Ale,-,Nicole,BREW Pub & Kitchen
2675,American Amber / Red Ale,-,Johnny Bravo,E.J. Phair Brewing Company
