beer_id,drink_style,alc_vol,brew_factory,beer_nm
3476,American Amber / Red Ale,10.50 %,Barley Island Brewing Company,Whose Envy
3477,American Amber / Red Ale,4.60 %,Carlsberg Danmark A/S,Jacobsen Red Christmas Ale
3478,American Amber / Red Ale,9.00 %,Aspetuck Brew Lab,Double Mongrel Imperial India Red Ale
3479,American Amber / Red Ale,5.30 %,Fenton Winery And Brewery,Ignescent Amber
3480,American Amber / Red Ale,6.00 %,Microbrasserie Charlevoix,Festbier
3481,American Amber / Red Ale,6.00 %,Kretschmann Brewing Company,Copper Pot Ale
3482,American Amber / Red Ale,6.73 %,Raised Grain Brewing Company,Spring City Amber
3483,American Amber / Red Ale,5.00 %,Gambrinus,La Bretonne
3484,American Amber / Red Ale,9.00 %,Atwater Brewery,Atwater 1936
3485,American Amber / Red Ale,6.90 %,Les FrÃ ¨ res Houblon Microbrasserie,Amarillo
3486,American Amber / Red Ale,-,The Bier Brewery,Megalodon
3487,American Amber / Red Ale,6.00 %,Crooked Ladder Brewing Company,Road Soda Red IPA
3488,American Amber / Red Ale,5.70 %,Bellevue Brewing Company,KZOK Classic Rock Amber
3489,American Amber / Red Ale,5.70 %,The Brewery at Abigaile,Analog Amber
3490,American Amber / Red Ale,6.30 %,Galena Brewing Company,One Drop
3491,American Amber / Red Ale,5.80 %,Kompaan Bier,Binckse Belofte
3492,American Amber / Red Ale,4.50 %,Captain Lawrence Brewing Co. .,Mojo Rojo - Pilot Batch
3493,American Amber / Red Ale,5.70 %,Thumb Coast Brewing Company,Right Hand Red
3494,American Amber / Red Ale,6.10 %,16 Mile Brewing Company,Regal Eagle
3495,American Amber / Red Ale,5.50 %,Rubber Soul Brewing Co. .,Eldo Amber Ale
3496,American Amber / Red Ale,4.10 %,Dunham Massey Brewing Company,Ruby Sunset
3497,American Amber / Red Ale,5.60 %,Angry Hank 's Microbrewery,Dark Lager
3498,American Amber / Red Ale,5.50 %,Twentse Bierbrouwerij,Twents Amber
3499,American Amber / Red Ale,4.60 %,Picaroons Brewing Co. .,Parcel Of Rogues
3500,American Amber / Red Ale,5.00 %,Urban Legend Brewing Company,Riot Act
3501,American Amber / Red Ale,5.40 %,Ordnance Brewing,S.A.M.
3502,American Amber / Red Ale,-,Bifferhaus Brewing Company,Chief _ ™ s Light Amber
3503,American Amber / Red Ale,6.00 %,13 Virtues Brewing Co. .,Rip City Red
3504,American Amber / Red Ale,8.00 %,Adroit Theory Brewing Company,Harbinger
3505,American Amber / Red Ale,6.30 %,At Large Brewing Company,Alibi Amber
3506,American Amber / Red Ale,7.00 %,American Brewing Company,Red-Blooded American
3507,American Amber / Red Ale,5.20 %,Boxing Cat Brewery,Yunnan Amber
3508,American Amber / Red Ale,5.50 %,Titanic Brewing Company,T.B.C - Stumbling Bee Honey Amber
3509,American Amber / Red Ale,-,Christian Moerlein Brewing Company,Oaked Over-The-Rhine Ale
3510,American Amber / Red Ale,5.60 %,Mispillion River Brewing,Special Toast
3511,American Amber / Red Ale,5.90 %,7 Seas Brewery and Taproom,Depth Finder IRA
3512,American Amber / Red Ale,-,Bull Creek Brewing,Otzi _ ™ s Twenty Nine __ Copper Ale
3513,American Amber / Red Ale,4.60 %,Jaw Brew,Jaw Glide
3514,American Amber / Red Ale,5.00 %,Muxa Brewing Company,Matilde Red Ale
3515,American Amber / Red Ale,-,T_ebonickÃ 1/2 Rukod_lnÃ 1/2 PivovÃ ¡ rek,T_ebonickÃ © Geronimo PolotmavÃ 1/2 RÃ 1/2 Å 3/4 ovÃ 1/2 SpeciÃ ¡ l 13Â °
3516,American Amber / Red Ale,6.00 %,Coalition Brewing Co. .,Mutual Fermentation
3517,American Amber / Red Ale,7.10 %,Barley John 's Brew Pub,Wretched Red
3518,American Amber / Red Ale,5.00 %,Birravino,Etna
3519,American Amber / Red Ale,5.60 %,Narrows Brewing Co. .,FAKE LYING IMPOSTER AMBER ALE
3520,American Amber / Red Ale,8.00 %,ManRock Brewing Company,Devil 's Bath
3521,American Amber / Red Ale,5.80 %,Spinnaker Bay Brewing,The Hummer
3522,American Amber / Red Ale,5.80 %,Lake Charlevoix Brewing,Round Lake Red
3523,American Amber / Red Ale,4.30 %,Sycamore Brewing,Jubilee Session Amber
3524,American Amber / Red Ale,7.30 %,Oliphant Brewing,Ant Ray Cow Pants
3525,American Amber / Red Ale,-,Man Cave Brewing Company,Honey Badger
3526,American Amber / Red Ale,5.10 %,406 Brewing Company,Red Wagon Coffee Ale
3527,American Amber / Red Ale,4.50 %,Bray 's Brewing Company,Red Ryeding
3528,American Amber / Red Ale,4.90 %,Brewery Lobkowicz,ChlumeckÃ 1/2 Amber Ale
3529,American Amber / Red Ale,7.20 %,Prison City Pub & Brewery,Busta Rhizomes
3530,American Amber / Red Ale,-,La Brasserie du Pilat,La Rouquine
3531,American Amber / Red Ale,5.00 %,Bieszczadzka WytwÃ ³ rnia Piwa Ursa Maior,URSA Z Po_oniny
3532,American Amber / Red Ale,-,Man Cave Brewing Company,Papakeechie 's Reserve
3533,American Amber / Red Ale,5.90 %,Dirty Hands Brewing Company,Wobbly Red Ale
3534,American Amber / Red Ale,6.40 %,B2B Bistronomy,Ol' Yelper
3535,American Amber / Red Ale,7.00 %,PalaweÃ ± o Brewery,Ambog Ale
3536,American Amber / Red Ale,7.30 %,Block 15 Brewery & Restaurant,Millennium Falcon
3537,American Amber / Red Ale,7.70 %,Red Door Brewing,Anniversary Double Red
3538,American Amber / Red Ale,6.00 %,La Brasserie Mascaret,AmbrÃ © e Bio
3539,American Amber / Red Ale,4.50 %,French Beer Factory,FBF
3540,American Amber / Red Ale,6.00 %,Maumee Bay Brewing Company,Mancy 's Papou Classic Amber
3541,American Amber / Red Ale,6.50 %,Belford Brewing Company,Honey Hudson
3542,American Amber / Red Ale,5.50 %,Geaghan 's Restaurant & Pub,Hose 5
3543,American Amber / Red Ale,5.20 %,Rusty Nickel Brewing Co,On The Border Amber Porter
3544,American Amber / Red Ale,-,South Park Brewing Co. .,Nopalito Red
3545,American Amber / Red Ale,6.50 %,Cabinet Mountain Brewing Co. .,Ross Creek Red Ale
3546,American Amber / Red Ale,8.00 %,Union Station Brewery,R.E.D.
3547,American Amber / Red Ale,5.50 %,Cave Mountain Brewing Company,Catskill Amber Ale
3548,American Amber / Red Ale,6.00 %,Catawba Island Brewing Co. .,McFadden Red Ale
3549,American Amber / Red Ale,6.00 %,La Fabrique des BiÃ ¨ res d'Anjou,La Piautre AmbrÃ © e
3550,American Amber / Red Ale,4.50 %,Iron Hill Brewery & Restaurant,Yakima
3551,American Amber / Red Ale,6.50 %,La Fabrique des BiÃ ¨ res d'Anjou,La Piautre Rousse
3552,American Amber / Red Ale,-,Arbor Brewing Company,Flamboyant 2014
3553,American Amber / Red Ale,4.50 %,Black Forest Brewery,Whistle Stop Amber Ale
3554,American Amber / Red Ale,5.50 %,Four Quarters Brewing Co. .,Fire On The Mountain
3555,American Amber / Red Ale,5.40 %,Grumpy Old Men Brewing,Vaughn 's Vats Beauwinkle
3556,American Amber / Red Ale,5.30 %,Trap Rock Restaurant & Brewery,Hathor 's Amber Ale
3557,American Amber / Red Ale,6.80 %,Heroes Restaurant & Brewery,Red Tractor Ale
3558,American Amber / Red Ale,5.60 %,Wheaty Brewing Corps,Blood Oats
3559,American Amber / Red Ale,4.50 %,Cervecera Del Puerto,Del Puerto Barba Roja
3560,American Amber / Red Ale,6.00 %,Sir Winston 's Pub / G.G. Brewers,Amberly Eyes
3561,American Amber / Red Ale,5.70 %,Edge Brewing Company,Edge Amber
3562,American Amber / Red Ale,5.30 %,Microbrasserie Moulin 7,La Gourmande
3563,American Amber / Red Ale,5.60 %,Kaskaskia Brewing Company,Amber Alt
3564,American Amber / Red Ale,5.50 %,BNA Brewing Co. .,Red Rothchild
3565,American Amber / Red Ale,4.90 %,Triptych Brewing,Meet Mister Mayhem
3566,American Amber / Red Ale,5.26 %,Waddell 's Brewpub & Grille,Fireman 's Amber
3567,American Amber / Red Ale,5.60 %,Lake Charlevoix Brewing,Acacia Amber
3568,American Amber / Red Ale,5.00 %,Microbrasserie Le Prospecteur,Rousse Du Prospecteur
3569,American Amber / Red Ale,5.60 %,Bubba Brew 's Brewing Company,Arkie Amber Ale ( AAA )
3570,American Amber / Red Ale,5.00 %,Handbrauerei Gerhard Forstner,Das Rote
3571,American Amber / Red Ale,4.90 %,Redline Brewhouse,Radio Banter
3572,American Amber / Red Ale,5.20 %,Ego Brygghus,Smelteverket _ ™ s Jamaican Blue
3573,American Amber / Red Ale,-,La Franche ( BiÃ ¨ re artisanale de Franche ComtÃ © ),De Vie
3574,American Amber / Red Ale,5.50 %,Strangeways Brewing,Immortal Corruptor ( Gwar Blood Dry Hopped Citra )
3575,American Amber / Red Ale,4.70 %,Ego Brygghus,RÃ ¸ de Toner
3576,American Amber / Red Ale,7.90 %,Destination Unknown Beer Co. .,Argyle
3577,American Amber / Red Ale,5.10 %,Heroes Restaurant & Brewery,Orange Blossom Ale
3578,American Amber / Red Ale,6.20 %,Ego Brygghus,Forhekset Prinsesse
3579,American Amber / Red Ale,3.80 %,Festival Brewery,Festival Amber
3580,American Amber / Red Ale,-,Bubba Brew 's Brewing Company,Moggy 's Old Red Ale
3581,American Amber / Red Ale,-,Hops Grillhouse & Brewery,Alligator Ale
