beer_key,alcohol_pct,beer_subtype,brewery_factory,brew_nm
0,8 %,American Strong Ale,Great Lakes Brewing &#40; Ohio &#41;,Great Lakes Nosferatu
1,6 %,Amber Ale,4 Hands Brewing Company,4 Hands Reprise Centennial Red Ale
2,6.50 %,India Pale Ale &#40; IPA &#41;,10 Barrel Brewing &#40; AB InBev &#41;,10 Barrel Backdraft IPA
3,-,Amber Ale,Gore Range Brewery,Gore Range Fly Fisher Red Ale
4,5.50 %,Stout,Naked Dove Brewing,Naked Dove Nice & Naughty Christmas Ale
5,5.80 %,Amber Ale,10 Barrel Brewing &#40; AB InBev &#41;,10 Barrel Amber Waves of Grain
6,4.70 %,Brown Ale,Barley Station Brewpub &#40; Shuswap Lake Brewing Co. &#41;,Barley Station Bushwacker Brown
7,5.50 %,Amber Ale,Blackfoot River Brewing,Blackfoot River MacKenzie River Driftboat Amber
8,8 %,Amber Ale,The Brewerie at Union Station,Brewerie Apparition Amber Ale
9,5.20 %,Irish Ale,Battlefield Brew Works,Battlefield Brew Works Red Circle Ale
10,5 %,Belgian Ale,3 Sheeps Brewing Company,3 Sheeps Rebel Kent The First - Red Wine Barrel
11,5 %,Amber Ale,_ lgod Bryghus,Esbjerg Mikrobryg Amber Ale
12,4.80 %,Amber Ale,Purrumbete Brewing,Red Duck Amber Ale
13,5.20 %,Amber Ale,Big Rig Brewery,Big Rig Rideau Red
14,5.70 %,Amber Ale,Casa Cervecera Quinta Normal,Quimera Amber Ale
15,5.50 %,Amber Ale,People_s Brewing Company,People_s Aberrant Amber
16,5.30 %,Amber Ale,Northwest Brewing Company,Northwest Chinook Copper Ale
17,5.30 %,Amber Ale,11 Below Brewing Company,11 Below Oso Bueno Amber Ale
18,5.50 %,Amber Ale,Mt. Shasta Brewing Company,Mt. Shasta Abner Weed Amber Ale
19,6.90 %,Amber Ale,Burley Oak Brewing Company,Burley Oak Assawoman Amber
20,5 %,Amber Ale,Catawba Valley Brewing Company,Catawba Valley Indian Head Red
21,6.10 %,Amber Ale,Grayton Beer,Grayton Beer 1890 Founder_s Ale
22,8.50 %,American Strong Ale,Fulton Beer Company,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged
23,6 %,American Pale Ale,Sherwood Brewing Company,Sherwood Mistress Jades Hemp Ale
24,5.50 %,American Pale Ale,Cumberland Brewing &#40; BC &#41;,Cumberland Red Tape Pale Ale
25,5.70 %,Premium Bitter/ESB,Birrificio CitaBiunda,Birrificio CitaBiunda Cinnamon Girl
26,5.10 %,Amber Ale,Blue Elephant Craft Brew House,Blue Elephant Red Devil
27,5.90 %,Amber Ale,Fairhope Brewing Company,Fairhope I Drink Therefore I Amber
28,5.30 %,Amber Ale,Revolution Brewing Company,Revolution Battle of Wil_s
29,5.10 %,Amber Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,MacTarnahans Amber Ale &#40; Macs Ale &#41;
30,7.50 %,Foreign Stout,Beryl_s Beer Company,Beryl_s Firecatcher
31,-,Amber Ale,Back Street Brewery,Back Street Rita Red Ale
32,8 %,Spice/Herb/Vegetable,Exile Brewing Company,Exile Chill Clinton Double Hemp Amber Ale
33,6.50 %,Amber Ale,Backwoods Brewing Company,Backwoods Big Cedar I.R.A
34,4.70 %,Amber Ale,County Durham Brewing,Durham Red Dragon
35,5.30 %,Amber Ale,Palmetto Brewing Company,Palmetto Amber Ale
36,6.30 %,Irish Ale,Constantine Brewing Company,Constantine Red Rooster Irish Ale
37,5.20 %,Spice/Herb/Vegetable,Sawdust City Brewing Company,Sawdust City Red Rocket Coffee Spiced Stout
38,5 %,Amber Ale,Big Bear Mountain Brewery,Big Bear Mountain Red Ant Hill Red Ale
39,5.40 %,Amber Ale,Veterans United Craft Brewery,Veterans United Scout Dog 44
40,5.50 %,Amber Lager/Vienna,Black Lotus Brewing Company,Black Lotus Red Tao
41,5.80 %,Amber Ale,Out of Bounds Brewing Company,Out of Bounds Rusted Butte Red Ale
42,6 %,Amber Ale,Persimmon Hollow Brewing Company,Persimmon Hollow Paddle Wheeler Red Ale
43,5.30 %,Amber Ale,Zamecky Pivovar Chy_e,Chy_e Sierra Amber Ale
44,6 %,Amber Ale,Rock Art Brewery,Rock Art Stowe Mountain Lodge Hourglass Ale
45,6.50 %,Irish Ale,Motorworks Brewing,Motorworks Roll Cage Red Ale
46,-,Smoked,Back Yard Brewing Company,Back Yard Rainmaker Ale
47,5.30 %,Golden Ale/Blond Ale,Abbeydale,Abbeydale Absolution
48,5 %,Amber Ale,Argilla Brewing Company,Argilla Amber Ale
49,4 %,Bitter,Bays,Bays Topsail
50,7.10 %,Amber Ale,Cannonball Creek Brewing Company,Cannonball Creek Victorville Red
51,-,Amber Ale,City Brewery &#40; Melanie Brewing Co &#41;,RJ King Wingwalker Winter Brew &#40; -2007 &#41;
52,6.80 %,Sweet Stout,Breakside Brewery,Breakside Mocha Salted Caramel Stout
53,5.80 %,Specialty Grain,Legends Bistro,Legends Bistro Plucky Rooster Ale
54,5.50 %,American Pale Ale,23 Brewing Company,23 Brewing Company # 1 Pale Ale &#40; # 1 &#28129; &#33394; &#33406; &#29246; &#41;
55,5 %,Amber Ale,Hockley Valley Brewing & Malting Company,Legends of the Bay Giant_s Tomb
56,7 %,India Pale Ale &#40; IPA &#41;,Half Acre Beer Company,Half Acre Ginger Twin India Red Ale
57,8.60 %,Amber Ale,Oakshire Brewing,Oakshire Ride Your Bike Double Red Ale
58,7.20 %,Amber Ale,Begyle Brewing Company,Begyle Pancake Junkie
59,7 %,India Pale Ale &#40; IPA &#41;,Naked City Brewing,Naked City Screening Room Red
60,6.50 %,Amber Ale,Block 15 Brewery,Block 15 Ridgeback Red
61,5.10 %,Amber Ale,Microbrasserie du Lac Saint-Jean,Du Lac Saint-Jean Boutefeu
62,5.10 %,Amber Ale,Generations Brewing Company,Generations Pretzel City Amber
63,9 %,American Strong Ale,Marble Brewery,Marble Imperial Red Ale
64,7.70 %,American Strong Ale,Wynwood Brewing Company,Wynwood Fox Imperial Red Ale
65,-,Amber Ale,8th Wonder Brewery,8th Wonder Coffee Mocha Feight
66,5.40 %,Amber Ale,Old Rail Brewing Company,Old Rail Rusted Rail Ale
67,-,American Pale Ale,Black Rock Brewing Company,Black Rock Anthracite Ale
68,5 %,Amber Ale,Paradox Brewery,Paradox Red Ale
69,3.25 %,Sour/Wild Ale,The Brewers Art,Brewers Art Scarlet Fever
70,-,Amber Ale,Bricktown Brewery,Bricktown 46 Star Oklahoma Amber Ale
71,5 %,Amber Ale,Brewery & General Store,Franklins Rubber Chicken Red Ale
72,6.30 %,Amber Ale,Falling Sky Brewing,Falling Sky Retrograde Red
73,5.50 %,Belgian Ale,18th Street Brewery,18th Street Barrel Aged Cock Fight
74,8.50 %,Spice/Herb/Vegetable,Anderson Valley Brewing Company,Anderson Valley Pinchy Jeek Barl
75,10.80 %,American Strong Ale,Ladyface Ale Companie,Ladyface Reyes Adobe Imperial Red
76,6.10 %,Irish Ale,Minneapolis Town Hall Brewery,Town Hall Festivus 2014
77,5.20 %,Amber Ale,Colorado Mountain Brewery,Colorado Mountain Ole 59er Amber Ale
78,-,Irish Ale,Echo Brewing Company,Echo Indian Red Ale
79,6 %,India Pale Ale &#40; IPA &#41;,Mother Earth Brew Company,Mother Earth Righteously Hopped Red IPA
80,4.90 %,Black IPA,Bike Dog Brewing Company,Bike Dog Lost and Found
81,5.80 %,Amber Ale,Big Bear Brewing Company,Big Bear Grizzly Red Ale
82,8.10 %,American Strong Ale,Middleton Brewing,Middleton Bobcat Imperial Red
83,6 %,Amber Ale,City Star Brewing,City Star Red Necktar
84,5.80 %,Amber Ale,Brass Cannon Brewing,Brass Cannon Muzzle Flash Amber Ale
85,6 %,Amber Ale,Five Points Brewing Company,Five Points Hook Island Red
86,8 %,KÃ ¶ lsch,Beaus All Natural Brewing Co. .,Beaus Haters Gon na Hate
87,5.60 %,Oktoberfest/M Ã $ rzen,Hudson Brewing Company,American Sky Bomber Series # 3 - Red Tail Oktoberfest
88,5 %,Brown Ale,Sierra Madre Brewing Co. ( Mexico ),Ocho Reales Ale
89,5.50 %,Amber Ale,Hudson Brewing Company,American Sky Amber Salute
90,7.80 %,American Strong Ale,Lagunitas Brewing Company &#40; Heineken &#41;,Lagunitas Imperial Red Ale
91,5.60 %,Spice/Herb/Vegetable,Coors Brewing Company &#40; MillerCoors &#41;,Blue Moon Spiced Amber Ale
92,6.20 %,India Pale Ale &#40; IPA &#41;,Burnside Brewing Company &#40; OR &#41;,Burnside Too Sticky to Roll
93,5 %,Sour/Wild Ale,Angry Chair Brewing,Angry Chair Let My Peaches Be
94,7.20 %,Amber Ale,River City &#40; CA &#41; Brewing,River City &#40; CA &#41; Woodenhead Ale
95,5.10 %,Amber Ale,Uncle Billys Brew & Que Smokehouse & Brewery,Uncle Billys Hill Country Organic Amber
96,6.10 %,Amber Ale,Chama River Brewing Company,Chama River Sunset Red
97,6.60 %,Amber Ale,Custom Brewcrafters,Three Heads Loopy Oatmeal Red Ale
98,4.20 %,Amber Ale,Rockfish Grill & Anacortes Brewery,Anacortes Especial Red Ale
99,-,Irish Ale,Liberty Brewery & Grill - High Point,Liberty High Point Rocket_s Red Ale
100,12 %,Mead,Blue Dog Mead Company,Blue Dog Red Collar Mead
101,5 %,Stout,Crooked Can Brewing Company,Crooked Can Captain McSwaggers
102,5 %,Amber Ale,Dragonmead Brewery,Dragonmead Crooked Door Amber Ale
103,5.80 %,Amber Ale,Lilys Seafood Restaurant & Brewery,Lilys Reggies French River Red Ale
104,5.10 %,California Common,Avery Brewing Company,Avery Red Table Common
