beer_id,beer_item,alcohol_content,beer_subtype,brewer_name
600,Knee Deep McCarthy_s Bane Imperial Red Ale,8 %,American Strong Ale,Knee Deep Brewing Company
601,Saint Arnold Altared Amber,-,Belgian Ale,Saint Arnold Brewing Company
602,Andersonville Bourbon Barrel Aged Sour Gangster,5.50 %,Sour Red/Brown,Andersonville Brewing Company
603,Backwoods Spruce Springsteen Strong Ale,9.50 %,American Strong Ale,Backwoods Brewing Company
604,Magic Hat deVEILed,5.20 %,Amber Ale,Magic Hat Brewing Company &#40; North American Breweries &#41;
605,Boulder Draft House Alpenglow Amber,5.60 %,Amber Ale,Boulder Draft House
606,Bugnutty Suzi_s Red Belly Ale,5.24 %,Amber Ale,Bugnutty Brewing Company
607,Great Flood Velvet Racer,11 %,American Strong Ale,Great Flood Brewing Company
608,Bonfire BeWildeRed Irish Red Ale,4.80 %,Irish Ale,Bonfire Brewing
609,Paradox Beer Self Esteem - Candid Kaiser Project,6.50 %,Amber Ale,Paradox Beer Company
610,3 Ravens The Ravenator Bock,5.80 %,Dunkler Bock,3 Ravens
611,Pelicon Out of China,4.50 %,Amber Ale,Pivovarna Pelicon
612,Black Heath Proserpine,13 %,Mead,Black Heath Meadery
613,1933 Hoppy Ending Pale,5.50 %,American Pale Ale,1933 Brewing Company
614,SanTan 12 Daze Caramel Spiced Amber,6.50 %,Spice/Herb/Vegetable,SanTan Brewing Company
615,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,5.50 %,Amber Ale,Red Horn Coffee House and Brewing Company
616,Dirty Bucket Dirty Amber Ale,5.80 %,Amber Ale,Dirty Bucket Brewing Company
617,Southport Fairfield Red,-,Amber Ale,Southport Brewing Company
618,Vault Penn Harvest Ale,5 %,Amber Ale,Vault Brewing Company
619,Thorn Street Red Headed Hop Child,6.80 %,Amber Ale,Thorn Street Brewery
620,American Highstick,8 %,American Strong Ale,American Brewing Company
621,Mission Carrack Imperial Red Ale,10.20 %,American Strong Ale,Mission Brewery
622,Suginoya Amber Ale,5 %,Amber Ale,Suginoya Beer / Hamachi Shuzo
623,Oak Creek King Crimson Imperial Red Ale,9.50 %,American Strong Ale,Oak Creek Brewing Co. .
624,Mohawk Easter Rocket Red IPA,6.70 %,India Pale Ale &#40; IPA &#41;,SlottskÃ $ llans Bryggeri
625,La Petrognola Ambrata al Farro,5.50 %,Specialty Grain,La Petrognola / Rio Maggio
626,Alandale Unfiltered Wheat,-,German Hefeweizen,Kirkwood Station Brewing Company
627,Pizza Port Team Cretins Hoppy Amber Ale,4.50 %,Amber Ale,Pizza Port &#40; Ocean Beach &#41;
628,21st Amendment Big Hoppy Red Bird,7.10 %,Amber Ale,21st Amendment Brewery
629,Black Kettle Northwest Red Ale,6 %,Amber Ale,Black Kettle Brewing
630,Modernist Stockholm Syndrome,6 %,Amber Ale,Modernist Brewery
631,Blue Heron Amber_s Folly Amber Ale,-,Amber Ale,Blue Heron Brewing Company
632,Brewery Terra Firma Manitou Island Hopper,5.70 %,Amber Ale,Brewery Terra Firma
633,Big River Grille Disney World Bobs Amber Ale,-,Amber Ale,Big River Grille & Brewing Works Lake Buena Vista &#40; CraftWorks &#41;
634,Fort Collins Hometown Helles,5.30 %,Heller Bock,Fort Collins Brewery
635,Slanted Rock Iron Butt Red Ale,5.80 %,Amber Ale,Slanted Rock Brewing Company
636,All Inn Ruby Amber Ale,4.60 %,Amber Ale,All Inn Brewing Co. .
637,Fulton MPLS Mild - Charred Cherrywood,4 %,Mild Ale,Fulton Beer Company
638,Conquest Garnet Red Ale,-,Amber Ale,Conquest Brewing Company
639,Adnams Wild Hop Amber Beer,4.80 %,Amber Ale,Adnams
640,Freedom_s Edge Horizon Amber,5 %,Amber Ale,Freedom_s Edge Brewing
641,Iron Horse Fresh Hop Imperial Red Ale,-,American Strong Ale,Iron Horse Brewery
642,Walker Brown Amber Ale,5.50 %,Amber Ale,Genesee Brewing Company &#40; North American Breweries &#41;
