brew_id,beer_desc,brew_fct_name,beer_abv_percent,beer_variety
1200,MalmÃ ¶ Point Reyes Amber,MalmÃ ¶ Brygghus,4.90 %,Amber Ale
1201,MalmÃ ¶ Ruby Soho Red Ale,MalmÃ ¶ Brygghus,4.60 %,Amber Ale
1202,Hillbilly Wisconsin Amber Ale,Maiden Wines LLC,5.20 %,Amber Ale
1203,Barley Creek Expedition Strong Ale,Barley Creek Brewing Co. .,8.20 %,American Strong Ale
1204,Bull City / Fullsteam / Triangle CollaBEERation : Trinity,Bull City Burger and Brewery,6 %,Spice/Herb/Vegetable
1205,Gull Dam American Amber Ale,Gull Dam Brewing,6 %,Amber Ale
1206,Fuller_s Traitor_s Gate,Fuller_s,4.50 %,Bitter
1207,Hoppy Ruby Slipper Ale,Hoppy Brewing Company,7.10 %,Amber Ale
1208,Acoustic Ales Surly Mosh Pit,Acoustic Ales Brewing Experiment,9 %,American Strong Ale
1209,13 Virtues Saisonnalisa,13 Virtues Brewing Company,4.80 %,Saison
1210,Barley Mill Brewing Redtail Ale,Barley Mill Brewing Co. &#40; Malt House Brewing Co. &#41;,-,Altbier
1211,Bristol Mass Transit Ale,Bristol Brewing Company,5 %,Amber Ale
1212,Deschutes Commuter Amber Ale,Deschutes Brewery,4.60 %,Amber Ale
1213,South Fork Nerdy Girl Amber,South Fork Brewing Company,5.50 %,Amber Ale
1214,Garage Project Pan Pacific,Garage Project,6 %,Amber Ale
1215,Black Oak Love Fuzz,Black Oak Brewing,6.20 %,Amber Ale
1216,Railyard Fireman_s Red,Railyard Brewing Company,5 %,Irish Ale
1217,Stoneyard Rippers Red Ale,Custom Brewcrafters,-,Amber Ale
1218,_ tramÃ ¡ k American Pale Ale 14Â °,Minipivovar _ tramÃ ¡ k,5.70 %,American Pale Ale
1219,Tustin Dog Ditch Amber,Tustin Brewing Company,-,Amber Ale
1220,Negev Amber Ale,Negev Brewery,4.90 %,Amber Ale
1221,Wild Ride 3 Sisters American Red Ale,Wild Ride Brewing,6 %,Amber Ale
1222,Moncada Notting Hill Amber,Moncada,4.70 %,Amber Ale
1223,Trickster_s Inspector Stonewall_s Amber Ale,Trickster_s Brewing Company,5.90 %,Amber Ale
1224,Pigskin Legendary Amber,Pigskin Brewing Company,7 %,Amber Ale
1225,Levrette Bio,Brunehaut,6.50 %,Amber Ale
1226,Espiga Local Amber Ale Hopback,Espiga Local Brewing,5.10 %,Spice/Herb/Vegetable
1227,Big Storm Wavemaker Amber Ale,Big Storm Brewing Company,5.80 %,Amber Ale
1228,Bin SaskBerry Prairie Berry Ale,Great Western Brewing &#40; Canadian Brewing &#41;,5 %,Fruit Beer
1229,John Harvards Amarillo Anonymous,John Harvards Brewhouse Lake Grove,-,Wheat Ale
1230,The Civil Life Stevie_s 5 Star Amber Ale,The Civil Life Brewing Company,5 %,Amber Ale
1231,Capistrano Amber Ale,Capistrano Brewing Company,5.50 %,Amber Ale
1232,Adkin Alfred_s A Conflict Of Interest,Adkin,4.60 %,Bitter
1233,Scottsdale Beer Co. . Easy Amber,Scottsdale Beer Company,5.70 %,Amber Ale
1234,Abigaile Coconut Imperial Red,The Brewery at Abigaile,9.40 %,American Strong Ale
1235,Tesco Ruby Ale,Tesco,4.10 %,Bitter
1236,Brews Brothers Billabong Bay Bitter,Brews Brothers Microbrewery,3.30 %,Bitter
