beer_identifier,maker_name,alcohol_pct,beer_desc,brew_style
1800,Liberty Brewery & Grill - Myrtle Beach,5.40 %,Liberty Myrtle Beach So Fresh And So Steam,California Common
1801,Sankt Gallen Brewery,5 %,Sankt Gallen Kitakamakura no Megumi,Amber Ale
1802,ShinDigger,5.10 %,ShinDigger City Shuffle Red Ale,Amber Ale
1803,CervecerÃa Mexicana,5.50 %,Dia De Los Muertos Death Becomes You Amber Ale,Amber Ale
1804,Shugborough ( Titanic ),4.50 %,Shugborough N_KD At The Swan,Golden Ale/Blond Ale
1805,Central City Brewers + Distillers,6 %,Central City Red Racer Gingerhead Gingerbread Stout,Stout
1806,Nevin_s Brewing Company,5.20 %,Nevin_s Amberosia,Amber Ale
1807,Renaissance Brewing,5 %,8 Wired Brett Pilsner,Sour/Wild Ale
1808,Snowy Mountain Brewery,7 %,Snowy Mountain Lone Ranger Red,Amber Ale
1809,Alamo Beer Company,5.50 %,Alamo Amber Lager,Amber Lager/Vienna
1810,Get Well,5 %,Get Well Hector_s Bell Amber Ale,Amber Ale
1811,Brouwerij 3 Fonteinen,8 %,3 Fonteinen Druiven Geuze Malvasia Rosso,Lambic Style - Fruit
1812,Flowerpots,3.90 %,Cheriton Amber Gambler,Bitter
1813,Lake Effect Brewing Company,8 %,Lake Effect Aged Red Ale,American Strong Ale
1814,La Rouget de Lisle,6 %,La Rouget de Lisle Crin Blanc,Amber Lager/Vienna
1815,Fifty West Brewing Company,6 %,Fifty West Gaddy_s Irish Red Ale,Irish Ale
1816,Archers &#40; Evan Evans &#41;,5 %,Archers Poleaxed,Premium Bitter/ESB
1817,Right Brain Brewery,6.50 %,Right Brain Looping Owl,Amber Ale
1818,Deschutes Brewery,6.50 %,Deschutes Fadeaway Amber Ale,Amber Ale
1819,Wrecking Bar Brewpub,5.10 %,Wrecking Bar Penny for your Thoughts Copper Ale,Amber Ale
1820,Feather Falls Brewing Company,4.25 %,Feather Falls Coyote Spirit Amber Ale,Amber Ale
1821,7 Seas Brewing,6.20 %,7 Seas Cutt_s NW Amber Ale,Amber Ale
1822,Niagara College Teaching Brewery,9 %,Certified Originals Check Yourself Before You Wreck Yourself,India Pale Ale &#40; IPA &#41;
1823,Acoustic Ales Brewing Experiment,5.80 %,Acoustic Ales Road to the Abbey,Belgian Ale
1824,10 Barrel Brewing &#40; AB InBev &#41;,7 %,10 Barrel Frosty_s Revenge,Belgian Strong Ale
1825,Lompoc Brewing,6.40 %,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Amber Ale
1826,Right Brain Brewery,5.10 %,Right Brain Cherry Queen Amber Ale,Fruit Beer
1827,Hops Grillhouse & Brewery &#40; Corp HQ &#41;,4.40 %,Hops Flying Squirrel Nut Brown Ale,Brown Ale
1828,DC Brau Brewing Company,4.30 %,DC Brau / Oliver_s Burial at Sea,Mild Ale
1829,Broken Tooth Brewing Company,5.60 %,Broken Tooth Great Land Campfire Lager,Smoked
1830,Batch Brewing Company &#40; AUS &#41;,5.20 %,Batch &#40; AUS &#41; Statler Amber Ale,Amber Ale
1831,Artzner,7 %,Artzner Perle Des _ les,Fruit Beer
1832,3 Sheeps Brewing Company,7.20 %,3 Sheeps Autumnal Hoppiness Harvest Ale,American Strong Ale
1833,Bad Seed,4.30 %,Bad Seed Raspberry Red Ale,Fruit Beer
1834,Bridger Brewing,4.80 %,Bridger Session Amber Ale,Amber Ale
1835,Sly Fox Brewing Company,5.70 %,Sly Fox M. Bier Amber,American Pale Ale
1836,One Barrel Brewing Company,6 %,One Barrel Wrenclaw Red Ale,Amber Ale
1837,Rogue Ales,6.20 %,Rogue Captain Sigs Deadliest Ale &#40; Northwestern Ale &#41;,India Pale Ale &#40; IPA &#41;
1838,Mooselick Brewing,5 %,Mooselick Moose Hide Amber Ale,Amber Ale
1839,Nebraska Brewing Company,-,Nebraska / Rock Brothers 311 Amber Ale,Amber Ale
1840,Heavy Riff Brewing Company,4.50 %,Heavy Riff Shady Lane Amber Ale,Amber Ale
1841,Rupert_s Brew House,5.90 %,Rupert_s Match The Drapes Amber Ale,Amber Ale
1842,Clockwork &#40; Maclay &#41;,4.40 %,Clockwork Cartside Red,Amber Ale
1843,Thr3e Wise Men,8.50 %,Thr3e Wise Men Double Pagoda Pit Road Red,Imperial IPA
1844,Alameda Brewing Co. .,6.30 %,Alameda Wasco Indian Summer Ale,India Pale Ale &#40; IPA &#41;
1845,Pump House Brewery,5 %,Pump House Firechiefs Red Ale,Amber Ale
1846,Staffordshire &#40; prev Leek &#41;,4.50 %,Cottage Delight Metrognome,Premium Bitter/ESB
1847,508 Gastrobrewery,-,508 Cocoa for Coconuts &#033;,Cream Ale
1848,Red Lodge Ales,7.90 %,Red Lodge Resurrection Doppelbock,Doppelbock
1849,Sockeye Brewing,6.20 %,Sockeye Freds Raging Red,Imperial Pils/Strong Pale Lager
1850,Ale Industries,5.50 %,Ale Industries Spring Fling,Spice/Herb/Vegetable
1851,Jing A &#40; &#20140; A &#41; Capital Brewing Co. .,6.20 %,Jing A &#40; Blushing Geija &#41; Koji Red Ale,Specialty Grain
1852,Dieu du Ciel,5 %,Dieu du Ciel Clef des Champs,Traditional Ale
1853,Blue Cat Brew Pub,5.70 %,Blue Cat Red Toad Amber Ale,Premium Bitter/ESB
1854,Bold City Brewery,8 %,Bold City 1901 Red Ale,American Strong Ale
1855,De la Soif,5 %,De la Soif Barbe Torte AmbrÃ © e Au BlÃ © Noir,BiÃ ¨ re de Garde
1856,Burdock,6.40 %,Burdock Fresh Hop Pale Ale,American Pale Ale
1857,Old Abbey Ales,4.20 %,Old Abbey Brett Trois Red Rye ISA,Session IPA
1858,Riva Brouwerij &#40; Duvel-Moortgat &#41;,4.70 %,ChÃ cents teau de Moulinsard La Rousse Au Bourbon,Belgian Ale
1859,Willoughby Brewing Co. .,5.50 %,Willoughby American Amber Ale,Amber Ale
1860,Pokertree,5.50 %,Pokertree Red Earl Ruby Ale,Amber Ale
