beer_pk,brew_type,beer_strength,beer_title,beer_factory_name
2400,Barley Wine,10.80 %,Smuttynose Smuttlabs Ol _ Grundy Humper,Smuttynose Brewing Company
2401,Barley Wine,12.70 %,Saint Arnold Bishops Barrel # 10,Saint Arnold Brewing Company
2402,Barley Wine,11 %,Grand Lake Barrel Aged Super Chicken Barley Wine,Grand Lake Brewing Co
2403,Barley Wine,11.50 %,Four Peaks Hopsquatch Barleywine,Four Peaks Brewing Company
2404,Black IPA,6.20 %,Big Rig Release the Hounds,Big Rig Brewery
2405,Barley Wine,9 %,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company
2406,Barley Wine,11.50 %,5 Rabbit Ponche,5 Rabbit Cerveceria
2407,Barley Wine,9.30 %,Carolina Old 392 Barleywine,Carolina Brewing Company
2408,Sweet Stout,6.40 %,Odell Gramps,Odell Brewing Company
2409,Barley Wine,11.20 %,Golden City Centurion Barleywine Ale,Golden City Brewery
2410,Barley Wine,9 %,13 Virtues Mob Barleywine,13 Virtues Brewing Company
2411,Barley Wine,9 %,Big Time Old Wooly Barleywine,Big Time Brewery
2412,Amber Ale,5.50 %,Cahaba Liquidambar Amber Ale,Cahaba Brewing Company
2413,Barley Wine,11 %,Harmon Super Samurai Barley Wine Ale,Harmon Brewery & Restaurant
2414,Barley Wine,10.40 %,Mikkeller / Three Floyds Risgoop,De Proefbrouwerij
2415,Spice/Herb/Vegetable,11.20 %,Elysian The Gourdfather Pumpkin Barleywine,Elysian Brewing &#40; AB-InBev &#41;
2416,Barley Wine,-,Elevator Barrel Aged Barley Wine,Elevator Brewing Company
2417,Premium Lager,5.20 %,Breakwater Wellenbrecher Lager,Breakwater Brewing Company
2418,Doppelbock,8.50 %,Alcatraz Annihilator Doppelbock,Alcatraz Brewing
2419,Spice/Herb/Vegetable,4.10 %,612 Brew Mary Ann,612 Brew
2420,Barley Wine,10 %,Boundary Bay Old Bounder,Boundary Bay Brewery and Bistro
2421,Bitter,4 %,Mighty Oak Snowbeard,Mighty Oak
2422,Amber Ale,4.70 %,Olde Johnnie Ale,Cold Spring Brewery
2423,Barley Wine,-,Black Husky Beware of Dog Series : Headbutter Barleywine,Black Husky Brewing
2424,Barley Wine,13 %,Revolution Barrel Aged Institutionalized Barley Wine,Revolution Brewing Company
2425,Barley Wine,10.30 %,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company
2426,Imperial Porter,8.20 %,Fort George Hogfather,Fort George Brewery
2427,Barley Wine,9 %,White Birch Barley Wine Ale,White Birch Brewing
2428,Barley Wine,11.90 %,Nebraska Inception Series Runnin _ with the Devil,Nebraska Brewing Company
2429,Barley Wine,8.60 %,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Anderson Valley Brewing Company
2430,Barley Wine,12 %,BrewDog Clown King,BrewDog
2431,Grodziskie/Gose/Lichtenhainer,4.50 %,Creature Comforts Tritonia,Creature Comforts Brewing Company
2432,Barley Wine,10.50 %,BrewDog / Oskar Blues Shipwrecker Circus,BrewDog
2433,Barley Wine,9.20 %,Snipes Mountain Roza Reserve,Snipes Mountain Microbrewery
2434,Barley Wine,9 %,Cathedral Square Repent Rye,Crown Valley Brewing & Distilling
2435,Stout,7 %,Abbot BrewHouse Benedictus Primus,Abbot BrewHouse
2436,Barley Wine,13 %,Burnt Hickory Killdozer 12 Point Buck Ale,Burnt Hickory Brewery
2437,Barley Wine,10.50 %,Ladyface Oaked Bluebelly Barleywine,Ladyface Ale Companie
2438,Amber Ale,5.30 %,Copperhead Red,Copperhead Brewery
2439,Barley Wine,12 %,Block 15 Hypnosis,Block 15 Brewery
2440,Barley Wine,12 %,Excel Ryeday The 13th,Excel Brewing Company
2441,Spice/Herb/Vegetable,8 %,Grado Plato Strada S. Felice,Birrificio Grado Plato
2442,Barley Wine,10 %,Napa Smith Grateful Dog Barleywine,Napa Smith Brewery
2443,Barley Wine,10.80 %,Tired Hands StonerWitch,Tired Hands Brewing Company
2444,Barley Wine,11.50 %,Drakes Rakish Ryewine,Drakes Brewing Company
2445,Barley Wine,10.80 %,Mother_s Foggy Notion - Single Barrel,Mother_s Brewing Company
2446,Barley Wine,10 %,La Voie MaltÃ © e Polissonne,La Voie MaltÃ © e
2447,Barley Wine,13 %,Revolution Mineshaft Gap,Revolution Brewing Company
2448,Barley Wine,9.10 %,Twisted Pine Bough Breaker Barleywine,Twisted Pine Brewing
2449,Bitter,4.50 %,Brakspear Downpour,Brakspear &#40; Marstons &#41;
2450,American Pale Ale,6 %,Albuquerque The Dukes Pale Ale,Albuquerque Brewing Company
2451,Barley Wine,11 %,Burnt Hickory / Coastal Empire March to the Sea,Burnt Hickory Brewery
2452,Barley Wine,-,Piece Barrel Aged Moose Knuckle,Piece Brewery & Pizzeria
2453,Amber Ale,7 %,Jackie O_s Really Nelson India Red Ale,Jackie O_s Pub & Brewery
2454,Specialty Grain,4.60 %,Animal Big Bang,XT Brewing
