entity_id,item_name,product_features,sale_price
864,lacie little disk 250gb black portable hard drive 301278,"lacie little disk 250gb black portable hard drive 301278 compact , thin and lightweight design back up , synchronize and secure files and settings extractable integrated usb cable and protective cap hi-speed usb 2.0 pc and mac compatible black finish",99.0
865,nikon black 13.5 megapixel coolpix digital camera coolpixp6000bk,nikon black 13.5 megapixel coolpix digital camera coolpixp6000bk 13.5 effective megapixels 4x zoom-nikkor lens 2.7 ' high-resolution wide-viewing angle lcd monitor optical lens shift vr image stabilization wired lan connectivity built-in gps unit wireless remote control in-camera red-eye fix d-lighting black finish,
866,nikon graphite black 14.5 megapixel coolpix digital camera coolpixs710bk,nikon graphite black 14.5 megapixel coolpix digital camera coolpixs710bk 14.5 effective megapixels 3.6 x zoom-nikkor lens 3.0 ' high-resolution wide-viewing angle lcd monitor optical lens shift vr image stabilization food and smile mode face-priority af camera red-eye fix d-lighting graphite black finish,
867,applecare protection plan for ipod touch or ipod classic mb591lla,applecare protection plan for ipod touch or ipod classic mb591lla extends your service coverage to up to two years includes both phone and in store techinical support,59.0
868,nikon coolpix s610 10 megapixel black digital camera coolpixs610bk,nikon coolpix s610 10 megapixel black digital camera coolpixs610bk 10.0 megapixels 4x zoom-nikkor lens 3.0 ' high-resolution wide-viewing angle lcd monitor scene auto selector active child mode smile and food mode face-priority af in-camera red-eye fix d-lighting midnight black finish,249.0
869,sony vaio z series black notebook computer vgnz591ub,sony vaio z series black notebook computer vgnz591ub 2.53 ghz intel core 2 duo p9500 processor with intel centrino 2 processor technology 13.1 ' xbrite-duraview technology widescreen lcd display 4gb ram 320gb serial ata hard drive blu-ray disc optical drive built-in wireless-n technology built-in motion eye camera and microphone lightweight 3.4 lbs with battery multi-media sd card and memory stick pro slots energy star 4.0 qualified genuine microsoft windows vista ultimate black finish,
870,brenthaven sling i titanium laptop carrying bag for 13 ' macbook tr653zma,brenthaven sling i titanium laptop carrying bag for 13 ' macbook tr653zma lightweight and durable protective case rugged ballistic nylon custom fit padded computer compartment external pocket side water bottle pocket ergonomic strap with tuck away option internal accessory panel fits macbook air and macbook 13.3 ' titanium finish,
871,brenthaven sling ii titanium laptop carrying bag for 15 ' macbook pro tr654zma,brenthaven sling ii titanium laptop carrying bag for 15 ' macbook pro tr654zma lightweight and durable protective case rugged ballistic nylon custom fit padded computer compartment external pocket side water bottle pocket ergonomic strap with tuck away option internal accessory panel fits macbook pro 15.4 ' titanium finish,
872,sony vaio black usb docking station vgpupr1,"sony vaio black usb docking station vgpupr1 perfect for the constant traveler or mobile professional easily connect all of necessary peripherals vga port 4 usb ports ethernet port headphone and microphone ports compatible with vaio cr series , fz series , fw series , nr series and ar series notebooks black finish",199.99
873,onkyo 7.1 channel home theater black receiver txsr876b,"onkyo 7.1 channel home theater black receiver txsr876b 140w x 7 hdmi v1 .3 thx ultra2 plus certification all discrete circuitry optimum gain volume audyssey dynamic eq dolby digital plus , dolby truehd , dts-hd master audio decoder hdmi deep color capable ( 36bit ) 1080p upscaling via hdmi analog to hdmi upconversion permanent memory storage back-lit remote black finish",
874,nikon pink 10 megapixel coolpix digital camera coolpixs60pnk,nikon pink 10 megapixel coolpix digital camera coolpixs60pnk 10 effective megapixels 5x zoom-nikkor lens 3.5 ' wide touch screen high-resolution lcd portrait one-touch zoom scene auto selector smile timer face-priority af in-camera red-eye fix d-lighting champagne pink finish,
875,onkyo thx ultra2 certified 7.1 channel home theater black receiver txnr906b,"onkyo thx ultra2 certified 7.1 channel home theater black receiver txnr906b 145w x 7 hdmi v1 .3 all discrete circuitry absolute ground plate optimum gain volume audyssey dynamic eq non-scaling configuration toroidal transformer dolby digital plus , dolbyl truehd , dts-hd master audio , dts-hd high resolution audio decoder music optimizer hdmi deep color capable ( 36bit ) 1080p upscaling via hdmi analog to hdmi upconversion permanent memory storage back-lit remote black finish",
876,nikon sb-900 af speedlight in black sb900,nikon af speedlight in black sb900 wireless commander mode control up to three remote 3 light distribution patterns flash tube overheat protection drip-proof mounting foot cover ( water guard ) color gel filter identification black finish,499.0
877,samsung 46 ' series 9 lcd black flat panel hdtv ln46a950,"samsung 46 ' series 9 lcd black flat panel hdtv ln46a950 full 1080p high definition resolution 1,000,000:1 dynamic contrast ratio auto motion plus 120hz built-in digital tuner ( ntsc/atsc/clear qam ) 4ms response time srs trusurround xt down firing speakers picture-in-picture ( pip ) integrated woofer wide color gamut led backlight black finish",
