beer_no,abv_percentage,maker_name,beer_kind
0,7.50 %,TrÃ ¶ egs Brewing Company,American Amber / Red Ale
1,5.20 %,New Belgium Brewing,American Amber / Red Ale
2,4.40 %,Stone Brewing Co. .,American Amber / Red Ale
3,8.10 %,Green Flash Brewing Co. .,American Amber / Red Ale
4,6.00 %,TrÃ ¶ egs Brewing Company,American Amber / Red Ale
5,6.20 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale
6,6.75 %,Lagunitas Brewing Company,American Amber / Red Ale
7,6.80 %,Bear Republic Brewing Co. .,American Amber / Red Ale
8,8.00 %,Great Lakes Brewing Co. .,American Amber / Red Ale
9,7.80 %,Lagunitas Brewing Company,American Amber / Red Ale
10,7.20 %,Maine Beer Company,American Amber / Red Ale
11,5.30 %,Rogue Ales,American Amber / Red Ale
12,8.65 %,Lagunitas Brewing Company,American Amber / Red Ale
13,5.40 %,North Coast Brewing Co. .,American Amber / Red Ale
14,5.80 %,Anderson Valley Brewing Company,American Amber / Red Ale
15,5.30 %,Rogue Ales,American Amber / Red Ale
16,5.80 %,Highland Brewing,American Amber / Red Ale
17,7.40 %,Cigar City Brewing,American Amber / Red Ale
18,5.50 %,Ballast Point Brewing Company,American Amber / Red Ale
19,4.40 %,Breckenridge Brewery,American Amber / Red Ale
20,7.00 %,Ithaca Beer Company,American Amber / Red Ale
21,5.50 %,Full Sail Brewery & Tasting Room & Pub,American Amber / Red Ale
22,5.10 %,Rogue Ales,American Amber / Red Ale
23,6.10 %,Mendocino Brewing Company,American Amber / Red Ale
24,6.10 %,Speakeasy Ales & Lagers,American Amber / Red Ale
25,7.00 %,Sixpoint Brewery,American Amber / Red Ale
26,6.80 %,Modern Times Beer,American Amber / Red Ale
27,7.00 %,Maine Beer Company,American Amber / Red Ale
28,6.00 %,Anchor Brewing Company,American Amber / Red Ale
29,10.00 %,Ballast Point Brewing Company,American Amber / Red Ale
30,6.00 %,New Belgium Brewing,American Amber / Red Ale
31,6.20 %,Rogue Ales,American Amber / Red Ale
32,5.00 %,BrewDog,American Amber / Red Ale
33,8.50 %,AleSmith Brewing Company,American Amber / Red Ale
34,9.00 %,Port Brewing,American Amber / Red Ale
35,5.00 %,Switchback Brewing Company,American Amber / Red Ale
36,6.50 %,Odell Brewing Company,American Amber / Red Ale
37,5.40 %,Humboldt Brewing Co. .,American Amber / Red Ale
38,6.80 %,Ale Asylum,American Amber / Red Ale
39,10.30 %,Terrapin Beer Company,American Amber / Red Ale
40,5.40 %,Weyerbacher Brewing Co. .,American Amber / Red Ale
41,6.66 %,AleSmith Brewing Company,American Amber / Red Ale
42,7.50 %,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale
43,6.90 %,The Bruery,American Amber / Red Ale
44,8.00 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale
45,5.80 %,Redhook Ale Brewery,American Amber / Red Ale
46,5.50 %,The Duck-Rabbit Craft Brewery,American Amber / Red Ale
47,5.70 %,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale
48,6.90 %,Ninkasi Brewing Company,American Amber / Red Ale
49,5.70 %,Coronado Brewing Company,American Amber / Red Ale
50,6.50 %,Mad River Brewing Company,American Amber / Red Ale
51,6.10 %,Revolution Brewing Company,American Amber / Red Ale
52,5.50 %,Saint Arnold Brewing Company,American Amber / Red Ale
53,8.50 %,Grand Teton Brewing Co. .,American Amber / Red Ale
54,7.30 %,Local Option,American Amber / Red Ale
55,5.90 %,Coors Brewing Company,American Amber / Red Ale
56,5.70 %,New Glarus Brewing Company,American Amber / Red Ale
57,6.50 %,Pipeworks Brewing Company,American Amber / Red Ale
58,6.66 %,AleSmith Brewing Company,American Amber / Red Ale
59,5.25 %,New Holland Brewing Company,American Amber / Red Ale
60,5.30 %,Deschutes Brewery,American Amber / Red Ale
61,5.50 %,Dark Horse Brewing Company,American Amber / Red Ale
62,5.70 %,Red Brick Brewing Company,American Amber / Red Ale
63,5.00 %,Widmer Brothers Brewing Company,American Amber / Red Ale
64,5.90 %,Thirsty Dog Brewing Company,American Amber / Red Ale
65,8.00 %,Finch 's Beer Co. .,American Amber / Red Ale
66,8.50 %,Sierra Nevada Brewing Co. .,American Amber / Red Ale
67,7.00 %,Evil Twin Brewing,American Amber / Red Ale
68,4.80 %,Florida Beer Company,American Amber / Red Ale
69,5.50 %,Lost Coast Brewery and Cafe,American Amber / Red Ale
70,5.20 %,Mac and Jack 's Brewery,American Amber / Red Ale
71,5.00 %,Odell Brewing Company,American Amber / Red Ale
72,6.50 %,Brewery Vivant,American Amber / Red Ale
73,7.00 %,Blue Point Brewing Company,American Amber / Red Ale
74,7.00 %,Flying Fish Brewing Company,American Amber / Red Ale
75,5.30 %,The Fort Collins Brewery,American Amber / Red Ale
76,5.20 %,Deschutes Brewery,American Amber / Red Ale
77,5.40 %,Coors Brewing Company,American Amber / Red Ale
78,6.80 %,Heretic Brewing Company,American Amber / Red Ale
79,4.90 %,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale
80,5.50 %,O'Fallon Brewery,American Amber / Red Ale
81,9.50 %,Two Brothers Brewing Company,American Amber / Red Ale
82,5.15 %,Ska Brewing Co. .,American Amber / Red Ale
83,5.20 %,Coastal Extreme Brewing Co. .,American Amber / Red Ale
84,5.90 %,Redhook Ale Brewery,American Amber / Red Ale
85,9.00 %,Rogue Ales,American Amber / Red Ale
86,5.60 %,Elysian Brewing Company,American Amber / Red Ale
87,5.00 %,Belfast Bay Brewing Co. .,American Amber / Red Ale
88,5.30 %,Mayflower Brewing Company,American Amber / Red Ale
89,6.00 %,New Belgium Brewing,American Amber / Red Ale
90,6.20 %,Stoudts Brewing Co. .,American Amber / Red Ale
91,5.00 %,Cottrell Brewing Co. .,American Amber / Red Ale
92,7.00 %,Ninkasi Brewing Company,American Amber / Red Ale
93,7.90 %,Long Trail Brewing Co. .,American Amber / Red Ale
94,4.80 %,Central Waters Brewing Co. .,American Amber / Red Ale
95,5.40 %,Caldera Brewing Company,American Amber / Red Ale
96,4.50 %,Jackie O 's Pub & Brewery,American Amber / Red Ale
97,6.00 %,4 Hands Brewing Co. .,American Amber / Red Ale
98,5.50 %,Flying Fish Brewing Company,American Amber / Red Ale
99,8.50 %,Alaskan Brewing Co. .,American Amber / Red Ale
100,5.10 %,Portland Brewing Company,American Amber / Red Ale
101,5.50 %,Palmetto Brewing Company,American Amber / Red Ale
102,6.50 %,Steel Toe Brewing,American Amber / Red Ale
103,6.50 %,Half Acre Beer Company,American Amber / Red Ale
104,6.50 %,Marble Brewery,American Amber / Red Ale
105,5.20 %,The Fort Collins Brewery,American Amber / Red Ale
106,7.20 %,Napa Smith Brewery,American Amber / Red Ale
107,5.60 %,Coors Brewing Company,American Amber / Red Ale
108,6.60 %,Three Heads Brewing,American Amber / Red Ale
109,8.80 %,Revolution Brewing Company,American Amber / Red Ale
110,7.00 %,Peak Organic Brewing Company,American Amber / Red Ale
111,4.95 %,Pizza Port Solana Beach,American Amber / Red Ale
112,-,Central Waters Brewing Co. .,American Amber / Red Ale
