bev_id,brewery,beer_style,beer_nm
869,Microbrasserie La Chouape,American Amber / Red Ale,AmbrÃ © e AmÃ ¨ re
870,Chelsea Brewing Company,American Amber / Red Ale,Chelsea Sunset Red
871,Fernie Brewing Co. .,American Amber / Red Ale,Rockpile
872,Argus Brewery,American Amber / Red Ale,Country House Red Ale
873,Lithia Brewing Company,American Amber / Red Ale,Regner Red Ale
874,Exit 6 Brewery,American Amber / Red Ale,Ryane 's Red
875,Wicked Weed Brewing,American Amber / Red Ale,Old Fashioned
876,Drake 's Brewing Co. .,American Amber / Red Ale,Exxpedition Imperial Red Ale
877,Carver Brewing Co. .,American Amber / Red Ale,Old Oak Amber Ale
878,Sprague Farm & Brew Works,American Amber / Red Ale,Rust Belt
879,Maui Brewing Co. .,American Amber / Red Ale,Barefoot Brew
880,Spinnakers Gastro Brewpub & Guesthouse,American Amber / Red Ale,North West Ale
881,Buxton Brewery,American Amber / Red Ale,High Tor
882,Ice Axe Grill / Mt. Hood Brewing Co. .,American Amber / Red Ale,Cloudcap Amber Ale
883,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,BJ 's Oasis
884,Kulshan Brewing Company,American Amber / Red Ale,Red Cap
885,Market Street Brewing Co. and Restaurant,American Amber / Red Ale,Market Street Wrought Iron Red
886,Black Bottle Brewery,American Amber / Red Ale,Ginger
887,903 Brewers,American Amber / Red Ale,Roo 's Red Ale
888,Nano Brew Cleveland,American Amber / Red Ale,Namber Ale
889,Eight Degrees Brewing,American Amber / Red Ale,Amber Ella
890,Indian Wells Brewing Company,American Amber / Red Ale,Ballistic Brewing Co. - Gorgon Red Ale
891,Thunder Canyon Brewery,American Amber / Red Ale,Thunder Canyon Deep Canyon Amber Ale
892,Alligator Brewing Company,American Amber / Red Ale,Habanero Smoked Ale
893,McKenzie Brewing Company,American Amber / Red Ale,Raging Rhino Red
894,Latitude 42 Brewing Company,American Amber / Red Ale,Schoolhouse Honey Amber Ale
895,Barrel Harbor Brewing,American Amber / Red Ale,Barrel Harbor Red Ale
896,Lonerider Brewing Company,American Amber / Red Ale,Eve Amber Ale
897,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Raccoon Red Ale
898,NÃ ¸ gne _ - Det KompromisslÃ ¸ se Bryggeri A/S,American Amber / Red Ale,Julesnadder
899,Kauai Island Brewery & Grill,American Amber / Red Ale,Cane Fire Red
900,Brutopia Brewery,American Amber / Red Ale,Brutopian Valhalla
901,Yalobusha Brewing Company,American Amber / Red Ale,Heavy Hitter
902,The Actual Brewing Co. .,American Amber / Red Ale,Elektron
903,Seaside Brewing Company,American Amber / Red Ale,North Coast Red Ale
904,Buoy Beer Company,American Amber / Red Ale,Buoy NW Red Ale
905,Silver Peak Restaurant & Brewery,American Amber / Red Ale,Red Roadster
906,C.B. & Potts,American Amber / Red Ale,Big Horn Buttface Amber Ale
907,Vindication Brewing Co. .,American Amber / Red Ale,American Bold Ale
908,F&M Brewery,American Amber / Red Ale,Stone Hammer Maple Red Ale
909,Empire Brewing Company,American Amber / Red Ale,Otto Amber
910,Fulton Beer,American Amber / Red Ale,High West Barrel Aged Libertine
911,SoCal Beer Company,American Amber / Red Ale,Red Carpet Ale
912,Standing Stone Brewing Company,American Amber / Red Ale,Standing Stone Amber Ale
913,Northwest Brewing Company,American Amber / Red Ale,Joker Amber
914,Cask & Larder,American Amber / Red Ale,Red Drum
915,Lost Rhino Brewing Company,American Amber / Red Ale,Native Son
916,Big Island Brewhaus & Tako Taco Taqueria,American Amber / Red Ale,Red Giant Ale
917,Happy Valley Brewing Company,American Amber / Red Ale,Knuckleball
918,Feral Brewing Co. .,American Amber / Red Ale,Fantapants
919,Sharp 's Brewery,American Amber / Red Ale,Wolf Rock
920,Bricktown Brewery,American Amber / Red Ale,Remington Red
921,South County Brewing Co. .,American Amber / Red Ale,AmericAle
922,Johansson 's Dining House,American Amber / Red Ale,Whistle Stop Amber
923,Hops Grillhouse & Brewery,American Amber / Red Ale,Thoroughbred Red
924,Wichita Brewing Co. & Pizzeria West,American Amber / Red Ale,5:02 Amber
925,Wolf Hills Brewing Company,American Amber / Red Ale,Creeper Trail Amber Ale
926,Hood Canal Brewing,American Amber / Red Ale,Agate Pass Amber
927,Skookum Brewery,American Amber / Red Ale,Amber 's Hot Friend
928,Frankenmuth Brewery,American Amber / Red Ale,Old Detroit Amber Ale
929,Endeavour Beverages,American Amber / Red Ale,2010 Reserve Amber Ale
930,Hollister Brewing Co. .,American Amber / Red Ale,Table 42 Red
931,Sand Creek Brewing Company,American Amber / Red Ale,4 Brothers Sibling Rivalry
