bev_id,brew_fac_name,beer_subtype,brew_name
1738,Sonoran Brewing Company,American Amber / Red Ale,Desert Amber
1739,Gonzo 's Biggdogg Brewing,American Amber / Red Ale,Unloosened Ale
1740,Breakside Brewery,American Amber / Red Ale,Breakside Hoppy Amber
1741,Millersburg Brewing Company,American Amber / Red Ale,Bags Best Red Ale
1742,Triptych Brewing,American Amber / Red Ale,Imperial Red XPA
1743,Flying Bison Brewing Company,American Amber / Red Ale,Red 's Heaven 15th Anniversary Imperial Red Ale
1744,Bomber Brewing,American Amber / Red Ale,Marzen Amber Lager
1745,Amager Bryghus,American Amber / Red Ale,Red Nitro
1746,Wicked Weed Brewing,American Amber / Red Ale,Eldo Amber
1747,Ebenezer 's Brewpub / Lively Brewing Co. .,American Amber / Red Ale,Knife 's Edge Red ( Katahdin Red )
1748,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,Rock Steady Red
1749,Port Aransas Brewing Company,American Amber / Red Ale,Bull Red Ale
1750,Drygate Brewery,American Amber / Red Ale,Reflex
1751,La Diable,American Amber / Red Ale,Diable
1752,Ten Sleep Brewing Company,American Amber / Red Ale,Outlaw Amber
1753,Northport Brewing,American Amber / Red Ale,Morazon Amber
1754,Minneapolis Town Hall Brewery,American Amber / Red Ale,Blackberry Crimson Oat
1755,Due South Brewing Co. .,American Amber / Red Ale,Batch 200 _ `` Olympus Mons Imperial Red Ale
1756,Escape Craft Brewery,American Amber / Red Ale,Road Rage Imperial Red
1757,Burn 'Em Brewing,American Amber / Red Ale,Red Zeppelin
1758,Rivertowne Pourhouse,American Amber / Red Ale,Rivertowne Red Head Red
1759,Rivertowne Pourhouse,American Amber / Red Ale,Leap Beer
1760,Guild Hall Brewing Company,American Amber / Red Ale,Shakedown
1761,Nuevo Mundo CervecerÃa,American Amber / Red Ale,AMAZ '
1762,Ulele,American Amber / Red Ale,Rusty 's Red
1763,Mother Earth Brew Co. .,American Amber / Red Ale,Evolution Chocolate Amber
1764,Brouwerij het Uiltje,American Amber / Red Ale,Velduil
1765,Wiltse 's Brew Pub and Family Restaurant,American Amber / Red Ale,Wiltse 's Paul Bunyan Ale
1766,Metalman Brewery,American Amber / Red Ale,Windjammer
1767,CervecerÃa Lesnez,American Amber / Red Ale,7 Barrios Amber
1768,SLO Brewing Company,American Amber / Red Ale,Claim Jumper Red
1769,Marshall Wharf Brewing Company / Three Tides Restaurant,American Amber / Red Ale,Little Max Red Ale
1770,Aldus Brewing Company,American Amber / Red Ale,Olde Factory Amber IPA
1771,Brouwerij De Molen,American Amber / Red Ale,Wait For It !
1772,Shiretown Beer,American Amber / Red Ale,Siren 's T'ale
1773,The Ruddy Duck Brewery And Grill,American Amber / Red Ale,Hammerhead Red
1774,La Cumbre Brewing Co. .,American Amber / Red Ale,La Roja Grande
1775,Central City Brewers + Distillers,American Amber / Red Ale,Red Betty Maple Ale
1776,Sierra Andina,American Amber / Red Ale,Alpamayo Amber Ale
1777,Thornbury Beverage Company,American Amber / Red Ale,Jubilee Amber
1778,Bristol Beer Factory,American Amber / Red Ale,West Coast Red
1779,Boxing Bear Brewing Co. .,American Amber / Red Ale,Ambear Ale
1780,Tarraco Beer,American Amber / Red Ale,Jazz Beer Tarraco Amber
1781,Bend Brewing Company,American Amber / Red Ale,Axe Head Red
1782,Peoria Artisan Brewery,American Amber / Red Ale,Artisan Amber
1783,Port Aransas Brewing Company,American Amber / Red Ale,Mustang Amber Ale
1784,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Demon Sweat Imperial Red
1785,The Able Ebenezer Brewing Company,American Amber / Red Ale,Tabula Rasa
1786,Pizza Port Solana Beach,American Amber / Red Ale,Big Dumb Animal
1787,2nd Story Brewing Co. .,American Amber / Red Ale,Hoppy New Year Amber Ale
1788,Meantime Brewing Company Limited,American Amber / Red Ale,Marks & Spencer Greenwich Red Ale
1789,North Fork Brewing,American Amber / Red Ale,Son Of Frog
1790,Eventide Brewing,American Amber / Red Ale,Red Headed Haley
1791,Oceanside Ale Works,American Amber / Red Ale,San Luis Rey Red Ale
1792,The Brewing Lair,American Amber / Red Ale,Espionage Red
1793,Against The Grain Brewery & Smokehouse,American Amber / Red Ale,Truffle Shuffle
1794,Rusty Truck Brewing Company / Roadhouse 101,American Amber / Red Ale,Stupiphany Imperial Red Ale
1795,Birdland Brewing Company,American Amber / Red Ale,Kewlerskald
1796,Cascade Lakes Brewing Co. .,American Amber / Red Ale,Red Dog Red
1797,Birdland Brewing Company,American Amber / Red Ale,Phoenix
1798,SoMe Brewing Company,American Amber / Red Ale,Sugar Wood
1799,Empyrean Brewing Company,American Amber / Red Ale,Father Donkey Amber Ale
1800,Microbrasserie Artisanale Sainte Crucienne,American Amber / Red Ale,Red Is Dead
1801,ParrotDog,American Amber / Red Ale,Bloodhound
1802,Florida Beer Company,American Amber / Red Ale,Flora-bama Mullet Head Red
1803,Firehouse Brewing Co. .,American Amber / Red Ale,Full Tilt Bozo
1804,10 Barrel Brewing Co. .,American Amber / Red Ale,Northwest Red
1805,Triumph Brewing Company,American Amber / Red Ale,Double Amber Ale
1806,Quantum Brewing,American Amber / Red Ale,Uncertainty Red
1807,Bull & Barrel Brew Pub,American Amber / Red Ale,Session Style * Amber Ale
1808,Turtle Mountain Brewing Company,American Amber / Red Ale,Oku ' Amber
1809,Bali Storm Brewing Company,American Amber / Red Ale,Bronze Ale
1810,10 Barrel Brewing Co. .,American Amber / Red Ale,Amber Waves Of Grain
1811,Valholl Brewing Co. . LLC,American Amber / Red Ale,Valkyrie Red
1812,Daviyun ( Cerveza SAGRA ),American Amber / Red Ale,Burro De Sancho Roja
1813,Charlie & Jake 's Brewery & Grille,American Amber / Red Ale,Gator Ale
1814,The Knuckle Saloon & Grill,American Amber / Red Ale,Knuckle Head Red
1815,Heavy Seas Beer,American Amber / Red Ale,Desert Island Series : American Honey Amber Ale
1816,Country Boy Brewing,American Amber / Red Ale,Our Daily Red
1817,Bedondaine & Bedons Ronds,American Amber / Red Ale,La Bariteau
1818,Cellar Brewing Company,American Amber / Red Ale,Lucky Enough Amber
1819,Platt Park Brewing Company,American Amber / Red Ale,Astronaut Amber
1820,Central Coast Brewing,American Amber / Red Ale,Topless Red Ale
1821,Pyraser Bier GmbH & Co. . KG,American Amber / Red Ale,Rotbier
1822,Alameda Brewhouse,American Amber / Red Ale,East Village Amber
1823,MashCraft Brewing,American Amber / Red Ale,Ancho Annie
1824,Coastal Fog Brewing,American Amber / Red Ale,Holiday Ale
1825,Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,American Amber / Red Ale,Forty-Niner Amber Ale
1826,Stony Creek Brewery,American Amber / Red Ale,In The Red
1827,Belmont Brewing Company,American Amber / Red Ale,India Amber Ale
1828,Potosi Brewing Company,American Amber / Red Ale,Potosi Cave Ale Amber Ale
1829,Appalachian Brewing Company,American Amber / Red Ale,Herr Ridge Amber Ale
1830,RAR Brewing ( Realerevival ),American Amber / Red Ale,Red-C
1831,MadTree Brewing,American Amber / Red Ale,Barrel Aged Happy Amber
1832,North River Hops and Brewing,American Amber / Red Ale,Balsam Lake Mountain Amber Ale
1833,Old Bisbee Brewing Company,American Amber / Red Ale,Copper City Ale
1834,Osgood Brewing,American Amber / Red Ale,Oakestown
1835,Begyle Brewing Company,American Amber / Red Ale,Red Bus
1836,Eastern Shore Brewing,American Amber / Red Ale,Gingered St. Michaels Ale
1837,St. Boniface Craft Brewing Company,American Amber / Red Ale,Offering # 21 : Red Ale
1838,Pints Brewery & Sports Bar,American Amber / Red Ale,Pints Rehab Red
1839,Triple C Brewing Co. .,American Amber / Red Ale,Guildy As Sin
1840,Charleston Brewing Company,American Amber / Red Ale,White Elephant Red Ale
1841,North Coast Brewing Co. .,American Amber / Red Ale,Beer Engine Red
1842,La Quinta Brewing Co. .,American Amber / Red Ale,Heatwave Red Ale
1843,Hopping Gnome Brewing,American Amber / Red Ale,Sepia Amber
