beer_uid,beer_abv,beer_item,brew_style
2607,8.50 %,Sunset Imperial Amber,American Amber / Red Ale
2608,-,12 Oaks Amber,American Amber / Red Ale
2609,5.50 %,Magnum P.A.,American Amber / Red Ale
2610,5.30 %,S'Morris Day And The Time,American Amber / Red Ale
2611,3.50 %,60 Schillings Cask,American Amber / Red Ale
2612,5.70 %,Aketoberfest Harvest Ale,American Amber / Red Ale
2613,6.00 %,Rawhide Red,American Amber / Red Ale
2614,7.20 %,Killer Red Fresh Hop India Red Ale,American Amber / Red Ale
2615,7.00 %,Sunday Barbecue Amber,American Amber / Red Ale
2616,5.10 %,Valley Red,American Amber / Red Ale
2617,-,Switch Track,American Amber / Red Ale
2618,-,Bierbitzch Amber,American Amber / Red Ale
2619,5.70 %,It 's Spelt Centennial,American Amber / Red Ale
2620,5.20 %,Simcoe Steam,American Amber / Red Ale
2621,6.70 %,Angler 's Amber,American Amber / Red Ale
2622,8.00 %,Sweet Amber,American Amber / Red Ale
2623,4.80 %,Summer Ale,American Amber / Red Ale
2624,5.50 %,Shinjiko Sekiyo Amber Ale,American Amber / Red Ale
2625,5.00 %,Sunday Fun Day Red Ale,American Amber / Red Ale
2626,5.00 %,True Grit Amber Ale,American Amber / Red Ale
2627,5.00 %,Double Tap,American Amber / Red Ale
2628,5.00 %,Salmon Run Red Ale,American Amber / Red Ale
2629,5.00 %,Gala Hoppy Red,American Amber / Red Ale
2630,10.00 %,WBAB,American Amber / Red Ale
2631,5.75 %,White Oaked Sunset Red,American Amber / Red Ale
2632,5.40 %,Fuken Red Ale,American Amber / Red Ale
2633,6.00 %,Blue Bridge Amber Dry Hopped,American Amber / Red Ale
2634,-,Dry Hopped Red Ale,American Amber / Red Ale
2635,6.40 %,Snowbird,American Amber / Red Ale
2636,4.20 %,1790 Tap Room Ale,American Amber / Red Ale
2637,-,Secret Beer,American Amber / Red Ale
2638,10.00 %,Blitz 'n Holiday Ale,American Amber / Red Ale
2639,5.00 %,Beer Buddy Red Ale,American Amber / Red Ale
2640,4.80 %,Heritage Red Ale,American Amber / Red Ale
2641,5.60 %,Hickory Red Bacon Ale,American Amber / Red Ale
2642,5.20 %,Ethel Red Ale,American Amber / Red Ale
2643,5.50 %,Grahamber,American Amber / Red Ale
2644,5.20 %,_ œAlmost Heaven _ Amber Ale,American Amber / Red Ale
2645,6.20 %,I _ ™ m Well Red,American Amber / Red Ale
2646,5.50 %,British Red,American Amber / Red Ale
2647,6.20 %,Red Between The Lines,American Amber / Red Ale
2648,5.80 %,Recumbent,American Amber / Red Ale
2649,4.70 %,Foraging For Herbs,American Amber / Red Ale
2650,6.00 %,Chocolate Amber,American Amber / Red Ale
2651,5.80 %,LouLou Amber Ale,American Amber / Red Ale
2652,9.00 %,Angry Irish Ale,American Amber / Red Ale
2653,-,Belgian Kronik,American Amber / Red Ale
2654,6.10 %,Bastola,American Amber / Red Ale
2655,-,Electroshock Therhopy,American Amber / Red Ale
2656,5.14 %,Reddish American Red Ale,American Amber / Red Ale
2657,-,Tarantula Trek Red Ale,American Amber / Red Ale
2658,-,Woodford Reserve BBL Aged G'knight,American Amber / Red Ale
2659,5.50 %,Red Bonnet Amber,American Amber / Red Ale
2660,5.20 %,No Paddle Amber,American Amber / Red Ale
2661,4.80 %,Red Rye,American Amber / Red Ale
2662,6.80 %,5th Anniversary Ale,American Amber / Red Ale
2663,-,Summer 66,American Amber / Red Ale
2664,5.50 %,Umbeer,American Amber / Red Ale
2665,-,Amber - Oak Chips & Vanilla Beans,American Amber / Red Ale
2666,-,Tiffani Amber Thiessen,American Amber / Red Ale
2667,4.90 %,Rennisance City Red,American Amber / Red Ale
2668,-,AmbrÃ © e AmÃ © ricaine,American Amber / Red Ale
2669,5.00 %,Smokestack Amber Ale,American Amber / Red Ale
2670,6.50 %,Oaky Doke,American Amber / Red Ale
2671,0.00 %,100 __ Naked Dove Brewing Company,-
2672,5.70 %,49 ` er Red,American Amber / Red Ale
2673,-,Miner 's Red,American Amber / Red Ale
2674,-,Nicole,American Amber / Red Ale
2675,-,Johnny Bravo,American Amber / Red Ale
2676,3.90 %,Homefield 5,American Amber / Red Ale
2677,6.00 %,Coccinati Red Wheat,American Amber / Red Ale
2678,3.80 %,Border Bitter,American Amber / Red Ale
2679,5.50 %,No Soul Red,American Amber / Red Ale
2680,5.50 %,Busy Bee,American Amber / Red Ale
2681,5.40 %,Little Tenderness,American Amber / Red Ale
2682,-,Rock Slide Amber,American Amber / Red Ale
2683,-,Big Wind Amber,American Amber / Red Ale
2684,-,Boscos Kung Fu,American Amber / Red Ale
2685,4.40 %,Levitation With Darjeeling & Ginger,American Amber / Red Ale
2686,-,Armstrong Amber,American Amber / Red Ale
2687,5.00 %,Maltz & Waltz,American Amber / Red Ale
2688,6.50 %,Get To The Root,American Amber / Red Ale
2689,5.00 %,Hearthstone Red Rye Ale,American Amber / Red Ale
2690,6.70 %,Mighty Mullet,American Amber / Red Ale
2691,4.20 %,Wild North Summer Session Ale,American Amber / Red Ale
2692,-,Redshift Red Ale,American Amber / Red Ale
2693,8.00 %,Big Amber Gnome,American Amber / Red Ale
2694,6.10 %,Urban Amber,American Amber / Red Ale
2695,5.20 %,Whipstall West Coast Amber,American Amber / Red Ale
2696,-,DÃ © gagÃ © Ale,American Amber / Red Ale
2697,6.00 %,San Rafael Red Ale,American Amber / Red Ale
