beer_identifier,beer_flavor,beer_product,alcohol_by_volume
3476,American Amber / Red Ale,Whose Envy,10.50 %
3477,American Amber / Red Ale,Jacobsen Red Christmas Ale,4.60 %
3478,American Amber / Red Ale,Double Mongrel Imperial India Red Ale,9.00 %
3479,American Amber / Red Ale,Ignescent Amber,5.30 %
3480,American Amber / Red Ale,Festbier,6.00 %
3481,American Amber / Red Ale,Copper Pot Ale,6.00 %
3482,American Amber / Red Ale,Spring City Amber,6.73 %
3483,American Amber / Red Ale,La Bretonne,5.00 %
3484,American Amber / Red Ale,Atwater 1936,9.00 %
3485,American Amber / Red Ale,Amarillo,6.90 %
3486,American Amber / Red Ale,Megalodon,-
3487,American Amber / Red Ale,Road Soda Red IPA,6.00 %
3488,American Amber / Red Ale,KZOK Classic Rock Amber,5.70 %
3489,American Amber / Red Ale,Analog Amber,5.70 %
3490,American Amber / Red Ale,One Drop,6.30 %
3491,American Amber / Red Ale,Binckse Belofte,5.80 %
3492,American Amber / Red Ale,Mojo Rojo - Pilot Batch,4.50 %
3493,American Amber / Red Ale,Right Hand Red,5.70 %
3494,American Amber / Red Ale,Regal Eagle,6.10 %
3495,American Amber / Red Ale,Eldo Amber Ale,5.50 %
3496,American Amber / Red Ale,Ruby Sunset,4.10 %
3497,American Amber / Red Ale,Dark Lager,5.60 %
3498,American Amber / Red Ale,Twents Amber,5.50 %
3499,American Amber / Red Ale,Parcel Of Rogues,4.60 %
3500,American Amber / Red Ale,Riot Act,5.00 %
3501,American Amber / Red Ale,S.A.M.,5.40 %
3502,American Amber / Red Ale,Chief _ ™ s Light Amber,-
3503,American Amber / Red Ale,Rip City Red,6.00 %
3504,American Amber / Red Ale,Harbinger,8.00 %
3505,American Amber / Red Ale,Alibi Amber,6.30 %
3506,American Amber / Red Ale,Red-Blooded American,7.00 %
3507,American Amber / Red Ale,Yunnan Amber,5.20 %
3508,American Amber / Red Ale,T.B.C - Stumbling Bee Honey Amber,5.50 %
3509,American Amber / Red Ale,Oaked Over-The-Rhine Ale,-
3510,American Amber / Red Ale,Special Toast,5.60 %
3511,American Amber / Red Ale,Depth Finder IRA,5.90 %
3512,American Amber / Red Ale,Otzi _ ™ s Twenty Nine __ Copper Ale,-
3513,American Amber / Red Ale,Jaw Glide,4.60 %
3514,American Amber / Red Ale,Matilde Red Ale,5.00 %
3515,American Amber / Red Ale,T_ebonickÃ © Geronimo PolotmavÃ 1/2 RÃ 1/2 Å 3/4 ovÃ 1/2 SpeciÃ ¡ l 13Â °,-
3516,American Amber / Red Ale,Mutual Fermentation,6.00 %
3517,American Amber / Red Ale,Wretched Red,7.10 %
3518,American Amber / Red Ale,Etna,5.00 %
3519,American Amber / Red Ale,FAKE LYING IMPOSTER AMBER ALE,5.60 %
3520,American Amber / Red Ale,Devil 's Bath,8.00 %
3521,American Amber / Red Ale,The Hummer,5.80 %
3522,American Amber / Red Ale,Round Lake Red,5.80 %
3523,American Amber / Red Ale,Jubilee Session Amber,4.30 %
3524,American Amber / Red Ale,Ant Ray Cow Pants,7.30 %
3525,American Amber / Red Ale,Honey Badger,-
3526,American Amber / Red Ale,Red Wagon Coffee Ale,5.10 %
3527,American Amber / Red Ale,Red Ryeding,4.50 %
3528,American Amber / Red Ale,ChlumeckÃ 1/2 Amber Ale,4.90 %
3529,American Amber / Red Ale,Busta Rhizomes,7.20 %
3530,American Amber / Red Ale,La Rouquine,-
3531,American Amber / Red Ale,URSA Z Po_oniny,5.00 %
3532,American Amber / Red Ale,Papakeechie 's Reserve,-
3533,American Amber / Red Ale,Wobbly Red Ale,5.90 %
3534,American Amber / Red Ale,Ol' Yelper,6.40 %
3535,American Amber / Red Ale,Ambog Ale,7.00 %
3536,American Amber / Red Ale,Millennium Falcon,7.30 %
3537,American Amber / Red Ale,Anniversary Double Red,7.70 %
3538,American Amber / Red Ale,AmbrÃ © e Bio,6.00 %
3539,American Amber / Red Ale,FBF,4.50 %
3540,American Amber / Red Ale,Mancy 's Papou Classic Amber,6.00 %
3541,American Amber / Red Ale,Honey Hudson,6.50 %
3542,American Amber / Red Ale,Hose 5,5.50 %
3543,American Amber / Red Ale,On The Border Amber Porter,5.20 %
3544,American Amber / Red Ale,Nopalito Red,-
3545,American Amber / Red Ale,Ross Creek Red Ale,6.50 %
3546,American Amber / Red Ale,R.E.D.,8.00 %
3547,American Amber / Red Ale,Catskill Amber Ale,5.50 %
3548,American Amber / Red Ale,McFadden Red Ale,6.00 %
3549,American Amber / Red Ale,La Piautre AmbrÃ © e,6.00 %
3550,American Amber / Red Ale,Yakima,4.50 %
3551,American Amber / Red Ale,La Piautre Rousse,6.50 %
3552,American Amber / Red Ale,Flamboyant 2014,-
3553,American Amber / Red Ale,Whistle Stop Amber Ale,4.50 %
3554,American Amber / Red Ale,Fire On The Mountain,5.50 %
3555,American Amber / Red Ale,Vaughn 's Vats Beauwinkle,5.40 %
3556,American Amber / Red Ale,Hathor 's Amber Ale,5.30 %
3557,American Amber / Red Ale,Red Tractor Ale,6.80 %
3558,American Amber / Red Ale,Blood Oats,5.60 %
3559,American Amber / Red Ale,Del Puerto Barba Roja,4.50 %
3560,American Amber / Red Ale,Amberly Eyes,6.00 %
3561,American Amber / Red Ale,Edge Amber,5.70 %
3562,American Amber / Red Ale,La Gourmande,5.30 %
3563,American Amber / Red Ale,Amber Alt,5.60 %
3564,American Amber / Red Ale,Red Rothchild,5.50 %
3565,American Amber / Red Ale,Meet Mister Mayhem,4.90 %
3566,American Amber / Red Ale,Fireman 's Amber,5.26 %
3567,American Amber / Red Ale,Acacia Amber,5.60 %
3568,American Amber / Red Ale,Rousse Du Prospecteur,5.00 %
3569,American Amber / Red Ale,Arkie Amber Ale ( AAA ),5.60 %
3570,American Amber / Red Ale,Das Rote,5.00 %
3571,American Amber / Red Ale,Radio Banter,4.90 %
3572,American Amber / Red Ale,Smelteverket _ ™ s Jamaican Blue,5.20 %
3573,American Amber / Red Ale,De Vie,-
3574,American Amber / Red Ale,Immortal Corruptor ( Gwar Blood Dry Hopped Citra ),5.50 %
3575,American Amber / Red Ale,RÃ ¸ de Toner,4.70 %
3576,American Amber / Red Ale,Argyle,7.90 %
3577,American Amber / Red Ale,Orange Blossom Ale,5.10 %
3578,American Amber / Red Ale,Forhekset Prinsesse,6.20 %
3579,American Amber / Red Ale,Festival Amber,3.80 %
3580,American Amber / Red Ale,Moggy 's Old Red Ale,-
3581,American Amber / Red Ale,Alligator Ale,-
3582,American Amber / Red Ale,Johnny Danger Copper Ale,5.50 %
3583,American Amber / Red Ale,Red Star,6.50 %
3584,American Amber / Red Ale,Les Petits Brasseurs,5.20 %
3585,American Amber / Red Ale,Through Silver In Blood Red Ale,6.00 %
3586,American Amber / Red Ale,Bin 1214 Rounded Red Ale,7.80 %
3587,American Amber / Red Ale,Hop Riot,-
3588,American Amber / Red Ale,HBH Rubia,-
3589,American Amber / Red Ale,English Ruby Mild,4.80 %
3590,American Amber / Red Ale,Anecdotalist Amber Ale,4.50 %
3591,American Amber / Red Ale,Marching Orders,5.60 %
3592,American Amber / Red Ale,L'AmbrÃ © e De La Poterne,-
3593,American Amber / Red Ale,Escanaba River Amber Ale,5.76 %
3594,American Amber / Red Ale,BJ 's Oasis Amber,4.70 %
3595,American Amber / Red Ale,La Val Heureuse AmbrÃ © e,5.50 %
3596,American Amber / Red Ale,Red White And Boom,6.20 %
3597,American Amber / Red Ale,Amberdelic,4.80 %
3598,American Amber / Red Ale,Lux Rousse,5.40 %
3599,American Amber / Red Ale,La Maplehurst,-
3600,American Amber / Red Ale,SOHO,5.10 %
3601,American Amber / Red Ale,Saloon Girl,5.50 %
3602,American Amber / Red Ale,La Grand-BiÃ ¨ re Dans Le Sirop,7.00 %
3603,American Amber / Red Ale,Scrum-tious,4.40 %
3604,American Amber / Red Ale,Windsor Ale,4.80 %
3605,American Amber / Red Ale,Constanza _ ™ s Hoppy Red Ale,6.20 %
3606,American Amber / Red Ale,Summit Amber,5.00 %
3607,American Amber / Red Ale,The Heads Ale,5.20 %
3608,American Amber / Red Ale,How Now Brown Cow,3.70 %
3609,American Amber / Red Ale,USA-Style Amber Ale,5.40 %
3610,American Amber / Red Ale,La Berthelaise,6.50 %
3611,American Amber / Red Ale,Gas Can Red,6.60 %
3612,American Amber / Red Ale,Buddy 's Red Ale,7.20 %
3613,American Amber / Red Ale,What 's My Name Amber Ale,5.50 %
