beer_key,brewery,beer_style_name,beer_type
0,Great Lakes Brewing &#40; Ohio &#41;,Great Lakes Nosferatu,American Strong Ale
1,4 Hands Brewing Company,4 Hands Reprise Centennial Red Ale,Amber Ale
2,10 Barrel Brewing &#40; AB InBev &#41;,10 Barrel Backdraft IPA,India Pale Ale &#40; IPA &#41;
3,Gore Range Brewery,Gore Range Fly Fisher Red Ale,Amber Ale
4,Naked Dove Brewing,Naked Dove Nice & Naughty Christmas Ale,Stout
5,10 Barrel Brewing &#40; AB InBev &#41;,10 Barrel Amber Waves of Grain,Amber Ale
6,Barley Station Brewpub &#40; Shuswap Lake Brewing Co. &#41;,Barley Station Bushwacker Brown,Brown Ale
7,Blackfoot River Brewing,Blackfoot River MacKenzie River Driftboat Amber,Amber Ale
8,The Brewerie at Union Station,Brewerie Apparition Amber Ale,Amber Ale
9,Battlefield Brew Works,Battlefield Brew Works Red Circle Ale,Irish Ale
10,3 Sheeps Brewing Company,3 Sheeps Rebel Kent The First - Red Wine Barrel,Belgian Ale
11,_ lgod Bryghus,Esbjerg Mikrobryg Amber Ale,Amber Ale
12,Purrumbete Brewing,Red Duck Amber Ale,Amber Ale
13,Big Rig Brewery,Big Rig Rideau Red,Amber Ale
14,Casa Cervecera Quinta Normal,Quimera Amber Ale,Amber Ale
15,People_s Brewing Company,People_s Aberrant Amber,Amber Ale
16,Northwest Brewing Company,Northwest Chinook Copper Ale,Amber Ale
17,11 Below Brewing Company,11 Below Oso Bueno Amber Ale,Amber Ale
18,Mt. Shasta Brewing Company,Mt. Shasta Abner Weed Amber Ale,Amber Ale
19,Burley Oak Brewing Company,Burley Oak Assawoman Amber,Amber Ale
20,Catawba Valley Brewing Company,Catawba Valley Indian Head Red,Amber Ale
21,Grayton Beer,Grayton Beer 1890 Founder_s Ale,Amber Ale
22,Fulton Beer Company,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,American Strong Ale
23,Sherwood Brewing Company,Sherwood Mistress Jades Hemp Ale,American Pale Ale
24,Cumberland Brewing &#40; BC &#41;,Cumberland Red Tape Pale Ale,American Pale Ale
25,Birrificio CitaBiunda,Birrificio CitaBiunda Cinnamon Girl,Premium Bitter/ESB
26,Blue Elephant Craft Brew House,Blue Elephant Red Devil,Amber Ale
27,Fairhope Brewing Company,Fairhope I Drink Therefore I Amber,Amber Ale
28,Revolution Brewing Company,Revolution Battle of Wil_s,Amber Ale
29,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;,MacTarnahans Amber Ale &#40; Macs Ale &#41;,Amber Ale
30,Beryl_s Beer Company,Beryl_s Firecatcher,Foreign Stout
31,Back Street Brewery,Back Street Rita Red Ale,Amber Ale
32,Exile Brewing Company,Exile Chill Clinton Double Hemp Amber Ale,Spice/Herb/Vegetable
33,Backwoods Brewing Company,Backwoods Big Cedar I.R.A,Amber Ale
34,County Durham Brewing,Durham Red Dragon,Amber Ale
35,Palmetto Brewing Company,Palmetto Amber Ale,Amber Ale
36,Constantine Brewing Company,Constantine Red Rooster Irish Ale,Irish Ale
37,Sawdust City Brewing Company,Sawdust City Red Rocket Coffee Spiced Stout,Spice/Herb/Vegetable
38,Big Bear Mountain Brewery,Big Bear Mountain Red Ant Hill Red Ale,Amber Ale
39,Veterans United Craft Brewery,Veterans United Scout Dog 44,Amber Ale
40,Black Lotus Brewing Company,Black Lotus Red Tao,Amber Lager/Vienna
41,Out of Bounds Brewing Company,Out of Bounds Rusted Butte Red Ale,Amber Ale
42,Persimmon Hollow Brewing Company,Persimmon Hollow Paddle Wheeler Red Ale,Amber Ale
43,Zamecky Pivovar Chy_e,Chy_e Sierra Amber Ale,Amber Ale
44,Rock Art Brewery,Rock Art Stowe Mountain Lodge Hourglass Ale,Amber Ale
45,Motorworks Brewing,Motorworks Roll Cage Red Ale,Irish Ale
46,Back Yard Brewing Company,Back Yard Rainmaker Ale,Smoked
47,Abbeydale,Abbeydale Absolution,Golden Ale/Blond Ale
48,Argilla Brewing Company,Argilla Amber Ale,Amber Ale
49,Bays,Bays Topsail,Bitter
50,Cannonball Creek Brewing Company,Cannonball Creek Victorville Red,Amber Ale
51,City Brewery &#40; Melanie Brewing Co &#41;,RJ King Wingwalker Winter Brew &#40; -2007 &#41;,Amber Ale
52,Breakside Brewery,Breakside Mocha Salted Caramel Stout,Sweet Stout
53,Legends Bistro,Legends Bistro Plucky Rooster Ale,Specialty Grain
54,23 Brewing Company,23 Brewing Company # 1 Pale Ale &#40; # 1 &#28129; &#33394; &#33406; &#29246; &#41;,American Pale Ale
55,Hockley Valley Brewing & Malting Company,Legends of the Bay Giant_s Tomb,Amber Ale
56,Half Acre Beer Company,Half Acre Ginger Twin India Red Ale,India Pale Ale &#40; IPA &#41;
57,Oakshire Brewing,Oakshire Ride Your Bike Double Red Ale,Amber Ale
58,Begyle Brewing Company,Begyle Pancake Junkie,Amber Ale
59,Naked City Brewing,Naked City Screening Room Red,India Pale Ale &#40; IPA &#41;
60,Block 15 Brewery,Block 15 Ridgeback Red,Amber Ale
61,Microbrasserie du Lac Saint-Jean,Du Lac Saint-Jean Boutefeu,Amber Ale
62,Generations Brewing Company,Generations Pretzel City Amber,Amber Ale
63,Marble Brewery,Marble Imperial Red Ale,American Strong Ale
64,Wynwood Brewing Company,Wynwood Fox Imperial Red Ale,American Strong Ale
65,8th Wonder Brewery,8th Wonder Coffee Mocha Feight,Amber Ale
66,Old Rail Brewing Company,Old Rail Rusted Rail Ale,Amber Ale
67,Black Rock Brewing Company,Black Rock Anthracite Ale,American Pale Ale
68,Paradox Brewery,Paradox Red Ale,Amber Ale
69,The Brewers Art,Brewers Art Scarlet Fever,Sour/Wild Ale
70,Bricktown Brewery,Bricktown 46 Star Oklahoma Amber Ale,Amber Ale
71,Brewery & General Store,Franklins Rubber Chicken Red Ale,Amber Ale
72,Falling Sky Brewing,Falling Sky Retrograde Red,Amber Ale
73,18th Street Brewery,18th Street Barrel Aged Cock Fight,Belgian Ale
74,Anderson Valley Brewing Company,Anderson Valley Pinchy Jeek Barl,Spice/Herb/Vegetable
