beer_pk,brew_item,brew_type,manufacturer_name
600,Knee Deep McCarthy_s Bane Imperial Red Ale,American Strong Ale,Knee Deep Brewing Company
601,Saint Arnold Altared Amber,Belgian Ale,Saint Arnold Brewing Company
602,Andersonville Bourbon Barrel Aged Sour Gangster,Sour Red/Brown,Andersonville Brewing Company
603,Backwoods Spruce Springsteen Strong Ale,American Strong Ale,Backwoods Brewing Company
604,Magic Hat deVEILed,Amber Ale,Magic Hat Brewing Company &#40; North American Breweries &#41;
605,Boulder Draft House Alpenglow Amber,Amber Ale,Boulder Draft House
606,Bugnutty Suzi_s Red Belly Ale,Amber Ale,Bugnutty Brewing Company
607,Great Flood Velvet Racer,American Strong Ale,Great Flood Brewing Company
608,Bonfire BeWildeRed Irish Red Ale,Irish Ale,Bonfire Brewing
609,Paradox Beer Self Esteem - Candid Kaiser Project,Amber Ale,Paradox Beer Company
610,3 Ravens The Ravenator Bock,Dunkler Bock,3 Ravens
611,Pelicon Out of China,Amber Ale,Pivovarna Pelicon
612,Black Heath Proserpine,Mead,Black Heath Meadery
613,1933 Hoppy Ending Pale,American Pale Ale,1933 Brewing Company
614,SanTan 12 Daze Caramel Spiced Amber,Spice/Herb/Vegetable,SanTan Brewing Company
615,Red Horn Coffee House and Brewing Company Red Horn Drink Well Red Ale,Amber Ale,Red Horn Coffee House and Brewing Company
616,Dirty Bucket Dirty Amber Ale,Amber Ale,Dirty Bucket Brewing Company
617,Southport Fairfield Red,Amber Ale,Southport Brewing Company
618,Vault Penn Harvest Ale,Amber Ale,Vault Brewing Company
619,Thorn Street Red Headed Hop Child,Amber Ale,Thorn Street Brewery
620,American Highstick,American Strong Ale,American Brewing Company
621,Mission Carrack Imperial Red Ale,American Strong Ale,Mission Brewery
622,Suginoya Amber Ale,Amber Ale,Suginoya Beer / Hamachi Shuzo
623,Oak Creek King Crimson Imperial Red Ale,American Strong Ale,Oak Creek Brewing Co. .
624,Mohawk Easter Rocket Red IPA,India Pale Ale &#40; IPA &#41;,SlottskÃ $ llans Bryggeri
625,La Petrognola Ambrata al Farro,Specialty Grain,La Petrognola / Rio Maggio
626,Alandale Unfiltered Wheat,German Hefeweizen,Kirkwood Station Brewing Company
627,Pizza Port Team Cretins Hoppy Amber Ale,Amber Ale,Pizza Port &#40; Ocean Beach &#41;
628,21st Amendment Big Hoppy Red Bird,Amber Ale,21st Amendment Brewery
629,Black Kettle Northwest Red Ale,Amber Ale,Black Kettle Brewing
630,Modernist Stockholm Syndrome,Amber Ale,Modernist Brewery
631,Blue Heron Amber_s Folly Amber Ale,Amber Ale,Blue Heron Brewing Company
632,Brewery Terra Firma Manitou Island Hopper,Amber Ale,Brewery Terra Firma
633,Big River Grille Disney World Bobs Amber Ale,Amber Ale,Big River Grille & Brewing Works Lake Buena Vista &#40; CraftWorks &#41;
634,Fort Collins Hometown Helles,Heller Bock,Fort Collins Brewery
635,Slanted Rock Iron Butt Red Ale,Amber Ale,Slanted Rock Brewing Company
