beer_identifier,style_type,beer_nm,brew_fac
1200,Amber Ale,MalmÃ ¶ Point Reyes Amber,MalmÃ ¶ Brygghus
1201,Amber Ale,MalmÃ ¶ Ruby Soho Red Ale,MalmÃ ¶ Brygghus
1202,Amber Ale,Hillbilly Wisconsin Amber Ale,Maiden Wines LLC
1203,American Strong Ale,Barley Creek Expedition Strong Ale,Barley Creek Brewing Co. .
1204,Spice/Herb/Vegetable,Bull City / Fullsteam / Triangle CollaBEERation : Trinity,Bull City Burger and Brewery
1205,Amber Ale,Gull Dam American Amber Ale,Gull Dam Brewing
1206,Bitter,Fuller_s Traitor_s Gate,Fuller_s
1207,Amber Ale,Hoppy Ruby Slipper Ale,Hoppy Brewing Company
1208,American Strong Ale,Acoustic Ales Surly Mosh Pit,Acoustic Ales Brewing Experiment
1209,Saison,13 Virtues Saisonnalisa,13 Virtues Brewing Company
1210,Altbier,Barley Mill Brewing Redtail Ale,Barley Mill Brewing Co. &#40; Malt House Brewing Co. &#41;
1211,Amber Ale,Bristol Mass Transit Ale,Bristol Brewing Company
1212,Amber Ale,Deschutes Commuter Amber Ale,Deschutes Brewery
1213,Amber Ale,South Fork Nerdy Girl Amber,South Fork Brewing Company
1214,Amber Ale,Garage Project Pan Pacific,Garage Project
1215,Amber Ale,Black Oak Love Fuzz,Black Oak Brewing
1216,Irish Ale,Railyard Fireman_s Red,Railyard Brewing Company
1217,Amber Ale,Stoneyard Rippers Red Ale,Custom Brewcrafters
1218,American Pale Ale,_ tramÃ ¡ k American Pale Ale 14Â °,Minipivovar _ tramÃ ¡ k
1219,Amber Ale,Tustin Dog Ditch Amber,Tustin Brewing Company
1220,Amber Ale,Negev Amber Ale,Negev Brewery
1221,Amber Ale,Wild Ride 3 Sisters American Red Ale,Wild Ride Brewing
1222,Amber Ale,Moncada Notting Hill Amber,Moncada
1223,Amber Ale,Trickster_s Inspector Stonewall_s Amber Ale,Trickster_s Brewing Company
1224,Amber Ale,Pigskin Legendary Amber,Pigskin Brewing Company
1225,Amber Ale,Levrette Bio,Brunehaut
1226,Spice/Herb/Vegetable,Espiga Local Amber Ale Hopback,Espiga Local Brewing
1227,Amber Ale,Big Storm Wavemaker Amber Ale,Big Storm Brewing Company
1228,Fruit Beer,Bin SaskBerry Prairie Berry Ale,Great Western Brewing &#40; Canadian Brewing &#41;
1229,Wheat Ale,John Harvards Amarillo Anonymous,John Harvards Brewhouse Lake Grove
1230,Amber Ale,The Civil Life Stevie_s 5 Star Amber Ale,The Civil Life Brewing Company
1231,Amber Ale,Capistrano Amber Ale,Capistrano Brewing Company
1232,Bitter,Adkin Alfred_s A Conflict Of Interest,Adkin
1233,Amber Ale,Scottsdale Beer Co. . Easy Amber,Scottsdale Beer Company
1234,American Strong Ale,Abigaile Coconut Imperial Red,The Brewery at Abigaile
1235,Bitter,Tesco Ruby Ale,Tesco
1236,Bitter,Brews Brothers Billabong Bay Bitter,Brews Brothers Microbrewery
1237,Amber Ale,Himmelberger North 40 Amber,Himmelberger Brewing Company
1238,Amber Ale,49th State Amber Borealis,49th State Brewery
1239,Amber Ale,Rudders Red,Rudders Seafood Restaurant & Brew Pub
1240,Amber Ale,Grizzly Peak Junicade Red,Grizzly Peak Brewing Co. .
1241,India Pale Ale &#40; IPA &#41;,Arch Brewing Dinner Jacket Red IPA,Wellington Brewery
1242,Amber Ale,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade
1243,Specialty Grain,Ale Industries Rye_d Piper,Ale Industries
1244,Amber Ale,Birdsview Scraps,Birdsview Brewing Company
1245,Amber Ale,Three Palms Ruby Pogo,Three Palms Brewing
1246,Old Ale,508 Honey Brew,508 Gastrobrewery
1247,Amber Ale,Sick N Twisted Hopped Up Red Ale,Sick N Twisted Brewing Company
1248,Amber Ale,Red Leg Howitzer Amber,Red Leg Brewing
1249,Amber Ale,Twelve String Archtop Amber,Twelve String Brewing Company
1250,India Pale Ale &#40; IPA &#41;,Iron Hill Rye-Zen-Shine,Iron Hill West Chester
1251,India Pale Ale &#40; IPA &#41;,Grand River Plowman_s Anniversary Ale,Grand River Brewing
