beer_ref,brew_style,beer_product,beer_factory_name
1800,California Common,Liberty Myrtle Beach So Fresh And So Steam,Liberty Brewery & Grill - Myrtle Beach
1801,Amber Ale,Sankt Gallen Kitakamakura no Megumi,Sankt Gallen Brewery
1802,Amber Ale,ShinDigger City Shuffle Red Ale,ShinDigger
1803,Amber Ale,Dia De Los Muertos Death Becomes You Amber Ale,CervecerÃa Mexicana
1804,Golden Ale/Blond Ale,Shugborough N_KD At The Swan,Shugborough ( Titanic )
1805,Stout,Central City Red Racer Gingerhead Gingerbread Stout,Central City Brewers + Distillers
1806,Amber Ale,Nevin_s Amberosia,Nevin_s Brewing Company
1807,Sour/Wild Ale,8 Wired Brett Pilsner,Renaissance Brewing
1808,Amber Ale,Snowy Mountain Lone Ranger Red,Snowy Mountain Brewery
1809,Amber Lager/Vienna,Alamo Amber Lager,Alamo Beer Company
1810,Amber Ale,Get Well Hector_s Bell Amber Ale,Get Well
1811,Lambic Style - Fruit,3 Fonteinen Druiven Geuze Malvasia Rosso,Brouwerij 3 Fonteinen
1812,Bitter,Cheriton Amber Gambler,Flowerpots
1813,American Strong Ale,Lake Effect Aged Red Ale,Lake Effect Brewing Company
1814,Amber Lager/Vienna,La Rouget de Lisle Crin Blanc,La Rouget de Lisle
1815,Irish Ale,Fifty West Gaddy_s Irish Red Ale,Fifty West Brewing Company
1816,Premium Bitter/ESB,Archers Poleaxed,Archers &#40; Evan Evans &#41;
1817,Amber Ale,Right Brain Looping Owl,Right Brain Brewery
1818,Amber Ale,Deschutes Fadeaway Amber Ale,Deschutes Brewery
1819,Amber Ale,Wrecking Bar Penny for your Thoughts Copper Ale,Wrecking Bar Brewpub
1820,Amber Ale,Feather Falls Coyote Spirit Amber Ale,Feather Falls Brewing Company
1821,Amber Ale,7 Seas Cutt_s NW Amber Ale,7 Seas Brewing
1822,India Pale Ale &#40; IPA &#41;,Certified Originals Check Yourself Before You Wreck Yourself,Niagara College Teaching Brewery
1823,Belgian Ale,Acoustic Ales Road to the Abbey,Acoustic Ales Brewing Experiment
1824,Belgian Strong Ale,10 Barrel Frosty_s Revenge,10 Barrel Brewing &#40; AB InBev &#41;
1825,Amber Ale,Lompoc Bourbon Barrel Aged Proletariat Red Ale,Lompoc Brewing
1826,Fruit Beer,Right Brain Cherry Queen Amber Ale,Right Brain Brewery
