beer_id,producer_name,alcohol_content,brew_product
2400,Smuttynose Brewing Company,10.80 %,Smuttynose Smuttlabs Ol _ Grundy Humper
2401,Saint Arnold Brewing Company,12.70 %,Saint Arnold Bishops Barrel # 10
2402,Grand Lake Brewing Co,11 %,Grand Lake Barrel Aged Super Chicken Barley Wine
2403,Four Peaks Brewing Company,11.50 %,Four Peaks Hopsquatch Barleywine
2404,Big Rig Brewery,6.20 %,Big Rig Release the Hounds
2405,Cape Ann Brewing Company,9 %,Cape Ann Fisherman_s Tea Party
2406,5 Rabbit Cerveceria,11.50 %,5 Rabbit Ponche
2407,Carolina Brewing Company,9.30 %,Carolina Old 392 Barleywine
2408,Odell Brewing Company,6.40 %,Odell Gramps
2409,Golden City Brewery,11.20 %,Golden City Centurion Barleywine Ale
2410,13 Virtues Brewing Company,9 %,13 Virtues Mob Barleywine
2411,Big Time Brewery,9 %,Big Time Old Wooly Barleywine
2412,Cahaba Brewing Company,5.50 %,Cahaba Liquidambar Amber Ale
2413,Harmon Brewery & Restaurant,11 %,Harmon Super Samurai Barley Wine Ale
2414,De Proefbrouwerij,10.40 %,Mikkeller / Three Floyds Risgoop
2415,Elysian Brewing &#40; AB-InBev &#41;,11.20 %,Elysian The Gourdfather Pumpkin Barleywine
2416,Elevator Brewing Company,-,Elevator Barrel Aged Barley Wine
2417,Breakwater Brewing Company,5.20 %,Breakwater Wellenbrecher Lager
2418,Alcatraz Brewing,8.50 %,Alcatraz Annihilator Doppelbock
2419,612 Brew,4.10 %,612 Brew Mary Ann
2420,Boundary Bay Brewery and Bistro,10 %,Boundary Bay Old Bounder
2421,Mighty Oak,4 %,Mighty Oak Snowbeard
2422,Cold Spring Brewery,4.70 %,Olde Johnnie Ale
2423,Black Husky Brewing,-,Black Husky Beware of Dog Series : Headbutter Barleywine
2424,Revolution Brewing Company,13 %,Revolution Barrel Aged Institutionalized Barley Wine
2425,Tighthead Brewing Company,10.30 %,Tighthead Barrel Aged Old Kaya Dog Barleywine
2426,Fort George Brewery,8.20 %,Fort George Hogfather
2427,White Birch Brewing,9 %,White Birch Barley Wine Ale
2428,Nebraska Brewing Company,11.90 %,Nebraska Inception Series Runnin _ with the Devil
