product_key,list_price,product_features,item_full_name
0,,linksys etherfast 8-port 10/100 switch ( new/workgroup ),linksys etherfast ezxs88w ethernet switch ezxs88w
1,,5 x 10/100base-tx lan,linksys etherfast ezxs55w ethernet switch
2,,netgear fs105 prosafe 5 port 10/100 desktop switch,netgear prosafe fs105 ethernet switch fs105na
3,,1 x hd-15 1 x hd-15 10ft beige,belkin pro series high integrity vga/svga monitor extension cable f3h982-10
4,,netgear prosafe 16 port 10/100 rackmount switch - jfs516na,netgear prosafe jfs516 ethernet switch
5,,lacie pocket usb floppy 1.44 mb,lacie pocket floppy disk drive 706018
6,9.99,36 page 4 ' x 6 ',canon kp 36ip print cartridge paper kit 7737a001
7,,"optical usb , ps/2",kensington orbit optical trackball usb w/ps2 adapter 64327
8,,16 x 10/100base-tx lan,linksys etherfast ef4116 ethernet switch
9,64.99,24 x 10/100base-tx lan,linksys etherfast ef4124 ethernet switch
10,,linksys eg005w gigabit 5-port workgroup switch,linksys instant gigabit eg005w ethernet switch
11,,54mbps 1 x 10/100base-tx,linksys g wireless-g wet54g wireless bridge
12,,input voltage :12 v dc output voltage :120 v ac 375w pulse-width modulated sine wave,tripp lite powerverter 375-watt ultra-compact inverter pv375
13,,netgear prosafe 5 port gigabit desktop switch,netgear prosafe gs105 ethernet switch gs105na
14,15.98,1 x hd-15 1 x hd-15 25ft black,belkin monitor cable f3h982-25
15,,,logitech driving force pro for playstation 2 963293-0403
16,,input voltage :12 v dc output voltage :110 v ac 300w stepped sine wave,belkin ac anywhere 300w power inverter f5c400-300w
17,,54mbps,linksys wireless-g range expander wireless bridge wre54g
18,,vaio neoprene notebook & ac adapter case up to 17 in lcd,sony vaio notebook and ac adapter case vgpamc2
19,,d-link broadband cable modem,d-link express ethernetwork high-speed docsis 2.0 cable modem dcm-202
20,12.99,clam shell neoprene,sony notebook and ac adapter cases vgpamc3
21,,"panasonic toner cartridge for the kx-fl511 , kx-fl541 , kx-fl611 and kx-flm651 series",panasonic black toner cartridge kx-fa83
22,,2.1-channel,logitech z-2300 multimedia speaker system 970118-0403
23,,sony dvm-63 hd high-definition minidv videocassette,sony high definition mini dv cassette dsl-190-b
24,,netgear prosafe 802.11 g wireless access point,netgear prosafe wg102 wireless access point 802.11 g wg102na
25,,108mbps,netgear rangemax wpn802 wireless access point wpn802na
26,,"24 x 10/100base-tx lan , 2 x 10/100/1000base-t",netgear prosafe fs726tp 24 port 10/100 smart switch fs726tpna
27,,,playstation 2 memory card 8mb
28,,,sony 7-11719-70670-0 ps2 8 mb memory card 2-pk 97067
29,,,playstation 2 dualshock analog controller green
30,,,playstation 2 dvd remote 97076
31,14.34,nickel-metal hydride ( nimh ) 2.4 v dc headset battery,sennheiser nickel metal hydride battery for headsets ba-151
32,7.95,head cleaner,sony minidv head cleaner dvm12cld
