product_key,p_title,base_price,detailed_info
218,lg electronics lrbp1031w 10 cu . ft. refrigerator,,
219,lg navy blue steamwasher 27 ',,
220,sony 17-in-1 external usb memory card reader and writer mrw62e/s1/181,,"17-in-1 memory stick duo , memory stick magicgate duo , memory stick pro , memory stick pro magicgate , minisd card , multimediacard ( mmc ) , rs-mmc , compactflash ( cf ) card , secure digital ( sd ) card , smar"
221,directdeck universal cassette adapter for mp3 players 7256-ddeck,,
222,"ddw1805w 18-in . portable dishwasher ( white , energy star )",474.36,
223,white .5 cu . ft 1500 watt convection/broiler/toaster oven,149.0,
224,delonghi 6-pc . replacement filters for deep fryer,,
225,delonghi 4-cup drip coffee makers,,
226,"harmony el6985a vacuum ( canister , hepa )",,
227,cuisinart gr-4 griddler four multifunctional cooking options,129.0,
228,cuisinart brew & serve stainless therm black 10-cup coffee maker,99.95,
229,belkin cushtop f8n044-org,,- orange
230,belkin cushtop f8n044-grn,,- green
231,belkin cushtop f8n044-slv,,- silver
232,canon pg-40 black ink cartridge pg-40-bk-twin,41.46,black
233,"dcc-2000 coffee maker ( 12 cup , stainless steel )",99.95,
234,"hoover empower u5269-900 vacuum ( upright , hepa , bagless )",,
235,olympus neoprene soft camera case 202066,11.89,top loading neoprene black
236,canon battery and charger kit 1169b001,,power accessory kit
237,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,169.99,xs fm transmitter 6 lines lcd
238,panasonic kx-flb801 multifunction printer kx-flb801,,panasonic all-in-one all-in-one flatbed laser fax
239,denon dvd-2930ci dvd player dvd2930ci,448.0,"dvd + rw , dvd-rw , cd-rw dvd video , dvd audio , sacd , video cd , picture cd , jpeg , wma , pcm , hdcd , mp3 , mpeg-1 , mpeg-2 , mpeg-4 , divx playback 1 disc ( s ) progressive scan black"
240,omnimount mwfs moda collection 2 shelf wall mounted furniture system espresso,158.16,
241,directed electronics supv1 car kit,,sirius satellite radio receiver
242,sirius suph1 sirius universal home kit,44.99,sirius satellite radio receiver
243,logitech harmony 1000 advanced universal remote control 966230-0403,,
244,logitech dinovo edge keyboard 967685-0403,,usb
245,nikon en-el3e lithium ion digital camera battery 25334,34.24,nikon en-el3e rechargeable li-ion battery
246,nikon 55-200mm f/4 -5.6 g ed af-s dx telephoto zoom lens 55200mmlens,124.95,0.28 x 55mm to 200mm f/4 to 5.6
247,sony lcs-csh soft camera case lcscsh,,top loading polypropylene black
248,olympus slim leather case 202087,18.99,leather black
249,canon ef 75-300mm f/4 -5.6 iii telephoto zoom lens 6473a003,159.95,f/4 to 5.6
250,canon mini dv camcorder starter kit 9582a008,69.95,camcorder starter kit
251,lg electronics dle0442w xl load capacity with neverust stainless steel drum,,
252,lg electronics dlg0452w 7.3 cu . ft. 9-cycle gas dryer,,
253,lg electronics wdp3 laundry pedestal with drawer - w / b / s / n wdp3r wild cherry,,
254,lg electronics wm0642hw front load washing machine with 7 washing programs,,
255,canon bci-6 color ink cartridges 4705a018,59.99,"black , cyan , magenta , yellow , light cyan , light magenta"
256,directed electronics starmate 4 sirius satellite radio receiver st4tk1,104.93,xs fm transmitter 5 lines lcd
257,omnimount 3-shelf large-component tower stellarg303g,,
258,olympus li-42b lithium ion digital camera battery 202034,,lithium ion ( li-ion ) 3.7 v dc photo battery
259,canon cb-2lx battery charger 1133b001,,
260,nikon nikkor 70-300mm f/4 .5 -5.6 g ed-if af-s vr telephoto zoom lens 2161,449.0,f/4 .5 to 5.6
261,fellowes microshred ms-450cs shredder 3245001,185.99,micro cut 7 per pass
262,fellowes powershred personal sb-97cs confetti cut shredder 3219701,240.67,cross cut 17 per pass
263,playstation 3 chargelink usb charging cable by nyko 83000,,
264,nyko ps3 dual ac charger 83015,,
265,sony 1gb memory stick micro ( m2 ) card msa1gd,21.47,1 gb
266,monster game 127961 gamelink ( tm ) 2m hdmi digital video/audio cable for ps3,45.79,
267,bose in-ear earphone inearheadphones,99.95,- black
268,panasonic kx-fp145 plain paper thermal transfer fax/copier kxfp145,94.88,panasonic slim cabinet plain paper fax/copier with all-digital answering system
269,oregon scientific helmet video camera atc-2000,81.74,
270,waring pro deep fryer 3qt - black,,
271,canon cli-8 red ink tank for pixma pro9000 printer 0626b002,15.75,red
272,canon cli-8 green ink tank for pixma pro 9000 printer 0627b002,12.85,green
273,linksys wpsm54g wireless-g usb print server,,"1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g"
274,monster cable gamelink component video and fiber optic digital audio cable for playstation 3 3 x rca toslink 10ft ps3 cv/fo -10,,
275,garmin suction cup mount 010-10823-00,24.84,
276,directed electronics sch1 siriusconnect home tuner,54.92,sirius sch1 siriusconnect home tuner
277,panasonic srtmb10/rice cooker/5 .5 cup/fuzzy sr-tmb10,,
278,kitchenaid 5-speed blender red finish ksb560er,106.98,
279,"abs48 wood tv stand ( avalon series , 48-in . max )",,
280,techcraft swp60 classic wood tone credenza tv stand,,wood walnut
281,"pld4375rfc professional speedclean 24-in . under counter dishwasher ( 14 place settings , stainless steel )",543.29,
282,monster cable gamelink hdmi digital video/audio cable for playstation 3 1 x hdmi 6.56 ft ps3 hdmi-2m,55.79,
283,bose sl2 wireless surround link,249.0,
284,pioneer ibus interface cable for ipod cd-i200,26.5,"6.56 ft 1 x ip-bus , 1 x proprietary audio cable"
285,sirius fmda25 wired fm relay kit,,
286,sony playstation 3 blu-ray dvd remote 98046,18.44,
287,peerless sglb01 flat panel tv stand,,glass black
288,transcend 8gb jetflash v10 usb flash drive ts8gjfv10,14.5,
289,transcend 4gb secure digital high capacity ( sdhc ) card class 6 ts4gsdhc6,5.74,transcend 4gb sdhc class 6 secure digital high capacity card
290,sharp plasmacluster fp-p35cx air purifier 129sq . ft.,,
291,transcend 2gb microsd card ts2gusd,1.75,2 gb
292,polkaudio tci series tc60i in-ceiling loudspeaker tc60iw,132.83,2-way speaker 125w ( rms ) white
293,omnimount wishbone large/x-large premium cantilever mount and universal adapter ucl-xb,292.92,200 lb
294,nikon en-el9 lithium ion digital camera battery pack 25353,35.65,lithium ion ( li-ion ) 7.4 v dc photo battery
295,garmin leather carry case for nuvi 660 010-10823 -01,9.28,top loading leather
296,tomtom gps receiver accessory kit 9n00 .101,35.64,tomtom windshield mount and usb car charger
297,sanus flat panel ceiling mount sc1a-b1,,25 lb
298,coby electronics tf-dvd7006 portable dvd player tfdvd7006,70.32,coby tf-dvd7006 7 ' widescreen portable dvd player
299,panasonic kx-tg1032s dual handset digital cordless phone,61.14,1 x phone line ( s ) headset jack silver
300,panasonic kx-tg1033s digital cordless phone with three handsets,,1 x phone line ( s ) headset jack silver
301,panasonic kx-tg1034s dect 6.0 cordless phone kx-tg1034s,89.45,panasonic dect 6.0 series 4 handset cordless phone system with answering system
302,panasonic kx-tga101s dect 6.0 expansion handset,36.04,
303,garmin suction cup mount 010-10936-00,13.02,
304,canon e-p100 photo pack for selphy es1 printer 1335b001,21.23,photo paper
305,olympus vn-4100pc 256mb digital voice recorder 141927,44.95,256mb flash memory lcd portable
306,omnimount cmk-mini mini wall mounted cable management system,,
307,sanus lrf118-b1 full motion wall tv mount,,130 lb black
308,sanus mf209-b1 full motion wall tv mount,,60 lb
309,case logic universal vertical pda leather pouch clp104bb,9.99,leather
310,sanus mf215-b1 extending full motion mount,,60 lb
311,blueant supertooth light compact bluetooth speakerphone black 093744,,
312,sony infolithium h-series np-fh70 camcorder battery npfh70,57.0,lithium ion ( li-ion ) 8.4 v dc photo battery
313,sony dvpns57p dvd player dvpns57ps,45.32,"dvd-r , dvd + r , dvd + rw , dvd-rw , cd-rw dvd video , svcd , video cd , jpeg , mp3 playback 1 disc ( s ) progressive scan silver"
314,"pld4555rfc professional speedclean 24-in . under counter dishwasher ( 14 place settings , stainless steel , energy star )",549.0,
315,panasonic sr-na18 10-cup rice cooker/warmer with advanced fuzzy logic technology,,
316,frigidaire electric dryer feq1442wh 5.8 cubic foot super capacity drum,499.0,
317,frigidaire electric dryer feq332wh 5.7 cu.ft . super capacity drum,420.29,
318,wed6400sb cabrio super capacity plus electric black dryer,,
319,genesis series 3741001 60 ' freestanding gas grill with 637 sq. in . cooking surface & 3 stainless steel burners : black lp gas,636.61,
320,weber genesis series 3770001 60 ' freestanding gas grill,,
321,weber genesis series s-310 60 ' freestanding gas grill,,
322,"weber summit series s-450 74 1/10 ' freestanding gas grill with 838 sq. in . cooking surface , 6 stainless steel burners , rotisserie burner , stainless steel smoker box & stainless steel work surface : lp gas",,
323,audiovox ve927 9 ' tv/dvd combo,279.99,"9 ' lcd atsc , ntsc 16:9 stereo sound hdtv dvd-r , cd-r , cd-rw"
324,garmin portable friction mount,,garmin 010-10908-00 portable friction mount
325,weber genesis s-320 3780001 60 ' freestanding gas grill,,
326,weber genesis series e-310 3841001 60 ' freestanding gas grill with 637 sq. in . cooking surface & 3 stainless steel burners : black natural gas,679.61,
327,"weber genesis s-320 3880001 60 ' freestanding gas grill with 637 sq. in . cooking surface , 3 stainless steel burners , flush-mounted side burner & stainless steel shroud : natural gas",754.29,
328,sony np-fh100 lithium ion camcorder battery npfh100,,lithium ion ( li-ion ) 8.4 v dc photo battery
329,panasonic 2gb sd card prohispd 20 mb/sec rp-sdv02gu1a,11.99,
330,"case logic 10 ' in-car dvd player case 11 ' x 9.25 ' x 4 ' nylon , koskin black ( black )",18.98,
331,sony stereo bluetooth headset * nic * tmrbt10/tmrbt10a,41.99,
332,panasonic 4gb sdhc card class 6 20 mb/sec * nic * rp-sdv04gu1k,23.12,
333,transcend 8gb secure digital high capacity ( sdhc ) card class 6 ts8gsdhc6,11.45,transcend 8gb sdhc secure digital high capacity card
334,garmin lightweight gps case 010-10704-00,,clam shell
335,panasonic kx-tg6702b cordless telephone kx-tg6702b,159.92,panasonic 5.8 ghz 2 line expandable phone with extra handset
336,olympus ps-bls1 lithium ion digital camera battery 260236,,lithium ion ( li-ion ) photo battery
337,sony noise cancelling earphone mdrnc22/blk,,- black
338,gn jabra bt5010 wireless earset,26.37,jabra bt5010 bluetooth headset
339,olympus ds-40 512mb digital voice recorder 141910,110.24,512mb flash memory lcd portable
340,panasonic nn-sd377s 0.8 cu.ft . 800 watt microwave oven,,
341,netgear prosafe gs724tp 24 port smart switch with poe gs724tp-100nas,,"22 x 10/100/1000base-t lan , 2 x 10/100/1000base-t lan"
342,d-link dwa-130 wireless n usb adapter,,
343,tomtom one xl additional mount kit 9s00 .006,29.95,
344,panasonic nnsd667s 1.2 cu . ft. countertop microwave oven in stainless steel,,
345,panasonic nnsd767s 1.6 cu . ft. stainless steel countertop microwave oven,,
