doc_id,conf_loc,record_year,doc_authors,work_title
0,sigmod record,1999,d. scott mackay,semantic integration of environmental models for application to global information systems and decision-making
1,vldb,1996,"viswanath poosala , yannis e. ioannidis",estimation of query-result distribution and its application in parallel-join load balancing
2,vldb,2002,"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane",incremental maintenance for non-distributive aggregate functions
3,vldb,1996,"zhao-hui tang , georges gardarin , jean-robert gruser",cost-based selection of path expression processing algorithms in object-oriented databases
4,vldb,1995,"erik g. hoel , hanan samet",benchmarking spatial join operations with spatial output
5,sigmod conference,1999,daniel a. keim,efficient geometry-based similarity search of 3d spatial databases
6,sigmod record,2002,aris m. ouksel,mining the world wide web : an information search approach - book review
7,vldb j.,1998,praveen seshadri,enhanced abstract data types in object-relational databases
8,sigmod record,1997,"nandit soparkar , krithi ramamritham",report on dart ' 96 : databases : active and real-time ( concepts meet practice )
9,sigmod record,1996,"phil janus , albert d'andrea",unisql 's next-generation object-relational database management system
10,vldb,1994,"alfons kemper , donald kossmann",dual-buffering strategies in object bases
11,sigmod conference,2003,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",aurora : a data stream management system
12,vldb j.,1996,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",priority assignment in real-time active databases
13,vldb j.,2000,"surojit chatterjee , gholamhosein sheikholeslami , aidong zhang",wavecluster : a wavelet based clustering approach for spatial data in very large databases
14,vldb j.,2001,"hector garcia-molina , kevin chen-chuan chang",approximate query mapping : accounting for translation closeness
15,vldb,1996,"john c. shafer , rakesh agrawal , manish mehta",sprint : a scalable parallel classifier for data mining
16,sigmod conference,2001,"jeff pavel , luis gravano , aleksandr voskoboynik , eugene agichtein , viktoriya sokolova",snowball : a prototype system for extracting relations from large text collections
17,sigmod conference,1997,"timothy griffin , richard hull",a framework for implementing hypothetical queries
18,vldb j.,1997,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",parametric query optimization
19,vldb,2001,"yingwei cui , jennifer widom",lineage tracing for general data warehouse transformations
20,sigmod record,2002,joachim hammer,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 )
21,vldb,2000,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",approximating aggregate queries about web pages via random walks
22,sigmod record,1997,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez",a query language for a web-site management system
23,vldb,1996,"elena ferrari , pierangela samarati , claudio bettini , elisa bertino",supporting periodic authorizations and temporal reasoning in database access control
24,sigmod conference,1998,"bin li , dennis shasha",free parallel data mining
25,vldb,1999,"brian t. tran , jyh-herng chow , michelle jou , jean grandbois , yun wang , you-chin fuh , weidong chen , nelson mendonça mattos",high level indexing of user-defined types
26,vldb,1994,philip a. bernstein,pc database systems - present and future
27,vldb,2001,"jeffrey f. naughton , qiong luo",form-based proxy caching for database-backed web sites
28,vldb j.,1998,"tova milo , serge abiteboul , sophie cluet",a logical view of structured files
29,sigmod record,2003,"evaggelia pitoura , serge abiteboul , michalis vazirgiannis , dieter pfoser , george samaras",dbglobe : a service-oriented p2p system for global computing
30,sigmod conference,1999,"reinhard braumandl , alfons kemper , donald kossmann",database patchwork on the internet
31,vldb,1994,"yannis e. ioannidis , maria zemankova",scientific databases - state of the art and future directions
32,vldb,1997,"bernhard seeger , peter widmayer , jochen van den bercken",a generic approach to bulk loading multidimensional index structures
33,vldb,2003,"jörg sander , jianjun zhou",data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces
34,vldb,1996,"hector garcia-molina , wilburt labio",efficient snapshot differential algorithms for data warehousing
35,vldb,1996,"roberta cochrane , hamid pirahesh , nelson mendonça mattos",integrating triggers and declarative constraints in sql database sytems
36,vldb,2003,"yannis papakonstantinou , luis gravano , vagelis hristidis",efficient ir-style keyword search over relational databases
37,vldb j.,2002,"simonas saltenis , christian s. jensen",indexing of now-relative spatio-bitemporal data
38,sigmod conference,2003,curtis e. dyreson,"temporal coalescing with now , granularity , and incomplete information"
39,sigmod record,2003,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",database research at ut arlington
40,sigmod record,1995,"kevin strehlo , ralph kimball",why decision support fails and how to fix it
41,vldb,1994,"alexandros biliris , banu özden , abraham silberschatz , rajeev rastogi",a low-cost storage server for movie on demand databases
42,vldb,1999,"theo härder , norbert ritter , udo nink",generating call-level interfaces for advanced database application programming
43,sigmod conference,2002,"haixun wang , wei wang , philip s. yu , jiong yang",clustering by pattern similarity in large data sets
44,sigmod conference,2000,"manuel rodriguez-martinez , joseph jájá , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz",mocha : a database middleware system featuring automatic deployment of application-specific functionality
45,sigmod conference,2000,"zengping tian , hongjun lu , yanlei diao , songting chen",fact : a learning based web query processing system
46,sigmod record,2001,"jim melton , andrew eisenberg",sql multimedia and application packages ( sql/mm )
47,vldb,1996,amit p. sheth,bellcore 's adapt/x harness system for managing information on internet and intranets
48,sigmod conference,2001,per-åke larson,xml data management go native or spruce up relational systems ? ( panel abstract )
49,sigmod record,1997,"surajit chaudhuri , umeshwar dayal",an overview of data warehousing and olap technology
50,sigmod conference,1994,"steven berson , richard r. muntz , shahram ghandeharizadeh , xiangyu ju",staggered striping in multimedia information systems
51,sigmod record,2003,"mario gerla , kaixin xu",multimedia streaming in large-scale sensor networks with mobile swarms
52,sigmod record,1994,hans-joachim klein,how to modify sql queries in order to guarantee sure answers
53,vldb,1994,"alain pirotte , esteban zimányi , tatiana yakusheva , david massart",materialization : a powerful and ubiquitous abstraction pattern
54,sigmod conference,2001,"debra e. vandermeer , krithi ramamritham , helen m. thomas , anindya datta , kaushik dutta",dynamic content acceleration : a caching solution to enable scalable dynamic web page generation
55,sigmod record,1994,martin bertram,data modelling in the large
56,sigmod conference,2001,"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy",updating xml
57,sigmod record,2002,"alan f. smeaton , mark roantree",research in information managment at dublin city university
58,sigmod conference,1998,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado",the multidimensional database system rasdaman
59,vldb,2001,"anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir",analyzing energy behavior of spatial access methods for memory-resident data
60,vldb,1999,goetz graefe,the value of merge-join and hash-join in sql server
61,sigmod conference,2002,andreas weininger,efficient execution of joins in a star schema
62,vldb,2000,"luc bouganim , patrick valduriez , philippe pucheral , christophe bobineau",picodmbs : scaling down database techniques for the smartcard
63,vldb,1999,"divesh srivastava , olga kapitskaia , raymond t. ng , h. v. jagadish",multi-dimensional substring selectivity estimation
64,vldb j.,1999,"theo härder , joachim thomas , günter sauter",the intrinsic problems of structural heterogeneity and an approach to their solution
65,sigmod conference,1999,c. mohan,a database perspective on lotus domino/notes
66,sigmod record,1996,rafael camps,"domains , relations and religious wars"
67,vldb,2003,scott shenker,the data-centric revolution in networking
68,sigmod conference,2003,"phillip b. gibbons , srinivasan seshan , suman kumar nath , amol deshpande",cache-and-query for wide area sensor databases
69,vldb,1995,"zhao-hui tang , jean-robert gruser , georges gardarin",a cost model for clustered object-oriented databases
70,vldb,1998,"wilburt labio , jun yang , hector garcia-molina",expiring data in a warehouse
71,sigmod record,1997,xiaolei qian,opportunities in information management and assurance
72,vldb,1997,"andré eickler , alfons kemper , donald kossmann",finding data in the neighborhood
73,sigmod conference,2001,"yannis papakonstantinou , vagelis hristidis , nick koudas",prefer : a system for the efficient execution of multi-parametric ranked queries
74,sigmod record,2002,ling liu,editor 's notes
75,sigmod conference,2002,"mukesh mulchandani , elke a. rundensteiner , xin zhang , brian murphy , steffen christ",rainbow : mapping-driven xquery processing system
76,vldb j.,1996,"carol small , alexandra poulovassilis",algebraic query optimisation for database programming languages
77,acm trans . database syst .,1995,"alexander aiken , jennifer widom , joseph m. hellerstein",static analysis techniques for predicting the behavior of active database rules
78,sigmod conference,1994,"babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos",the ores temporal database management system
79,acm trans . database syst .,1996,"hamid pirahesh , inderpal singh mumick , raghu ramakrishnan , sheldon j. finkelstein",magic conditions
80,vldb,1995,"wolfgang klas , frank moser , achim kraiss",l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms
81,sigmod conference,1998,peter m. spiro,"ubiquitous , self-tuning , scalable servers"
82,vldb,1999,sunita sarawagi,explaining differences in multidimensional aggregates
83,vldb,1995,"kun-lung wu , philip s. yu , james z. teng , jen-yao chung",a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system
84,sigmod conference,1994,david vaskevitch,database in crisis and transition : a technical agenda for the year 2001
85,sigmod conference,1995,amit p. sheth,"workflow automation : applications , technology , and research ( tutorial )"
86,sigmod record,2000,"krishna kant , prasant mohapatra","workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )"
87,vldb,2000,"rachel pottinger , alon y. levy",a scalable algorithm for answering queries using views
88,sigmod record,2002,richard t. snodgrass,why i like working in academia
89,sigmod conference,2001,"dimitrios gunopulos , aristides gionis , nick koudas",efficient and tunable similar set retrieval
90,vldb,2002,"mahesh v. soundalgekar , soumen chakrabarti , shourya roy",fast and accurate text classification via multiple linear discriminant projections
91,vldb,2001,"meichun hsu , rivka ladin , umeshwar dayal","business process coordination : state of the art , trends , and open issues"
92,vldb,2000,geoffrey c. bowker,work and information practices in the sciences of biodiversity
93,sigmod conference,1994,"simon j. gibbs , christian breiteneder , dennis tsichritzis",data modeling of time-based media
94,acm trans . database syst .,1995,"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton",space optimization in deductive databases
95,sigmod record,2000,richard t. snodgrass,chair 's message
96,sigmod record,1994,rafael alonso,trade press news - announcement and preface
97,sigmod conference,2001,"shimin chen , todd c. mowry , phillip b. gibbons",improving index performance through prefetching
98,sigmod record,1996,xiaolei qian,new programs at darpa and nsf
99,vldb,1994,"alexandra poulovassilis , carol small",investigation of algebraic query optimisation techniques for database programming languages
100,vldb,1999,"lucian popa , alin deutsch , val tannen","physical data independence , constraints , and optimization with universal plans"
101,sigmod conference,1999,"daniel s. weld , alon y. levy , marc friedman , zachary g. ives , daniela florescu",an adaptive query execution system for data integration
102,vldb,2001,pierre-paul sondag,the semantic web paving the way to the knowledge society
103,vldb,1997,"rakesh agrawal , john c. shafer",parallel algorithms for high-dimensional similarity joins for data mining applications
104,acm trans . database syst .,2003,"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel",path sharing and predicate evaluation for high-performance xml filtering
