pub_id,title_name,pub_authors,article_year,pub_forum
523,editor 's notes,ling liu,2002,sigmod record
524,the lham log-structured history data access method,"gerhard weikum , patrick e. o'neil , peter muth , achim pick",2000,vldb j.
525,tigukat : a uniform behavioral objectbase management system,"randal j. peters , m. tamer özsu , boman irani , adriana muñoz , anna lipka , duane szafron",1995,vldb j.
526,the onion technique : indexing for linear optimization queries,"chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo",2000,sigmod conference
527,walrus : a similarity retrieval algorithm for image databases,"rajeev rastogi , kyuseok shim , apostol natsev",1999,sigmod conference
528,improving the efficiency of database-system teaching,jeffrey d. ullman,2003,sigmod conference
529,towards knowledge-based digital libraries,"manfred a. jeusfeld , ling feng , jeroen hoppenbrouwers",2001,sigmod record
530,outerjoins as disjunctions,césar a. galindo-legaria,1994,sigmod conference
531,information retrieval from an incomplete data cube,curtis e. dyreson,1996,vldb
532,sql memory management in oracle9i,"mohamed zaït , benoît dageville",2002,vldb
533,buffering and read-ahead strategies for external mergesort,"per-åke larson , weiye zhang",1998,vldb
534,random sampling for histogram construction : how much is enough ?,"vivek r. narasayya , rajeev motwani , surajit chaudhuri",1998,sigmod conference
535,qualitative representation of spatial knowledge in two-dimensional space,"dimitris papadias , timos k. sellis",1994,vldb j.
536,birn-m : a semantic mediator for solving real-world neuroscience problems,"bertram ludäscher , maryann e. martone , amarnath gupta",2003,sigmod conference
537,a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,"anindya datta , kaushik dutta , helen m. thomas , debra e. vandermeer , krithi ramamritham , dan fishman",2001,vldb
538,a new sql-like operator for mining association rules,"giuseppe psaila , stefano ceri , rosa meo",1996,vldb
539,tutorial : application servers and associated technologies,c. mohan,2002,sigmod conference
540,provisions and obligations in policy management and security applications,"xiaoyang sean wang , duminda wijesekera , claudio bettini , sushil jajodia",2002,vldb
