doc_id,author_names_list,pub_year,pub_location,pub_desc
1046,"alexander hinneburg , daniel a. keim",1999,sigmod conference,clustering methods for large databases : from the past to the future
1047,gilles fecteau,1995,vldb,managing a db2 parallel edition database
1048,"allen luniewski , markus tresch , neal palmer",1995,vldb,type classification of semi-structured documents
1049,"craig wong , mark stokrp , mike lefler",1996,sigmod conference,dbsim : a simulation tool for predicting database performance
1050,"jerry kiernan , jayavel shanmugasundaram , catalina fan , eugene j. shekita , john funderburk",2001,vldb,querying xml views of relational data
1051,"prabhakar raghavan , david gibson , jon m. kleinberg",1998,vldb,clustering categorical data : an approach based on dynamical systems
1052,"arnold charles meltzer , dong keun shin",1994,sigmod record,a new join algorithm
1053,"shivakumar venkataraman , subbu n. subramanian",1998,sigmod conference,cost-based optimization of decision support queries using transient views
1054,"david b. lomet , betty salzberg",1997,vldb j.,concurrency and recovery for index trees
1055,"yannis e. ioannidis , minos n. garofalakis , banu özden",1998,vldb,resource scheduling for composite multimedia objects
1056,wilfred ng,2001,acm trans . database syst .,an extension of the relational data model to incorporate ordered domains
1057,"jim gray , zarka cvetanovic , tom barclay , chris nyberg , david b. lomet",1995,vldb j.,alphasort : a cache-sensitive parallel external sort
1058,times-ten team,1999,sigmod conference,in-memory data management for consumer transactions the times-ten approach
1059,rick greer,1999,sigmod conference,daytona and the fourth-generation language cymbal
1060,"christos faloutsos , yannis kotidis , flip korn , alexandros labrinidis",2000,vldb j.,quantifiable data mining using ratio rules
1061,"mitch cherniack , stanley b. zdonik , michael j. franklin",2001,vldb,data management for pervasive computing
1062,"nenad jukic , svetlozar nestorov , susan v. vrbsky",2003,sigmod record,closing the key loophole in mls databases
1063,"hector garcia-molina , luis gravano , anthony tomasic",1999,acm trans . database syst .,gloss : text-source discovery over the internet
1064,"iosif lazaridis , sharad mehrotra",2001,sigmod conference,progressive approximate aggregate queries with a multi-resolution tree structure
1065,hansjörg zeller,2003,sigmod conference,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing
1066,"manfred a. jeusfeld , hans-joachim lenz , panos vassiliadis , martin staudt",2003,sigmod record,report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 )
1067,"kyu-young whang , yang-sae moon , wook-shin han",2002,sigmod conference,general match : a subsequence matching method in time-series databases based on generalized windows
1068,"erhard rahm , harald schöning , gerhard weikum",2003,sigmod record,"report on the 10th conference on database systems for business , technology , and the web ( btw 2003 )"
1069,antonio badia,2002,sigmod record,ontologies : a silver bullet for knowledge management and electronic commerce - book review
1070,"konstantinos stathatos , john s. baras , nick roussopoulos",1997,vldb,adaptive data broadcast in hybrid networks
1071,"gísli r. hjaltason , hanan samet",1998,sigmod conference,incremental distance join algorithms for spatial databases
1072,"kyu-young whang , il-yeol song , young-koo lee , jong-hak lee",1997,vldb,a region splitting strategy for physical database design of multidimensional file organizations
1073,"jim melton , andrew eisenberg",2001,sigmod record,sql/xml and the sqlx informal group of companies
1074,"yirong xu , ramakrishnan srikant , rakesh agrawal",2002,vldb,database technologies for electronic commerce
1075,avigdor gal,1999,sigmod record,semantic interoperability in information services : experiencing with coopware
1076,kenn gardels,1997,sigmod record,open gis and on-line environmental libraries
1077,"praveen seshadri , tobias mayr",1999,sigmod conference,client-site query extensions
1078,"walid g. aref , ihab f. ilyas , ahmed k. elmagarmid",2002,vldb,joining ranked inputs in practice
1079,"hector garcia-molina , sriram raghavan",2003,vldb,complex queries over web repositories
1080,"s. seshadri , nandlal l. sarda , d. b. phatak , s. sudarshan",1996,sigmod record,"database research at the indian institute of technology , bombay"
1081,"kurt p. brown , michael j. carey , miron livny",1996,sigmod conference,goal-oriented buffer management revisited
1082,"christine collet , thierry coupaye",1995,sigmod conference,the naos system
1083,m. tamer özsu,2002,sigmod record,chair 's message
1084,"surajit chaudhuri , kris ganjam , venkatesh ganti , rajeev motwani",2003,sigmod conference,robust and efficient fuzzy match for online data cleaning
1085,"daniela florescu , donald kossmann , dan olteanu , ioana manolescu , florian xhumari",2000,vldb,agora : living with xml and relational
