record_id,document_title,author_list,venue_name,creation_year
2092,xpath queries on streaming data,"sudarshan s. chawathe , feng peng",sigmod conference,2003
2093,sigmod anthology editor 's message,michael ley,sigmod record,2000
2094,query evaluation in deductive databases with alternating fixpoint semantics,weidong chen,acm trans . database syst .,1995
2095,query caching and optimization in distributed mediator systems,"sibel adali , yannis papakonstantinou , k. selçuk candan , v. s. subrahmanian",sigmod conference,1996
2096,managing intra-operator parallelism in parallel database systems,"david j. dewitt , manish mehta",vldb,1995
2097,continuous k-nearest neighbor queries for continuously moving points with updates,"hanan samet , ken smith , glenn s. iwerks",vldb,2003
2098,the network is the database : data management for highly distributed systems,"michael j. wynblatt , julio c. navas",sigmod conference,2001
2099,amicalola report : database and information system research challenges and opportunities in semantic web and enterprises,"robert meersman , amit p. sheth",sigmod record,2002
2100,building a laboratory information system around a c++ - based object-oriented dbms,"nathan goodman , steve rozen , lincoln stein",vldb,1994
2101,xxl - a library approach to supporting efficient implementations of advanced database queries,"björn blohsfeld , jens-peter dittrich , martin schneider , bernhard seeger , tobias schäfer , jochen van den bercken , jürgen krämer",vldb,2001
2102,querying continuous time sequences,"tore risch , ling lin",vldb,1998
2103,xiss/r : xml indexing and storage system using rdbms,"philip j. harding , bongki moon , quanzhong li",vldb,2003
2104,implementation of sql3 structured types with inheritance and value substitutability,"nelson mendonça mattos , serge rielau , bruce g. lindsay , stefan deßloch , you-chin fuh , brian t. tran , danko mannhaupt , linda demichel , weidong chen",vldb,1999
2105,accelerating xpath location steps,torsten grust,sigmod conference,2002
2106,indexing multiple sets,"christoph kilger , guido moerkotte",vldb,1994
2107,improved query performance with variant indexes,"patrick e. o'neil , dallan quass",sigmod conference,1997
2108,"olap , relational , and multidimensional database systems",george colliat,sigmod record,1996
2109,new concurrency control algorithms for accessing and compacting b-trees,"andrea zisman , v. w. setzer",vldb,1994
2110,update propagation strategies for improving the quality of data on the web,"nick roussopoulos , alexandros labrinidis",vldb,2001
2111,information director 's message,alberto o. mendelzon,sigmod record,2000
2112,a performance study of transitive closure algorithms,"raghu ramakrishnan , shaul dar",sigmod conference,1994
2113,"data management in ecommerce : the good , the bad , and the ugly",avigdor gal,sigmod conference,2000
2114,efficiently publishing relational data as xml documents,"berthold reinwald , jayavel shanmugasundaram , michael j. carey , eugene j. shekita , hamid pirahesh , bruce g. lindsay , rimon barr",vldb,2000
2115,on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",sigmod conference,1998
2116,performing jobs without decompression in a compressed database system,"n. winterbottom , s. j. o'connell",sigmod record,2003
2117,"replication : db2 , oracle , or sybase ?",doug stacey,sigmod record,1995
2118,query processing techniques for multiversion access methods,"jochen van den bercken , bernhard seeger",vldb,1996
2119,garbage collection in object oriented databases using transactional cyclic reference counting,"s. sudarshan , prasan roy , abraham silberschatz , s. seshadri , srinivas ashwin",vldb,1997
2120,"information , communication , and money : for what can we charge and how can we meter it ?","henry f. korth , stephen blott , abraham silberschatz",vldb,1998
2121,an axiomatic model of dynamic schema evolution in objectbase systems,"m. tamer özsu , randal j. peters",acm trans . database syst .,1997
2122,lightweight flexible isolation for language-based extensible systems,"laurent daynès , grzegorz czajkowski",vldb,2002
2123,the wasa2 object-oriented workflow management system,"mathias weske , gottfried vossen",sigmod conference,1999
2124,plan-per-tuple optimization solution - parallel execution of expensive user-defined functions,"felipe cariño , william o'connell",vldb,1998
2125,efficient schemes for managing multiversionxml documents,"shu-yao chien , carlo zaniolo , vassilis j. tsotras",vldb j.,2002
2126,active views for electronic commerce,"laurent mignet , serge abiteboul , tova milo , adi eyal , bernd amann , sophie cluet",vldb,1999
2127,implementing xquery 1.0 : the galax experience,"gargi sur , mary f. fernandez , amélie marian , jérôme siméon , byron choi",vldb,2003
2128,rainbow : multi-xquery optimization using materialized xml views,"brian murphy , elke a. rundensteiner , bradford pielech , maged el-sayed , mukesh mulchandani , luping ding , katica dimitrova , ling wang , xin zhang",sigmod conference,2003
2129,promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995
2130,editor 's notes,ling liu,sigmod record,2003
2131,the trigs active object-oriented database system - an overview,"gerti kappel , werner retschitzegger",sigmod record,1998
2132,constructing efficient decision trees by using optimized numeric association rules,"takeshi fukuda , yasuhiko morimoto , takeshi tokuyama , shinichi morishita",vldb,1996
2133,improving data access of j2ee applications by exploiting asynchronous messaging and caching services,"samuel kounev , alejandro p. buchmann",vldb,2002
2134,addressing techniques used in database object managers o2 and orion,"nadjiba sahraoui , andré gamache",sigmod record,1995
2135,complex relationships and knowledge discovery support in the infoquilt system,"amit p. sheth , sanjeev thacker , shuchi patel",vldb j.,2003
2136,dyda : data warehouse maintenance in fully concurrent environments,"songting chen , andreas koeller , elke a. rundensteiner , xin zhang , jun chen",sigmod conference,2001
2137,processing sliding window multi-joins in continuous queries over data streams,"lukasz golab , m. tamer özsu",vldb,2003
2138,user-cognizant multidimensional analysis,sunita sarawagi,vldb j.,2001
2139,bluetooth-based sensor networks,"philippe bonnet , allan beaufour , mads bondo dydensborg , martin leopold",sigmod record,2003
2140,active storage for large-scale data mining and multimedia,"garth a. gibson , erik riedel , christos faloutsos",vldb,1998
2141,the evolution of the web and implications for an incremental crawler,"junghoo cho , hector garcia-molina",vldb,2000
2142,managing distributed workspaces with active xml,"angela bonifati , cosmin cremarenco , tova milo , gregory cobena , ioana manolescu , florin dragan , jérôme baumgarten , nicoleta preda , serge abiteboul",vldb,2003
2143,data warehouse configuration,"timos k. sellis , dimitri theodoratos",vldb,1997
2144,database principles column - introduction,leonid libkin,sigmod record,1999
2145,a language for manipulating arrays,"arunprasad p. marathe , kenneth salem",vldb,1997
2146,extracting large data sets using db2 parallel edition,sriram padmanabhan,vldb,1996
