publication_id,article_year,journal_title,event_location,contributors
0,1999,the wasa2 object-oriented workflow management system,international conference on management of data,"gottfried vossen , mathias weske"
1,1999,a user-centered interface for querying distributed multimedia databases,international conference on management of data,"isabel f. cruz , kimberly m. james"
2,1999,"world wide database-integrating the web , corba and databases",international conference on management of data,"athman bouguettaya , boualem benatallah , lily hendra , james beard , kevin smith , mourad quzzani"
3,1999,xml-based information mediation with mix,international conference on management of data,"chaitan baru , amarnath gupta , bertram lud &#228; scher , richard marciano , yannis papakonstantinou , pavel velikhov , vincent chu"
4,1999,the ccube constraint object-oriented database system,international conference on management of data,"alexander brodsky , victor e. segal , jia chen , paval a. exarkhopoulo"
5,1999,the cornell jaguar project : adding mobility to predator,international conference on management of data,"phillippe bonnet , kyle buza , zhiyuan chan , victor cheng , randolph chung , takako hickey , ryan kennedy , daniel mahashin , tobias mayr , ivan oprencak , praveen seshadri , hubert siu"
6,1999,the active multisync controller of the cubetree storage organization,international conference on management of data,"nick roussopoulos , yannis kotidis , yannis sismanis"
7,1999,the jungle database search engine,international conference on management of data,"michael b &#246; hlen , linas bukauskas , curtis dyreson"
8,1998,adept : an agent-based approach to business process management,acm sigmod record,"n. r. jennings , t. j. norman , p. faratin"
9,1998,a componentized architecture for dynamic electronic markets,acm sigmod record,"benny reich , israel ben-shaul"
10,1998,design and implementation of rmp : a virtual electronic market place,acm sigmod record,"susanne boll , wolfgang klas , bernard battaglin"
11,1998,discovering internet marketing intelligence through online analytical web usage mining,acm sigmod record,"alex g. b &#252; chner , maurice d. mulvenna"
12,1998,component-based e-commerce : assessment of current practices and future directions,acm sigmod record,"martin bichler , arie segev , j. leon zhao"
13,1998,building database-driven electronic catalogs,acm sigmod record,sherif danish
14,1998,xml and electronic commerce : enabling the network economy,acm sigmod record,"bart meltzer , robert glushko"
15,1998,a workflow-based electronic marketplace on the web,acm sigmod record,"asuman dogac , ilker durusoy , sena arpinar , nesime tatbul , pinar koksal , ibrahim cingil , nazife dimililer"
16,1999,dbis-toolkit : adaptable middleware for large scale data delivery,international conference on management of data,"mehmet altinel , demet aksoy , thomas baby , michael franklin , william shapiro , stan zdonik"
17,1999,an xjml-based wrapper generator for web information extraction,international conference on management of data,"ling liu , wei han , david buttler , calton pu , wei tang"
18,1999,database patchwork on the internet,international conference on management of data,"reinhard braumandl , alfons kemper , donald kossmann"
19,1999,domino : databases for moving objects tracking,international conference on management of data,"ouri wolfson , prasad sistla , bo xu , jutai zhou , sam chamberlain"
20,1999,the need for distributed asynchronous transactions,international conference on management of data,"lyman do , prabhu ram , pamela drew"
21,1999,versions and workspaces in microsoft repository,international conference on management of data,"thomas bergstraesser , philip a. bernstein , shankar pal , david shutt"
22,1999,data integration and warehousing in telecom italia,international conference on management of data,"stefano m. trisolini , maurizio lenzerini , daniele nardi"
23,1999,improving oltp data quality using data warehouse mechanisms,international conference on management of data,"matthias jarke , christoph quix , guido blees , dirk lehmann , gunter michalk , stefan stierl"
24,1999,serf : odmg-based generic re-structuring facility,international conference on management of data,"e. a. rundensteiner , k. claypool , m. li , l. chen , z. zhang , c. natarajan , j. jin , s. de lima , s. weiner"
25,1999,"powerbookmarks : a system for personalizable web information organization , sharing , and management",international conference on management of data,"wen-syan li , quoc vu , edward chang , divyakant agrawal , kyoji hirata , sougata mukherjea , yi-leh wu , corey bufi , chen-chuan kevin chang , yoshinori hara , reiko ito , yutaka kimura , kezuyuki shimazu , yukiyoshi saito"
