unique_id,conf_title,doc_year,publication_venue,researchers
458,constraint databases : a tutorial introduction,2000,acm sigmod record,jan van den bussche
459,the implementation and performance of compressed databases,2000,acm sigmod record,"till westmann , donald kossmann , sven helmer , guido moerkotte"
460,a new approach to developing and implementing eager database replication protocols,2000,acm transactions on database systems ( tods ),"bettina kemme , gustavo alonso"
461,theory of dependence values,2000,acm transactions on database systems ( tods ),rosa meo
462,knowledge discovery in data warehouses,2000,acm sigmod record,themistoklis palpanas
463,an algebraic approach to static analysis of active database rules,2000,acm transactions on database systems ( tods ),"elena baralis , jennifer widom"
464,sql and management of external data,2001,acm sigmod record,"jim melton , jan-eike michels , vanja josifovski , krishna kulkarni , peter schwarz , kathy zeidenstein"
465,report on the fourth international conference on flexible query answering systems ( fqas 2000 ),2001,acm sigmod record,"patrick bosc , amihai motro , gabriella pasi"
466,xml and information retrieval : a sigir 2000 workshop,2001,acm sigmod record,"david carmel , yoelle maarek , aya soffer"
467,report on xewa-00 : the xml enabled wide-area searches for bioinformatics workshop,2001,acm sigmod record,terence critchlow
468,iceberg-cube computation with pc clusters,2001,international conference on management of data,"raymond t. ng , alan wagner , yu yin"
469,on computing correlated aggregates over continual data streams,2001,international conference on management of data,"johannes gehrke , flip korn , divesh srivastava"
470,efficient computation of iceberg cubes with complex measures,2001,international conference on management of data,"jiawei han , jian pei , guozhu dong , ke wang"
471,the clio project : managing heterogeneity,2001,acm sigmod record,"ren &#233; e j. miller , mauricio a. hern &#225; ndez , laura m. haas , lingling yan , c. t. howard ho , ronald fagin , lucian popa"
472,querying multi-dimensional data indexed using the hilbert space-filling curve,2001,acm sigmod record,"j. k. lawder , p. j. h. king"
473,re-designing distance functions and distance-based applications for high dimensional data,2001,acm sigmod record,charu c. aggarwal
474,eiha ?!? : deploying web and wap services using xml technology,2001,acm sigmod record,"chiara biancheri , jean-christophe pazzaglia , gavino paddeu"
475,new tpc benchmarks for decision support and web commerce,2000,acm sigmod record,"meikel poess , chris floyd"
476,constraints for semistructured data and xml,2001,acm sigmod record,"peter buneman , wenfei fan , j &#233; r &#244; me sim &#233; on , scott weinstein"
477,towards knowledge-based digital libraries,2001,acm sigmod record,"ling feng , marfred a. jeusfeld , jeroen hoppenbrouwers"
478,quality of service in multimedia digital libraries,2001,acm sigmod record,"elisa bertino , ahmed k. elmagarmid , mohand-sa &#239; d hacid"
479,infosphere project : system support for information flow applications,2001,acm sigmod record,"calton pu , karsten schwan , jonathan walpole"
480,report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,1999,acm sigmod record,opher etzion
481,comparative analysis of five xml query languages,2000,acm sigmod record,"angela bonifati , stefano ceri"
482,design and management of data warehouses report on the dmdw '99 workshop,1999,acm sigmod record,"stella gatziu , manfred jeusfeld , martin staudt , yannis vassiliou"
483,beyond document similarity : understanding value-based search and browsing technologies,2000,acm sigmod record,"andreas paepcke , hector garcia-molina , gerard rodriguez-mula , junghoo cho"
484,timer-driven database triggers and alerters : semantics and a challenge,1999,acm sigmod record,"eric n. hanson , lloyd x. noronha"
485,diluting acid,1999,acm sigmod record,"tim kempster , colin stirling , peter thanisch"
486,"some remarks on variable independence , closure , and orthographic dimension in constraint databases",1999,acm sigmod record,leonid libkin
487,on views and xml,1999,acm sigmod record,serge abiteboul
488,the mlpq/gis constraint database system,2000,international conference on management of data,"peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang"
489,evolution and change in data management - issues and directions,2000,acm sigmod record,"john f. roddick , lina al-jadir , leopoldo bertossi , marlon dumas , florida estrella , heidi gregersen , kathleen hornsby , jens lufter , federica mandreoli , tomi m &#228; nnist &#246; , enric mayol , lex wedemeijer"
490,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,2000,acm sigmod record,"alexandros labrinidis , nick roussopoulos"
491,hierarchies and relative operators in the olap environment,2000,acm sigmod record,"elaheh pourabbas , maurizio rafanelli"
492,an optimisation scheme for coalesce/valid time selection operator sequences,2000,acm sigmod record,costas vassilakis
493,incremental maintenance of recursive views using relational calculus/sql,2000,acm sigmod record,"guozhu dong , jianwen su"
494,an extensible compressor for xml data,2000,acm sigmod record,"hartmut liefke , dan suciu"
495,sql standardization : the next steps,2000,acm sigmod record,"andrew eisenberg , jim melton"
496,emancipating instances from the tyranny of classes in information modeling,2000,acm transactions on database systems ( tods ),"jeffrey parsons , yair wand"
497,tracing the lineage of view data in a warehousing environment,2000,acm transactions on database systems ( tods ),"yingwei cui , jennifer widom , janet l. wiener"
498,report on isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcing,2000,acm sigmod record,"heiko ludwig , paul grefen"
499,workshop on performance and architecture of web servers,2000,acm sigmod record,"krishna kant , prasant mohapatra"
500,provision of market services for eco compliant electronic marketplaces,2000,acm sigmod record,"sena arpinar , asuman dogac"
501,report on second international workshop on advanced issues of e-commerce and web-based information systems,2000,acm sigmod record,"kun-lung wu , philip s. yu"
502,generating spatiotemporal datasets on the www,2000,acm sigmod record,"yannis theodoridis , mario a. nascimento"
503,spatial operators,2000,acm sigmod record,"eliseo clementini , paolino di felice"
504,practical lessons in supporting large-scale computational science,1999,acm sigmod record,"ron musick , terence critchlow"
505,fintime : a financial time series benchmark,1999,acm sigmod record,"kaippallimalil j. jacob , dennis shasha"
506,a survey of logical models for olap databases,1999,acm sigmod record,"panos vassiliadis , timos sellis"
507,sqlj part 1 : sql routines using the java programming language,1999,acm sigmod record,"andrew eisenberg , jim melton"
508,iterative dynamic programming : a new class of query optimization algorithms,2000,acm transactions on database systems ( tods ),"donald kossmann , konrad stocker"
509,a foundation for representing and querying moving objects,2000,acm transactions on database systems ( tods ),"ralf hartmut g &#252; ting , michael h. b &#246; hlen , martin erwig , christian s. jensen , nikos a. lorentzos , markus schneider , michalis vazirgiannis"
510,a cost model for query processing in high dimensional data spaces,2000,acm transactions on database systems ( tods ),christian b &#246; hm
511,a model for compound type changes encountered in schema evolution,2000,acm transactions on database systems ( tods ),barbara staudt lerner
512,book reviews,2002,acm sigmod record,karl aberer
513,book review column,2002,acm sigmod record,karl aberer
514,clustering validity checking methods : part ii,2002,acm sigmod record,"maria halkidi , yannis batistakis , michalis vazirgiannis"
515,a study on the management of semantic transaction for efficient data retrieval,2002,acm sigmod record,"shi ming huang , irene kwan , chih he li"
516,database principles,2002,acm sigmod record,leonid libkin
517,automata theory for xml researchers,2002,acm sigmod record,frank neven
518,introduction to constraint databases,2002,acm sigmod record,bart kuijpers
519,foundations of statistical natural language processing,2002,acm sigmod record,gerhard weikum
520,industry perspectives,2002,acm sigmod record,len seligman
521,toward autonomic computing with db2 universal database,2002,acm sigmod record,"sam s. lightstone , guy lohman , danny zilio"
522,distinguished db profiles,2002,acm sigmod record,marianne winslett
523,"hector garcia-molina speaks out : regarding startups , how life is getting harder , delta papers , cs in mexico , life as a department chair , and more",2002,acm sigmod record,marianne winslett
524,standards,2002,acm sigmod record,jim melton
525,sql/med : a status report,2002,acm sigmod record,"jim melton , jan eike michels , vanja josifovski , krishna kulkarni , peter schwarz"
526,influential papers,2002,acm sigmod record,ken ross
527,reminiscences on influential papers,2002,acm sigmod record,"kenneth a. ross , theodore johnson , richard thomas snodgrass"
528,top-k selection queries over relational databases : mapping strategies and performance evaluation,2002,acm transactions on database systems ( tods ),"nicolas bruno , surajit chaudhuri , luis gravano"
529,combining fuzzy information : an overview,2002,acm sigmod record,ronald fagin
530,database principles,2002,acm sigmod record,leonid libkin
531,sql/xml is making good progress,2002,acm sigmod record,"andrew eisenberg , jim melton"
532,searching for dependencies at multiple abstraction levels,2002,acm transactions on database systems ( tods ),"toon calders , raymond t. ng , jef wijsen"
533,editorial directons,1995,acm transactions on database systems ( tods ),won kim
534,editorial : charter and scope,1995,acm transactions on database systems ( tods ),won kim
