acm_record_id,doc_year,study_title,author_names,conference_name
916,2002,energy-performance trade-offs for spatial access methods on memory-resident data,"ning an , sudhanva gurumurthi , anand sivasubramaniam , narayanan vijaykrishnan , mahmut kandemir , mary jane irwin",the vldb journal -- the international journal on very large data bases
917,2002,editorial,"peter apers , stefano ceri , richard snodgrass",the vldb journal -- the international journal on very large data bases
918,2002,a formal perspective on the view selection problem,"rada chirkova , alon y. halevy , dan suciu",the vldb journal -- the international journal on very large data bases
919,2002,data page layouts for relational databases on deep memory hierarchies,"anastassia ailamaki , david j. dewitt , mark d. hill",the vldb journal -- the international journal on very large data bases
920,2003,ansi sql hierarchical processing can fully integrate native xml,michael m. david,acm sigmod record
921,2003,a database approach to quality of service specification in video databases,"elisa bertino , ahmed k. elmagarmid , mohand-sa &#239; d hacid",acm sigmod record
922,2003,distinguished database profiles,marianne winslett,acm sigmod record
923,2003,analysis of existing databases at the logical level : the dba companion project,"fabien de marchi , st &#233; phane lopes , jean-marc petit , farouk toumani",acm sigmod record
924,2003,influential papers,ken ross,acm sigmod record
925,2003,jim gray speaks out,marianne winslett,acm sigmod record
926,2003,reports,avigdor gal,acm sigmod record
927,2003,reminiscences on influential papers,kenneth a. ross,acm sigmod record
928,1997,the microsoft repository,"philip a. bernstein , brian harry , paul sanders , david shutt , jason zander",very large data bases
929,1997,1-safe algorithms for symmetric site configurations,"rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen",very large data bases
930,1997,data manager for evolvable real-time command and control systems,"eric hughes , roman ginis , bhavani m. thuraisingham , peter c. krupp , john a. maurer",very large data bases
931,1997,efficient testing of high performance transaction processing systems,"d. wildfogel , ramana yerneni",very large data bases
932,1997,groupwise processing of relational queries,"damianos chatziantoniou , kenneth a. ross",very large data bases
933,1997,parallel query scheduling and optimization with time - and space-shared resources,"minos n. garofalakis , yannis e. ioannidis",very large data bases
934,1997,mining insurance data at swiss life,"j &#246; rg-uwe kietz , ulrich reimer , martin staudt",very large data bases
