acm_record_id,venue_name,written_by,paper_title,date_year
1374,very large data bases,"sihem amer-yahia , theodore johnson",optimizing queries on compressed bitmaps,2000
1375,very large data bases,geoffrey c. bowker,work and information practices in the sciences of biodiversity,2000
1376,very large data bases,"frank ramsak , volker markl , robert fenk , martin zirkel , klaus elhardt , rudolf bayer",integrating the ub-tree into a database system kernel,2000
1377,very large data bases,"abdelsalam helal , hua li",rainbow : distributed database system for classroom education and experimental research,2000
1378,very large data bases,"francesco caruso , munir cochinwala , uma ganapathy , gail lalk , paolo missier",telcordia 's database reconciliation and data quality analysis tool,2000
1379,very large data bases,"karthikeyan ramasamy , jignesh m. patel , jeffrey f. naughton , raghav kaushik","set containment joins : the good , the bad and the ugly",2000
1380,very large data bases,"stefan manegold , peter a. boncz , martin l. kersten",what happens during a join ? dissecting cpu and memory optimization effects,2000
1381,very large data bases,"krithi ramamritham , yeha el atfi , carlo batini , michael eitan , valerie gregg , d. b. phatak","social , educational , and governmental change enabled through information technology",2000
1382,very large data bases,sunil choenni,design and implementation of a genetic-based algorithm for data mining,2000
1383,very large data bases,"st &#233; phane grumbach , philippe rigaux , luc segoufin",manipulating interpolated data is easier than you thought,2000
1384,very large data bases,"alberto o. mendelzon , alejandro a. vaisman",temporal queries in olap,2000
1385,very large data bases,"chris olston , jennifer widom",offering a precision-performance tradeoff for aggregation queries over replicated data,2000
1386,very large data bases,"jagannathan srinivasan , souripriya das , chuck freiwald , eugene inseok chong , mahesh jagannath , aravind yalamanchi , ramkumar krishnan , anh-tuan tran , samuel defazio , jayanta banerjee",oracle8i index-organized table and its application to new domains,2000
1387,very large data bases,"andrey balmin , thanos papadimitriou , yannis papakonstantinou",hypothetical queries in an olap environment,2000
1388,very large data bases,"gladys a. cotter , barbara t. bauldock",biodiversity informatics infrastructure : an information commons for the biodiversity community,2000
1389,very large data bases,"kaushik dutta , anindya datta , debra e. vandermeer , krithi ramamritham , helen m. thomas",demonstration : enabling scalable online personalization on the web,2000
1390,very large data bases,"venkatesh ganti , mong-li lee , raghu ramakrishnan",icicles : self-tuning samples for approximate query answering,2000
1391,very large data bases,sridhar ramaswamy,e.piphany epicenter technology overview,2000
1392,very large data bases,"yossi matias , jeffrey scott vitter , min wang",dynamic maintenance of wavelet-based histograms,2000
1393,very large data bases,"domenico beneventano , sonia bergamaschi , silvana castano , alberto corni , r. guidetti , g. malvezzi , michele melchiori , maurizio vincini",information integration : the momis project demonstration,2000
1394,very large data bases,"junyan ding , luis gravano , narayanan shivakumar",computing geographical scopes of web resources,2000
1395,very large data bases,"yasushi sakurai , masatoshi yoshikawa , ryoji kataoka , shunsuke uemura",similarity search for adaptive ellipsoid queries using spatial transformation,2001
1396,very large data bases,"liangzhao zeng , boualem benatallah , phuong nguyen , anne h. h. ngu",agflow : agent-based cross-enterprise workflow management system,2001
1397,very large data bases,"ilaria bartolini , paolo ciaccia , florian waas",feedbackbypass : a new approach to interactive similarity query processing,2001
1398,very large data bases,"sriram raghavan , hector garcia-molina",crawling the hidden web,2001
1399,very large data bases,"khaled yagoub , daniela florescu , val &#233; rie issarny , patrick valduriez",caching strategies for data-intensive web sites,2000
1400,very large data bases,"dieter pfoser , christian s. jensen , yannis theodoridis",novel approaches in query processing for moving object trajectories,2000
1401,very large data bases,"kevin chen-chuan chang , hector garcia-molina",approximate query translation across heterogeneous information sources,2000
1402,very large data bases,"linan jiang , betty salzberg , david b. lomet , manuel barrena garc &#237; a",the bt-tree : a branched and temporal access method,2000
1403,very large data bases,"leonard brown , le gruenwald",a prototype content-based retrieval system that uses virtual images to save space,2001
1404,very large data bases,philip wadler,"et tu , xml ? the downfall of the relational empire ( abstract )",2001
1405,very large data bases,"ashraf aboulnaga , alaa r. alameldeen , jeffrey f. naughton",estimating the selectivity of xml path expressions for internet scale applications,2001
1406,very large data bases,"quanzhong li , bongki moon",indexing and querying xml data for regular path expressions,2001
1407,very large data bases,"christian s. jensen , david b. lomet",transaction timestamping in ( temporal ) databases,2001
