acm_record_id,date_year,conf_title,journal_name,creators
1832,1997,partitioned garbage collection of a large object store,international conference on management of data,"umesh maheshwari , barbara liskov"
1833,1997,size separation spatial join,international conference on management of data,"nick koudas , kenneth c. sevcik"
1834,1997,"building a scaleable geo-spatial dbms : technology , implementation , and evaluation",international conference on management of data,"jignesh patel , jiebing yu , navin kabra , kristin tufte , biswadeep nag , josef burger , nancy hall , karthikeyan ramasamy , roger lueder , curt ellmann , jim kupsch , shelly guo , johan larson , david de witt , jeffrey naughton"
1835,1997,a toolkit for negotiation support interfaces to multi-dimensional data,international conference on management of data,"michael gebhardt , matthias jarke , stephan jacobs"
1836,1997,distance-based indexing for high-dimensional metric spaces,international conference on management of data,"tolga bozkaya , meral ozsoyoglu"
1837,1997,the sr-tree : an index structure for high-dimensional nearest neighbor queries,international conference on management of data,"norio katayama , shin ` ichi satoh"
1838,1997,wave-indices : indexing evolving databases,international conference on management of data,"narayanan shivakumar , h &#233; ctor garc &#237; a-molina"
1839,1997,on-line warehouse view maintenance,international conference on management of data,"dallan quass , jennifer widom"
1840,1997,template-based wrappers in the tsimmis system,international conference on management of data,"joachim hammer , h &#233; ctor garc &#237; a-molina , svetlozar nestorov , ramana yerneni , marcus breunig , vasilis vassalos"
1841,1997,mdm : a multiple-data model tool for the management of heterogeneous database schemes,international conference on management of data,"paolo atzeni , riccardo torlone"
1842,1997,the context interchange mediator prototype,international conference on management of data,"s. bressan , c. h. goh , k. fynn , m. jakobisiak , k. hussein , h. kon , t. lee , s. madnick , t. pena , j. qu , a. shum , m. siegel"
1843,1997,semcog : an object-based image retrieval system and its visual query interface,international conference on management of data,"wen-syan li , k. sel &#231; uk candan , kyoji hirata , yoshinori hara"
1844,1997,the distributed information search component ( disco ) and the world wide web,international conference on management of data,"anthony tomasic , r &#233; my amouroux , philippe bonnet , olga kapitskaia , hubert naacke , louiqa raschid"
1845,1997,the infosleuth project,international conference on management of data,"r. j. bayardo , jr. , w. bohrer , r. brice , a. cichocki , j. fowler , a. halal , v. kashyap , t. ksiezyk , g. martin , m. nodine , m. rashid , m. rusinkiewicz , r. shea , c. unnikrishnan , a. unruh , d. woelk"
1846,1997,infomaster : an information integration system,international conference on management of data,"michael r. genesereth , arthur m. keller , oliver m. duschka"
1847,1997,languages for multi-database interoperability,international conference on management of data,"fr &#233; d &#233; ric gingras , laks v. s. lakshmanan , iyer n. subramanian , despina papoulis , nematollaah shiri"
1848,1997,data warehousing and olap for decision support,international conference on management of data,"surajit chaudhuri , umeshwar dayal"
1849,1997,databases on the web : technologies for federation architectures and case studies,international conference on management of data,ralf kramer
1850,1997,"object-relational database systems ( tutorial ) : principles , products and challenges",international conference on management of data,"michael j. carey , nelson m. mattos , anil k. nori"
1851,1997,"lessons from wall street : case studies in configuration , tuning , and distribution",international conference on management of data,dennis shasha
