abt_buy_id,prod_desc,sale_price,product_full_name
654,"canon powershot sd890 is 10 megapixel , 5x optical zoom , 2.5 ' lcd , ua lens digital camera",198.0,canon powershot sd890 is digital camera 2566b001
655,55mm to 250mm f/4 to 5.6,232.98,canon ef-s 55-250mm f/4 -5.6 is telephoto zoom lens 2044b002
656,,235.14,samsung dvd hm theater sys 5 disc nic ht-z410 / xaa
657,,1579.0,"samsung ln52a550 52 ' widescreen 1080p lcd hdtv 30,000:1 dynamic contrast ratio 5ms response time piano black"
658,"samsung ln46a550 46 ' widescreen 1080p lcd hdtv 30,000:1 dynamic contrast ratio 5ms response time piano black",1143.99,samsung ln46a550 46 ' lcd tv
659,,299.95,omnimount stellar g303 series 3 shelf component stand black g303 dark
660,"samsung pn58a550 58 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio piano black",2294.9,samsung pn58a550 58 ' plasma tv
661,canon eos rebel xsi 12 megapixel digital slr camera with 18-55mm is lens silver,649.88,canon eos rebel xsi digital slr camera with ef-s 18-55mm f/3 .5 -5.6 is lens silver 2757b003
662,canon eos rebel xsi 12 megapixel digital slr camera with 18-55mm is lens black,649.88,canon eos rebel xsi digital slr camera with ef-s 18-55mm f/3 .5 -5.6 is lens black 2756b003
663,"samsung ln37a450 37 ' widescreen 720p lcd hdtv 10,000:1 dynamic contrast ratio 6ms response time piano black",796.82,samsung 4 series ln37a450 37 ' lcd tv
664,toshiba sd-p71s 7 ' portable dvd player,119.36,toshiba sd-p71s portable dvd player
665,toshiba sd-p91s 9 ' portable dvd player,164.72,toshiba sd-p91s portable dvd player
666,"samsung ln40a650 40 ' 1080p lcd hdtv 50,000:1 dynamic contrast ratio 120hz 4ms response time",1279.98,samsung ln40a650 40 ' lcd tv
667,"samsung ln37a550 37 ' widescreen 1080p lcd hdtv 15,000:1 dynamic contrast ratio 5ms response time piano black",944.0,samsung 5 series ln37a550 37 ' lcd tv
668,"samsung pn50a550 50 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio piano black",1499.98,samsung pn50a550 50 ' plasma tv
669,8 gb,49.85,sony 8gb memory stick pro duo card msmt8g
670,1 gb,13.41,sony 1gb memory stick pro duo card msmt1g
671,4 gb,26.92,sony 4gb memory stick pro duo card msmt4g
672,2 gb,15.99,sony 2gb memory stick pro duo card msmt2g
673,"665w dolby truehd , dolby digital ex , dolby pro logic iix , dolby digital plus , dts-hd , dts-es , dts 96/24 , dts neo :6 , neural surroundxm",499.0,yamaha rx-v663 home theater receiver rxv663bl
674,,768.24,"handycam hdr-ux10 dvd camcorder ( 15x opt , 180x dig , 2.7 ' lcd ) hdrux10"
