acm_dblp_id,pub_location,study_title,yr
0,sigmod record,semantic integration of environmental models for application to global information systems and decision-making,1999
1,vldb,estimation of query-result distribution and its application in parallel-join load balancing,1996
2,vldb,incremental maintenance for non-distributive aggregate functions,2002
3,vldb,cost-based selection of path expression processing algorithms in object-oriented databases,1996
4,vldb,benchmarking spatial join operations with spatial output,1995
5,sigmod conference,efficient geometry-based similarity search of 3d spatial databases,1999
6,sigmod record,mining the world wide web : an information search approach - book review,2002
7,vldb j.,enhanced abstract data types in object-relational databases,1998
8,sigmod record,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),1997
9,sigmod record,unisql 's next-generation object-relational database management system,1996
10,vldb,dual-buffering strategies in object bases,1994
11,sigmod conference,aurora : a data stream management system,2003
12,vldb j.,priority assignment in real-time active databases,1996
13,vldb j.,wavecluster : a wavelet based clustering approach for spatial data in very large databases,2000
14,vldb j.,approximate query mapping : accounting for translation closeness,2001
15,vldb,sprint : a scalable parallel classifier for data mining,1996
16,sigmod conference,snowball : a prototype system for extracting relations from large text collections,2001
17,sigmod conference,a framework for implementing hypothetical queries,1997
18,vldb j.,parametric query optimization,1997
19,vldb,lineage tracing for general data warehouse transformations,2001
20,sigmod record,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),2002
21,vldb,approximating aggregate queries about web pages via random walks,2000
22,sigmod record,a query language for a web-site management system,1997
23,vldb,supporting periodic authorizations and temporal reasoning in database access control,1996
24,sigmod conference,free parallel data mining,1998
25,vldb,high level indexing of user-defined types,1999
26,vldb,pc database systems - present and future,1994
27,vldb,form-based proxy caching for database-backed web sites,2001
28,vldb j.,a logical view of structured files,1998
29,sigmod record,dbglobe : a service-oriented p2p system for global computing,2003
30,sigmod conference,database patchwork on the internet,1999
31,vldb,scientific databases - state of the art and future directions,1994
32,vldb,a generic approach to bulk loading multidimensional index structures,1997
33,vldb,data bubbles for non-vector data : speeding-up hierarchical clustering in arbitrary metric spaces,2003
34,vldb,efficient snapshot differential algorithms for data warehousing,1996
35,vldb,integrating triggers and declarative constraints in sql database sytems,1996
36,vldb,efficient ir-style keyword search over relational databases,2003
37,vldb j.,indexing of now-relative spatio-bitemporal data,2002
38,sigmod conference,"temporal coalescing with now , granularity , and incomplete information",2003
39,sigmod record,database research at ut arlington,2003
40,sigmod record,why decision support fails and how to fix it,1995
41,vldb,a low-cost storage server for movie on demand databases,1994
42,vldb,generating call-level interfaces for advanced database application programming,1999
43,sigmod conference,clustering by pattern similarity in large data sets,2002
44,sigmod conference,mocha : a database middleware system featuring automatic deployment of application-specific functionality,2000
45,sigmod conference,fact : a learning based web query processing system,2000
46,sigmod record,sql multimedia and application packages ( sql/mm ),2001
47,vldb,bellcore 's adapt/x harness system for managing information on internet and intranets,1996
48,sigmod conference,xml data management go native or spruce up relational systems ? ( panel abstract ),2001
49,sigmod record,an overview of data warehousing and olap technology,1997
50,sigmod conference,staggered striping in multimedia information systems,1994
51,sigmod record,multimedia streaming in large-scale sensor networks with mobile swarms,2003
52,sigmod record,how to modify sql queries in order to guarantee sure answers,1994
53,vldb,materialization : a powerful and ubiquitous abstraction pattern,1994
54,sigmod conference,dynamic content acceleration : a caching solution to enable scalable dynamic web page generation,2001
55,sigmod record,data modelling in the large,1994
56,sigmod conference,updating xml,2001
57,sigmod record,research in information managment at dublin city university,2002
58,sigmod conference,the multidimensional database system rasdaman,1998
59,vldb,analyzing energy behavior of spatial access methods for memory-resident data,2001
60,vldb,the value of merge-join and hash-join in sql server,1999
61,sigmod conference,efficient execution of joins in a star schema,2002
62,vldb,picodmbs : scaling down database techniques for the smartcard,2000
63,vldb,multi-dimensional substring selectivity estimation,1999
64,vldb j.,the intrinsic problems of structural heterogeneity and an approach to their solution,1999
65,sigmod conference,a database perspective on lotus domino/notes,1999
66,sigmod record,"domains , relations and religious wars",1996
67,vldb,the data-centric revolution in networking,2003
68,sigmod conference,cache-and-query for wide area sensor databases,2003
69,vldb,a cost model for clustered object-oriented databases,1995
70,vldb,expiring data in a warehouse,1998
71,sigmod record,opportunities in information management and assurance,1997
72,vldb,finding data in the neighborhood,1997
73,sigmod conference,prefer : a system for the efficient execution of multi-parametric ranked queries,2001
74,sigmod record,editor 's notes,2002
75,sigmod conference,rainbow : mapping-driven xquery processing system,2002
76,vldb j.,algebraic query optimisation for database programming languages,1996
77,acm trans . database syst .,static analysis techniques for predicting the behavior of active database rules,1995
78,sigmod conference,the ores temporal database management system,1994
79,acm trans . database syst .,magic conditions,1996
80,vldb,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,1995
81,sigmod conference,"ubiquitous , self-tuning , scalable servers",1998
82,vldb,explaining differences in multidimensional aggregates,1999
83,vldb,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,1995
84,sigmod conference,database in crisis and transition : a technical agenda for the year 2001,1994
85,sigmod conference,"workflow automation : applications , technology , and research ( tutorial )",1995
86,sigmod record,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",2000
87,vldb,a scalable algorithm for answering queries using views,2000
88,sigmod record,why i like working in academia,2002
89,sigmod conference,efficient and tunable similar set retrieval,2001
