ref_id,journal_title,pub_forum,contributors
523,editor 's notes,sigmod record,ling liu
524,the lham log-structured history data access method,vldb j.,"gerhard weikum , patrick e. o'neil , peter muth , achim pick"
525,tigukat : a uniform behavioral objectbase management system,vldb j.,"randal j. peters , m. tamer özsu , boman irani , adriana muñoz , anna lipka , duane szafron"
526,the onion technique : indexing for linear optimization queries,sigmod conference,"chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo"
527,walrus : a similarity retrieval algorithm for image databases,sigmod conference,"rajeev rastogi , kyuseok shim , apostol natsev"
528,improving the efficiency of database-system teaching,sigmod conference,jeffrey d. ullman
529,towards knowledge-based digital libraries,sigmod record,"manfred a. jeusfeld , ling feng , jeroen hoppenbrouwers"
530,outerjoins as disjunctions,sigmod conference,césar a. galindo-legaria
531,information retrieval from an incomplete data cube,vldb,curtis e. dyreson
532,sql memory management in oracle9i,vldb,"mohamed zaït , benoît dageville"
533,buffering and read-ahead strategies for external mergesort,vldb,"per-åke larson , weiye zhang"
534,random sampling for histogram construction : how much is enough ?,sigmod conference,"vivek r. narasayya , rajeev motwani , surajit chaudhuri"
535,qualitative representation of spatial knowledge in two-dimensional space,vldb j.,"dimitris papadias , timos k. sellis"
536,birn-m : a semantic mediator for solving real-world neuroscience problems,sigmod conference,"bertram ludäscher , maryann e. martone , amarnath gupta"
537,a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,vldb,"anindya datta , kaushik dutta , helen m. thomas , debra e. vandermeer , krithi ramamritham , dan fishman"
538,a new sql-like operator for mining association rules,vldb,"giuseppe psaila , stefano ceri , rosa meo"
539,tutorial : application servers and associated technologies,sigmod conference,c. mohan
540,provisions and obligations in policy management and security applications,vldb,"xiaoyang sean wang , duminda wijesekera , claudio bettini , sushil jajodia"
541,java support for data-intensive systems : experiences building the telegraph dataflow system,sigmod record,"michael j. franklin , samuel madden , joseph m. hellerstein , mehul a. shah"
542,optimizing queries with universal quantification in object-oriented and object-relational databases,vldb,"guido moerkotte , jens claußen , klaus peithner , alfons kemper"
543,an efficient bitmap encoding scheme for selection queries,sigmod conference,"chee yong chan , yannis e. ioannidis"
544,the third manifesto,sigmod record,"c. j. date , hugh darwen"
