paper_id,event_year,pub_name,pub_authors
1046,1999,clustering methods for large databases : from the past to the future,"alexander hinneburg , daniel a. keim"
1047,1995,managing a db2 parallel edition database,gilles fecteau
1048,1995,type classification of semi-structured documents,"allen luniewski , markus tresch , neal palmer"
1049,1996,dbsim : a simulation tool for predicting database performance,"craig wong , mark stokrp , mike lefler"
1050,2001,querying xml views of relational data,"jerry kiernan , jayavel shanmugasundaram , catalina fan , eugene j. shekita , john funderburk"
1051,1998,clustering categorical data : an approach based on dynamical systems,"prabhakar raghavan , david gibson , jon m. kleinberg"
1052,1994,a new join algorithm,"arnold charles meltzer , dong keun shin"
1053,1998,cost-based optimization of decision support queries using transient views,"shivakumar venkataraman , subbu n. subramanian"
1054,1997,concurrency and recovery for index trees,"david b. lomet , betty salzberg"
1055,1998,resource scheduling for composite multimedia objects,"yannis e. ioannidis , minos n. garofalakis , banu özden"
1056,2001,an extension of the relational data model to incorporate ordered domains,wilfred ng
1057,1995,alphasort : a cache-sensitive parallel external sort,"jim gray , zarka cvetanovic , tom barclay , chris nyberg , david b. lomet"
1058,1999,in-memory data management for consumer transactions the times-ten approach,times-ten team
1059,1999,daytona and the fourth-generation language cymbal,rick greer
1060,2000,quantifiable data mining using ratio rules,"christos faloutsos , yannis kotidis , flip korn , alexandros labrinidis"
1061,2001,data management for pervasive computing,"mitch cherniack , stanley b. zdonik , michael j. franklin"
1062,2003,closing the key loophole in mls databases,"nenad jukic , svetlozar nestorov , susan v. vrbsky"
1063,1999,gloss : text-source discovery over the internet,"hector garcia-molina , luis gravano , anthony tomasic"
1064,2001,progressive approximate aggregate queries with a multi-resolution tree structure,"iosif lazaridis , sharad mehrotra"
1065,2003,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,hansjörg zeller
1066,2003,report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ),"manfred a. jeusfeld , hans-joachim lenz , panos vassiliadis , martin staudt"
1067,2002,general match : a subsequence matching method in time-series databases based on generalized windows,"kyu-young whang , yang-sae moon , wook-shin han"
1068,2003,"report on the 10th conference on database systems for business , technology , and the web ( btw 2003 )","erhard rahm , harald schöning , gerhard weikum"
1069,2002,ontologies : a silver bullet for knowledge management and electronic commerce - book review,antonio badia
1070,1997,adaptive data broadcast in hybrid networks,"konstantinos stathatos , john s. baras , nick roussopoulos"
1071,1998,incremental distance join algorithms for spatial databases,"gísli r. hjaltason , hanan samet"
1072,1997,a region splitting strategy for physical database design of multidimensional file organizations,"kyu-young whang , il-yeol song , young-koo lee , jong-hak lee"
1073,2001,sql/xml and the sqlx informal group of companies,"jim melton , andrew eisenberg"
1074,2002,database technologies for electronic commerce,"yirong xu , ramakrishnan srikant , rakesh agrawal"
1075,1999,semantic interoperability in information services : experiencing with coopware,avigdor gal
1076,1997,open gis and on-line environmental libraries,kenn gardels
1077,1999,client-site query extensions,"praveen seshadri , tobias mayr"
1078,2002,joining ranked inputs in practice,"walid g. aref , ihab f. ilyas , ahmed k. elmagarmid"
1079,2003,complex queries over web repositories,"hector garcia-molina , sriram raghavan"
1080,1996,"database research at the indian institute of technology , bombay","s. seshadri , nandlal l. sarda , d. b. phatak , s. sudarshan"
1081,1996,goal-oriented buffer management revisited,"kurt p. brown , michael j. carey , miron livny"
1082,1995,the naos system,"christine collet , thierry coupaye"
1083,2002,chair 's message,m. tamer özsu
1084,2003,robust and efficient fuzzy match for online data cleaning,"surajit chaudhuri , kris ganjam , venkatesh ganti , rajeev motwani"
1085,2000,agora : living with xml and relational,"daniela florescu , donald kossmann , dan olteanu , ioana manolescu , florian xhumari"
1086,2002,editorial,"peter m. g. apers , stefano ceri , richard t. snodgrass"
1087,1998,a data mining application : customes retention at the port of singapore authority ( psa ),"kiansing ng , huan liu , hweebong kwah"
1088,2001,materialized view and index selection tool for microsoft sql server 2000,"vivek r. narasayya , sanjay agrawal , surajit chaudhuri"
1089,1999,optimization of queries with user-defined predicates,"kyuseok shim , surajit chaudhuri"
1090,1994,metadata for multimedia documents,"thomas c. rakow , klemens böhm"
1091,1998,introduction ( special issue on multimedia databases ),"m. tamer özsu , stavros christodoulakis"
1092,2000,concurrency in the data warehouse,richard taylor
1093,2001,editor 's notes,ling liu
1094,2000,asera : extranet architecture for b2b solutions,anil nori
1095,1994,energy efficient indexing on air,"s. viswanathan , b. r. badrinath , tomasz imielinski"
1096,2003,iterative spatial join,"hanan samet , edwin h. jacox"
1097,2000,editor 's notes,michael j. franklin
1098,2002,storing and querying ordered xml using a relational database system,"kevin s. beyer , jayavel shanmugasundaram , chun zhang , igor tatarinov , stratis viglas , eugene j. shekita"
1099,1994,ptool : a scalable persistent object manager,"xiao qin , robert l. grossman"
1100,2003,agent-oriented software engineering report on the 4th aose workshop ( aose 2003 ),paolo giorgini
1101,2002,approximate frequency counts over data streams,"rajeev motwani , gurmeet singh manku"
1102,1994,relaxed transaction processing,"darrell woelk , munindar p. singh , christine tomlinson"
1103,1996,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),"mikael berndtsson , jörgen hansson"
1104,1995,an introduction to remy 's fast polymorphic record projection,limsoon wong
1105,1996,pixel-oriented database visualizations,daniel a. keim
1106,2003,adaptive algorithms for set containment joins,"hector garcia-molina , sergey melnik"
1107,1995,the ecrc multi database system,"heribert schütz , willem jonker"
1108,1996,semantics for update rule programs and implementations in a relational database management system,"louiqa raschid , jorge lobo"
1109,2000,efficient resumption of interrupted warehouse loads,"hector garcia-molina , vlad gorelik , wilburt labio , janet l. wiener"
1110,1995,calls for papers and announcements,?
