record_id,publication_venue,collaborators,document_title
2092,sigmod conference,"sudarshan s. chawathe , feng peng",xpath queries on streaming data
2093,sigmod record,michael ley,sigmod anthology editor 's message
2094,acm trans . database syst .,weidong chen,query evaluation in deductive databases with alternating fixpoint semantics
2095,sigmod conference,"sibel adali , yannis papakonstantinou , k. selçuk candan , v. s. subrahmanian",query caching and optimization in distributed mediator systems
2096,vldb,"david j. dewitt , manish mehta",managing intra-operator parallelism in parallel database systems
2097,vldb,"hanan samet , ken smith , glenn s. iwerks",continuous k-nearest neighbor queries for continuously moving points with updates
2098,sigmod conference,"michael j. wynblatt , julio c. navas",the network is the database : data management for highly distributed systems
2099,sigmod record,"robert meersman , amit p. sheth",amicalola report : database and information system research challenges and opportunities in semantic web and enterprises
2100,vldb,"nathan goodman , steve rozen , lincoln stein",building a laboratory information system around a c++ - based object-oriented dbms
2101,vldb,"björn blohsfeld , jens-peter dittrich , martin schneider , bernhard seeger , tobias schäfer , jochen van den bercken , jürgen krämer",xxl - a library approach to supporting efficient implementations of advanced database queries
2102,vldb,"tore risch , ling lin",querying continuous time sequences
2103,vldb,"philip j. harding , bongki moon , quanzhong li",xiss/r : xml indexing and storage system using rdbms
2104,vldb,"nelson mendonça mattos , serge rielau , bruce g. lindsay , stefan deßloch , you-chin fuh , brian t. tran , danko mannhaupt , linda demichel , weidong chen",implementation of sql3 structured types with inheritance and value substitutability
2105,sigmod conference,torsten grust,accelerating xpath location steps
2106,vldb,"christoph kilger , guido moerkotte",indexing multiple sets
2107,sigmod conference,"patrick e. o'neil , dallan quass",improved query performance with variant indexes
2108,sigmod record,george colliat,"olap , relational , and multidimensional database systems"
2109,vldb,"andrea zisman , v. w. setzer",new concurrency control algorithms for accessing and compacting b-trees
2110,vldb,"nick roussopoulos , alexandros labrinidis",update propagation strategies for improving the quality of data on the web
2111,sigmod record,alberto o. mendelzon,information director 's message
2112,sigmod conference,"raghu ramakrishnan , shaul dar",a performance study of transitive closure algorithms
2113,sigmod conference,avigdor gal,"data management in ecommerce : the good , the bad , and the ugly"
2114,vldb,"berthold reinwald , jayavel shanmugasundaram , michael j. carey , eugene j. shekita , hamid pirahesh , bruce g. lindsay , rimon barr",efficiently publishing relational data as xml documents
2115,sigmod conference,"michael jaedicke , bernhard mitschang",on parallel processing of aggregate and scalar functions in object-relational dbms
2116,sigmod record,"n. winterbottom , s. j. o'connell",performing jobs without decompression in a compressed database system
2117,sigmod record,doug stacey,"replication : db2 , oracle , or sybase ?"
2118,vldb,"jochen van den bercken , bernhard seeger",query processing techniques for multiversion access methods
2119,vldb,"s. sudarshan , prasan roy , abraham silberschatz , s. seshadri , srinivas ashwin",garbage collection in object oriented databases using transactional cyclic reference counting
2120,vldb,"henry f. korth , stephen blott , abraham silberschatz","information , communication , and money : for what can we charge and how can we meter it ?"
2121,acm trans . database syst .,"m. tamer özsu , randal j. peters",an axiomatic model of dynamic schema evolution in objectbase systems
2122,vldb,"laurent daynès , grzegorz czajkowski",lightweight flexible isolation for language-based extensible systems
2123,sigmod conference,"mathias weske , gottfried vossen",the wasa2 object-oriented workflow management system
2124,vldb,"felipe cariño , william o'connell",plan-per-tuple optimization solution - parallel execution of expensive user-defined functions
2125,vldb j.,"shu-yao chien , carlo zaniolo , vassilis j. tsotras",efficient schemes for managing multiversionxml documents
2126,vldb,"laurent mignet , serge abiteboul , tova milo , adi eyal , bernd amann , sophie cluet",active views for electronic commerce
2127,vldb,"gargi sur , mary f. fernandez , amélie marian , jérôme siméon , byron choi",implementing xquery 1.0 : the galax experience
2128,sigmod conference,"brian murphy , elke a. rundensteiner , bradford pielech , maged el-sayed , mukesh mulchandani , luping ding , katica dimitrova , ling wang , xin zhang",rainbow : multi-xquery optimization using materialized xml views
2129,vldb,"eric simon , angelika kotz dittrich",promises and realities of active database systems
2130,sigmod record,ling liu,editor 's notes
2131,sigmod record,"gerti kappel , werner retschitzegger",the trigs active object-oriented database system - an overview
2132,vldb,"takeshi fukuda , yasuhiko morimoto , takeshi tokuyama , shinichi morishita",constructing efficient decision trees by using optimized numeric association rules
2133,vldb,"samuel kounev , alejandro p. buchmann",improving data access of j2ee applications by exploiting asynchronous messaging and caching services
2134,sigmod record,"nadjiba sahraoui , andré gamache",addressing techniques used in database object managers o2 and orion
2135,vldb j.,"amit p. sheth , sanjeev thacker , shuchi patel",complex relationships and knowledge discovery support in the infoquilt system
2136,sigmod conference,"songting chen , andreas koeller , elke a. rundensteiner , xin zhang , jun chen",dyda : data warehouse maintenance in fully concurrent environments
2137,vldb,"lukasz golab , m. tamer özsu",processing sliding window multi-joins in continuous queries over data streams
2138,vldb j.,sunita sarawagi,user-cognizant multidimensional analysis
2139,sigmod record,"philippe bonnet , allan beaufour , mads bondo dydensborg , martin leopold",bluetooth-based sensor networks
2140,vldb,"garth a. gibson , erik riedel , christos faloutsos",active storage for large-scale data mining and multimedia
2141,vldb,"junghoo cho , hector garcia-molina",the evolution of the web and implications for an incremental crawler
2142,vldb,"angela bonifati , cosmin cremarenco , tova milo , gregory cobena , ioana manolescu , florin dragan , jérôme baumgarten , nicoleta preda , serge abiteboul",managing distributed workspaces with active xml
2143,vldb,"timos k. sellis , dimitri theodoratos",data warehouse configuration
2144,sigmod record,leonid libkin,database principles column - introduction
2145,vldb,"arunprasad p. marathe , kenneth salem",a language for manipulating arrays
2146,vldb,sriram padmanabhan,extracting large data sets using db2 parallel edition
2147,sigmod conference,"hector garcia-molina , himanshu gupta , wilburt labio , yue zhuge , janet l. wiener , jennifer widom",the whips prototype for data warehouse creation and maintenance
2148,sigmod record,"gerhard weikum , alon y. levy , divesh srivastava , eric simon , patrick e. o'neil , victor vianu , kenneth a. ross , christos faloutsos",reminiscences on influential papers
