acm_record_id,pub_title,pubdate_year,journal_name
0,the wasa2 object-oriented workflow management system,1999,international conference on management of data
1,a user-centered interface for querying distributed multimedia databases,1999,international conference on management of data
2,"world wide database-integrating the web , corba and databases",1999,international conference on management of data
3,xml-based information mediation with mix,1999,international conference on management of data
4,the ccube constraint object-oriented database system,1999,international conference on management of data
5,the cornell jaguar project : adding mobility to predator,1999,international conference on management of data
6,the active multisync controller of the cubetree storage organization,1999,international conference on management of data
7,the jungle database search engine,1999,international conference on management of data
8,adept : an agent-based approach to business process management,1998,acm sigmod record
9,a componentized architecture for dynamic electronic markets,1998,acm sigmod record
10,design and implementation of rmp : a virtual electronic market place,1998,acm sigmod record
11,discovering internet marketing intelligence through online analytical web usage mining,1998,acm sigmod record
12,component-based e-commerce : assessment of current practices and future directions,1998,acm sigmod record
13,building database-driven electronic catalogs,1998,acm sigmod record
14,xml and electronic commerce : enabling the network economy,1998,acm sigmod record
15,a workflow-based electronic marketplace on the web,1998,acm sigmod record
16,dbis-toolkit : adaptable middleware for large scale data delivery,1999,international conference on management of data
17,an xjml-based wrapper generator for web information extraction,1999,international conference on management of data
18,database patchwork on the internet,1999,international conference on management of data
19,domino : databases for moving objects tracking,1999,international conference on management of data
20,the need for distributed asynchronous transactions,1999,international conference on management of data
21,versions and workspaces in microsoft repository,1999,international conference on management of data
22,data integration and warehousing in telecom italia,1999,international conference on management of data
23,improving oltp data quality using data warehouse mechanisms,1999,international conference on management of data
24,serf : odmg-based generic re-structuring facility,1999,international conference on management of data
25,"powerbookmarks : a system for personalizable web information organization , sharing , and management",1999,international conference on management of data
26,the aqua approximate query answering system,1999,international conference on management of data
27,tam : a system for dynamic transactional activity management,1999,international conference on management of data
28,exploratory mining via constrained frequent set queries,1999,international conference on management of data
29,evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes,1999,international conference on management of data
30,phoenix : making applications robust,1999,international conference on management of data
31,nodose version 2.0,1999,international conference on management of data
32,bringing object-relational technology to the mainstream,1999,international conference on management of data
33,implementing the spirit of sql-99,1999,international conference on management of data
34,managing web data,1999,international conference on management of data
35,"o-o , what 's happening to db2 ?",1999,international conference on management of data
36,hypertext databases and data mining,1999,international conference on management of data
37,clustering methods for large databases : from the past to the future,1999,international conference on management of data
38,petabyte databases,1999,international conference on management of data
39,a database perspective on lotus domino/notes,1999,international conference on management of data
40,microsoft site server ( commerce ed . ) : talk-slides available at the conference,1999,international conference on management of data
41,e-commerce database issues and experience : ( talk-slides available at at the conference ),1999,international conference on management of data
42,merge replication in microsoft 's sql server 7.0,1999,international conference on management of data
43,in-memory data management for consumer transactions the timesten approach,1999,international conference on management of data
44,emc information sharing : direct access to mvs data from unix and nt,1999,international conference on management of data
45,daytona and the foruth-generation language cymbal,1999,international conference on management of data
46,datablitz storage manager : main-memory database performance for critical applications,1999,international conference on management of data
47,indexing medium-dimensionality data in oracle,1999,international conference on management of data
48,storing semistructured data with stored,1999,international conference on management of data
49,efficient geometry-based similarity search of 3d spatial databases,1999,international conference on management of data
50,a new method for similarity indexing of market basket data,1999,international conference on management of data
51,walrus : a similarity retrieval algorithm for image databases,1999,international conference on management of data
52,shrinking the warehouse update window,1999,international conference on management of data
53,dynamat : a dynamic view management system for data warehouses,1999,international conference on management of data
54,bottom-up computation of sparse and iceberg cube,1999,international conference on management of data
55,client-site query extensions,1999,international conference on management of data
56,data management issues in electronic commerce,1999,international conference on management of data
57,"of crawlers , portals , mice , and men : is there more to mining the web ?",1999,international conference on management of data
58,"honey , i shrunk the database : footprint , mobility , and beyond",1999,international conference on management of data
59,a layered architecture for querying dynamic web content,1999,international conference on management of data
60,automatic discovery of language models for text databases,1999,international conference on management of data
61,record-boundary discovery in web documents,1999,international conference on management of data
62,query rewriting for semistructured data,1999,international conference on management of data
63,computing capabilities of mediators,1999,international conference on management of data
64,high speed on-line backup when using logical log operations,2000,international conference on management of data
65,efficient resumption of interrupted warehouse loads,2000,international conference on management of data
66,on-line reorganization in object databases,2000,international conference on management of data
67,finding generalized projected clusters in high dimensional spaces,2000,international conference on management of data
68,density biased sampling : an improved method for data mining and clustering,2000,international conference on management of data
69,lof : identifying density-based local outliers,2000,international conference on management of data
70,answering complex sql queries using automatic summary tables,2000,international conference on management of data
71,synchronizing a database to improve freshness,2000,international conference on management of data
72,how to roll a join : asynchronous incremental view maintenance,2000,international conference on management of data
73,on wrapping query languages and efficient xml integration,2000,international conference on management of data
74,xmill : an efficient compressor for xml data,2000,international conference on management of data
75,xtract : a system for extracting document type descriptors from xml documents,2000,international conference on management of data
76,spatial join selectivity using power laws,2000,international conference on management of data
77,mocha : a self-extensible database middleware system for distributed data sources,2000,international conference on management of data
78,closest pair queries in spatial databases,2000,international conference on management of data
79,influence sets based on reverse nearest neighbor queries,2000,international conference on management of data
80,security of random data perturbation methods,1999,acm transactions on database systems ( tods )
81,improving database design through the analysis of relationships,1999,acm transactions on database systems ( tods )
