dblp_id,event_location,event_year,authors_list
458,acm sigmod record,2000,jan van den bussche
459,acm sigmod record,2000,"till westmann , donald kossmann , sven helmer , guido moerkotte"
460,acm transactions on database systems ( tods ),2000,"bettina kemme , gustavo alonso"
461,acm transactions on database systems ( tods ),2000,rosa meo
462,acm sigmod record,2000,themistoklis palpanas
463,acm transactions on database systems ( tods ),2000,"elena baralis , jennifer widom"
464,acm sigmod record,2001,"jim melton , jan-eike michels , vanja josifovski , krishna kulkarni , peter schwarz , kathy zeidenstein"
465,acm sigmod record,2001,"patrick bosc , amihai motro , gabriella pasi"
466,acm sigmod record,2001,"david carmel , yoelle maarek , aya soffer"
467,acm sigmod record,2001,terence critchlow
468,international conference on management of data,2001,"raymond t. ng , alan wagner , yu yin"
469,international conference on management of data,2001,"johannes gehrke , flip korn , divesh srivastava"
470,international conference on management of data,2001,"jiawei han , jian pei , guozhu dong , ke wang"
471,acm sigmod record,2001,"ren &#233; e j. miller , mauricio a. hern &#225; ndez , laura m. haas , lingling yan , c. t. howard ho , ronald fagin , lucian popa"
472,acm sigmod record,2001,"j. k. lawder , p. j. h. king"
473,acm sigmod record,2001,charu c. aggarwal
474,acm sigmod record,2001,"chiara biancheri , jean-christophe pazzaglia , gavino paddeu"
475,acm sigmod record,2000,"meikel poess , chris floyd"
476,acm sigmod record,2001,"peter buneman , wenfei fan , j &#233; r &#244; me sim &#233; on , scott weinstein"
477,acm sigmod record,2001,"ling feng , marfred a. jeusfeld , jeroen hoppenbrouwers"
478,acm sigmod record,2001,"elisa bertino , ahmed k. elmagarmid , mohand-sa &#239; d hacid"
479,acm sigmod record,2001,"calton pu , karsten schwan , jonathan walpole"
480,acm sigmod record,1999,opher etzion
481,acm sigmod record,2000,"angela bonifati , stefano ceri"
482,acm sigmod record,1999,"stella gatziu , manfred jeusfeld , martin staudt , yannis vassiliou"
483,acm sigmod record,2000,"andreas paepcke , hector garcia-molina , gerard rodriguez-mula , junghoo cho"
484,acm sigmod record,1999,"eric n. hanson , lloyd x. noronha"
485,acm sigmod record,1999,"tim kempster , colin stirling , peter thanisch"
486,acm sigmod record,1999,leonid libkin
487,acm sigmod record,1999,serge abiteboul
488,international conference on management of data,2000,"peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang"
