acm_id,event_year,pub_desc,journal_name
916,2002,energy-performance trade-offs for spatial access methods on memory-resident data,the vldb journal -- the international journal on very large data bases
917,2002,editorial,the vldb journal -- the international journal on very large data bases
918,2002,a formal perspective on the view selection problem,the vldb journal -- the international journal on very large data bases
919,2002,data page layouts for relational databases on deep memory hierarchies,the vldb journal -- the international journal on very large data bases
920,2003,ansi sql hierarchical processing can fully integrate native xml,acm sigmod record
921,2003,a database approach to quality of service specification in video databases,acm sigmod record
922,2003,distinguished database profiles,acm sigmod record
923,2003,analysis of existing databases at the logical level : the dba companion project,acm sigmod record
924,2003,influential papers,acm sigmod record
925,2003,jim gray speaks out,acm sigmod record
926,2003,reports,acm sigmod record
927,2003,reminiscences on influential papers,acm sigmod record
928,1997,the microsoft repository,very large data bases
929,1997,1-safe algorithms for symmetric site configurations,very large data bases
930,1997,data manager for evolvable real-time command and control systems,very large data bases
931,1997,efficient testing of high performance transaction processing systems,very large data bases
932,1997,groupwise processing of relational queries,very large data bases
933,1997,parallel query scheduling and optimization with time - and space-shared resources,very large data bases
934,1997,mining insurance data at swiss life,very large data bases
935,1997,a language for manipulating arrays,very large data bases
936,1997,using versions in update transactions : application to integrity checking,very large data bases
937,1997,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources",very large data bases
938,2002,views in a large-scale xml repository,the vldb journal -- the international journal on very large data bases
939,2002,database indexing for large dna and protein sequence collections,the vldb journal -- the international journal on very large data bases
940,1997,optimizing queries across diverse data sources,very large data bases
941,1997,spatial joins using r-trees : breadth-first traversal with global optimizations,very large data bases
942,1997,fast computation of sparse datacubes,very large data bases
943,1997,merging ranks from heterogeneous internet sources,very large data bases
944,1997,a generic approach to bulk loading multidimensional index structures,very large data bases
945,1997,a region splitting strategy for physical database design of multidimensional file organizations,very large data bases
946,1997,to weave the web,very large data bases
947,1997,incremental organization for data recording and warehousing,very large data bases
948,1997,distributed processing over stand-alone systems and applications,very large data bases
949,1997,materialized views selection in a multidimensional database,very large data bases
950,1997,parallel algorithms for high-dimensional similarity joins for data mining applications,very large data bases
951,1997,logical and physical versioning in main memory databases,very large data bases
952,1997,dataguides : enabling query formulation and optimization in semistructured databases,very large data bases
953,1997,principles of optimally placing data in tertiary storage libraries,very large data bases
