acm_id,researchers,conf_venue,year_published
1374,"sihem amer-yahia , theodore johnson",very large data bases,2000
1375,geoffrey c. bowker,very large data bases,2000
1376,"frank ramsak , volker markl , robert fenk , martin zirkel , klaus elhardt , rudolf bayer",very large data bases,2000
1377,"abdelsalam helal , hua li",very large data bases,2000
1378,"francesco caruso , munir cochinwala , uma ganapathy , gail lalk , paolo missier",very large data bases,2000
1379,"karthikeyan ramasamy , jignesh m. patel , jeffrey f. naughton , raghav kaushik",very large data bases,2000
1380,"stefan manegold , peter a. boncz , martin l. kersten",very large data bases,2000
1381,"krithi ramamritham , yeha el atfi , carlo batini , michael eitan , valerie gregg , d. b. phatak",very large data bases,2000
1382,sunil choenni,very large data bases,2000
1383,"st &#233; phane grumbach , philippe rigaux , luc segoufin",very large data bases,2000
1384,"alberto o. mendelzon , alejandro a. vaisman",very large data bases,2000
1385,"chris olston , jennifer widom",very large data bases,2000
1386,"jagannathan srinivasan , souripriya das , chuck freiwald , eugene inseok chong , mahesh jagannath , aravind yalamanchi , ramkumar krishnan , anh-tuan tran , samuel defazio , jayanta banerjee",very large data bases,2000
1387,"andrey balmin , thanos papadimitriou , yannis papakonstantinou",very large data bases,2000
1388,"gladys a. cotter , barbara t. bauldock",very large data bases,2000
1389,"kaushik dutta , anindya datta , debra e. vandermeer , krithi ramamritham , helen m. thomas",very large data bases,2000
1390,"venkatesh ganti , mong-li lee , raghu ramakrishnan",very large data bases,2000
1391,sridhar ramaswamy,very large data bases,2000
1392,"yossi matias , jeffrey scott vitter , min wang",very large data bases,2000
1393,"domenico beneventano , sonia bergamaschi , silvana castano , alberto corni , r. guidetti , g. malvezzi , michele melchiori , maurizio vincini",very large data bases,2000
1394,"junyan ding , luis gravano , narayanan shivakumar",very large data bases,2000
1395,"yasushi sakurai , masatoshi yoshikawa , ryoji kataoka , shunsuke uemura",very large data bases,2001
1396,"liangzhao zeng , boualem benatallah , phuong nguyen , anne h. h. ngu",very large data bases,2001
1397,"ilaria bartolini , paolo ciaccia , florian waas",very large data bases,2001
1398,"sriram raghavan , hector garcia-molina",very large data bases,2001
1399,"khaled yagoub , daniela florescu , val &#233; rie issarny , patrick valduriez",very large data bases,2000
1400,"dieter pfoser , christian s. jensen , yannis theodoridis",very large data bases,2000
1401,"kevin chen-chuan chang , hector garcia-molina",very large data bases,2000
1402,"linan jiang , betty salzberg , david b. lomet , manuel barrena garc &#237; a",very large data bases,2000
1403,"leonard brown , le gruenwald",very large data bases,2001
1404,philip wadler,very large data bases,2001
1405,"ashraf aboulnaga , alaa r. alameldeen , jeffrey f. naughton",very large data bases,2001
1406,"quanzhong li , bongki moon",very large data bases,2001
1407,"christian s. jensen , david b. lomet",very large data bases,2001
1408,"tamer kahveci , ambuj k. singh",very large data bases,2001
1409,"yingwei cui , jennifer widom",very large data bases,2001
1410,"ela hunt , malcolm p. atkinson , robert w. irving",very large data bases,2001
1411,"helena galhardas , daniela florescu , dennis shasha , eric simon , cristian-augustin saita",very large data bases,2001
1412,"reza sadri , carlo zaniolo , amir m. zarkesh , jafar adibi",very large data bases,2001
1413,"surajit chaudhuri , kyuseok shim",very large data bases,2001
