entry_id,event_site,paper_title,release_year
1832,international conference on management of data,partitioned garbage collection of a large object store,1997
1833,international conference on management of data,size separation spatial join,1997
1834,international conference on management of data,"building a scaleable geo-spatial dbms : technology , implementation , and evaluation",1997
1835,international conference on management of data,a toolkit for negotiation support interfaces to multi-dimensional data,1997
1836,international conference on management of data,distance-based indexing for high-dimensional metric spaces,1997
1837,international conference on management of data,the sr-tree : an index structure for high-dimensional nearest neighbor queries,1997
1838,international conference on management of data,wave-indices : indexing evolving databases,1997
1839,international conference on management of data,on-line warehouse view maintenance,1997
1840,international conference on management of data,template-based wrappers in the tsimmis system,1997
1841,international conference on management of data,mdm : a multiple-data model tool for the management of heterogeneous database schemes,1997
1842,international conference on management of data,the context interchange mediator prototype,1997
1843,international conference on management of data,semcog : an object-based image retrieval system and its visual query interface,1997
1844,international conference on management of data,the distributed information search component ( disco ) and the world wide web,1997
1845,international conference on management of data,the infosleuth project,1997
1846,international conference on management of data,infomaster : an information integration system,1997
1847,international conference on management of data,languages for multi-database interoperability,1997
1848,international conference on management of data,data warehousing and olap for decision support,1997
1849,international conference on management of data,databases on the web : technologies for federation architectures and case studies,1997
1850,international conference on management of data,"object-relational database systems ( tutorial ) : principles , products and challenges",1997
1851,international conference on management of data,"lessons from wall street : case studies in configuration , tuning , and distribution",1997
1852,international conference on management of data,devise ( demo abstract ) : integrated querying and visual exploration of large datasets,1997
1853,international conference on management of data,picture programming project,1997
1854,international conference on management of data,delaunay : a database visualization system,1997
1855,international conference on management of data,query optimization at the crossroads,1997
1856,acm transactions on database systems ( tods ),disjunctive datalog,1997
1857,acm transactions on database systems ( tods ),probview : a flexible probabilistic database system,1997
1858,international conference on management of data,zoo : a desktop experiment management environment,1997
1859,acm transactions on database systems ( tods ),transactional client-server cache consistency : alternatives and performance,1997
1860,acm sigmod record,ogdi : toward interoperability among geospatial databases,1997
1861,acm sigmod record,an extended entity-relationship model for geographic applications,1997
1862,acm sigmod record,a query language for a web-site management system,1997
1863,acm sigmod record,quasi-cubes : exploiting approximations in multidimensional databases,1997
1864,international conference on management of data,the whips prototype for data warehouse creation and maintenance,1997
1865,international conference on management of data,structural matching and discovery in document databases,1997
1866,international conference on management of data,strudel : a web site management system,1997
1867,international conference on management of data,geominer : a system prototype for spatial data mining,1997
1868,international conference on management of data,sentinel : an object-oriented dbms with event-based rules,1997
1869,international conference on management of data,the mentor workbench for enterprise-wide workflow management,1997
1870,international conference on management of data,s3 : similarity search in cad database systems,1997
1871,international conference on management of data,predator : an or-dbms with enhanced data types,1997
1872,acm sigmod record,the active database management system manifesto : a rulebase of adbms features,1996
1873,acm sigmod record,report on first international workshop on real-time database systems,1996
1874,acm sigmod record,bess object storage manager : architecture overview,1996
1875,acm sigmod record,middle east technical university software research and development center,1996
1876,acm sigmod record,much ado about shared-nothing,1996
1877,acm sigmod record,on the cost of monitoring and reorganization of object bases for clustering,1996
1878,acm sigmod record,open issues in parallel query optimization,1996
1879,acm sigmod record,control strategies for complex relational query processing in shared nothing systems,1996
1880,acm transactions on database systems ( tods ),"lh * - a scalable , distributed data structure",1996
1881,acm transactions on database systems ( tods ),semantics for update rule programs and implementation in a relational database management system,1996
1882,acm transactions on database systems ( tods ),extended ephemeral logging : log storage management for applications with long lived transactions,1997
1883,acm transactions on database systems ( tods ),outerjoin simplification and reordering for query optimization,1997
1884,acm sigmod record,"olap , relational , and multidimensional database systems",1996
1885,acm sigmod record,unisql 's next-generation object-relational database management system,1996
1886,acm sigmod record,scientists called upon to take actions,1996
1887,acm transactions on database systems ( tods ),model and verification of a data manager based on aries,1996
1888,acm sigmod record,dynamic information visualization,1996
1889,acm sigmod record,information visualization,1996
1890,acm sigmod record,spotfire : an information exploration environment,1996
1891,acm sigmod record,incremental data structures and algorithms for dynamic query interfaces,1996
1892,acm sigmod record,"a response to r. camps ' article domains , relations and religious wars",1996
1893,acm transactions on database systems ( tods ),an axiomatic model of dynamic schema evolution in objectbase systems,1997
1894,acm sigmod record,the aggregate data problem : a system for their definition and management,1996
1895,acm sigmod record,"in reply to domains , relations and religious wars",1996
1896,acm sigmod record,report from the nsf workshop on workflow and process automation in information systems,1996
1897,acm sigmod record,3d geographic network displays,1996
1898,acm sigmod record,the mariposa distributed database management system,1996
1899,acm sigmod record,an orthogonally persistent java,1996
1900,acm sigmod record,pixel-oriented database visualizations,1996
1901,acm sigmod record,a framework for information visualisation,1996
1902,acm sigmod record,applying database visualization to the world wide web,1996
1903,acm sigmod record,to table or not to table : a hypertabular answer,1996
1904,acm sigmod record,www-udk : a web-based environmental meta-information system,1997
1905,acm sigmod record,uis-management of data and services in the environmental information systems of baden-w &#252; rttemberg,1997
1906,acm sigmod record,integrating modelling systems for environmental management information systems,1997
1907,acm sigmod record,improving access to environmental data using context information,1997
1908,acm sigmod record,new programs at darpa and nsf,1996
1909,acm sigmod record,environmental information systems,1997
1910,acm sigmod record,new standard for stored procedures in sql,1996
1911,acm sigmod record,"tpc-d-the challenges , issues and results",1996
1912,acm sigmod record,extraction of object-oriented structures from existing relational databases,1997
1913,acm sigmod record,an overview of data warehousing and olap technology,1997
